"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","AJP","MJP","TOK","KYO","KAG","NAS","SHU","HAT","YON","COMMENTS"
 139,"*b(u)í-", 127,"1 to sit  2 to be","1 сидеть  2 быть","wi- 1, 2","wí- 1, 2","ì- 2","í- 2","í-","jì-","jì-","bì-","","JLTT 698."
 140,"*úm-",2521,"to bear","рождать","um-","úm-","ùm-","úm-","úm-","","","","","JLTT 779."
 141,"*tiàntaN",2641,"sun","солнце","","","","","","tɨ́dá","tī́dá","šì̲ṉá","tìdáN",""
 142,"*pìsà- / *pə̀sə̀-",1619,"thin","тонкий","p(w)oso-","fòsò-","hosói","hósò-","hosó-","","Fí̲s-","pì̲šà-","xì̲tc-","JLTT 828. Ryukyu dialects reflect a variant *pìsà-, cf. Shuri Fí̲s-, Hateruma pì̲šà-, Yonaguni xì̲tč-."
 143,"*ná",1385,"thou","ты","\Ina\i","ná-mùdí,  ná-múdí","","","","nà-Ń","","","","JLTT 490."
 144,"*tákú-páp-", 265,"to hoard, assemble","запасать, накапливать","takupap(a)-","tákúfáf(a)-","takuwaé-, tàkuwae-","tàkùwàè-","takuwaé-","","","","","JLTT 762. Accent is somewhat uncertain, though most sources (RJ, Tokyo tàkuwae-, Kagoshima) point to *tákúpáp-. It is also worth noting Middle Jpn. and modern takusán 'much, many': the word is shaped and perceived as a kango (澤山 'swamps and mountains'), but is apparently not attested in Chinese sources and may represent a folk etymology. Its accent, however, differs from that of *tákú-páp- (Kyoto tákùsàn and Kagoshima takusán, together with the Tokyo form, point to *tàkù-sà[mà])."
 145,"*pìjá-, *pì", 140,"1 to freeze 2 ice, hail","1 замерзать 2 лед,  град","pji 2","fìja- 1, fì 2","hié- 1","hìè- 1","hìè- 1","xì-gùrù- 1","Fī́- 1","pī̀-šà- 1","xī̀- 1","JLTT 405."
 146,"*nəmpV",1336,"neck","шея","","","","","","","","nùbùsɨ́Ń","nùbí","A local Ryukyu word: Hateruma nùbùsɨ́Ń, Yonaguni nùbí."
 147,"*ə́-",1554,"a deictic root (this)","дейктическая основа (этот)","","","","","","ú-Ǹ","ú-nù","ù-nù","ù-nú","A Ryukyu root: Nase ú-N, Shuri ú-nù, Hateruma ù-nù, Yonaguni ù-nú etc. The form o-re is attested in OJ as 'thou' with a pejorative meaning, whence some modern dialectal forms (Kagoshima wáí, Shuri ú-nǯú, ʔjā, Nase ʔjá, Hateruma \IDā̀,\i Yonakuni ùdà). It is not quite clear whether it is the same root as Ryukyu \I*o-\i 'this'."
 148,"*sìmpá",2640,"tongue","язык","","","","","","šìbá","šíbá","","",""
 149,"*kàpì",1007,"1 egg  2 shell","1 яйцо  2 скорлупа","kapjigwo 1, kapji 1, 2","kàfìgò 1, kàfì 1, 2","kái 2","káì 2","kaí 2","kùgá 1","","kɛ́ 1","káíNù 1","JLTT 433. The Tokyo accent points to a variant *kàpí."
 150,"*úi-",1551,"sleep, to sleep","сон, спать","wi-na- 'to sleep', \Ii\i 'sleep, dream';","i-na- 'to sleep', wí-nébúri  'sleep'","(*i-)ne-; inebúri, ineburí 'drowsiness'","ìnébúrì 'drowsiness'","ineburí 'drowsiness'","","","","","JLTT 697 (ignoring the variant wi-). OJ i and wi- obviously reflect  variants of development of PJ *úi."
 151,"*manki-",1256,"big","большой","","","","","","","mágí-","","máí-","A Ryukyu root: Shuri mágí-, Yonaguni máí- etc."
 152,"*pin-?",2639,"head","голова","","","","","bintá","","","","",""
 153,"*àjùm-",  62,"to walk","ходить, гулять","ajum-","àjùm-","ayúm-","áyúm-","àyùm-","","","","","JLTT 679."
 154,"*pùtuà-", 113,"1 thick  2 big","1 толстый  2 большой","putwo- 1","fùtò- 1","futó- 1","fúto- 2","futó- 2","","","","","JLTT 829."
 155,"*piar-?",2638,"tongue","язык","","","","","béro","","","","",""
 156,"*nà",1211,"greens, vegetables","овощи, зелень","\Ina\i","","ná","","","","","","","JLTT 490."
 157,"*ə̀tə́-",2484,"fall","падать","otu-","òtu-","ochí-","òchì-","ochi-","","","","","JLTT 743. The root *ə̀tə́- is recoverable from derivatives like OJ oto-s- (*ə̀tə́-s-) 'to cause to fall'."
 158,"*tár-", 229,"be sufficient, full","б. достаточным, полным, хватать","\Itar-\i","\Itar-\i","tàri-","tárí-","tarí-","","","","","JLTT 764."
 159,"*pírí-p-", 154,"to gather, collect","собирать, подбирать","pjirip-","fíróf-","hìro-","hìrò-","hiró-","","","","","JLTT 689. The Kyoto accent is aberrant (under literary influence?)."
 160,"*ə̀mə̀-p-", 462,"to think","думать","omop-","òmòf-","omó-","ómó-","òmò-","","","","","JLTT 741."
 161,"*pàntá",1757,"skin, flesh","кожа, плоть","pada","fada","háda","hàdá","hadá","","","","","JLTT 395."
 162,"*tàkà-",2236,"1 high  2 mountain","1 высокий  2 гора","taka- 1, take 2","tàkà- 1","taká- 1, také 2","tákà- 1, tákè 2","taká- 1, také 2","","","","","JLTT 539, 841."
 163,"*ánk-", 434,"1 gills  2 jaw, chin","1 жабры  2 челюсть, подбородок","agji, agjitopji","ágì, ágító","agó 2, agito 1,2","àgô 2","ágo 2","","","","","JLTT 377. RJ, Tokyo and Kagoshima point to *á(n)kV̀ (the root ending is somewhat hard to reconstruct), but Kyoto has an unexpected circumflex tone."
 164,"*-ma-",1234,"dubitative suffix","суффикс дубитатива","\I-ma-\i","\I-ma-\i","\I-ma-i\i","","","","","","",""
 165,"*kúrá-",1090,"dark","темный","kura-","kúrá-","kùra-","kúrà-","kúra-","","","","","JLTT 833."
 166,"*kùkù-i",1076,"stem, stalk","ствол, стебель","kuki","kuki","kukí","kúkì","kukí","","","","","JLTT 462. The stem kuku- is found in some OJ compounds."
 167,"*(d)ìrə̀",2239,"color","цвет","iro","ìrò","iró","írò","iró","","","","","JLTT 426."
 168,"*pə̀ká",2787,"other","другой","p(w)oka","fòká","hòka","hòká","hoká","","","","","JLTT 413. Most dialects (and RJ) point to *pə̀ká, but Tokyo indicates a variant *pə́ká."
 169,"*də́r-", 399,"to approach","приближаться, подходить","jor-","jór-","yòr-","yór-","yór-","","","","","JLTT 787."
 170,"*dù", 392,"warm water","теплая вода","\Iju\i","\Iju\i","yú","yū̌","yù","","","","","JLTT 578."
 171,"*ka", 959,"interrogative particle","вопросительная частица","\I-ka\i","\I-ka\i","\I-ka\i","","","","","","",""
 172,"*túrá-", 241,"unbearable, hard, bitter","горький; тяжелый, невыносимый","tura-","","tsùra-","tsúrà-","tsúra-","","","","","JLTT 842."
 173,"*pàm-",1742,"eat","есть","pam-","fàm-","","","","","","","","JLTT 684."
 174,"*tàmà",2229,"soul","душа","tama","tàmàsìfì","támashii","támàshìì","tamashíi","","","","","JLTT 539, 540."
 175,"*sùnài",2010,"1 shin  2 marrow","1 голень 2 костный мозг","sune 2","sune 1, 2","suné 1","súnè 1","suné 1","","","","","JLTT 534."
 176,"*kúpá-pa-",1123,"add","добавлять","kupapa-","kùfàfá-","kùwae-, kuwaé-","kúwáé-","kuwaé-","","","","","JLTT 718. Tone reconstruction is controversial: RJ and the Tokyo variant kuwae-rú point to *kùpà-, but all other evidence is in favour of *kúpá-."
 177,"*núnuá",1514,"fabric, cloth","ткань, полотно","nun(w)o, (East. dial.) ninwo","núnó","nùno","nùnó","núno","","","","","JLTT 502. The Kyoto accent is irregular."
 178,"*pí",1875,"Japanese cypress","кипарисовик японский","pji","fí","hìnoki, hínoki","","","","","","","JLTT 407."
 179,"*túnk-",2467,"to bind together, join","связывать, соединять","tug-","túg-","tsùg-","tsúg-","tsúg-","","","","","JLTT 772."
 180,"*ə́tə̀",1589,"sound","звук","oto","ótò","otó","ótò","óto","","","","","JLTT 513."
 181,"*kan-k-",1057,"to smell","нюхать, обонять","kag-","kág-","kàg-","kàg-","kág-","","","","","JLTT 701. Kyoto points to *kàNk-, but other dialects and RJ - to *káNk-."
 182,"*sV́-",1961,"make, auxiliary verb","делать, служебный глагол","s-u","s-u","sù-","sú-","sú-","","","","","JLTT 759."
 183,"*tə̀mə̀-s-",2342,"to burn, light","зажигать","tomos-","tomos-","tòmos-, tomós-","tómós-","tòmòs-","","","","","JLTT 770."
 184,"*(d)iárì", 378,"collar","воротник","","eri","erí","érì","éri","","","","","JLTT 393."
 185,"*dùtá-ka",2610,"abundant","обильный","jutake-","jùtákà","yútaka","yùtákà","yutaká","","","","","JLTT 580."
 186,"*dànì",2603,"tar, pitch","смола, деготь","jani","jànì","yaní","yánì","yaní","","","","","JLTT 573."
 187,"*pàrá-p-",1728,"to pay","платить","parap-","fàráf-","hará-","hárá-","hàrà-","","","","","JLTT 684. Kyoto reflects a variant *pàràp-."
 188,"*tàpì-ra", 370,"flat, even","плоский, ровный","tapjira","tàpìrá","tàira, tairáka","tàìrá","taíra","","","","","JLTT 538. Tokyo and Kagoshima point rather to *tápírá."
 189,"*tùrù", 224,"vine","лоза","","","tsurú","tsúrù","tsurú","","","","","JLTT 557."
 190,"*kə́rə́-mp-",1141,"roll","катиться","","korob-","kòrob-","kórób-","korób-","","","","","JLTT 713."
 191,"*sàs-, *sàsì",2097,"to prick, stab; sharp stick","вонзать, колоть; острая палочка","sas-, sasi","sàs-, sasi","sás-, sashí","sás-","sàs-","","","","","JLTT 748."
 192,"*ə́k-",1594,"to put","класть","ok-","ók-","òk-","ók-","ók-","","","","","JLTT 741."
 193,"*pùná-i",1775,"boat, vessel","лодка, сосуд","pune","fùné","fúne","fùné","funé","","","","","JLTT 418. puna- in OJ compounds (puna-pjito etc.)."
 194,"*kìr-", 798,"to cut","резать","kjir-","kìr-","kír-","kìr-","kìr-","","","","","JLTT 709."
 195,"*tùmpú-rá",2434,"round","круглый","tubura","tubura","tsúbura, tsùbura","tsùbùrá","tsùbùrá","","","","","JLTT 553."
 196,"*kə́sí", 998,"waist","поясница","kosi","kósí","kòshi","kóshí","kóshi","","","","","JLTT 458."
 197,"*úká-(n)káp-",2503,"to look into, inquire","всматриваться, осведомляться","ukakap-","ukagaf-","ùkaga-","úkágá-","ukagá-","","","","","JLTT 778."
 198,"*káp-", 969,"buy, (ex)change","покупать","kap-","káf-","kà-","ká-","ká-","","","","","JLTT 706. Cf. also *kápá-, *kápár- 'change'."
 199,"*kàtí", 518,"walking","хождение пешком","kati","kàtí","káchi","káchí","kachí","","","","","JLTT 444. The Kyoto accent is irregular, otherwise all evidence points to *kàtí."
 200,"*kàtá", 482,"shoulder","плечо","kata","kàtá","káta","kàtá","katá","","","","","JLTT 442."
 201,"*kùsì",1073,"spit, skewer; comb","вертел","kusi","kùsì","kushí","kúshì","kushí","","","","","JLTT 466."
 202,"*múnà-i",1315,"breast","грудь","mune","múnè","muné","múnè","múne","","","","","JLTT 488. muna- in OJ compounds (muna-saka etc.)."
 203,"*k(ù)i",1075,"fang","клык","k(j)i","kì","kí-ba","kí-bà","kí-ba","","","","","JLTT 449. The accent in Kyoto and Kagoshima is irregular; Tokyo and RJ point unambiguously to original low tone."
 204,"*kùmuâ", 916,"spider","паук","kum(w)o","kùmó","kúmo","kùmô","kumó","","","","","JLTT 463."
 205,"*úsí",2536,"cow, bull","корова, бык","usi","úsí","ùshi","úshí","úshi","","","","","JLTT 564."
 206,"*kùrùa (~ -ruâ)",1148,"dike, boundary","насыпь, межа","kur(w)o (in kur(w)o-tuka "embankment on boundary")","kùró","kúro","kúró","","","","","","The Kyoto accent is irregular: all other evidence points either to *kùrúa or to *kùruâ."
 207,"*ámá-, *ántí",  34,"1 taste 2 tasty, sweet","1 вкус 2 вкусный, сладкий","adi 1, ama- 2","ádí 1, ámá- 2","àji 1, àma- 2","ájí 1, ámà- 2","áji 1, áma- 2","","","","","JLTT 389, 825."
 208,"*də́kə́",2608,"side","сторона","joko","jókó","yòko","yókó","yóko","","","","","JLTT 576."
 209,"*mə̀tə̀",1543,"root, foundation","корень, основание","moto","mòtò","motó","mótò","motó","","","","","JLTT 486."
 210,"*kə̀nə̀-m-", 577,"to like, wish","любить, желать","konom-","kònòm-","konóm-","kónóm-","kònòm-","","","","","JLTT 712."
 211,"*tə́kə́",2333,"bed","постель","toko","tókó","tòko","tókó","tóko","","","","","JLTT 548."
 212,"*suà-rá",2046,"sky","небо","swora","sòrá","sóra","sòrá","sorá","","","","","JLTT 530."
 213,"*mə́rí",1377,"forest","лес","m(w)ori","mórí","mòri","mórí","móri","","","","","JLTT 485."
 214,"*ín-",1533,"to go, leave","уходить","\Iin-\i","ín-","","","","","","","","JLTT 697."
 215,"*nàmâ",1204,"fresh, raw","свежий, сырой","nama","nama","náma","nàmâ","namá","","","","","JLTT 491."
 216,"*kaka", 422,"mother","мать","","kaka","o-kā́-san","ò-kā̀-sán","o-kā-sán","","","","",""
 217,"*kùrù-sì-",1091,"hard, difficult, agonizing","трудный, тяжелый, мучительный","kuru-si-","kùrù-si-","kurushí-","kúrúshì-","kurushí-","","","","","JLTT 833."
 218,"*kùrí",1092,"a k. of mollusc (and its shell)","вид моллюска (и его раковина)","","fàmà-gùrí","hamá-guri","hámà-gùrì","hama-gurí","","","","","JLTT 397. A compound with *pama 'beach'."
 219,"*kàkî", 811,"shell, oyster","раковина, устрица","kakji","kàkì","káki","kàkî","kakí","","","","","JLTT 434."
 220,"*ítá-r-", 686,"to reach","достигать","ita-r-","ítá-r-","ìtar-u","ítár-ú","itár-","","","","","JLTT 699."
 221,"*kəjə-", 750,"to lie","лежать","koju-","","","","","","","","","JLTT 711."
 222,"*nə́r-",1440,"to announce, order","возвещать, приказывать","\Inor-\i","nór-","","","","","","","","JLTT 737."
 223,"*kúní", 849,"country","страна","kuni","kúní","kùni","kúní","kúni","","","","","JLTT 463."
 224,"*kəti (~ -ua-)", 994,"East wind","восточный ветер","k(w)oti","koti","kochi (arch.)","","","","","","","JLTT 458."
 225,"*súwá-i",2089,"end, edge","конец, край","suwe","súwé","sùe","súé","súe","","","","","JLTT 532."
 226,"*bàkà-",  89,"young","молодой","waka-","wàkà-","waká-","wáka-","waká-","","","","","JLTT 844."
 227,"*sítá",1937,"(the place) below","низ, нижняя часть","sita","sítà","shìta","shítá","shítà","","","","","JLTT 527. All dialects point to *sítá, but RJ has a low tone on the 2d syllable."
 228,"*kuaku-mi", 910,"meat (with bumps, warts)","мясо (с шишками, бородавками)","kwokumji","","","","","","","","",""
 229,"*nə́r-",1442,"1 to rise 2 to ride","1 подниматься  2 ехать верхом","\Inor-\i 1, 2","nór- 1, 2","nòr- 1","nór- 1","nór- 1","","","","","JLTT 737."
 230,"*tumu",2360,"big boat","большая лодка","tumu","","","","","","","","",""
 231,"*nə́mpə́r-",1202,"to rise","подниматься","nobor-","nóbór-","nòbor-","nóbór-","nobór-","","","","","JLTT 736."
 232,"*tətə, *ti", 453,"1 father 2 uncle","1 отец 2 дядя","\Iti\i / titi 1, wo-di 2","toto, tìtí 1, wo-di 2","chichí, o-tṓ-san 1, òji 2","chìchí, ò-tṓ-sàn 1, ójí 2","chichí, o-tō-sán 1, ójì 2","","","","","JLTT 514, 547. Accent reconstruction is difficult because of irregular transformations and reduplications (a nursery word)."
 233,"*ə̀ntà-",  73,"quiet, peaceful","мирный, тихий, спокойный","oda-pji-si","òdàfíkà, oda-si","odáya-ka","ódáyákà","odayaká","","","","","JLTT 504, 838."
 234,"*nìpə̀-p-",1477,"to smell","пахнуть","nipop-","nìfòf-","nió-","níó-","nìò-","","","","","JLTT 736."
 235,"*i", 582,"that","тот","\Ii\i","","","","","","","","","JLTT 420."
 236,"*mə̀mìtì",1400,"maple","клен","m(w)omjiti","mòmìdì","mómĳi","mómìjì","momĳí","","","","","JLTT 484. The Tokyo accent points to a variant *mə̀mìtí."
 237,"*kátà",2653,"side, direction; form, shape","сторона, направление; форма, вид","kata","kátà","katá","kátà","káta","","","","","JLTT 442."
 238,"*pátí",1755,"bee","пчела","pati","fátí","hàchi","háchí","háchì","","","","","JLTT 401."
 239,"*bə́", 102,"rope","веревка","wo","wó","wó","wṓ","wó","","","","","    JLTT 503. The Tokyo accent is aberrant (*wò would be expected), but Kyoto,  Kagoshima and the RJ gloss (wó) point to *bə́."
 240,"*pátá-ra-k-",1727,"to work","работать","","fatarak-","hàtárak-","hátárák-","hataráḱ-","","","","","JLTT 685. Cf. also *pátá- / *pàtá- 'to end, be exhausted' (with accent variation, see АПиПЯЯ 139; but this form may be alternatively compared with MMong. hečüs 'end' (HY), WMong. ečüs, Khalkha eces, Bur. eses, Kalm. ecəs (КРС), Dag. heči- 'get thin, waste away' etc.)."
 241,"*nátù",1476,"summer","лето","natu","natu","natsú","nátsù","nátsu","","","","","JLTT 494."
 242,"*útì",1606,"middle, inside","середина, внутренность","uti","útì","ùchi","úchí","úchi","","","","","JLTT 565. The Kyoto and Tokyo forms point to a variant *útí."
 243,"*ánta",  76,"1 enemy 2 other","1 враг 2 другой","ata 1, ata-si 2","átá 1, átà-sì, ada-si 2","adá 1","ádà 1","ádà 1","","","","","Modern dialects point to *ántà; RJ has átá. See JLTT 376-377."
 244,"*də-",2262,"four","четыре","jo-","jo-","yó-","yó-","yó-","","","","","JLTT 578. Accent unclear (as in other numerals)."
 245,"*kə̀mà-r- ( ~ kuàmà-r-)", 745,"be in a difficult position","быть в затруднительном положении","","","komár-","kómár-","kòmàr-","","","","","JLTT 712."
 246,"*nák-",1222,"to weep, cry","плакать","nak-","nák-","nàk-","nák-","nák-","","","","","JLTT 731."
 247,"*kára-", 521,"to stay away, get apart; die","отделяться, удаляться; умирать","kara-","kára-","","","","","","","","JLTT 704."
 248,"*ə́r-",1604,"to weave","ткать","or-","ór-","ór-","òr-","òr-","","","","","JLTT 742. For accent cf. RJ ór- (modern dialects have merged phonetically ór-ù  'to weave' and wòr-ù 'to bend', which are well distinguished in early  sources)."
