"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","WMO","MMO","HAL","BUR","KAL","ORD","DUN","BAO","DAG","YUY","MGR","MOGH","REFERENCE"
  61,"*ama-, *amsa-, *amta",  34,"1 mouth 2 to taste 3 taste","1 рот 2 пробовать на вкус 3 вкус","ama(n) 1 (L 35), amsa- 2 (L 39), amta(n) 3 (L 39)","aman (HY 45, SH), aman (IM 432), aman (MA 99) 1, amsa- (HY 25), amsa- (MA 101) 2, amtan (HY 25) 3, amtata'i (SH), omṭaṭā (IM 432) 'sweet', amta (MA 101) 3","\Iam\i 1, amsa- 2, amt(an) 3","aman 1, amha- 2, amta(n) 3","amṇ 1, amsa- 2, amtṇ 3, am-la- 'to spell, to speak'","ama 1, amsa- 2, amta 3","amaŋ 1 (MGCD: aman), amusa- 2, anda-tu 'tasty' (Тод. Дн. 110)","amaŋ (Тод. Бн. 133) 1, amtəg 3 (MGCD)","ama 1 (MGCD am), anta- 2, anta 3 (Тод. Даг. 120, 121) (MGCD: ant), ame 1, amete 'tasty' (MD 114)","aman 1, amsa- 2, amtan 3","ama 1 (SM 5), amusa- 2 (SM 7),  MGCD amsa-), amata-, amuta 3 (SM 6, 7), amta 3 (MGCD)","aman, amun 1, amsa 2, amta 3 (Ramstedt 1906); ZM ɔ̄mɔ̄n (1-7a) 1","Cf. also Mong. *amasar 'cavity, hole'. Тод. Мгр. 314, Тод. ЯМВМ 112, KW 9, 10, MGCD 105, 109; TMN 1, 148, 149., Bur. amhagar 'разверстый'. Mong. amtan > Yak., Dolg. amtan (Kał. MEJ 41, Stachowski 33)."
  62,"*nere",1440,"name","имя","nere (L 575)","nere (SH, HYt), nirin (IM), nirä̆ (MA)","ner","nere","nerə","nere","niere","nere (Тод. Бн.), nare","ner (Тод. Даг. 157), nere (MD 198)","nere","nere (SM 273)","nerä; nirä (15-3a)","KW 275, MGCD 506."
  63,"*küǯüɣün", 939,"neck","шея","küǯügün, küǯügüü (L 510)","kuǯu'un (HY 46), guǯu'un (SH), koǯeon (IM), kuǯun (MA)","xüʒǖ","xüzǖ(n)","küzǖn","küǯǖ(n)","\IGuǯun\i","guǯuŋ","kuǯū, xuǯū (Тод. Даг. 151, 179), huǯū (MD 166)","guǯǖn","guʒ́i (SM 140)","küǯǖn; ZM kožun (2-7a)","KW 249, MGCD 397."
  64,"*sine",2553,"new","новый","\Isine\i (L 711)","šini (HY 6, SH), sīni (IM), šinä̆, šini (MA)","šine","šene","šinə","šine","šəni, šɨni","šine","šinken (Тод. Даг. 184, MD 217)","šənə","šəni (SM 375), śinə","","KW 358, MGCD 717. Cf. also WMong. sene-r, Kalm. senr 'new, fresh' (KW 324)."
  65,"*söni",2056,"night","ночь","söni (L 732)","sueni (HY 5, SH), suni (IM), suni (MA)","šönö","hüni","\Isȫ,\i sȫn","söni, sönö","šieni","sone","suni (Тод. Даг. 164, MD 213)","sȫnə","soni (SM 353)","süni; ZM sāni (19-7a)","KW 335."
  66,"*ka[m]ar",1057,"nose","нос","qabar, qamar (L 895)","qabar (HY 45, SH), qabar (MA), qabar (LH)","xamar","xamar","xamṛ","xamar","qava","xor","xamar (Тод. Даг. 173), hamere, hamare (MD 156)","xawar","xawar (SM 165), xavar","qabar; ZM qabar (2-3b)","KW 164, MGCD 322. Mong. > Oyr. qamur.  There are numerous indications that the root was *kaŋ- (*kaŋ-bar > qabar / qamar). Cf. *koŋ-si- / *kaŋ-si (WMong. qaŋsiɣar, qoŋsĳar 'beak,  nose' (KW 167, 186, MGCD 365, Mongr. xaŋšar (157); > Uzb. qanšar etc., see ЭСТЯ 5, 256-258); > Man. qaŋsari / qaŋsiri, haŋšara (see Rozycki 102, 132) ); WMong. qaŋqul- / qaŋɣul- 'to smell'; MMong. (SH) qoŋši'ut 'reek', WMong. quŋsi- 'to reek, smell' ( > Oyr. quŋsu- etc., see KW 197, VEWT 280); WMong. qaurɣasun, Kalm. xūrɣəsn, xuɣərsn 'nose gristle' (KW 195, 201). ."
  67,"*e-se", 407,"not","не","ese (L 333)","ese (SH, HYt), ise (IM), is(ä̆) (MA)","\Ies\i","ehe","\Ies\i","ese","ese","\Ise\i","\Ies\i (Тод. Даг. 140)","","\Isə,\i \Isī\i","\Isa,\i \Isɛ;\i ZM eϑϑä (27-7a)","KW 128, MGCD 272."
  68,"*ülü",2510,"not","не","ülü (L 1006)","ulu (HY 51, SH), ulɛ (IM), ulä̆ (MA)","ül","üle","ülɛ (СЯОС)","üle, ülü","ulie","\Ile\i","\Iul\i (Тод. Даг. 170), ule (MD 232)","\Ilə\i","\Ili\i (SM 222), lī̆","\Ila,\i \Ilü,\i \Ilɛ;\i ZM ulä (27-7a)","MGCD 692."
  69,"*nige",1481,"one","один","nige(n) (L 580)","nikan (HY 42, SH), nigɛn (IM), nigän (MA)","neg","nege(n)","negṇ","nege","nie(kie)","nege","neg, nek (Тод. Даг. 157), neke (MD 196)","niɣe","nige, nigen- (SM 274)","nikän; nikä (25-1a)","KW 274, MGCD 503."
  70,"*küɣün, *-m-", 849,"person","человек","kümün (L 501)","gu'un (HY 27, SH), komon, kumnɛt (IM), kuw(u)n (MA)","xün (pl. xümǖs), xömǖn ( < WMong.)","xün","kǖn, kümṇ","kün, kümǖn (<lit.)","kun","kuŋ","xuar (Тод. Даг. 178), huare (MD 165)","kūn","kun (SM 211)","ZM \Iku\i (10-7a), kut ibid.","KW 246, 249, MGCD 398."
  71,"*kura", 943,"rain","дождь","qura (L 987)","qura (HY 2, SH), qora (IM), qura (MA), qora (LH)","xur","xura","xur","xura","\IGura\i","\IGura,\i \IGora\i","xuar (Тод. Даг. 178)","xura","xurā (SM 184)","","KW 197, MGCD 390. Also means 'last year'. [Ramstedt compares Kirgh. quralai 'Regenzeit']."
  72,"*hulaɣan",1678,"red","красный","ulaɣan (L 869)","xula'an (HY 41, SH), holām (IM), hula'an, hulan (MA)","ulān","ulān","ulān","ulān","xulan","felaŋ, fulaŋ","xulān (Тод. Даг. 179), hulān (MD 166)","łān","fulān (SM 105)","ulōn; ZM ulɔ̄n (13-8)","KW 448, MGCD 671, TMN 1, 540."
  73,"*mör",1319,"road, track","дорога, след","mör (L 548)","mor (HY 4, SH), mor (IM), mur (MA)","mör","mür","mör","mör","\Imo\i","mor","\Imure\i (MD 192)","mör","mōr (SM 240), (MGCD mur)","mür; KT mor (11-2b)","KW 266, MGCD 491."
  74,"*hiǯaɣur",1791,"1 root, stalk, stem 2 origin 3 back","1 корень, стебель, ствол 2 происхождение 3 задняя сторона","uǯuɣur, iǯaɣur 1 (L 418)","uǯu'ur 'stalk, stem' (HY 50), xuǯa'ur ('root' HY 7, SH), uǯawur, hiǯauri (MA) 1, xuǯa'ur 2 (HYt), hūǯāwur (LH), hūǯaūr (Lig.VMI)","joʒōr 1, uʒūr 3","uzūr 1, 2","jozūr 1","iǯūr 1, 2","","","xoǯōr (Тод. Даг. 176) 1, 2; hoǯore 1 (MD 163)","","sʒūr, śʒ́ūr (SM 340, 392), (MGCD śiǯūr)","","KW 220, MGCD 732, TMN 1, 535. Mong. > Evk. (Kamn.) iʒagur, Sol. oǯōr, see Doerfer MT 102, Rozycki 80 (but not Man. fuǯuri!)."
  75,"*tögörig",2602,"round","круглый","tögörig, (L 832) tögürig, tögerig, tügürig","togarik (HY 53), togorigai (SH), tugärig (MA)","tögrög, dugarig, dügreg","tüxerig","tögərəg, duɣərɣə","tögörök","","","tukurin, (Тод. Даг. 169) tukuŕen","tögörög","","","KW 406, MGCD 236. Cf. also tögüɣe (Kalm. tögɛ̄) 'wheel, circle' (KW 405)."
  76,"*ele-sü",  27,"sand","песок","elesü(n) (L 308)","elesun (HY 'pebble' 3, SH)","els(en)","elhe(n)","elsṇ","eles, elüsü, elesü","","","eler (Тод. Даг. 139)","","","","KW 120. Mong. > Evk. ellun, eldun 'stony place, Icelandic spar' (ТМС 2, 448)."
  77,"*geɣe-", 480,"to speak, say","говорить, сказать","ge- (L 372)","ke'e- (SH, HYt), kē- (HYt), gi- (MA)","ge-","ge-","ge-, gɛ̄-, gī-","ge-","","ge-","geǯi (MD 149-150) (quotation particle - converb from *ge-)","","gi- (SM 135)","ge- (Ramstedt 1906)","KW 132."
  78,"*kele-",1041,"1 to say  2 tongue, language","1 сказать, говорить  2 язык","kele- 1, kele 2 (L 447)","kele(n), (SH), kelen (HY 45) 2, kele- 1 (SH, HYt), kele- (IM), kä̆lä̆-, kilä̆n 1 (MA)","xele- 1, xel 2","xele- 1, xele(n) 2","kelə- 1, kelṇ 2","kele- 1, kele 2","kielie- 1, kielien 2","kele- 1, kelaŋ (MGCD kalaŋ) 2","xele- 1, xeli, xeĺ 2 (Тод. Даг. 175), hele- 1, heli 2 (MD 159)","kelen 2","kile- 1, kile 2 (SM 203)","kelä- 1, (Weiers), kelän 2; ZM kelä (2-4b) 2","KW 223, 224, MGCD 340. Mong. > Evk. kele etc., see Doerfer MT 131, Rozycki 104."
  79,"*üǯe-", 454,"to see","видеть","üǯe- (L 1014)","uǯe- (HY 32, SH); uǯɛ- (IM), uǯä-, huǯä- (MA)","üʒe-","üze-","üz-","üǯi-","uǯe-","nǯe-","uǯi- (Тод. Даг. 170, MD 231), uǯ-","eǯe-","uʒ́a- (SM 465), uʒ́e-","üǯä-; ZM ouž (5-4b)","KW 460, MGCD 331, 689."
  80,"*hüre",1829,"seed, child, descendant","семя","üre (L 1011)","xüre (HY 7), huran, hurun (MA)","ür","üri","ürṇ","ür, üre","fure","fure, fərɛ","xur (Тод. Даг. 180), hure (MD 167)","hure","furē (SM 110), xurē (Minghe)","","KW 459, MGCD 696. Mong. > Sol. \Iur\i (see Doerfer MT 137; but not Man. fur-sun, despite Doerfer ibid. and Rozycki 83)."
  81,"*saɣu-",2026,"to sit","сидеть","saɣu- (L 658)","sa'u- (HY 35, SH), ṣu- (IM), sau- (MA)","sū-","hū-","sū-","su-","sau-","sū-, seu-","sau- (Тод. Даг.162, MD 204 ), sō- (Тод. Даг. 162)","suu-","sū- (SM 355)","sau- (Weiers), söü-; ZM sou- (40-10)","KW 339. Cf. also saɣu-ri- 'to set (of sun, moon)'."
  82,"*ar[a]-su", 450,"skin","кожа","arasu(n), arisu(n) (L 49)","arasun (HY 15, SH), arāṣu (IM 432), arasun (MA 104)","aŕs(an)","arahan, arha(n)","arsṇ","arusu","arasun","arsoŋ","arsa, aras (Тод. Даг. 122)","arsən","arasə (SM 11)","arōsun; ZM ɔ̄rɔ̄sun (20-9)","MGCD 320. Cf. Mongor *(a)rāwa 'hair, fur'. KW 14."
  83,"*umta-, *umarta-",2523,"1 to sleep 2 to forget","1 спать 2 забывать","umta-, unta- 1, umarta- 2 (L 874)","umarta- 2, umtara-, untara- (SH), unta- 1 (HY 34, SH), unta- 1, marta- 2 (MA), munṭə- 1 (IM), umart- (LH, Lig.VMI)","unta- 1, marta- 2","unta- 1, marta 2","untə- 1, martə- 2","unta- 1, marta- 2","huntura- 1, mata- 2","tera- 1, martə- 2","wanta- (Тод. Даг. 129), \Iwant-\i 1, marta- (Тод. Даг. 154), martə- 2; uante- 1, marete- 2 (MD 189, 229)","nda-, ntā- 1, martā- 2","ntərā-, nćā- (SM 285) 1, mu(r)šda-, maršda- (SM 251), mašdā- (Huzu) 2","nunta- 1 (Ramstedt 1906), mɔrta- 2 (Weiers)","KW 450, 257, MGCD 462, 676. The Mog. form and IM munṭə- are interesting: they may suggest an archaic PM form *um(u)nta- 'sleep'."
  84,"*öčü-",1544,"small, little","маленький","öčüken, üčüken (L 629)","uču(e)gan (HY 52), učugan, učuge(n) (SH), učkēn, očkeon (IM), učun, učukan, hučuken (MA)","öčǖxen, öcǖxen","üsȫ(n) 'few'","ücǖ(kṇ)","ečǖken, öčȫχön","","ǯigaŋ","učēk(en), učīken (Тод. Даг. 171) učēke(n), učiken, ušiken (MD 230, 233)","","ćōgön","","KW 432, 460, MGCD 154."
  85,"*huni-",1680,"1 smoke 2 mist","1 дым 2 мгла, дымка","unĳar, ünĳer 2 (L 877, 1010)","xunin (HY 1, SH) 1, honi (IM) 1, hunin (MA) 1","uniar 2","uńār 2","uńār, ünǟr 2","unār(i) 2","funie 1","fənə 1","xoni (Тод. Даг. 177), xoń, xonētu 1; onir (Тод. Даг. 159) 2 ( < lit.), honi 1 (MD 163)","","funi (SM 107), xuni (Minghe) 1, 2","ZM honaɣ (3-8b) 'smell, odour'","KW 449, 458, MGCD 676, 682."
  86,"*baji-", 131,"to stand, stay, be located","стоять, стать, находиться","baji- (L 72)","bai'ji- (SH), bai'i- (HY 35), bāi-, bai- (IM), bai- (MA)","baj-","baj","bǟ-","bǟ-","bai-, vai-","bei-, vi-; (MGCD) va-","bai- (Тод. Даг. 122, MD 117)","bai-","bə̄-, wə̄- (SM 23), (MGCD 138) wai-, ba-ŋ (Minghe)","bɛi-; ZM ba'i- (40-10)","KW 39-40, MGCD 138."
  87,"*hodu",1802,"star","звезда","odu(n) (L 600)","xodun (HY 1, SH), hudun (IM), hudun (MA)","\Iod\i","odon","odṇ","udu","xodun","xodoŋ","xodo, xod (Тод. Даг. 176), hode (MD 162)","hodən","fōdi (SM 99)","","KW 283. Mong. > Manchu odontu 'starred, having stars' (see Rozycki 166)."
  88,"*čilaɣu",2246,"stone","камень","čilaɣu(n) (L 182)","čila'un (HY 4, SH)","čulū","šulū(n)","čolūn","čilū","","","čolō (Тод. Даг. 182, MD 130)","čəlū","","","KW 444, MGCD 582."
  89,"*naran",1439,"sun","солнце","nara(n) (L 565)","naran (HY 1, SH), narăn (IM), naran (MA)","nar(an)","nara(n)","narṇ","nara(n)","naran","naraŋ","nar (Тод. Даг. 156), nare (MD 194)","naran","nara (SM 257)","naran; ZM nārān (19-5a)","KW 272, MGCD 500."
  90,"*üji- / *oji-mu-",1559,"1 to sink, to put in in a pot for boiling 2 to swim","1 погружаться, класть в котел для варки 2 плавать","üi-, üjü- 1 (L 999), ojimu-, ojima- 2 (L 604)","ojna- 2 (IM)","üj- 1, ojmo- 2","üj- 1","ȫm- 2 (КРС)","oö̯mo- 'to pass the ford'","","","","","(w)ī- (SM 484) 1","","Mong. ojimu- > Yak., Dolg. ojmō-, see Kał. MEJ 36, Stachowski 190."
  91,"*seɣül",2089,"tail; end","хвост; конец","segül (L 683)","se'ul (HY 15, SH), sūl, sɛbūl (IM), sul, siul (MA)","sǖl","hǖl","sǖl","sǖl","šien, šian","šienčix, śančig","seuli, seul (Тод. Даг. 163)","sǖl","sūr (SM 363), (MGCD sūl)","söül; ZM sul (20-9)","KW 342, MGCD 615. Mong. > Evk. sūl, see Doerfer MT 127."
  92,"*te-re",2286,"that","тот","tere (L 804)","tere (SH, HY), tɛrɛ (IM), tirä̆ (MA)","ter","tere","terə","tere","tere","ter","tere (Тод. Даг. 167, MD 224)","tere","\Ite\i (SM 416)","tē̆; ZM ti (26-5)","KW 393."
  93,"*e-ne", 406,"this","этот","ene (L 316)","ene (SH, HYt), enɛ (IM), inä̆ (MA)","ene","ene","enə","ene","ene","ene, ine","ene (Тод. Даг. 139)","ene","\Ine\i","enä; ZM ena (13-6a)","KW 122, MGCD 262."
  94,"*či, *ta",2365,"1 thou 2 you (pl.)","1 ты 2 вы (мн.)","či 1, činu (gen.), \Ita\i 2","či, čino (gen.) (HY 31, SH), či, čenäi (gen.) (IM), či, činu, čini (gen.) (MA) 1, \Ita,\i tano (gen.) 2 (SH)","či, činĳ (gen.) 1, \Ita\i 2","ši, šenī (gen.) 1, \Ita,\i tānar, tānad 2","či, činə (gen.) 1, tadṇ 2","či, čini (gen.) 1, \Ita\i 2","čə (čɨ), čəni, čəji (gen.), \Ita\i 2","čə (či), čənə (gen.), čose ~ čase (Abl.) 1, \Ita\i 2","šī, šinī (gen.) 1 (Тод. Даг. 183, MD 215), \Itā\i 2 (Тод. Даг. 164, MD 218)","čə 1, \Ita\i 2","ći, ćini (gen.) (SM 441, 450) 1, \Ita\i (SM 404) 2","či-, činɛi (gen.) 1, \Ito\i 2; ZM či, činei (gen.) (26-3, 26-10a)","KW 438, MGCD 619."
  95,"*turaɣu",2437,"raven, crow","ворон","turaɣu, turulɣa, turalaɣ (L 843: turlaɣ 'rook')","tura'un (HY 13)","xar torū; turliax 'галка'","turlāg","torəg, torləg","xara turū, alaG turū","","","","","","","KW 401, 402."
  96,"*sidü",2097,"tooth","зуб","sidü(n) (L 698)","šidun (HY 45), šidu, sudu (SH), sidon (IM), šidun, sidun (MA), sidūn (LH)","šüd(en)","šüde(n)","šüdṇ","šüdü","šədun","(š)doŋ, hdoŋ","šide (Тод. Даг. 183, MD 215), šid","šdən, šədən","šdi (SM 371)","südün","KW 370, MGCD 728."
  97,"*modu",1377,"tree","дерево","modu(n) (L 541)","modun (HY 9, SH), mu-du-ni (SH), mudon (IM), mudun (MA)","mod(on)","modo(n)","modṇ","mudu(n)","mutun","mutoŋ, mortoŋ","mōd (Тод. Даг. 155), mōde (MD 192)","mūdən","mōdi (SM 238)","modun; ZM mādun (19-2a)","KW 263, MGCD 486."
  98,"*ǯiwrin ~ *ǯuirin",2247,"1 two 2 pregnant (lit. of two parts)","1 два 2 беременная (букв. двухслойная)","ǯiren (L 1060: ǯirin) 1","ǯi-rin (SH) 1","ǯirin (БАМРС) 1, ǯire-msen 2","žermehe(n) 2","ǯirəmsṇ 2 (КРС)","ǯirmesen  2","","","ǯūr(ū) 'pair' (Тод. Даг. 145)","","ʒ́uru (SM 96) 1","","KW 84."
  99,"*gojar", 547,"two","два","qojar (L 955)","xojar (HY 42), qojar (SH), qujar (IM), qujar (MA)","xojor","xojor","xojr","xojor","\IGua\i","\IGuar\i","xojir (Тод. Даг. 177), hojire (MD 162)","\IGūr\i","\IGōr\i (SM 122)","qojōr; ZM qejār (25-1a)","KW 181-182, MGCD 361. Northern dialects reflect *k-, due to contamination with *koji- 'to be behind, follow' or with *korin 'twenty'."
 100,"*jabu-",1795,"to walk","ходить","jabu- (L 420)","jabu- (HY 34, SH), jābu-, jabu- (IM), jabu- (MA)","java-","jaba-","jow-","jawu-","javu-","ju-","jaw(a)-, jau- (Тод. Даг. 147), jau- (MD 169)","jawə-","jụ̄- (SM 494), (MGCD, Minghe jau-)","jobu-","KW 220, MGCD 731, TMN 1, 546. Mong. > Man. jō- etc., see Poppe 1966, 196, Doerfer MT 82, Rozycki 222."
 101,"*dulaɣan", 392,"warm","теплый","dulaɣan (L 272)","dula'an 'hot, sunheat' (HY 6)","dulān","dulān","dulān","dulān","","","dulān (Тод. Даг. 138, MD 138)","dulān (MGCD dəlān)","","","KW 101-102, MGCD 237."
 102,"*usu",2180,"water","вода","usu(n) (L 887)","usun (HY 3, SH), oṣun, uṣun (IM), uṣun (MA)","\Ius\i","uha(n)","usṇ","usu(n)","usu","\Ise\i","oso, \Ios\i (Тод. Даг. 160), ose (MD 203)","qusun, Gusun","fuʒu (SM 102), sʒu (MGCD šʒu)","usun; ZM osun (15-5b)","KW 452, MGCD 682, TMN 1, 167."
 103,"*jaɣu-n-, *jaɣuma",1552,"1 what 2 thing","1 что 2 вещь","jaɣu 1, jaɣuma 2 (L 424, 425)","ja'un (HY 803), ja'u(n) (SH), jān (IM) 1, jan 1, jamă 2 (MA)","\Ijū\i 1, jū̆m 2","\Ijū,\i jūn- 1, jǖmen 2","jun, jūn- 1, jū̆mṇ 2","\Ijū\i 1, jumu 2","jan 1","jaŋ 1","\Ijō\i 1, jū̆m 2 (Тод. Даг. 147, MD 172)","ima 2, jān 1","jān 1, \Ijama\i 2, (j)amar 'comment' (SM 5, 487)","jem(ä) 1; ZM īmä (16-3a) 2","KW 221, MGCD 742."
 104,"*čagaɣan",2156,"1 white 2 to become white","1 белый 2 белеть","čaɣan 1 (L 158), čaji- 2 (L 160)","čaxan (HY 41), čaqan, čaqa'an (SH) 1, čaĳi- (SH) 2, čaɣan (IM) 1, čaɣan, čiɣan (MA) 1","cagān 1, caj- 2","sagān 1, saj- 2","caɣān 1, cǟ- 2","čagān 1, čǟ- 2","čəGan 1","čixaŋ 1","čigān (Тод. Даг. 181, MD 129) 1; čē- 2","čaɣān 1; čei- 2","ćiGān (SM 447) 1, ćī- (SM 441), ćē- (SM 447), ćai- (Minghe) 2","čaɣōn; ZM čaɣɔ̄ (13-7), KT čaɣɔ̄n (18-4a)","KW 419, 425, MGCD 557, 560, TMN 1, 177. Cf. *čege-ɣen 'light, white' (KW 426). Mong. >  Man. čagan 'white, white paper, books' (see Rozycki 42)."
 105,"*ken, *ka-", 959,"who","кто","\Iken\i (L 453)","\Iken\i (SH), kɛn (IM), \Ikin\i (MA); qa'a (SH) 'where'","xen","xen","\Iken\i","\Iken\i","kien; qa-","kaŋ; \Iha-\i","\Iken,\i xen (Тод. Даг. 149); xā- (Тод. Даг. 173), hā- 'where', \Ihen\i (MD 153, 154, 160)","\Iken;\i xā-, xa-","\Iken\i (SM 195)","\Iken;\i ZM kĳän (27-5a)","KW 225, MGCD 310, 342."
 106,"*eme", 428,"1 woman 2 wife","1 женщина 2 жена","eme 1 (L 311)","eme 1, emege (HY 29), emegu'un 2 (HY 30, SH), emä (IM), imä̆ (MA) 1","\Iem\i 1, emgen 2","eme 1","emə 1","eme 1, emegen 'old woman'","eme 1","eme 1","emgun, emeg 1, 2 (Тод. Даг. 139), eme (MD, 143) 1,2","eme 1","imu (: xara ~) 'nom que la jeune fille se donn devant ses parents le jour de son mariage' (SM 192), mugen 'femme âgée' (SM 245)","ZM emmä (9-6b)","KW 121, MGCD 259. Mong. emegčin 'female' > Yak. emēxsin, Dolg. emēksin (Kał. MEJ 45, Stachowski 45)."
 107,"*sira",2036,"yellow","желтый","sira (L 714)","šira (HY 41, SH), širā (IM), širă (MA)","šar","šara","šarə","šara","šəra, šɨra","šira","šara, šar (Тод. Даг. 183), šari (MD 214)","šəra","śira (SM 397)","šira; ZM sirā (13-7)","KW 349, MGCD 707. Mong. > Manchu sira (see Rozycki 184)."
 108,"*kolo", 829,"far","далекий","qolo, (L 956) qola","kolo (HY 52), qolo (SH), qula (IM), qulă (MA)","xol","xolo","xolъ","xolo","\IGolo\i","xolo, (MGCD) \IGolo\i","xolo, xol (Тод. Даг. 177), \Ihole\i (MD 163)","xolo","xolo, \IGolo\i 'tres, fort' (SM 170), xulo (SM 180)","qolō; ZM qolā (6-8a)","KW 182, MGCD 361."
 109,"*kün-", 923,"1 heavy, difficult 2 respect, authority","1 тяжелый 2 уважение, почтительность","kündü 1,2 (L 501, 502)","kundu (HY 52, SH), kundule- 'to respect' (HYt), kondu (IM), kŭndu 1","xünd 1,2","xünde 1","kündə 1,2","kündü 1,2","gundu","kuntɛ, kuntə","xundu, kundu (Тод. Даг. 151), hunde 1, hundule- 'to respect' (MD 166)","kundə","kundun (SM 212)","kündü 1; ZM kondu (18-3b)","KW 246, MGCD 398. Mong. > Yak., Dolg. kündü (Stachowski 164); > Manchu kundu 'respect, honor', Evk. kundu (Rozycki  146)."
 110,"*ojira", 637,"near","близкий","ojira (L 605)","ojira, ojiri (HY 52, 55), ojira (SH), wīr(b)ɛ (IM), uiră (MA), əira (LH)","oirɨn","ojro","ȫrə","oö̯ro","uira","","wair (Тод. Даг. 129), uajre (MD 229)","öiro, oiro","","ojrō; ZM ujrā (6-8a)","KW 304-305, MGCD 525."
 111,"*dabu-su", 241,"salt","соль","dabusu(n) (L 213)","dabusun (HY 24), ṭābuson (IM), dabusun (MA)","davs(an)","dabha(n)","dawsṇ","dawusu","dansun","dabsoŋ","","dābsən","dabsə (SM 37)","dabsun, dōpsun; ZM dɔ̄bsun (24-6a)","KW 80-81, MGCD 185. Mong. > Man. dabsu etc., see Poppe 1966, 195, Doerfer MT 38, Rozycki 52."
 112,"*hokar",1661,"short","короткий","oqor, aqar","okor (HY 52), oqor (SH), hoqar (IM), aqar (MA)","oxor, axar","oxor","oxər","axur, uxur","oqo","\IGor\i","uakar (Тод. Даг. 178), huakare (MD 165)","xoGor","xuGor (SM 179), xoGor","uqar; ZM waqar (11-6a)","KW 4, 284, MGCD 524. Some variants with 0- are probably secondary (although it is somewhat strange to find them in MMong.). Mong.  > Russ. Siber. oxar, oxára, axara 'шерсть, наросшая после первой стрижки овцы', see Аникин 103."
 113,"*mogaj",1332,"snake","змея","moɣai (L 541)","moxai (HY 12), moqai (SH), məɣa (IM), muɣaj (MA)","mogoj","mogoj","moɣǟ, moɣā","moGȫ","moGi, moɣəi","moGui","mogo, mogu, mog (Тод. Даг. 154)","moɣui, moGoi","muGwə̄ (SM 244), moGui (Huzu)","maɣōī; ZM māɣāj (21-7a)","KW 263, MGCD 487, TMN 1, 508-509."
 114,"*nimgen",1479,"thin","тонкий","nimgen, nimegen (L 584)","ningen (HY 53), nɛmgɛn (IM), nimkän (MA)","nimgen","nimgen","nimgṇ","nemgen, nimgen, nemgün","ninkien (MGCD ninkian)","niŋgaŋ","ningen (Тод. Даг. 158, MD 199)","nemgen (MGCD neŋgen)","neŋgen (SM 271), (MGCD nemgen)","","KW 276, MGCD 508. Cf. also nimna-gan 'thin, lean'."
 115,"*kej", 809,"1 air, atmosphere 2 wind","1 воздух, атмосфера 2 ветер","kei (L 444) 1","\Ike\i (=kəi HY 1), kei (SH), \Ikī\i (IM), kĭji (MA) 1","xĳ 1","\Ixī\i 1","\Ikī\i 1","\Ikī\i","kei 1, 2","\Iki\i 2","xein, kein, kīn 2 (Тод. Даг. 149), hejn 2, hejse- 'to blow' (MD 159), hĳ 1 (MD 162)","\Ikī\i 1","\Ikī\i (SM 199) 1, 2","kei 1,2; ZM kei 1,2 (19-4a)","KW 233-234, MGCD 347. Mong. > Evk. kei etc., see Doerfer MT 102."
 116,"*salki",2549,"wind","ветер","salki(n) (L 665)","","salxi","halxi(n)","sälkṇ, saĺkṇ","salχin","","","","salGən","sarki (SM 329), (MGCD salkī)","","KW 318, MGCD 591. Mong. > Turk. salqɨn 'cool day', Oyr. salqɨn etc., Kirgh. salqɨn 'wind' etc., see TMN 1, 341, VEWT 398, Щербак 1997, 209, Лексика 16, 41, ЭСТЯ 7, Stachowski 94."
 117,"*koro-kai",1069,"worm, insect","червь, насекомое","qoroqai (L 970: qoruqai)","qoroxai (HY 12), qorɣi (IM), qoraɣaj (MA)","xorxoj","xorxoj","xorxǟ","xoroxȫ","\IGuɣi\i \I \i","\IGorGei,\i \IGorGi\i","xorgō (Тод. Даг. 177), xorog, xorugu, horehe (MD 164)","xoroxGui","xorGwī (SM 173), xorGui, xurGoi","","KW 188, MGCD 302, 367. Cf. also Kalm. xor 'die Maden der Viehbremse (im Vieh)' (KW 187)."
 118,"*ǯil", 382,"cycle year","год, годовой цикл","ǯil","ǯil (SH, HYt), ǯīl (LH)","žil","žel","ǯil","ǯil","","","ǯil (Тод. Даг. 143), ǯile (MD 178)","ǯəl","ʒ́ir, ʒ́ur (SM 92), (MGCD ǯil)","ǯil 'time' (Weiers)","KW 109, MGCD 444. Mong. > Dolg. ǯɨl (Stachowski 92, 118)."
 119,"*hon",1681,"year","год","\Ion\i (L 611)","xon (HY 5, SH), \Ihun\i (IM), \Ihun\i (MA)","\Ion\i","\Ion\i","\Ion\i","\Ion\i","xon","xoŋ, hoŋ (Tunren)","xōn (Тод. Даг. 177), hōn (MD 164)","hon, χon","fən, xwən (SM 98), fen, fon (Huzu), xön, xon (Minghe)","","KW 286, MGCD 444, 528."
