"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","ATU","KRH","TRK","TAT","CHG","UZB","UIG","SJG","AZB","TRM","HAK","SHR","ALT","KHAL","CHV","JAK","DOLG","TUV","TOF","KRG","KAZ","NOGX","BAS","BLKX","GAGX","KRMX","KLPX","SAL","QUM","REFERENCE"
  39,"*baĺč",1274,"head","голова","baš (Orkh., OUygh.)","baš (MK, KB)","baš","baš","baš (Abush., MA)","bɔš","baš","baš","baš","baš","pas","paš","baš","baš","poś","bas; battaq 'hair of head'","bas; battak 'head of reindeer; reindeer skin'","ba'š","ba'š","baš","baš","bas","baš","baš","baš","baš","bas","baš","baš","VEWT 64, ЭСТЯ 2, 85-88, TMN 2, 250-253, EDT 375-6, Федотов 1, 452, Ашм. X, 15, Лексика 194, Stachowski 54, 55."
  40,"*ẹĺit-",  26,"to hear","слышать","ešid- (Orkh.), ešit- (OUygh.)","ešit- (MK, KB)","išit-","išet-; dial. (Mishar) iš- 'hear' (ТТДС 156), (Bar.) išɛn- 'listen' (ЯБТ 140)","ešit- (Abush. 63)","ešit-","ešet- (Kashg., УНС 109)","","ešit-, pass. ešidil-","ešit-, pass. ešidil-","\Iis-\i / ist-","","","išüt-","ilt-","ihit-, pass. ihilin-","ihit-, pass. ihilin-","","","ešit-","est-","esit-","išet-","ešt-","išit-","šit-","esit-","išti-","ešit-","VEWT 51, EDT 257-8, ЭСТЯ 1, 318-319, Егоров 69, Stachowski 123. Note -d- in Runic and the voicing  of -t before a vowel in Az. and Turkm. Khak. has two forms of stem (\Iis-\i and iste-, morphonologically distributed, so that \Iis-\i < iste-; the same historical process could have occurred with. Küär. äš-, Kach. eš- (R 1, 905); so the only clear evidence for the stem *eĺ- are Tatar dialectal reflexes (in which case -t may be a causative suffix, see Bang 1925, Zajączkowski 1932). Shor este- 'to hear', estel- 'to be heard' do not belong here, being derived from \I*es\i > \Iis\i 'mind, memory', like Mod. Uygh. aŋla- 'to hear' < \Iaŋ\i 'mind'."
  41,"*jürek",2624,"heart; courage","сердце","jürek (Orkh., OUygh.)","jürek (MK, KB)","jürek","jörɛk","jürek (MA)","jurak","jüräk","jörek","ürek","jürek","čürek","čürek (R., Верб.)","d́ürek","jirek","čəre","sürex","hürek","čürek","čürek","ǯürök","žürek","jürek","jörek","žürek","jüreḱ","jürek","žürek","jyrüx","jürek","VEWT 213, EDT 965, ЭСТЯ 4, 270-271, Егоров 324, Лексика 276, Stachowski 116. Chuv. č- is irregular: a contamination with čərə 'alive'."
  42,"*bujŋuŕ (*büjŋüŕ)",1359,"horn","рог","müjüz (OUygh.)","müŋüz (MK)","bojnuz","mögez","müŋüz, mügiz (Pav. C.)","mụgiz","müŋgüz","moŋɨs","bujnuz","bujnuz","mǖs","mǖs","mǖs","","mъjraga","muos","muos","mɨjɨs","miis","müjüz","müjiz","müjiz","mögöδ","müjüz","bujnus","muŋguz","mujiz","moŋɨz","müjüz","VEWT 347, EDT 352, ЭСТЯ 2, 243, Лексика 148, Stachowski 183."
  43,"*bẹ-", 126,"1 I  2 (*bi-ŕ) we","1 я  2 (*bi-ŕ) мы","\Iben\i 1 (Orkh., Yen., OUygh.), \Imen\i 1 (OUygh.), \Ibiz\i 2 (Orkh., Yen., OUygh.)","\Imen\i 1 (MK, KB), \Ibiz\i 2 (MK, KB)","\Iben\i 1, \Ibiz\i 2","min 1, bez 2","\Iben\i 1 (Abush.), \Ibiz\i 2 (Abush.)","\Imen\i 1, \Ibiz\i 2","män 1, \Ibiz\i 2","men 1, pɨz 2","män 1, \Ibiz\i 2","\Imen\i 1, bīz 2","min 1, pəs 2","\Imen\i 1, \Ipis\i 2","\Imen\i 1, \Imis\i 2","män 1, \Ibiz\i 2","e-bə 1, e-bər 2","min 1, bihigi 2 (Poss.)","min 1, bihigi 2","\Imen\i 1, \Ibis\i 2","\Imen\i 1, \Ibi's\i 2","\Imen\i 1, miz 2","min 1, \Ibiz\i 2","\Imen\i 1, \Ibiz\i 2","min 1, beδ 2","\Imen\i 1, miz 2","\Iben\i 1, \Ibis\i 2","\Imen\i 1, \Ibiz\i 2","\Imen\i 1, \Ibiz\i 2","mē(n) 1, pise(r) 2 (ССЯ 128)","\Imen\i 1, \Ibiz\i 2","EDT 346 (*bẹ-n), 388 (*biŕ), ЭСТЯ 2, 129-130, VEWT 77, 333, Stachowski 60, 179."
  44,"*dīŕ (*dǖŕ)",2410,"knee","колено","tiz (Orkh.)","tizle- (MK) 'to press with one's knees'","diz","tez","diz (Pav. C., MA)","tiz","tiz","dɨz","diz","dɨ̄z","təzek","tize (R., Верб.)","tize","tīz","čər-puśśi","tühex","","diskek","tiskek","tize","tize","tiz","teδ","tiz","diś","tɨz","dize","tüzy, tizy","tiz","VEWT 482, EDT 570, ЭСТЯ 3, 336-337, Егоров 323, Лексика 284."
  45,"*bil-", 120,"to know","знать","bil- (Orkh., Yen., OUygh.)","bil- (MK, KB, IM)","bil-","bel-","bil- (Abush., Sangl.)","bil-","bil-","bɨl-","bil-","bil-","pəl-","pil- (R.)","bil-","bil-","peʷl-","bil-","bil-","bil-","bil-","bil-","bil-","bil-","bel-","bil-","bil-","bil-","bil-","bil-","bil-1","VEWT 75, EDT 330-331, ЭСТЯ 2, 137-139, Stachowski 60. Cf. also *belgü 'sign' (ЭСТЯ 2, 108-111) ( = WMong. belge, see TMN 1, 216, Щербак 1997, 104). Turk. *bil-ig > Mong. bilig (TMN 2, 418, Щербак 1997, 106)."
  46,"*japur-gak",1209,"leaf","лист","japɨrɣaq (OUygh.)","japurɣaq (MK)","japrak","jafraq","japɨrɣan (Abush.), j[a]praq (MA)","japrɔq","jopurmaq","","jarpaG","japraq","","","d́albɨraq","","","sebirdex","hebirdek","čövüree 'bark'","čö'prää 'bark'","ǯalbɨraq","žapɨraq","japɨraq","japraq","čapraq","japraq","japrax","žapɨraq","järfɨχ","japraq","VEWT 188, EDT 879-80, ЭСТЯ 4, 130-132, Лексика 111-112, Stachowski 100. Clauson derives *japur-gak from *japur- 'to smoothe, level', which is an obvious contamination - just as the contamination with *jalpɨ- 'flat' (v. sub *dĕ̀lp`à) in some languages."
  47,"*jạt-", 377,"to lie, to sleep","лежать, спать","jat- (Orkh., OUygh.)","jat- (MK)","jat-","jat-","jat- (MA)","jɔt-","jat-","jat-","jat- 1, 2","jat-","čat-","čat- (R)","d́at-","jat-","","sɨt-","hɨt-","čɨ't-","čɨ't-","ǯat-","žat-","jat-","jat-","žat-","jat-","jat-","žat-","jaht-","jat-","VEWT 192, EDT 884, ЭСТЯ 4, 156-158, Stachowski 120."
  48,"*uŕɨ-n, *uŕa-k",2545,"1 long 2 lie; grow  3 far 4 long (time), late","1 длинный 2 лежать; расти 3 далекий 4 долгий, поздний","uzun 1, uzaq 3 (OUygh.)","uzun 1 (MK, KB), uzaq (MK) 3","uzun 1, uzak 3","ozɨn 1, ozaq 3","","uzun 1, uzɔq 3","uzun 1, uzaq 3","uzun 1, ozaq 3","uzun 1, uzan- 2, uzaG 3","uzɨ̄n 1, uzaq 3","uzun 1","uzun 1, uzaq 4","","uzān- 2, uzāq 3, uzụ̄n 1","vъʷrъʷm 1, vъʷrax 3","uhun 1","uhun 1","uzun 1, uzaq 3","uzun 1 uza- 'удлиняться'","uzun 1, uzaq 2, 3","u̲zu̲n 1","uzɨn 1","oδon 1","uzun 1, uzaq 3","uzun 1","uzun 1","uzɨn 1, uzaq 3","uzɨn 1, uzɨχ 3","","PT *uŕɨ-n 'long', *uŕa-k 'far, long' are derived from *uŕa- 'to be long, prolonged'. See VEWT 518, EDT 281, 283, 288-9, ЭСТЯ 1, 570-572, Stachowski 241."
  49,"*bɨt",1626,"louse","вошь","\Ibit\i (OUygh.)","\Ibit\i (MK)","\Ibit\i","\Ibet\i","\Ibit\i (Pav. C.)","\Ibit\i","\Ipit\i","bɨšt","\Ibit\i","\Ibit\i","pət","\Ipit\i","bĳt","\Ibit\i","pɨjdъ","bɨt","","bɨ't","bɨ't","\Ibit\i","\Ibi̲t\i","bĳt","\Ibet\i","\Ibit\i","\Ibit́ \i","\Ibit\i","bĳt","bišt","\Ibit\i","VEWT 76, EDT 296, ЭСТЯ 2, 151-152, Лексика 182."
  50,"*ẹr-kek", 650,"1 man  2 husband 3 male","1 мужчина  2 муж  3 самец","","erkek 1 (MK, KB)","erkek 1","irkɛk 3","","erkak 1","","","erkäk 1","erkek 1","","","erkek 1, 2","hịrkäk 1","","irgex 3","irgek 3","irgek 3","i'rxek 3","erkek 1","erkek 1","erkek 1","irkäk 3","erkek 1","erkek 1","erkek 1","erkek 1","ärkex 1","erkek 1","VEWT 46, TMN 2, 178-9, EDT 192, ЭСТЯ 1, 297-298, 321-322, Лексика 303, 561, Егоров 30, Stachowski 46, 128. We follow Clauson (EDT 223-4)  in separating *ēr from *ẹr-kek."
  51,"*čok", 265,"1 many, very  2 vile, hooligan 3 to gather, multiply 4 group, crowd","1 много, очень  2 дурной, хулиган, баловник 3 собирать(ся), размножать(ся) 4 толпа, множество","","čoq 1 (ДТС - KB), čōq 2 (MK - Oghuz), čoɣ-al- 3","čok (-ɣu) 1, čoɣal- 3","","čoq 1 (Sangl., Oghuz-nama, AH), čoq- 3 (Abush.)","","","","čox 1, čoxal- 3","čoq (-qu) 4","sox 2","","čoq- 3","","","","","šoɣ 2","","čoq 1","šoɣɨr 4","šoq 'дружно'","","","čoju 4, čoq-la-n- 3","čoq 1, čoɣɨ 4 (K)","šoq 2, 4","","","VEWT 113, EDT 405, 406. The Oghuz adverb 'much', in the 12th c. (KB) 'very, extremely', is probably the same word as čoq 'bad, vile'(Ogh. 11) (cf. also the Tuva parallel). Turk. > Mong. (Khalkha) \Icox\i in \Icox\i \Ixara\i 'very black'. The identification of čoq-(la-) 'gather, collect' with čoɣ-la- 'to bind, pack' (ДТС) or čoq- 'to bend' (EDT) is rather dubious. Vocalic length is unclear (cf. the voicing of -k- in Western Oghuz)."
  52,"*et",1757,"meat","мясо","\Iet\i (OUygh.)","\Iet\i (MK)","\Iet\i","\Iit\i","\Iet\i (Pav. C.)","\Iet\i","ät","jeht","ät","\Iet\i","\Iit\i","\Iet\i","\Iet\i","ät ( < Az.?)","üt","\Iet\i","\Iet\i","e't","e't","\Iet\i","\Iet\i","\Iet\i","\Iit\i","\Iet\i","jet'","\Iet\i","\Iet\i","äht","\Iet\i","VEWT 52, EDT 33, ЭСТЯ 1, 311-312, Лексика 455, Stachowski 48."
  53,"*āń(k)",  78,"moon, month","луна, месяц","\Iaj\i (Orkh., OUygh.)","\Iaj\i (MK, KB)","\Iaj\i","\Iaj\i","\Iaj;\i ań (CCum.)","ɔj","\Iaj\i","\Iaj\i","\Iaj\i","āj","\Iaj\i","\Iaj\i","\Iaj\i","hāj","ojъx","ɨj","ɨj 'month'","\Iaj\i","\Iaj̃\i","\Iaj\i","\Iaj\i","\Iaj\i","\Iaj\i","\Iaj\i","\Iaj\i","\Iaj\i","\Iaj\i","\Iaj\i","\Iaj\i","VEWT 10, TMN 2, 169, EDT 265, ЭСТЯ 1, 98-99 (see there on the reasons of reconstructing *-ń), Мудрак Дисс. 178, Федотов 2, 271, Лексика 55, 76-77, Stachowski 258."
  54,"*dāg",2236,"mountain","гора","taɣ (Orkh., OUygh.)","taɣ (MK, KB)","daɣ","taw","taɣ (MA), taɣ, ṭaɣ (Pav. C.)","tɔɣ","taɣ","taɣ","daɣ","dāG","taɣ","taɣ (Верб.)","\Itū\i","tāɣ","\Itu\i","tɨa 'taiga, wood'","tɨa 'land, tundra'","\Idaɣ\i","daɣ, taɣ","\Itō\i","\Itaw\i","\Itaw\i","tau","tau","\Idā\i","daɣ","\Itaw\i","dāɣ","\Itaw\i","VEWT 454, TMN 2, 439-440, EDT 463, ЭСТЯ 3, 117-118, Лексика 94, 111, Stachowski 236."
  55,"*Agɨŕ",   7,"1 mouth  2 lip, lips 3 mouth of a river, of a cleft","1 рот  2 губа, губы 3 устье реки, ущелья","aɣɨz (Orkh.) 3, aɣɨz, aɣaz (OUygh.) 1, 3","aɣɨz 1, 3","aɣɨz 1, 3","awɨz 1, 3","aɣɨz 1","ɔɣiz 1, 3","eɣiz 1, 3","aɣɨs 1","aɣɨz 1, 3","aɣɨz 1, 3","ās, axsɨ  (3 P.) 1, 3","aqsɨ 1, 3","ōs 1, 3","aɣɨz 1, 3","vъʷrъʷ, urъ-lъ 3","uos 2","uos 2","ās, aqsɨ  (3 P.) 1, 3","ā̃s, aqsɨ  (3 P.) 1, 3","ooz 1, 3","awɨz 1, 3","awɨz 1, 3","awɨδ 1, 3","awuδ 1, 3","ās 1, 3","aɣɨz 1, 3","awɨz 1, 3","aɣɨz 1","awuz 1, 3","VEWT 8, EDT 98, ЭСТЯ 1, 81-83, Мудрак Дисс. 115, Лексика 224-225, Stachowski 245."
  56,"*āt",1758,"name","имя","\Iat\i (Orkh., OUygh.)","\Iat\i (MK)","\Iad\i","\Iat\i","\Iat\i (Pav. C.)","ɔt, dial. (Namangan) ät","\Iat\i","\Iat\i","\Iad\i","āt","\Iat\i","\Iat\i","\Iat\i","āt","jat","āt","āt","\Iat\i","\Iat,\i (adɨ)","\Iat\i","\Iat\i","\Iat\i","\Iat\i","\Iat\i","āt","\Iad\i","\Iat\i","āt","\Iat\i","VEWT 30-1, EDT 32-3, ЭСТЯ 1, 198-199, Егоров 355, Stachowski 41-42."
  57,"*bōjn",1336,"neck","шея","bojɨn (OUygh.)","bojun, bojɨn (MK), bojun (KB)","bojun","mujɨn","bojn, bojun (Sangl., MA)","bụjin","bojun","mojin","bojun","bojun","mojɨn","mojun","mojun","būun","mъj","mōj","muoj","mojun","möän (mojnu)","mojun","mojɨn","mojɨn","mujɨn","bojun","bojnu","bojun","mojɨn","bojnɨ","bojun","VEWT 80, EDT 386, ЭСТЯ 2, 180-182, Лексика 233-234, Stachowski 183. Turk. forms like Kirgh. mojnoq > Mong. Kh. moinog 'Wamme' (see Щербак 1997, 108)."
  58,"*jaŋɨ / *jeŋi",2553,"new","новый","jaŋɨ (Orkh., OUygh.)","jaŋɨ (MK)","jeni","jaŋa","jaŋɨ (MA, Abush.)","jangụ","jeŋi","jaŋɨ","jeni","jaŋɨ 'just, recently'","nā","na (Верб.)","d́aŋɨ","jäŋgi","śənə","saŋa","haŋa; hiŋil 'young'","čā","ńā̃","ǯaŋɨ","žaŋa","jaŋɨ","jaŋɨ","žanɣɨ","jeni","jɨŋgɨ","žaŋa","jaŋɨ","jaŋɨ","VEWT 185 (Räsänen is deriving this word from *jān 'side' which is quite improbable), EDT 943-4, ЭСТЯ 4, 124-125, Лексика 85, Stachowski 96, 104. Turk. > MMo, WMong. ǯaŋgi, Kalm. zäŋǵə 'news' (KW 470; doubts about this borrowing in TMN 1, 281, based on the early attestation of the meaning "discussion" in Mong., are hardly founded)."
  59,"*gēč (-e)", 782,"1 long time 2 late 3 be late 4 night 5 evening 6 yesterday","1 долго 2 поздний 3 опаздывать  4 ночь  5 вечер 6 вчера","keč 1, 2, keč- 3, keče 4, 5 (OUygh.)","keč 1, 2 (KB, MK), keč- 3 (MK), kečä 4, 5 (KB, MK)","geč 2, geǯe 4","kič 5, kičɛ 5, 6","geče 4 (Pav.C.)","keča 4, 6","käčä 5","kiče 4 (Mal.)","geǯä 4","gīč 2, gīǯe 4","kiǯē 6","kečik 5 (Верб.)","keč 2, 5, keče 6","kīečä 4","kaś 5","kiehe 5","kiehe 5","kežē 5","keǯe 5","keč 2, kečē 4, 5","keš 2, 5, kešä 5, 6","keš 2, 5","kis 5, kisä 5, 6","keč 5, keče","geǯä 4","geǯe 4","keš 2, 5","gäǯi 4","geče 4","VEWT 245, EDT 692-3, 694-5, ЭСТЯ 3, 40-41, 50-51, Лексика 82, Stachowski 147."
  60,"*burun (*burɨn)",1686,"1 nose  2 front part 3 before","1 нос  2 передняя часть  3 перед, впереди","burun 1, 2 (OUygh.)","burun 1, 3 (MK, KB)","burun 1","borɨn 1","burun 1, 3 (Sangl.)","burun 1","burun 1","p'urɨn 3","burun 1","burun 1","purun 1, 3","purnu, (Верб.) purun 1, 3","burun 3","burɨn 1","","murun 1","munnu 1","murnu 2","murnu 2","murun 1","murɨn 1","burɨn 1","\Imoron\i 1, \Iboron\i 3","burun 1","burnu 1","burun 1","murɨn 1","purnɨ 1","burun 1","VEWT 90, EDT 366-367, ЭСТЯ 2, 269-273, Лексика 214-215, Stachowski 182. Cf. \I*bur-\i 'to smell' (VEWT 89)."
  61,"*-ma-",1234,"not","не","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-ma-\i","\I-mɨ-\i","\I-ma-\i",""
  62,"*bir (*bīr)", 169,"one","один","bir (Orkh., Yen., OUygh.)","bir (MK, KB, IM)","bir","ber","bir (Abush., Sangl.)","bir","bir","bɨr","bir","bir","pər","pir","bir","\Ibi\i","pəʷr","bīr","bīr, bir","bir","bir","bir","bir","bir","ber","bir","biŕ","bir/bɨr","bir","pyr, pir, pur (Kakuk)","bir","VEWT 76, TMN 2, 383-4, EDT 353-4, ЭСТЯ 2, 146-151, Егоров 157, Федотов I 421-422, Stachowski 61. Cf. also Khak. praj 'all', Tat. dial. pəräj 'any' (КСТТ 179), Az. birä-di 'one, all together'."
  63,"*kiĺi",1078,"person, people","человек, люди","kiši (Orkh., OUygh.)","kiši (MK, KB)","kiši","keše","kiši (Pav. C., MA)","kiši","kiši","kisi","kiši","kiši","kəzə","kiži","kiži","","","kihi","kihi","kiži","kiši","kiši","kisi","kisi","keše","kiši","kiši","kiši","kisi","kiši","kiši","VEWT 272, EDT 752-753, ЭСТЯ 5, 78-79, Лексика 325, Stachowski 147."
  64,"*jag-",1770,"1 to rain 2 rain","1 идти (о дожде) 2 дождь","jaɣ- 1 (Orkh.), jaɣmur 2 (OUygh.)","jaɣ- 1 (MK, KB)","jā- 1, jāmur 2","\Ijaw-\i 1, jaŋɣɨr, jawɨm 2","jaɣ- 1, jaɣmur / jamɣur 2 (Pav. C., AH, Ettuhf., MA), jaɣɨn 2 (Pav. C.)","jɔɣ- 1, jɔmɣir, jɔɣin 2","jaɣ- 1, jamɣu(r), jaŋmur, jeɣin 2","jaɣ- 1, jaɣmir","jaɣ- 1, jaɣmur, jaɣɨš, jaɣɨn 2","jaɣ- 1, jaɣmɨr, jaɣɨš, jaɣɨn 2","čaɣ- 1, naŋmɨr 2","čaɣ-, čā- 1, naɣbɨr, namɨr 2","jā-, d́a- 1, d́aŋmɨr, d́āš 2","jaɣ- 1","śu- 1, śomъr 2","samɨ̄r 2","hamɨ̄r 2","čaɣ- 1, ča's 2","čaɣ- 1","ǯā-, ǯau- 1, ǯamɣɨr, ǯān 2","žaw- 1, žaŋbɨr, žawɨn 2","\Ijaw-\i 1, jamɣɨr","\Ijaw-\i 1, jamɣɨr, jawun 2","žawun, ǯanɣur","jā- 1, jāmur 2","jaɣmur 2","žaw- 1, žawɨn, žamɣɨr 2","jaɣ- 1, jaɣmur 2","\Ijaw-\i 1, jaŋɣur, jaŋur, jawɨn / jawun 2","VEWT 177, EDT 896, 903-4, 908, ЭСТЯ 4, 57, Лексика 25, Федотов 2, 135, Stachowski 95."
  65,"*Kɨ̄ŕ-",1090,"red","красный","qɨzɨl (Orkh., OUygh.)","qɨzɨl (MK, KB)","kɨzɨl","qɨzɨl","qɨzɨl (MA)","qizil","qizil","qizil","\IGɨzɨl\i","\IGɨzɨl\i","xɨzɨl","qɨzɨl","qɨzɨl","qɨzɨl","xərlə","kɨhɨl","kɨhɨl","qɨzɨl","qɨzɨl","qɨzɨl","qɨzɨl","qɨzɨl","qɨδɨl","qɨzɨl","qɨzɨl","qɨzɨl","qɨzɨl","\IGɨzil\i","qɨzɨl","PT *Kɨŕ-ɨl 'red' is derived from *Kɨ̄ŕ- 'to redden; glow' (Turkm. \IGɨz-,\i Tur. kɨz- etc.), where length is witnessed by Yak. kɨ̄s-. One has to assume shortening in polysyllabic derivatives (besides *Kɨŕɨl also *Kɨŕ-ɨk-, *Kɨŕl-ar-), with secondary analogical shortening in Turkm. Gɨz-; see VEWT 269, EDT 681, 683-4, TMN 3, 469, Лексика 602-603, ЭСТЯ 6, 187-189, 194-196, Stachowski 167. Cf. also *Kɨ̄r 'grey' (VEWT 265, TMN 3, 567, ЭСТЯ 6, 229-230)."
  66,"*jōl",1793,"road","дорога","jol (Orkh., OUygh.)","jol (MK, KB)","jol","jul","jol (Pav. C., MA)","jụl","jol","jol","jol","jōl","čol","čol","d́ol","juōl","śol","suol","huol","čol 'fate'","čol 'fate'","ǯol","žol","jol","jul","žol","jol","jol","žol","jol","jol","VEWT 205-6, EDT 917, ЭСТЯ 4, 29, 217-218, Лексика 531, Федотов 2, 131, Stachowski 112."
  67,"*kök",1076,"root","корень","","kök (MK, KB)","kök","","kök (AH, Бор. Бад., Pav. C.)","","","","kök","kök","","","","","kъʷk (Anatri)","","","kö'k","","","kök","","","","kök","kök","kök","","","VEWT 287, EDT 708, TMN 3, 598, ЭСТЯ 5, 91-92, Лексика 109."
  68,"*jumur",1415,"bowels, intestines","кишки, внутренности","","jumur (MK)","","","","","","","","","","","","","","","","čumur 'maw'","ńumur 'maw'","","","","","","","","","","","EDT 937-8. Historically the root should be probably kept distinct from *jum- 'round' and *jumurtka 'egg' - although internal contaminations were of course inevitable."
  69,"*Kum", 848,"sand","песок","qum (Orkh., OUygh.)","qum (MK)","kum","qom","qum (Pav. C., MA)","qum","qum","qum, qom","\IGum\i","\IGum\i","xum","qum","qum","","xъʷm","kumax","kumak","qum","xum","qum","qu̲m","qum","qom","qum","qum","qum","qum","\IGum\i","","VEWT 299, EDT 625, Лексика 102, ЭСТЯ 6, 133-134, Stachowski 160. Turk. > WMong. qum, Kalm. xum 'sand' (KW 196; TMN 3, 508), Hung. homok (Gombocz 1912)."
  70,"*dē-",2235,"to say","сказать, говорить","te- (Orkh., OUygh.)","te- (MK, KB) 1","de-","di-","di- (Abush.), te- (MA)","de-","dä-","di-","de-","dī-","tə-","te-","de-","","te-","\Idie-\i","\Idie-\i","de-","de-","te-","de-","de-","ti-","de-","de-","de-","de-","dĳ-","de-","VEWT 467-8, EDT 433-4, ЭСТЯ 3, 221-224, Stachowski 79. Kypchak and some other languages preserve voiced d- due to the word's grammaticalized usage."
  71,"*ol-ur-, *ol(u)-tur-",1595,"to sit","сидеть","oltur- (OUygh.), olur- (Orkh., OUygh.)","oltur- (MK), ol- 'to be' (At., IM), 'to become ripe' (MK, IM, Bulgat)","otur-","utɨr-","oltur- (Бор. Бад., Abush., Pav. C.), (?) ol- 'to be' (Pav. C.)","ụtir-","oltur-","","otur-","otur-","odɨr-","","otur-","","lar-","olor-","olor-","olur-","olɨr-","otur-","otɨr-","oltɨr-","ultɨr-","oltur-","otur-","otur-","otɨr-","oht(ɨr)-","","ЭСТЯ 1, 489-492. EDT 125, 331-332, VEWT 79, TMN 2, 358, Stachowski 192. See also the comments on *bōl- ' to be, become'. From the forms phonetically looking like ol- 'to be, become' the only actual reflexes of PT *ol- may be Middle Uygh. (At., Tefs., IM - opposed to bar, bir-) and Middle Kypchak (Bulgat, Ettuhf.), cf. ЭСТЯ 2, 186; Chag. ol- may as well be < Oghuz."
  72,"*dẹri",2239,"skin","кожа","teri (OUygh.)","teri (MK)","deri","\Itire\i","teri (MA, Abush.)","teri","terä","terɨ","däri","deri","tēr","tere","tere","teri","tirə","tirī","tirī","","tere (Рас. ФиЛ)","teri","teri","teri","\Itire\i","teri","deri","terɨ","teri","cīry","teri","VEWT 475, EDT 530, ЭСТЯ 3, 207-208, Лексика 383, Stachowski 223."
  73,"*ū-dɨ-, *ū-dɨ-k-la-",1551,"to sleep","спать","udɨ- (Orkh., OUygh.)","uδɨ- (MK)","uju-","joqla-","uju- (Abush., Pav. C.)","uxla-","uxla-","uzu-","","ūqla-","uzu-","","","\Iū̲,\i ụ̄ 'sleep' (n.)","ɨjɣъ 'sleep' (n.)","utuj-","utuj-","udu-","udu-","uqta-; ujqu (n.)","ujɨqta-","ujkla-","joqla-","ǯuqla-","uju-","juxla-","ujqɨla-","uχla-","uju- 'to stiffen'","The form *ūdɨkla- is derived from *ūdɨk 'sleepy', derived from *ūdɨ- 'to sleep', which in its turn is derived from \I*ū\i 'sleep' (preserved in Yak., Dolg. \Iū,\i Khal. \Iū).\i See VEWT 508, EDT 2, 42-3, 46-7, 49, ЭСТЯ 1, 579-581, 586-587, Егоров 342, Stachowski 247."
  74,"*kičük /-g",1026,"small, little","маленький","kičig (Orkh., OUygh.)","kičüg (MK)","küčük, kiči (dial.)","keče","kičik (IM, AH, Abush., Pav. C.)","kičik","kičik","kɨčiɣ","kičik","kiči","kəčəg","","kičü","","kəźən","kuččuguj","kuččuguj, küččügüj","","","kičǖ","kəši","kiškej","kese","gičče","küčük, küǯük","kičkenä","kəši","kiǯi","","VEWT 269, EDT 696, ЭСТЯ 5, 75-77, Stachowski 159, 163. On Turk. > Hung. kis 'small' see Gombocz 1912."
  75,"*dur-", 252,"to stand","стоять","tur- (Orkh., OUygh.)","tur- (MK, KB)","dur-","\Itor-\i","tur- (Pav. C.)","tur-","tur-","dur-","dur-","dur-","tur-","tur-","tur-","tur-","tъʷr-","tur-","tur-","tur-","dur-","tur-","tu̲r-","tur-","\Itor-\i","tur-","dur-","tur-","tur-","dɨr-","tur-","VEWT 500, EDT 529-530, ЭСТЯ 3, 296-301, Stachowski 232. Turk. > WMong. toru- 'get smwh., arrive smwh.' (KW 402)."
  76,"*jul-duŕ (*-dɨŕ)",1802,"star","звезда","jultuz (Orkh., OUygh.)","julduz (MK)","jɨldɨz","joldɨz","julduz (Pav. C., MA)","julduz","jultuz","juldɨs","ulduz","jɨldɨz","čɨltɨs","čɨltɨs","d́ɨldɨs","julduz","śъʷldъʷr","sulus","hulus","sɨldɨs","sɨltɨs","ǯɨldɨz","žu̲ldɨz","juldɨz","jondoδ","žulduz","jɨldɨs","jɨldɨz","žuldɨz","jyldus","julduz","VEWT 210, TMN 3, 260-1, EDT 922-3, ЭСТЯ 4, 279-280, Лексика 53, Stachowski 111."
  77,"*diāĺ",2246,"stone","камень","taš (Orkh., OUygh.)","taš (MK)","taš","taš","taš (MA)","tɔš","taš","\Idas\i","daš","dāš","tas","taš","taš","tā̊š","čol","tās","tās","daš","taš, daš","taš","tas","tas","taš","taš","taš","taš","tas","daš","taš","VEWT 466, TMN 2, 437-8, EDT 557, ЭСТЯ 3, 167-168, Егоров 326, Федотов 2, 421-422, Stachowski 219."
