"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","TURC","TURCNUM","MONG","MONGNUM","TUNG","TUNGNUM","KOR","KORNUM","JAP","JAPNUM","REFERENCE"
  78,"*ā́ńu", 651,"moon; (moon cycle), year","луна; (лунный цикл), год","*āń",  53,"*oj", 379,"*ańŋa", 156,"",   0,"",   0,"АПиПЯЯ 283, Дыбо 11, Мудрак Дисс. 70, Лексика 77. A Western isogloss."
  79,"*ā̀ŋo",   0,"right","правый","*oŋ", 869,"*eŋge-", 864,"*āŋ(gi)-", 949,"",   0,"",   0,"ЭСТЯ 1, 459. A Western isogloss."
  80,"*áp`a", 652,"father","отец","*apa", 731,"*ab[u]", 642,"*apa", 793,"*àpí", 704,"",   0,"EAS 140, Цинциус 1972a, 32-37. A common Altaic "nursery" word. Cf. \U*ep`V.\u"
  81,"*āŕa", 860,"small, scarce; recent","малочисленный, редкий; недавний","*Āŕ", 878,"*araj", 874,"*ara-", 961,"*ārắi", 471,"*àrà-(ta-)",  52,"EAS 110,  KW 13, Владимирцов 361.   Low tone in *àrà-tà- is probably secondary (a result of some contamination?); cf. Yonaguni (suffixless) àrà- < *árá- 'new'. Despite Doerfer MT 44, TM is hardly borrowed from Mong. (although some forms - Evk., Evn. arai - are)."
  82,"*ā́rV", 773,"open space","открытое пространство","*(i)āra", 877,"*ar-", 873,"*ara-", 960,"",   0,"",   0,"KW 14 (Turk.-Mong.). A Western isogloss. Cf. also PTM *arbu- 'space between two river branches'; Mong. arba- 'растопыриваться (о пальцах)'."
  83,"*ĺèmo", 599,"to be lazy, negligent","быть ленивым, небрежным","",   0,"*dömü-",2092,"*lemūk-",2330,"",   0,"*nàmàka-",1667,"The TM and Jpn. forms point to a common derivative *ĺèmo-kV (-k`V)."
  84,"*ā̀ǯV",   0,"younger relative","младший родственник","",   0,"*aǯi-n",1422,"*āǯi-", 116,"",   0,"",   0,"A Mong.-Tung. isogloss; one of numerous common Altaic kinship "nursery" words."
  85,"*bădo",   0,"a k. of bird (quail, dun-bird)","вид птицы (перепелка, нырок)","*budur-", 887,"*bödüne", 880,"*badara", 968,"",   0,"",   0,"Лексика 174. A Western isogloss. Mong. *bödüne is a result of assimilation < *bedüne."
  86,"*bagu",   0,"white, grey","белый, серый","",   0,"*buɣurul",1424,"*bag-", 139,"*pùhɨ́i-", 167,"",   0,"Note Karakh. (MK, hap. leg.) bögrül 'a horse or sheep with white flanks' (EDT 328-329) - although the vocalism in this form is not clear."
  87,"*bắja",2012,"happiness, joy","счастье, радость","*bAj-ra-m/k, bAj-ga", 888,"*bajar", 570,"*baj-li",2344,"",   0,"*bái-m-",1238,"Turk. *bAj-ra- = Mong. *bajar = OJ we-ra- < PA *bắja-rV- (it is interesting to note the double suffixation in PT *bAj-ra-k = OJ we-ra-k-)."
  88,"*băjV",   0,"rock","скала, холм","*bAjɨr", 376,"*baji-ča", 307,"*baj-",1660,"",   0,"",   0,"A Western isogloss."
  89,"*bèka",   0,"young","молодой","",   0,"*baga", 141,"*bekte-", 685,"",   0,"*bàkà-", 226,"A Mong.-Jpn. isogloss. See Оzawa 300-301, Miller 1985, 143. On possible Turkic parallels see Лексика 390 (also under *bāku)."
  90,"*bằka",2011,"to look, watch","смотреть","*bạk-", 890,"",   0,"*baKa-", 971,"*pò-",  73,"*bàkàr-", 765,"The root should be distinguished from \U*pḗk`o\u q.v. The etymology in SKE 204, linking the Kor. form with the Jpn. and TM accusative marker, is hardly credible. Kor. has a "verbal" low tone."
  91,"*bằká ( ~ -o)",1131,"to divide","делить","",   0,"",   0,"*baK-",1989,"",   0,"*bàká-",1418,"A Tung.-Jpn. isogloss."
  92,"*băkV",   0,"knucklebone","бабка, щиколотка","*bakań",1861,"*bagul- / *bugul-",1943,"*baK-",2177,"",   0,"",   0,"Дыбо 310; Лексика 287. A Western isogloss."
  93,"*báku ( ~ -a)",1220,"pole, pillar","столб, балка","*bakna ( ~ -g-)",1959,"*bagana", 414,"*baksa", 529,"*pò", 373,"",   0,"KW 29, Doerfer MT 101. The Turkic and Mong. words are very similar, but quite different semantically, so one can hardly suppose a loan."
  94,"*balu", 653,"sable","соболь","",   0,"*bulagan",1169,"*bali-",1654,"",   0,"*puruki",1070,"Ozawa 314-315. Despite obvious similarity, the etymology raises some problems. The MJpn. furuki is said to be an animal breeding in Korea, but no Korean  match is available. R. A. Miller's hypothesis that furuki was borrowed from Mongolian, seems rather far-fetched (no early Mong.-Jpn. contacts have been noticed so far), so we prefer to regard the word as genuine until some further evidence becomes available. Rather complicated is the attribution of PT *albuga (VEWT 16): Khak. albɨɣa 'sable', Oyr. albaɣa 'sable; game' (Леб. Баск. 137). Cf. also alda 'game' (Туба Баск. 101, Яимова 109-110 albaga, albaa, alabuga (= "perch"). This may be al (al perü 'wild wolf') + bulgan, bulɨq 'sable' ( < Mong.; see Потанин 1881, Очерки Северозападной Монголии, p. 139), see ibid. aldɨq 'sable'. The word is obviously tabooistic and folk-etymologically analysed as "red ox", but may also be a distortion of the original *baluga (cf. the external evidence). On the other hand, one may note the resemblance of the Turkic word with Mong. elbeŋkü 'racoon', see KW 207 ( > Evk. elbiɣe, elbiŋē, Man. elbixe, ТМС 2, 445)."
  95,"*băŋk`i", 245,"to kick","пинать, лягать","*böŋk-",1239,"",   0,"*baŋ-sala-",1430,"",   0,"",   0,"An expressive Turk.-Tung. isogloss, with secondary vowel labialization in Turkic."
  96,"*bằŕ[i]",1229,"wide, thick","широкий, толстый","*bAŕɨk", 709,"*bar-", 624,"*baru-n", 766,"*pắr", 666,"*pìrə̀-", 592,"Whitman 1985, 193, 210 (Kor.-Jpn.). The vowel reflex in Korean is irregular, which leaves a possibility of Kor. *pắr and Jpn. *pìrə̀ 'fathom' going back to a different root (reconstructable as *Piari or *Piali); the coincidence of *pìrə̀ 'fathom' and *pìrə̀- 'wide, broad' in Jpn. must be in that case secondary."
  97,"*bási",   0,"payment, loan","плата, заем","*basɨg", 661,"",   0,"*basa-", 717,"*pskūi'í-, pskú-", 591,"*písák-", 538,"ТМС 1, 76 (TM-Turk.). Korean has a usual vowel loss between a stop and a fricative (*psku- < *pis(i)-ku or *pəs(i)-ku). Note the velar suffixation in Turkic, Korean and Jpn."
  98,"*bašo",1863,"to run, drive","бежать, гнать","",   0,"*bisi-ɣu, *busi-ɣu",1570,"*baša-", 763,"",   0,"*basi-r-",1384,"Cf. \U*p`às[a].\u"
  99,"*bằt`í",   0,"dirt","грязь","*bat-", 642,"*bat-ga", 561,"*batu-n", 695,"*ptắi", 567,"*pìntì", 516,"Whitman 1985, 141, 181, 213. Korean has a usual reduction: *ptắi < *pitắi."
 100,"*bằtò",2010,"a k. of plant (for making ropes)","вид растения (для изготовления веревок)","*buta-",1818,"",   0,"*batu-kin",2147,"",   0,"*bàtà",1494,"The root evidently denoted some k. of plant used for making ropes or yarn. Note however that the Turkic reflex is poorly attested and not quite reliable; in PTM a reconstruction *bartu-kin is also possible (and perhaps preferable). The PA form should thus perhaps be changed to *bằrtò - a Tung.-Jpn. isogloss."
 101,"*bằǯá",   0,"early","рано, ранний","*bAja", 889,"",   0,"*baǯi-", 970,"",   0,"*pàjá-", 764,"АПиПЯЯ 77, Дыбо 11, Лексика 83-84. PJ has an irregular devoicing here (or should one think about a secondary assimilative voicing *baǯi < *paǯi in PTM? In that case PA *pàǯa should be reconstructed)."
 102,"*bā́", 521,"to bind","связывать","*b(i)ā-", 222,"",   0,"*ba-", 318,"*pa", 188,"*bə́", 239,"EAS 57, SKE 179, Martin 228, ОСНЯ 1, 172, АПиПЯЯ 68. One of the few common Altaic monosyllabic roots. Mong. *baɣu- 'to bind' is probably < Turk. (Щербак 1997, 103). Doerfer's (TMN 2, 254) criticism is unacceptable ("unklar, da kor. Nominalstamm, tü. Verbalstamm")."
 103,"*bā̀dì",2013,"face, colour","лицо, цвет","*bEd-le",1944,"",   0,"*bāda", 969,"",   0,"*pítápi ( / *pìtàpi)", 763,"Contaminations were possible: cf. \U*peda,\u \U*páda.\u"
 104,"*bāku ( ~ -k`-)",   0,"small cattle","мелкий скот","*bākana",1703,"*bog",1781,"",   0,"",   0,"",   0,"A Turk.-Mong. isogloss. Some Turkic forms meaning 'lamb, baby' may actually also continue PA *bèka q.v. Cf. also Evk. (Titov) baxana 'he-goat' ( < unattested Yak.?)."
 105,"*bā̀k`ù",1667,"a sharp instrument","острое орудие, инструмент","*bokursɨ", 587,"*baki",1726,"*bāgba", 967,"",   0,"*pukusi", 342,"PT *bokursɨ probably < *bakursɨ (with a vowel narrowing in the first syllable of a trisyllabic word); PTM *bāgba < *bāk-ba through assimilation. Note a remarkable similarity of the Turkic and Japanese derivation. Cf. other similar roots: \U*p`i̯ùjge,\u \U\I*pok`e,\u\i \U*p`ū̀ge,\u \U*p`ago.\u"
 106,"*bāla",   0,"child, young","ребенок, молодой","*bāla, *bāldɨŕ", 891,"*balčir", 128,"*baldi-", 283,"",   0,"*bàràpa(i)", 766,"АПиПЯЯ 289. Jpn. low tone (or Turkic length) is irregular. The Western languages all reflect a common derivative *bāl(a)-tV."
 107,"*pŭ́lo",   0,"last year; to become old, wear out","прошлый год; стареть, изнашиваться","*bɨldur (/*buldɨr)",1158,"*boli-",1127,"*polo-kta",1360,"",   0,"*pə́rə́-(m)pə-", 544,"The suffixless form is preserved only in Mong. boli-; PT and PTM may reflect a common derivative *pŭ́lo-ktV."
 108,"*bā́ra",  29,"goods, to possess, earn","имущество, обладать, зарабатывать","*bār", 159,"*bari-", 205,"*bara-", 390,"*pə̄r-", 159,"",   0,"KW 38, VEWT 62, ТМС 1,73, АПиПЯЯ 287, Лексика 326-327; ОСНЯ 1, 175, 176. Doerfer (MT 239) tries to argue ("Die Quantitätsverhältnisse weichen ganz ab"), but the phonetic match is quite regular (Turk. long : TM short)."
 109,"*bāŕa ( ~ -o)",   0,"to rejoice, be proud","радоваться, гордиться","*bAŕ-", 560,"*bar-da-",2032,"*bāra-či-",1990,"",   0,"*báráp-",1419,"Not quite secure, because of tone incongruence. Jpn. could have merged the roots *bāŕa 'rejoice' and *bĕŕa 'peace'."
 110,"*bā̀rì",   0,"right, straight, direct","правый, прямой","*bEr-", 356,"*baraɣun", 294,"*bāru", 387,"*pàrằ-", 203,"*pìtà", 272,"EAS 57, SKE 191, Poppe 21. "Verbal" low tone in Korean. Doerfer (TMN 1, 207) attempts to dismantle Ramstedt's comparison (Tung.-Kor.-Mong.) by preferring Ramstedt's own earlier (KW 35) derivation of Mong. baraɣun 'right; West' < bara- 'to end' - which is evidently much weaker semantically."
 111,"*bā̀ri",   0,"a k. of cloth","вид ткани","*bẹr", 512,"*baraɣa", 427,"*bārga-",1915,"*pār", 400,"",   0,"Mongolian and TM reflect a suffixed form *bā̀ri-ga."
 112,"*bĕ́",   0,"bait","приманка, наживка","*beŋ",1619,"",   0,"*be",1883,"",   0,"*bái ( ~ biá)",1355,"Miller 1985a, 78. An interesting monosyllabic root (TM evidence indicates that Turk. -ŋ is suffixed). {Cf. PAN *baŋi 'bait'}"
 113,"*bĕ̀dù", 654,"thick, large","толстый, крупный","*bEdü-k",   5,"*bediɣün, *büdüɣün", 173,"*burgu-", 229,"*pɨ̀rɨ̀-", 139,"*pùtuà-", 154,"Gombocz 1905, KW 66, Poppe 53 (Turk.-Mong.), Martin 243-244, АПиПЯЯ 16, 68, 72, 280, Дыбо 12. Verbal low tone in Kor. Doerfer's (TMN 1, 235; 4, 275) criticism of the Turk.-Mong. match ("lautgesetzlich nicht vergleichbar;...passen im Vokalismus nicht...") is incorrect, because *-e- is well reconstructable for Proto-Mongolian. PTM *burgu is a contraction < *bedu-rgu (a similar phonetic development cf. in PTM *xürgü 'tail' < *k`i̯udo-rgV). In Kor. one would expect *pùrɨ̀-; the attested pɨ̀rɨ̀- is an obvious result of vocalic assimilation."
 114,"*begV",   0,"a k. of ferment","закваска, вид фермента","*bEgni",1542,"*beɣe-",1440,"*bege",1854,"",   0,"",   0,"A Western isogloss; not quite reliable."
 115,"*bĕ̀je",   0,"man; self, body","человек; сам, тело","",   0,"*beje", 150,"*beje",  72,"",   0,"*bə̀",  46,"EAS 57, 98, KW 47, Владимирцов 261, Poppe 66, АПиПЯЯ 79, 105, 276."
 116,"*béjo",   0,"an ungulate animal","копытное животное","*bEje", 912,"*baji-ta-su",1172,"*bejū-",1002,"",   0,"*bí ( ~ *bə́i)", 785,"The root denotes any ungulate in TM; in other languages we observe a specialization of meaning ("mare", "horse", "cow" in Turk.-Mong., "pig" in Jpn.)."
 117,"*bek`ú",2009,"a k. of fish","вид рыбы","*bEkre", 913,"*bekir", 885,"*beKe",1003,"*pok", 928,"*punku", 786,"Martin 244 (Kor.-Jpn.) Cf. \U*pák`[о].\u The Turk. forms are rather late and may be borrowed < Mong. (hardly < Sam. *wekana / *wekV(rV), despite Helimski 1995)."
 118,"*bĕ̀ló",  10,"pale","бледный","",   0,"*balaj", 886,"*beli",1005,"*pằrk-",1150,"*pàrá-", 787,"Martin 227 (Kor.-Jpn.). Jpn. has an irregular p-."
 119,"*belV",  27,"hysterics, panic, mourning","истерика, паника, траур","*bEliŋ", 902,"*belbe-", 793,"*beli(n)", 988,"",   0,"",   0,"ТМС 1, 124 (TM-Turk.). A Western isogloss."
 120,"*bèli",2008,"to be acquainted, assist, employ","быть знакомым, помогать, использовать","*bil-",  45,"*bele-", 796,"*bele-", 991,"*pɨ́rí-", 883,"",   0,"EAS 106, Poppe 21, 76, Doerfer MT 78. Cf. also Kor. paraǯi 'aid, assistance'. The reason for narrowing *bel- > *bil- in PT is unclear; cf. *bel- in the more archaic *bel-gü 'sign'."
 121,"*bĕŕa",1230,"peace","мир","*bAŕ- / *bAr-", 791,"*berele-", 709,"*bere", 863,"",   0,"",   0,"A Western isogloss. The Mong. word is usually analysed as 'to behave like a daughter-in-law' (see e.g. KW 42, L 99), which may be a folk-etymology (in view of the external evidence)."
 122,"*bĕ̀ré", 330,"daughter-in-law","невестка, младшая свойственница","",   0,"*beri-", 144,"*bener",2256,"",   0,"*bə̀tə́-",1480,"For TM one has to suppose a resonant metathesis: *bener < *bere-n."
 123,"*bétà / *pédà",  33,"sea, ford","море, брод","",   0,"",   0,"*pedē-",1668,"*pàtá-h, *pàdắr", 226,"*bátá", 286,"An Eastern isogloss, with a peculiar variation of laryngeal features. Cf. perhaps Mong. \Ibide-\i (?L 108: bitü-) 'to wander' (for semantics cf. Russ. \Iброд\i 'ford' - \Iбродить\i 'wander')."
 124,"*bēǯu", 995,"numerous, great","многочисленный, громадный","*bāj, -tak", 295,"*buǯa-",2022,"*beǯun",2242,"",   0,"*pĳi(n)ta- ( ~ pui-)",1141,"Note the common derivative *bēǯu-tV (-t`V) reflected in PT *bāj-ta-k and PJ *pĳi-(n)ta-."
 125,"*bēle ( ~ -i)",1488,"waist, lap","талия, передняя часть бедер","*bẹ̄l(k)", 133,"*belkeɣü", 808,"*belge",1004,"",   0,"",   0,"Poppe 76, Дыбо 306, Мудрак Дисс. 69, Лексика 269. A Western isogloss. Doerfer (TMN 2, 416) cannot say anything but "kaum dürfte das Wort auf ein "altaisches" *belke zurückgehen". Cf. also WMong. beldüge, Kalm. böldəgn 'die Weichen' (KW 56)."
 126,"*bĭ̀",1436,"I, 1st person pronoun","я, мест. 1-го лица","*bẹ-",  43,"*bi, *min-; *ba, *man-",  46,"*bi; *bue, *mü-n-",  60,"*úrí",  98,"*bà-",  38,"EAS 79, Владимирцов 357, ОСНЯ 2, 55-56, 63-66, JOAL 157, АПиПЯЯ 57, 68, 104-105, 276. An alternation \I*bi\i / *mi-ne- (sing.) ; \I*ba\i / *mi̯u-n- (plur.) should be reconstructed. Korean has undergone an irregular (dialectal) loss of *b- (*úrí < *bú-rí)."
 127,"*bíju",  45,"to be, sit","быть, сидеть","",   0,"*büji- ( < *bĳü-)",   1,"*bi-", 225,"",   0,"*b(u)í-", 139,"EAS 57, Poppe 112, Ozawa 304-307, ОСНЯ 1, 184, Murayama 1962, 109, АПиПЯЯ 68, 111, 280. Cf. perhaps MKor. ì- 'to be' (with loss of *b-, like in *uri 'we')?"
 128,"*bilč`i",   0,"to mix, knead","месить, замешивать","*biĺči-", 795,"*bilča-", 712,"*bilča-", 974,"*pìč-", 799,"*písípə́",1653,"SKE 202, Miller 1970, 129."
 129,"*bĭli",1676,"wrist","запястье","*bilek",1524,"*beɣelej",1571,"*bile-n",1760,"",   0,"",   0,"A Western isogloss. Mong. beɣelej < *bejelej < *bele-lej. See EAS 109, Колесникова 1972a, 97-98, Дыбо 311, Лексика 250. Doerfer's (MT 240) attempt to refute the TM form by reconstructing *biglēn is quite artificial: forms like Ul. gileptu(n) go back to a quite separate root (see *gilu)."
 130,"? *bi̯aga ( ~ -i)", 286,"moon, brilliance","луна, свет","",   0,"",   0,"*biaga",  78,"",   0,"",   0,"An isolated TM form."
 131,"*baja ( ~ -i̯a-)", 993,"place, to be located","место, находиться","",   0,"*baji-",  86,"*bia, -gun",  34,"",   0,"",   0,"A Mong.-Tung. isogloss (cf. also notes under \U*bi̯ogo\u)."
 132,"*bi̯alge",  82,"throat, to swallow","глотка, глотать","",   0,"*balgu-",1431,"*bilga",1615,"",   0,"",   0,"KW 31, ОСНЯ 1, 173. A Mong.-Tung. isogloss."
 133,"*bi̯ắĺmi",1775,"knee, ankle","колено, бабка","*bAĺmak",1327,"*belberkej",1307,"*bialebki",1500,"*parmak (~ -ă-)", 942,"*pínsá",  96,"SKE 186 (Kor.-Turk.); Дыбо 1989a (Mong-TM). For a different treatment see ОСНЯ III 67-69 (cf. *pằlka below)."
 134,"*bi̯ălu",  21,"dirt, mud","грязь","*bạl-",1270,"*bul-",1240,"*bul-",1518,"*piro", 952,"*pu-",1151,"KW 30, ОСНЯ 1, 185, Martin 247. Jpn. \I*pu\i (attested only within a compound) reflects a contraction < *bi̯ăl(u)-gu; Kor. piro < *pjəro (with a frequent variation *jə / i)."
 135,"*bi̯are",   0,"to build, construct","строить","*b(i)ar-k",1706,"*bari-",2035,"*biri-",1995,"",   0,"",   0,"A Western isogloss."
