NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|EVK|EVN|NEG|SIB|MAN|CHU|ULC|ORK|NAN|ORC|UDE|SOL|REFERENCE
93|*tüK-, *tügde|2398|1 rain 2 to fall, drop|1 дождь 2 падать, опадать|tigde 1, tik- 2|tīd 1, tik- 2|tigde 1, tik- 2||tuxe- 2|tu-ho- 2|tugde 1, tū- 2|tugde / tugǯe 1, tū- 2|tugde 1, tū- 2|tigde 1, tī- 2|tigde|tiki- 2, tegde- 'to rain'|ТМС 2, 175. Derived from *tük- 'to fall' (see ibid. 177-178).
94|*aga|6|rain|дождь||||ahā (2015)|aGa|ah-ga (8)|||||||ТМС 1, 11. Cf. also *agdī 'thunder'.
95|*pula-|1678|red|красный|xula-ma,-rin|hụlańā|xolajin|fələǵan, fulǵan (2419)|fulǵan|fula-gian (617)|||folǵǟ(n)||xulaligi|ụlā̃|ТМС 2, 343-344.
96|*pokta|1818|road|дорога|xokto|hōt|xokto||||poqto|pokto|foqto|xokto|xokto||ТМС 2, 331. Evk. > Dolg. hoktokit (Stachowski 107).
97|*ǯuku-|2608|1 road 2 corner|1 дорога 2 угол|||ǯoxon 2|ǯohən 1 (1244)|ǯuGun 1|ǯu-huj (57) 1|ǯoqo(n) 2||ǯoqõ 2|ǯoko(n) 2|||ТМС 1, 262, 269 (words meaning 'direction' are most probably Mongolisms, see Rozycki 125).
98|*ŋǖŋte|1543|root|корень|ŋīŋte, nīŋte|ŋē̂ŋtъ|ŋiŋte||||ŋuiqte|muikte|muikte|ŋiŋte|ŋiŋte||ТМС 1, 662. PTM also has *ŋǖŋti 'heel' (see ibid.), which may be a historical derivative.
99|*pule-|1853|root|корень||||fuləxə, fuluxu (2145)|fulexe||||||||ТМС 2, 302.
100|*daga|2201|root|корень|daɣačān||\Idā\i|\Idā\i (2144)|\Ida\i|\Ida\i (120)|dāča(n), dāni|dāta(n)|dāčā̃, dā̃|daha|\Idā,\i daha|dagasã, dagsã|ТМС 1, 188-189.
101|*toŋal-|2432|1 round 2 smth. round|1 круглый 2 круг, нечто круглое|toŋollo 2|toŋъ̣lrъ̣ 2|toŋgulikin  1|||||toŋGolto 'loop'|toŋgokpịã 1|tuŋepke 'ring'|||ТМС 2, 198. Evk. > Dolg. toŋoldo (Stachowski 226).
102|*saŋu-n,*saŋu-ksa|1914|1 cool  2 hoar-frost|1 прохладный, прохлада 2 иней|saŋun 1, saŋuksa 2|haŋụt- 'be covered with hoar-frost'|saŋun 1, saksa 2||||saqsa, saŋaqsa 2|saŋnụ 1, saŋe 2|sāqsa 2||saŋuhä 2||ТМС 2, 62-63.
103|*murV-|1369|1 to walk round, return 2 round|1 обходить вокруг 2 круглый|muru- 1, murume 2|merъk- 1, merēti 2|mejel 2||murǵen 2||muru-muru 2|morolime 2|murǵi 2||mogol`uö 'around'||ТМС 1, 559-560. TM (cf. Man. murixan 'bend, turn', Evk. morokō 'river bend') > Dag. morikal 'river bend' (Тод. Даг. 155), moronku, murunku 'screw-thread' (ibid.).
104|*siru-|2034|sand|песок|sirugī||sĳun|||sir-xe (67)|siru(n)||siro(n)|sĳa||š́iruktā̃|ТМС 2, 96.
105|*(x)iŋā|604|1 sand (on a shallow place) 2 pebbles 3 small stone 4 shallow place|1 песок  2 галька 3 камушек 4 отмель|iŋā 1, 2|ịŋa 1, 2|ịŋā 2|ńuŋ́an, ńohun 1 (2111)|joŋgan 1|||||iŋo 2|iŋo 4|iŋā 3|ТМС 1, 320-321.
106|*gūn-|577|1 to say  2 to think|1 сказать  2 думать|gūn- 1|gȫn- 1|gūn- 1|\IGoni-\i 2 (1848)|\IGuni-\i 2|xen-du-ru (467) 1|wembuwu 1|\Iun-\i 1|un(de)- 1|\Igun-\i 1|\Igun-\i 1|\Igun-\i 1|ТМС 1, 171. Loss of *g- in Ul., Orok and Nan., as well as vowel shortening is unclear (perhaps a different root).
107|*sū-|1977|1 to mark 2 sign|1 отмечать 2 знак|sū- 1|hụ-ɣār 2|||\Iso\i 'omen'||||sū 'talisman' (On.)|sū- 1|||ТМС 2, 101, 115. The isolated Manchu se- 'say, speak' may actually reflect the same root (with the vowel reduced in weak syntactic position, or < *su-j with a frequent development uj > e).
108|*iče-|588|to see|видеть|iče-|it-/č-|iče-||||ičewu|ite-|is(k)e-/ice-|iče-|ise-|isȫ- 'to appear'|ТМС 1, 334-335.
109|*tuga- (~ -b-)|2416|1 to see 2 to check 3 to beware|1 видеть  2 проверять 3 остерегаться||tewuŋči- 3||tā- 1 (173)|tuwa- 1|tonǯu-lar (804) 2|||||||ТМС 2, 203, 226.
110|*üse|674|1 seed  2 to grow 3 field ready for ploughing|1 семя  2 расти 3 пахотное поле|isew- 2|isu- 2|isew- 2|usū 1 (330, 1158, 2143)|\Iuse\i 1, usi-n 3|\Iuse\i  1, usi-in (50) 3|\Iuse\i 1||\Iuse\i 1|usi 1|jehu- 2||ТМС 1, 332; 2, 290, 291.
111|*tege-|2333|to sit|сидеть, садиться|tege-|tъɣ-|teɣet-|te- (505)|te-|teh-biar (423)|tēwu|tē-|tēsị-|tē-|tē-|tege-|ТМС 2, 226-228.
112|*xerekte|996|skin|кожа|erekte 'skin, bark'|ertъ|ejekte||||xerekte|xerekte|xerekte|ēkte|||Formally - a derivative from PTM *xere- 'to skin' (reflected in Ul. xere-); see ТМС 2, 467.
113|*nansa|1404|1 skin (of man) 2 skin (of animals)|1 кожа  2 шкура|nanna 2|nanrъ 2|nana 1||notꭓo, nontoꭓo 'shell'||nanta 1|nata 2|nanta 2|nasa 2|nehä 1, 2|nanda 1, 2|ТМС 1, 583-584, 606.
114|*ām-|72|1 to sleep  2 to be sleepy|1 спать  2 хотеть спать|āme- 2|āmol- 2|āma- 2|aməhə- 1 (528)|amga- / amxa- 1||amasị- 2|āma- 2|āmalo-, āmasị- 2|āma-si- 2|amahi 2||ТМС 1, 1-2.
115|*ŋüši- (*ŋujši-)|1544|small|маленький|nitkūn (dial.)||ńitkūn||isuxun 'tiny'|osu-wan (669)|ńūči|nūči|nūči|ŋīči|ŋič`a|nisxũ, nisūxū̃|ТМС 1, 589-590.
116|*āǯi-|84|1 first child 2 small child 3 the most|1 первенец 2 маленький ребенок 3 самый, наиболее||āǯịn 1||aǯigə 2 (2403)|aǯi-ge 2, aǯi 1||||aǯị̄ 3, aǯị-go- 'родить первенца'||aǯiga 'girl'||ТМС 1, 16-17, 55, Он. 29.
117|*saŋńan|1915|smoke|дым|saŋńan|hāń|saŋńan|šiaŋən (491)|šaŋǵan|ĉaŋ-gian (619)|saŋńa(n)|saŋna(n)|saŋńa(n)|saŋńa(n)|saŋńa(n)|saŋa|ТМС 2, 63.
118|*ili-|596|to stand|стоять|\Iil-\i|ịl-|ịlịt-|ila- (537,1216), ili- (538)|ili-|ili-buŋ (424)|ịlsụwụ|ili-|ilGo-|ili-|ili-|\Iil-\i|ТМС 1, 302-303.
119|*xōsi-kta|1155|star|звезда|ōsīkta|ōsịqat|ōsikta|ušihā (2037)|usixa|hosi-xa (12)|xosta|wasịqta|xosaqta (диал.)|xosakta|waikta, wahikta|ōš́ikta|ТМС 2, 27.
120|*ǯola|2246|stone|камень|ǯolo|ǯol|ǯolo||||ǯolo|ǯolo|ǯolo|ǯolo|ǯolo|ǯolo|ТМС 1, 263. Evk. > Dolg. ǯolo-ptin (see Stachowski 90).
121|*sigūn|2046|sun|солнце|siɣūn||siɣun|šun, \Isun\i (2033)|šun||siu(n)|su(n)|siu(n)|seu(n)|sū(n)|š́igũ|ТМС 2, 78.
122|*elbe-s-|423|to swim, bathe|плыть, плавать, купаться|elbes(kēt)-||elbesi-|efəšə-, efəsə- (2301)|ebiše-|||ulbesi-|elbusi-|ebbesi-|egbesi-|elbeš́ī- 'to wade'|ТМС 2, 445. The original meaning of the root was probably 'to scrape, rake up', cf. Evn. Arm. ēlbi- 'to rake up' (ТМС 2, 445).
123|*pabri-|1694|1 to swim  2 to bathe|1 плыть, плавать  2 купаться|||xajwi- 1||||pawrụwụ 1|paụrị- 2|faọr'i- 1||||ТМС 1, 458.
124|*xürgü|1074|tail|хвост|irgi|irgъ|īɣi / idgi|unčixən, unč́ux́un, iunč́ux́un (2291, 2607)|unčexen||xuǯu|xudu|xuigu|iggi|igi|iggi, irgi|ТМС 1, 325.
125|*ta-|2286|that|тот|\Itar,\i tari|\Itar\i|taj|terə (2878)|tere||tāwụ, tị|tari|taja|\Itī,\i tei|tei, teji|tajā, tari|ТМС 2, 164-167.
126|*e-|406|this|этот|\Ier,\i eri|\Ier\i|\Iej\i|erə (2881)|\Iere\i|\Ie(r)se\i (854)|\Iej\i|eri|\Iei\i|\Iei\i|eji|\Ier\i|ТМС 2, 460-462.
127|*si; *sū|1981|1 thou 2 you (your, yours) (pl.)|1 ты 2 вы (ваш)|\Isi\i 1, sū (su-n) 2|\Ihī\i 1, hū (hu-n) 2|\Isī\i 1, sū (su-n) 2|\Išī\i (2873) 1, sō, soń (2874) 2|\Isi\i 1, suwe (suweni) 2||\Isi\i 1, \Isue\i \I(sun)\i 2|\Isi\i 1, sū (su-n) 2|śi 1, \Isue\i \I(sun)\i 2|\Isi\i 1, \Isu\i (su-n) 2|\Isi\i 1, sū (su-n) 2|š́i 1, sū (su-n) 2|ТМС 2, 72-73, 115.
128|*xilŋü|1041|tongue|язык|inńi|ienŋъ|ińŋi|ileŋə, ilŋi|ileŋgu|hileŋ-ŋu (499)|sińu|sinu|śirmu, siŋmu|iŋi|iŋi|iŋi|ТМС 1, 316-317.
129|*xǖkte|1075|tooth|зуб|īkte|īt|īkte|vīxə (32)|weixe|juj-xe (495)|||xukte(le)|ikte|ikte|ītte|ТМС 1, 300. Cf. also Evk. īken 'jaw, chin' (ТМС 1, 302). North. > Ul., Orok ikte.
130|*mō|1377|tree|дерево|\Imō\i|\Imō\i|\Imō\i|\Imō\i (2129)|moo|\Imo\i (117)|\Imō\i|\Imō\i|\Imō\i|\Imō\i|\Imō\i|\Imō\i|ТМС 1, 540-541.
131|*sī- ( ~ -ǖ-)|2092|extinguish|гасить, гаснуть|\Isī-\i|hī-w-|sī-w-|||||||sī-wi-||š́ī-gū-|ТМС 2, 73.
132|*ǯube-|2247|two|два|ǯūr|ǯȫr|ǯūl|ǯū (2736)|ǯuwe|ǯuwe (637)|ǯuel(i)|\Idū\i|ǯū, ǯuer|ǯū|ǯū|ǯūr|ТМС 1, 276-277.
133|*ŋene-|1533|to go, walk|идти, ходить|ŋene-|ŋen-|ŋene- / gene-|genə- (1171)|genu- 'to go together'|ŋe-ne-xie (713)|ŋene-|ŋene-|ene-|ŋene-|ŋene-|nene-|ТМС 1, 669-671.
134|*lümŋe-|1219|to swallow|глотать|nimŋe-|ńimŋъ-|nimŋe-|nuŋəmə, nuŋumə (402)|nuŋgi-, nuŋge-||luŋbe-|numGe-|luŋbe-,lumge-|ńimme-|niŋme-, ńiŋme-|niŋe-|ТМС 1, 595.
135|*ńume-/ *ńama /*ńem-|1487|1 warm 2 soft 3 quiet 4 weak, loose|1 теплый 2 мягкий 3 спокойный 4 слабый, расслабленный|ńama, -pču 1, ńemu-me 2, ńumu- 3|ńam 1, ńumъn 3|nam, ńamagdị 1, ńamu, nemu 2||neme-ri 2||ńama 1|namauli 1|ńǟma, ńama 1, nemu 2, nimeku 'weakness'|ńama 1|ńamahi 1|namagdi 1|ТМС 1, 630-631, 652-653.
136|*xuldü|1140|1 warm  2 to heat 3 flame|1 теплый 2 нагревать 3 пламя|uldi 3|||venǯexun, venǯəxun 'agreeably warm' (2058)|wenǯe- 2||xuldu 1, xuldū- 2|xuldu 1|xul'd'i 1||ugdi- 2||ТМС 2, 260; 1, 132 (where the Manchu word is erroneously regarded as < Chin.).
137|*mū|1335|water|вода|\Imū\i|\Imȫ\i|\Imū\i|mukē, mukū (347)|muke|\Imo\i (51)|\Imū\i|\Imū\i|muke|\Imū\i|mu-de 'inundation'|\Imū\i|ТМС 1, 548-549.
138|*xia (*xai)|959|1 what  2 who|1 что   2 кто|ē̂kūn 1, \Iē̂\i 2|ǟq 1|ē̂xun, ē̂kun 1, 2; ē̂wa 1|\Iai\i 1 (2896)|\Iai\i / \Ija\i 1, 2||ꭓaj 1|xai 1|ꭓaị 1|||\Iī\i 1|ТМС 1, 4-5, 286-288.
139|*bag-|86|1 white 2 clear (of sky, weather)|1 белый 2 ясный (о небе, погоде)|bagda-ma, -rin 1, baɣurin 2|bāwụn, bāị 2|bagdajīn 1|||||||||bagdarin, bogdarin 1|ТМС 1, 62.
140|*ŋǖ|1552|who|кто|ŋī, \Inī\i|ńī, ŋī|\Inī,\i ŋī|\Iwē\i (2895)|\Iwe\i||ŋui, \Iui\i|ŋui|\Iui\i|ńī|\Inī\i|nīxẽ|ТМС 1, 660-661.
141|*asī|55|1 wife of elder brother 2 woman  3 wife|1 жена старшего брата 2 женщина  3 жена|asī 2|asị 2|asī 2|ašə, asə 3 (908)|aša 1||asị 3|asị 2|aśa 2|asa 2|ahanta 2|aš́ē, aš́ī 2|ТМС 1, 55. TM > Dag. aškā (Тод. Даг. 123).
142|*eKe / *keKe|422|1 woman, wife  2 elder sister|1 женщина  2 старшая сестра|ekīn 2|ekъn 2|exe 1, exīn 2|xexə 1 (833, 924)|xexe 1|xexe-e (299) 1|ēqte 1|ekte 1|ekte 1|eki 2|exi(n) 1, 2|xexe 1|See ТМС 1, 480; 2, 443 (cf. a similar parallelism in the words for "man" and for "elder brother").
143|*sō-|2118|yellow|желтый||||sujan, suajan (2423)|suwajan, soꭓon|so-gian (618)|sōgǯo(n), som|sogdo, som|sojã, sōGǯõ, sōlā, sōm|sogǯo|soligi 'reddish' (of hair)||ТМС 2, 103-104.
144|*gora|569|far|далекий|goro|gor|gojo|\IGorə\i (2613)|\IGoro\i|gor-o (701)|\IGoro\i|\IGoro\i|\IGoro\i|\Igō\i|\Igō\i|goro|ТМС 1, 161-162. TM > Dag. gōro (Тод. Даг. 132).
145|*xurge|1091|heavy|тяжелый|\Iurge\i|urgъ|ujgegdi|uǯin (2848)|uǯen|hu(i̯)ǯe (395)|xuǯeuli|xudē|xuige|ugge|ugehi|uggerdi|ТМС 2, 283-284.
146|*daga|346|1 near  2 soon 3 for a short time|1 близкий  2 вскоре 3 ненадолго|daga 1|dā-lị 1|daɣa 1|d́aritī, dartai 'at once, instantaneously' (2689)|da-rtaj 2|di-ɣa-sa (681) 1|||da-ptị 3||dā-sa` 1 (Корм. 226)|daga 1|ТМС 1, 187-188.
147|*kal-|743|1 near  2 to come near|1 близкий, близко 2 приблизиться||||hanči 1 (2611)|xanči 1; xalbu- 'to let into the house'||qāl- 2|qal- 2|qaĺčị 1|kalikun- 'to let near'|||ТМС 1, 366, 369, 372 (Man. xanči should be kept distinct from qani 'similarly, in accordance with others').
148|*taK(V)|2295|salt, bitter substance|соль, горькое вещество||taq|daksun||taqan 'mustard'|||||daksu|||See ТМС 1, 186 (where for the most part Mongolian borrowings are presented), 2, 153. In Negidal and Oroch the initial d-  should be apparently explained by Mongolian influence (although the forms cannot be actual Mongolisms because of medial -k-).
149|*xurumü-|1126|short|короткий|urumkūn|urumkun|ujumkūn||||xurmi|xurdumi|xurm'ị|ūmi|umasa` (Корм. 302)|urūŋkũ|ТМС 2, 287-288.
150|*poKa-|1661|1 short 2 sacrum (anat.)|1 короткий  2 крестец|hokopčo 2|||f́ohələn, f́ohulun 1 (2412)|foxolon 'short', faqari 'short-legged', faqača 'short one'|fo-xo-lo (691) 1|||||||ТМС 2, 331.
151|*mǖkǖ|1332|snake|змея|||mīxi|meixə (2271)|meixe|muj-xe (165)|mui|mui / mujɣi|mujki|mīki|miki||ТМС 1, 537-538.
152|*nem(i)-|1479|thin|тонкий|nemkūn|nemkun|nemkūn|niŋkən, niŋkin (2414)|nekel'en|nen-ke-xun (623)|nemi|nemdūke|nemi|nemi, nemne|nemnese` (Корм. 268)|nemekũ, nennekũ|ТМС 1, 621. The original root must have been *niambu- (*ńiambu-), and it has left numerous traces: cf. Evk. jembu, jume-kin, ńumē-kūn 'thin, lean', Evn. ńubuke, ńebuke, ńȫmeŋi id., Nan. jembuk 'loose'. However, the root was heavily influenced by *ńem- 'soft' (v. sub *ni̯ùmà) and perhaps also by Mong. nimgen 'thin' (although direct borrowing of the words meaning 'thin' from Mongolian is hardly probable), which gave rise to the variant *nem(i)- 'thin'.
153|*xedü-n|994|wind|ветер|edin|edъn|edin|udun (2052)|edun|hedu-un (5)|xedu(n)|xedu(n)|xedu(n)|edi(n)|edi(n)|edĩ|ТМС 2, 438-439.
154|*kulī-n|912|1 worm  2 snake|1 червь  2 змея|kulikān 1, kulīn 2|qụlịn 'mosquito'|kolixān 1||||qụla(n) 1|qola 1|qolã 1|kulǟ 1, 2|kuliga 1, 2|xoĺexā̃ 1, xoĺē̃ 2|ТМС 1, 428. Evk. > Dolg. kulikan (Stachowski 160).
155|*xuŋVl-|1083|1 worm  2 grub|1 червь  2 личинка|uŋul 1|uŋъl 1, 2|uŋil 2|imahə, nimahə 1 (2173)|uḿaxa / iḿaxa 1|wu-mia-xa (166) 1||xuŋguli 2|xuŋguli 2|umuli 2|uŋulu 1||ТМС 2, 280. Cf. also PTM *(x)uńa 'grub, larva' (ТМС 2, 276).
156|*ańŋa|78|year|год|anŋanī|anŋъ̣n|ańŋanị̄|ani (2723)|ańa|ania (79)|ańa(n)|anańị|ajŋańa, ajŋanị|anŋańi|aŋa(n)|ańē̂, aŋa|ТМС 1, 43-44. TM > Dag. ańē (sar) 'January' (Тод. Даг. 121).
157|*sia-?|0|all|весь|||||||||śǟoxo (< Nivkh?)||||
158|*xura-kta|1092|1 bark  2 outer skin|1 кора  2 оболочка, кожица||ụrtъ̣ 1|||uriꭓa 2||xụraqta 1|ꭓụraqta 1|ꭓoraqta 1||wakta 1||ТМС 2, 282. Cf. also Evn. ụra- 'to cover with bark', Orok ꭓụrala- 'to peel bark'.
159|*dāji|2214|1 big 2 size of|1 большой 2 размером с||dị̄- 2|dị̄- 2||||dāị 1|dāi 1|dāị 1||dī-ŋki 2||ТМС 1, 190, 202. The antiquity of all listed forms is somewhat dubious: they all may be borrowed < Manchu daj < Chinese.
160|*nīKǖ|1496|1 duck  2 bird|1 утка  2 птица|nīkī, -čēn 1|ńieki, nīki||īxə 1 (2201)|ńexe 1|mie-xe (591) 1||nēčē / ńēče 2|ńice(n) 2||ńuɣeǯiɣe 'duckling'|nīxī 1|ТМС 1, 590-591.
161|*xar-kü-|977|1 to bite  2 to sting|1 кусать  2 колоть, жалить|arki- 2|arqъ̣- 2|ajkị- 2||||ꭓačo- 1, 2|ꭓātụ-la- 2|ꭓajqo- 1, 2||||ТМС 1, 51-52.
162|*saka-rīn, -līn|0|1 black  2 dark|1 черный  2 темный|sakarīn 1|||sahelin, saheĺan 2 (2429)|saꭓaĺan 2|saxa-lian (620) 1|saꭓarị(n) 1|saɣarị/sārị 1|saꭓarị̃ 1, 2|sakai 1, 2|||ТМС 2, 56.
163|*gil-|511|cold|холодный|gildi|gịlrъ̣|gịlịgdị||||\IGịtụlị,\i \IGịtịsị\i|\IGịčụlị\i|\IGịčịsị\i|giči-si|gilihi||ТМС 1, 151. Most forms reflect a derivative *gil-si / *gil-či.
164|*ńeŋde- / *ńuŋde-|1480|1 cold  2 clear, frosty (weather)|1 холодный  2 ясный, морозный|ńeŋdelē 2||||||nụŋdụlị 1|nuŋduli 1|noŋǯị-sị 1||||ТМС 1, 653.
165|*sugǯa-nsa|2129|1 salmon  2 fish|1 лосось  2 рыба|sugǯanna 1|hụǯъ̣nrъ̣ 1|sogǯana 1||||sụgdata 2|sundata 2|soGdata 2|sugǯasa 2|sugǯehä 2|sụgǯanda 'burbot'|ТМС 2, 118-119.
166|*ule-|2517|good|хороший|||||ulin 'goods'||ule(n)|uliŋga|ulē̃  (On.)||uligdiga` 'beautiful' (Корм. 301)||ТМС 2, 260-261. Man. > Dag. ulin 'goods' (Тод. Даг. 170).
167|*ĺog-|1211|1 green 2 dark|1 зеленый 2 темный|lugdume 2|nuɣde, ńeɣčeńe, ńevčeńe 2||ńuŋ́an, niŋəńan 1 (2421)|ńowaŋǵan 1|nioŋ-gian (616) 1|ńogǯo(n) 1|ńōgdo 1|noŋǵǟ(n) 1||||See ТМС 1, 506, 650, 601-603 (some of the forms there are obviously < Mong., but the ones listed above are hardly borrowed).
168|*tama-|2302|1 to pay   2 price|1 платить 2 цена|tama- 1|tam- 1|tama- 1||||tama- 1|tama- 1|tamã 2|tama- 1|tama- 1|tama- 1|See ТМС 2, 158-159.
169|*ńūri-kte|1495|hair|волос|ńūrikte|ńūrit|ńĳukte||||nukte|nūrikte, ńīrukte|nukte|ńūkte|ńūkte|nūrikte, nūrte|ТМС 1, 648.
170|*kanǯa-?|0|horn|рог|||||||||Ganʒaʒa||||
171|*muxa- / *muxe-|1375|1 man 2 male|1 мужчина  2 самец|||muxeti 2||muꭓan 2||||moꭓa(n) 1, 2|mueti 2|mugeti, mueti 2||ТМС 1, 543, 554.
172|*xüse|1106|1 hunter  2 man  3 male 4 to be anxious, worry about smth.|1 охотник 2 человек, мужчина 3 самец 4 волноваться, беспокоиться|isegdin 1, išiganil- (V-L) 4|iseɣde 2|isegdin 1||||xuse(gdi) 2|xusenne 2|xuse 3|||iš́igē- 4|ТМС 1, 332, 336.
173|*ŋiaksa, *ŋiaksi-n|1538|nose|нос||ńē̂s, ŋē̂s|ńasin 'bear's nose'||||waqsa|naqsa|ŋoqso (dial.)|ŋikso|ŋühö|nē̂nča|ТМС 1, 587, 636. Cf. also Evn. ńịqъ̣lčan, Neg. ńexilče 'nose bridge'. ТМС 1, 637.
174|*ǯobi|2684|a k. of fish (salmo lenoc)|вид рыбы (ленок)|||ǯojo; ǯowlatkān 'a small taimen'||||||ǯoị||ǯüiso, dial. ǯauŋa||ТМС 1, 262.   In Evk. and Manchu we have ǯelbe(n) - obviously through contamination with yet another root, TM *ǯelī 'taimen' (ТМС 1, 284).
175|*šāk-|2156|1 white 2 wall-eye|1 белый 2 бельмо|||||šaꭓun 1, 2||čāgǯa(n) 1, čaqị 2|tagda(n)|čāGǯã 1, čāqị 2||cagʒa 1 (Корм. 309)|čiɣá 1|See ТМС 2, 380-382 (several different roots are united there, among which, e.g., Man. čaɣan is obviously < Mong., but other forms are genuine - despite Doerfer MT 116). Note that Manchu šaꭓun as well as Nan. čāGǯã, Ul. čāgǯa(n) and Orok tagda(n) may also reflect suffixed forms of *šā(ŋ)- 'white' (v. sub *šā̀ŋu).
176|*dep(-si)- / *dapsi-|2231|to flap (wings), wave|махать (крыльями), обмахивать|dawsi-|dawsъ̣-|dawsị-||debsi-, debdere-||depsi-|dapsị-|depsi-|depse-|defi-||ТМС 1, 186-187, 228. Cf. also *deb-di- / *deb-ke- 'scatter' (ТМС 1, 227).
177|*ǯapka|2588|1 shore 2 space, interval, crack 3 near|1 берег 2 промежуток, щель 3 близкий|ǯapka 1|ǯapqъ̣ 2|ǯapka 2||ǯaqa- 'to make cracks, intervals'||ǯaqpa 3|daqpa / dapqa 2|ǯaqpa 2, 3|ǯappa 2, 3|ǯakpa- 'to pile up'|ǯakka 1, ǯikka 2|ТМС 1, 250-251.
178|*xinda-?|1032|come|приходить||||||||sinda-/xinda-|||||
179|*nikimna|1464|1 neck  2 nape of neck|1 шея  2 задняя часть шеи|nikimna 1|ńịqъ̣n 2|nịxma 1, 2||||ńịqị(n) 1, 2|nịqịmńa 'neck of deer'||||nixama, nixima 1|ТМС 1, 591. Cf. also Dag. (Тод. Даг. 158) ńokol 'nape of neck', probably < TM.
180|*čak-|265|1 full  2 strongly|1 полный  2 сильно, крепко|||||čaq \Iseme\i 2|||čak \Ibi\i 1|||||ТМС 2, 379.
181|*(x)ajū|23|knucklebone|лодыжка, бабка|ajū, ajūkān|||||||||||ajụ̄xā̃|ТМС 1, 23.
182|*goj / *gia|547|other|другой|\Igē̂\i|\Igǟ\i|\Igē̂\i|\IGuā\i (3023) 'other,another'|\IGuwa\i||\IGē̂-Gda\i 'single'; \IGoj\i|\IGē̂-da\i 'one, single'; \IGoị\i|\IGịa-Gda\i 'single'; \IGoj\i||geä|\Igē̃\i|ТМС 1, 144, 157-158. Ramstedt's (SKE 185) idea about borrowing from Sino-Korean is impossible.
183|*la-kV, *la-ŋ|1175|near|близко, близкий|||||||laŋ|laqqa, laŋ|laŋ|laki, laŋ|ĺaŋ||ТМС 1, 488, 492.
184|*ine-ŋī|600|day|день|ineŋī|inъŋ|ineŋ(i)|inəŋə (2657)|ineŋgi|ineŋi 'sun, day' (3)|ineŋni|ineŋgi|ini|ineŋi|ineŋi|ineɣi, ineŋi|The deriving stem is PTM *ine- 'to dawn, begin (of day)', see ТМС 1, 318-319.
185|*xūl-|1156|to sound, resound|раздаваться (о звуке, эхо)|ūl-ta-|ụ̄l-dъ̣-|ol-bụn-||||xol-dị-|xụl-bụn-|xōl-ǯị-||||ТМС 2,263.
186|*xup-|1123|1 all 2 to gather|1 весь, все 2 собирать(ся)|upkat 1, upūrē- 2||opkal 1||||ꭓụpala- 2|ꭓupala- 2|ꭓopala- 2|ꭓupala- 2|ufal, ufalahi 1||See ТМС 2, 281; 1, 478. Cf. also Nan. ꭓopã, Ul. ꭓopa(n), Orok ꭓụpa(n) 'group, company' - which may be a merger of the original root with a Manchu loan (cf. Manchu ꭓufan 'company, companionship' < Chin. huǒbàn).
187|*peli- (/*puli-)|1741|1 to walk 2 to hurry|1 ходить 2 спешить, торопиться|helde- (dial.) 1, helin-(če)- 2|höl- 1, helīŋ-(či)- 2|xul- 1, xenindu- 'in a hurry'||feĺe- 1|ful-ĉwi (421) 1|pulikte- 1|puli- 1, pelin- 2|pul-si- 1, penin- 2|xuli- 1|xuli(hi)- 1, xelin-e- 2|ul-|ТМС 2, 363-364. A probable derivative is *pelbu- 'to lead, take with oneself' (ТМС 2, 363).
188|*bog(i)- / *begi-|140|1 to freeze  2 cold  3 frazil|1 обморозить, мерзнуть 2 холодный 3 наледь|beɣī- 1, beɣin, boɣin 2 boɣoro 3|bei-, beɣi- 1, böɣe 3|bejī- 1||beje- 1|bei 2 (95)|beji- 1||beji- 1||||ТМС 1, 87, 119.
189|*tuju-|2452|1 to give 2 to give a feast|1 давать 2 давать пир, угощать|tuju- 2|töj- 2|tojo- 2||tuwe-de-, teo-de- 'to resell, exchange'|tuju-xe 1 (428)|tuju- 2|tojo- 2|tuju- 2|tojo- 2|tuju- 2||ТМС 2, 203, 206. Man. > Nan. taoda-, Ul. taụda-, Oroch tauda- 'to pay, repay' (ТМС 2, 171-172); > Dag. tauda- id. (Тод. Даг. 166).
190|*kere-, *kerbe-|773|1 kill 2 to fine 3 to slander 4 to revenge|1 убивать 2 штрафовать 3 клеветать 4 мстить|kerbe- 1, keremī- 3, keremǯu bi- 4||||keru-le- 2, keru-n 'fine'||||||||ТМС 1, 381, 452, 453, 454.
191|*soŋgi-|2132|1 nose 2 tip of nose 3 nose ring|1 нос 2 кончик носа 3 кольцо в носу|||||soŋgiꭓa, soŋgin, suŋgin 2, 3|soŋgi (501) 1|||||||ТМС 2, 61. Cf. Nan. (Он.) sonĩ 'bear's nose'.
192|*nē-|1445|to put|класть|nē-|nē-|nē-||||nē-||nē-|nē-|ne-de-|nē-|ТМС 1, 614-615. An old derivative may be *na-kan 'bed' (ТМС 1, 576).
193|*xolda-ksa|1137|1 bark  2 board  3 coffin|1 кора  2 доска 3 гроб|oldaksa, uldaksa 1, 2|oldụs 3|oldokso 3||||ꭓoldoqso 2|ꭓoldoqso 3|||||ТМС 2, 13, 244 (with a confusion of *xolda-ksā 'bark; board' and *ugda-'boat').
