"NUMBER","PROTO","PRNUM","MEANING","KET","SYM","KOT","ARI","PUM","NOTES"
  66,"*ʔeχV (~h-)",  41,"iron","ē; (Сл.) eg","e / ej; eg ɛ:hŋ\H4\h "chain" (probably = eg āŋ "iron string")","","","ag (Сл.) "iron, steel"","ССЕ 189. The Ablaut stem *ʔaχV is probably reflected in compounds *ʔaχV-des > Ket. āŕeś\H1\h,  Bak.,  Sur.  ādeś\H1\h, Yug. ades\H1\h  "(iron) nail"  (lit.  "iron eye") [Werner 1, 60 analyzes as aʔt 'bone' + iʔs 'peg' which is quite strange semantically]; *ʔaχV-čis "file" > Ket. atiś\H5\h / atīś\H1\h, pl. atiśəŋ\H5\h / ātiśəŋ\H1\h,  Yug. ačis\H5\h, pl. ačisɨŋ\H5\h, Kott. ašiš, pl. ašīčŋ(n)  (lit. "iron stone"); *ʔaχV-tVp 'tongs' (see *tVp, lit. "iron tongs"). Werner 1, 77, 271 <*egə>."
  67,"*ʔeŋ- (~x-)",   0,"to scratch","d-eŋ-āpti (Кастр.) [W.: íŋ-tĳ]","d-eŋ-ābt́i, praet. d-eŋ-abīrt́i, imp. eŋ-at́i, aŋ-gät́ (Кастр.) [W.: ɛ́ŋgičej]","eaŋ-ōšiaŋ, praet. eaŋ-ōlašiaŋ, imp. eaŋ-ālše(i), pass. eaŋ-olāši(e)","","","ССЕ 189. Modern Ket has also  iń-tĳ (КРС, Werner 1, 369) 'to scratch' - a transparent formation from iń 'finger-nail' (see *ʔīń-). One cannot exclude that in this case *ʔeŋ- is a contraction from *ʔīń-ŋ- (*ʔēń-ŋ-) - an old plural of *ʔīń-. Werner 1, 373."
  68,"*ʔēǯ-",  42,"clear, quiet (of weather)","ɛt\H4\h / ɛŕ\H4  \h[W. 1, 250]","ɛ:\Hh\ht́","","","","ССЕ 189-190. Werner 1, 250 <*eʔəd'ə>. Cf. also (perhaps with initial reduction) *ǯin 'bright day' in Ket dīń id., qä-diń 'holiday', Yug χɛ́d́īn id. (Werner 1, 193 w.r.)."
  69,"*ʔēj- (~x-)", 610,"to kill","ɛj\H4 \h(South.), Kur. ɛ:ji\H4\h, Bak., Sur. ɛ:je\H4\h / ɛje\H4\h","ɛ:\Hh\hj\H4\h; ɛje-saŋ\H5\h "in order to kill"","","","","ССЕ 190. Werner 1, 226 <*eʔəjə>."
  70,"*ʔēl (~x-,-r)",  43,"weak","d-ɛ́ĺtim 'lax'","ɛ:\Hh\hl","","t-erma (Лоск.)","","ССЕ 190. The comparison with Arin belongs to Werner (1, 181, 259-260, 2, 258) and is reasonable if we suppose a prefixed nature of t- in Arin and d- in Ket; however, the reason for reconstructing <*egəl> or even <*egəλ> on the basis of this comparison stays unclear to me."
  71,"*ʔēm(V) (~x-)",   0,"flying squirrel","ɛm\H4\h (South.), North. ɛ:mə\H4\h , pl. ēmn\H1\h","ɛ:hm , pl. emn\H1\h","","","","ССЕ 190. Werner 1, 232."
  72,"*ʔ[ē]ńi",  44,"son-in-law, daughter-in-law","ɛń\H4\h (South.), North. ɛ:ne\H4\h / ɛnne, pl. ēnn\H1\h / enn ( < ēńin\H1\h); ɛnnɛm\H5\h "daughter-in-law"","ɛ:hń\H4\h, pl. eńin\H1\h; ɛ:hńɛm\H4\h / ejńɛm\H3\h "daughter-in-law"","ani, * ańe, g. anā, pl. anān "son-in-law"; aneä, *ańeä, pl. anán, anńēan, ańēgan "daughter-in-law"","b-än (Лоск.) "son-in-law", bonä "bride, daughter-in-law"","","ССЕ 190. Werner 1, 235 <*eʔənə>."
  73,"*ʔēp- (~x-)",   0,"whole (unbroken)","ɛ:, pred. ɛ:s "whole", ɛɣəm\H5\h "(this is) whole"","ɛ:\Hh\hp / ɛ:\Hh\hf , pl. ɛfɨŋ\H5\h","","","","ССЕ 190. Werner 1, 258 <*eʔəp\Hh\hə>; however, attributing Kott. apaŋ here is  wrong (see *ʔɔpVŋ; Werner, in fact, relates the Kottish form to two roots simultaneously)."
  74,"*ʔēs- (~x-)",  45,"ski-strap","ɛś\H4 \h(South.), North. ɛ:śe\H4\h; pl. ēśiŋ\H1\h","ɛ:hs\H4\h, pl. esɨŋ\H1\h","","","","ССЕ 190. Werner 1, 242 <*eʔəsə>."
  75,"*ʔēte",   0,"alive","ɛt\H4 \h(South.), pl. ɛtiŋ\H5\h; North. ɛ:ti\H4\h, pl.ɛtəŋ\H5\h","ɛ:ht, pl. ɛtiŋ\H5\h","ēti, g. ētī, pl. ētaŋ; асс. éditu (М., Сл., Срсл., Кл.), etutu (Кл.)","atie (М., Сл.) "alive", atje (Срсл.) "life", ätie (Кл.) "alive"","átodu (Сл., Срсл.) "alive"; et́geǵ (Срсл.) "alive"","ССЕ 190. Werner 1, 253 <*ɛʔətə>."
  76,"*ʔəʔk (~x-)",   0,"loop (trap)","ʌʔk, pl. ʌgdiŋ\H5\h","ʌʔk, pl. ʌgdiŋ\H5\h","","","","ССЕ 190. Werner 2, 415."
  77,"*ʔəʔk (~x-,-g, -χ)",   0,"0","ʌʔk","ʌʔk","ēx, ēg","","","ССЕ 191. Werner 2, 402."
  78,"*ʔəʔq-pVs",   0,"suddenly","ʌpqəś\H5\h, South. ʌqpəś\H5\h","ʌхpes\H5\h","","","","ССЕ 191. Cf. *dəʔq- 'quick(ly)'. Werner 2, 409."
  79,"*ʔəʔt (~x-)",   0,"quiver for arrows","ʌʔt, pl. ʌtn\H5\h","ʌʔt, pl. ʌtn\H5\h","","","","ССЕ 191. Werner 2, 415."
  80,"*ʔəča",  46,"guest","ʌtakaj\H6\h","","čaŋ","","","ССЕ 191. Kottish must have had a later Anlaut reduction (otherwise one would expect *šaŋ) in the form *əča-ŋ (originally plur. "guests").   Werner 1, 432 criticizes the connection of the Kottish and Ket form. The latter is given as ɨ́tɨkaj / ɨ́tɨɣaj  and is derived from *ʔɨtaq 'place where a house was before' + kʌʔj 'to go'. The real situation, however, appears to be much more complicated - as shown by Werner's own data. We should start with the opposition Ket. ʌ́ŋtakkaj 'zu Besuch in mehreren Birkenrindenzelten sein' : ɨ́tɨkaj 'zu Besuch nur in einem Birkenrindenzelt sein' (Werner 2, 408). We can clearly see here a compound with the 1st element ɨ- / pl. ʌŋ- - which is most probably identifiable with Ket. ʌŋn, Kott. hagī-ni 'inner tent pole' (see *həgV-). The Yug form ʌ́ŋŋej 'to pay a visit', ʌ́ŋŋejsi 'guest' is thus a secondary assimilated form corresponding to Ket ʌ́ŋtakkaj, thus the reconstruction of PY *ʔəŋ- 'guest' on its basis appears now to be incorrect. Ket -ta- / -tɨ- is the element, most probably corresponding to Kott. čaŋ and thus properly means 'be a guest, visitor'. On the final element of the compound see under *gaj 'to return', so the meaning of the whole compound *həgV-ča(ŋ)-gaj is 'to return as a guest to the (birchbark) tent place'. There is still a phonetic problem: the word for 'place where there was a tent' in Yug is recorded by Werner (2, 432) as ɨ́taχ  with -t- instead of the expected -t́-; However, a form ɨt́ɨɣajś  'guest' is also recorded (ibid.), so we can suppose a misrecording."
  81,"*ʔəj-pi",   0,"berry (of currant)","ʌji\H5\h","ʌjfɨ\H5\h","","","","ССЕ 191. A compound with *pi "berry". Werner 2, 401 *əj-p\Hh\hi."
  82,"*ʔəka(j) (~x-)",   0,"give! (here)","ʌɣa\H6\h","ʌgéj","","","","ССЕ 191. Werner 2, 414."
  83,"*ʔəmas (~x-)",  47,"thorn","ʔʌmasiŋ\H5\h 'thorny', Bak. ʔʌmaś\H5\h 'thorn'","ʔʌmasiŋ\H5\h 'thorny'","","","","ССЕ 191. Werner's (1, 406) analysis as ʌm 'thorny' + as' 'feather' is very dubious - primarily because nothing like ʌm thorny is attested (Werner adduces a form ʌ́ntaveroś  'thorny', in no way pointing to *ʌm: it obviously contains the same root as Ket. ʌ:ndɔ 'to prick', see under *ʔVq-)."
  84,"*ʔəpVl- (~x-)",  48,"bachelor","ʌ:ĺ; ʌĺ-git\H5\h "bachelor"; Bak. ʌ:ĺ "separate, lonely"","ʌfɨl\H5\h 'bachelor'","ipal, īpal 'free'","","","ССЕ 191. Werner 2, 416."
  85,"*ʔəqaj (~x-)",  49,"earlier, before, in old days","ʌʁaj\H5\h","ʌxaj\H5\h","ōgai "earlier"; асс. ogaj-b́óŋa (М., Сл., Кл.) "in front"","","ójgaj "in front" (Сл.)","ССЕ 191. Werner 2, 409 *əqaj."
  86,"*ʔəqan (~h-,x-)",  50,"to boil","ъ̄n / ʌ:n (Castr.: èagan 'boiled')","ʌxan","auganaŋ","","","ССЕ 191-192. Werner 2, 420 *əqən."
  87,"*ʔəqe",  51,"branch","ъ̄ʁə\H1\h (Imb.; S.-Imb. ъ̄ʁ), pl. ʌʁɨn\H5\h // ʌ:n","ъ:x, pl. ʌxɨn\H5\h","ogé, *ṓge, *ṓke, g. ogei, pl. ogán, okan","","kédiŋ jaxi (Срсл.) "branch, bough" (kediŋ "root")","ССЕ 192. Werner 2, 420 <*ʌ̀Gé>."
  88,"*ʔət-",   0,"from the river to the shore; from the shore to the wood","ʌ́ta; ʌt, ʌt́ 'come here' (ʌt́ = Yug. ʌtej)","ʌtej","ota 'come here' (imper.); itōj- 'to come'","","","ССЕ 192. Werner 2, 386, 411, 412 (w.r.). The root is widely used as a preverb (see e.g. under *ʔɨ̄s-)."
  89,"*ʔə̄ke (~x-)",  52,"louse","ʌ:ɣə\H4\h (North.), South. ʌɣ\H4\h; pl. ʌɣeń\H5 \h","ʌ:hk, pl. ʌgɨn\H5\h","iki, pl. ikáŋ","","","ССЕ 192. Werner 2, 414 <*(d')ʌʔəgə> - with an obviously erroneous *d'- (would be *j- in our reconstruction) - because Kott. d́oga 'nit' is attributed to two roots at once (see *jog-), notwithstanding the clear distinction between iki 'louse' and d́oga  'nit'."
  90,"*ʔə̄ŕi- (~j-, x-,-r\L1\l-)",1189,"twins","(ɨn) ʌ:ĺsin\H3\h","(ɨn) ъ̄riŋgisi\H1\h","","","","ССЕ 192. Werner 2, 417."
  91,"*ʔiʔ(G) (~x-)", 655,"loft, store","iʔ, pl. eʔŋ","iʔ, pl. eʔŋ","","","","ССЕ 192. Werner 1, 389 <*iʔ / *ig(ə)>."
  92,"*ʔiʔn", 929,"needle","iʔn, pl. ɛnəŋ\H5\h","iʔn, pl. ɛnɨŋ\H5\h","in, īn, pl. inaŋ, īnaŋ; (Бол.) in","in (Лоск.)","","ССЕ 192. Werner 1, 390."
  93,"*ʔi(ʔ)n- (~x-)",   0,"long, long ago","īn // iʔn 'long', īnam 'long ago'; South. iʔń 'long'","i:\Hh\hn","","","","ССЕ 192. Unclear prosodic correlations: Ket reflects*(x)in- / *(x)iʔn-, Yug - *(x)īn-. Werner 1, 393 (without reconstruction)."
  94,"*ʔiʔs (~x-)", 444,"peg","iʔś, pl. ɛśəŋ\H5\h","iʔs, pl. ɛsɨŋ\H5\h","iš-t\Hh\hip (t\Hh\hip iron)","","","ССЕ 192. Werner 1, 390."
  95,"*ʔiG",1047,"name","ī, pl. ɛʔŋ","i, pl. ɛʔŋ","ix (īx), pl. īkŋ / ekŋ / eäkŋ","","i (Сл.)","ССЕ 193. Werner 1, 392 <*igə>."
  96,"*ʔik",1329,"skin (of animals, hairy); hair","ī 'skin', pl. iʔŋ; iŋɔĺt\H5\h / iŋɔĺtə\H5\h, pl. iŋɔĺtəŋ\H5\h id.","ĳɔl\H5\h / igɔl\H5\h, pl. iŋgɔlɨŋ\H5\h "skin"","ēk, pl. ēkán, ēkŋ "hair"","","","ССЕ 193. Cf. also Ket.  -iɣ-aq  "to flay". The paradigm of igɔl in Yug is interesting: it shows that here we have a compound of *ʔik with some second component, each member gaving its own plural:  igɔl  - iŋ-gɔlɨŋ.  The original meaning of the component -gɔl can only be guessed:  cf. perhaps PEC *G̲ŏŁV "skin" (NCED 463)? Werner 1, 392 <*igə>, doubting (for a not quite clear reason) the relationship of Kottish ēk 'hair'."
  97,"*ʔiK-",   0,"to bind, tie","ikśiŋ","íksiŋ  (W. 1, 356)","šigaŋ, šiŋaŋ 'to bind'","","","ССЕ 193. The root structure is not quite clear: Ket has a separate stem śiŋ (śɨʔŋ) 'to bind', so ikśiŋ is probably a compound. The Kottish form šiŋ-aŋ is a good match for Ket. śiŋ, while šigaŋ may be an irregular development of a form *ig-šiŋaŋ  ( = Ket. ikśiŋ). Werner 1, 356."
  98,"*ʔil (~x-,-ĺ,-r)",  53,"to break, split","iĺbət\H6\h / iĺvət\H6\h","ilbɛt́\H5,6\h","","","","ССЕ 193. Cf. also Imb. ilaq\H6\h 'chip, splinter' ("split wood"), iĺ, iĺĺeś  (Werner 1, 357) "Krümchen", ílɨŋ 'slivers' (Werner 1, 361), Yug ílɨŋ id. (ibid.). Werner 1, 357, 358 (but the suggested semantics *'small' seems to be not justified by any evidence)."
  99,"*ʔiL- (~x-)",  54,"wheel","iĺtəp\H6\h, pl. iĺtaŋ\H5\h, eĺtaŋ\H5\h","","","","","ССЕ 193. A compound with PY *tap- 'circle, hoop' q.v. in the second part. Werner's (1, 361) analysis of *ʔiL- as 'small' is not based on any evidence."
 100,"*xim",   0,"small, little","im-da\H5\h "small (to cut small, etc.)"; īm-git\H1\h, im-git\H5\h (pl. īm-dəŋ, im-dəŋ\H5\h) "dwarf"; im-da, (North.) im-śa '(to grow) thickly, densely' ( = 'closely, at small distance')","","imɨraŋága (М., Сл., Кл.), imiraŋága (Срсл.), imgara (Бол.) 'small'; īmaŋ 'near', (Лоск.) imaŋa id.","kamara (Лоск.) 'short'","","ССЕ 193. Werner 1, 362-363, 407. Identifying the root with *ʔim 'nut' (as Werner does) is possible, but by no means necessary, and may well be a folk etymology. In particular, the analysis of īm-git 'dwarf' (lit. 'small man') as 'nut-man' appears rather far-fetched."
 101,"*ʔim (~x-)",  55,"nut","īm","im","īm, pl. īman, īmaŋ "nut kernel"; Ass. (Бол.) im "nut"","im (Лоск.)","","ССЕ 193-194. Werner 1, 393 *im."
 102,"*ʔipɨn (~x-)",  56,"to stand","īn","ifɨn\H6\h; tīp, tífɨŋ 'to stop still'","","","","ССЕ 194. Werner 1, 393-394 *ip\Hh\hən."
 103,"*ʔir\L1\l- (~x-)",  57,"breath, spirit","īĺ / iʔĺ, pl. ɛĺəŋ\H5\h; ɛĺiŋ-bet\H5\h 'to breathe'","īr, pl. ɛrɨŋ\H5\h, ɛrəŋ\H5\h","","","","ССЕ 194. Werner 1, 390 <*iʔλ>."
 104,"*ʔir- ( ~ x-)",  58,"to eat","iĺeŋ\H5\h","iriŋ\H5\h","herajaŋ 'feeding, food', herai, harai 'bread, food'; Ass. (Бол.) raj 'food', (М, Сл, Срсл) rajalí, grajalí 'eat'","","","ССЕ 194. Werner 1, 360 <*iλ-> (without comparing the Kott. form). Note that this example allows to update the rule formulated in КС 148: *r yields Yug -r- not only in the vicinity of *u, but also in the vicinity of *i."
 105,"*ʔise",  59,"meat","īś 'meat, fish'","īs 'meat, fish'","īči, pl. īčaŋ; асс. ič (М., Сл., Срсл., Кл., Ф.), iči (Кл.) "meat"; койб. (Ф.) is id.","is (М., Сл., Срсл., Кл.), iži (Лоск.) "meat"","","ССЕ 194. Werner 1, 396 <*hitə / *itə > *ičə> (??). The reconstruction of *-t- cannot be justified, and the reconstruction of *h- here is based only on the Pump. form hite, gite 'fish' - which is no doubt a reflex of PY *c[ī]k 'fish' q.v."
 106,"*ʔit- / *ʔat-",   0,"to hack","ittɔ́ ( < itdɔ:\H3\h) 'to notch'","ittou\H3\h 'to notch'; aχ-at 'to procure firewood'","agat "hewing" (ax, ag "wood, trees"; = Yug. aχat); agathākŋ (agathākhaŋ), praet. agtholōkŋ, imp. agathālćek, pass. agatholāʔuki","","","ССЕ 194. Werner 1, 16 (Yug aχat : Kott. agat, without a reconstruction); 1, 386 (identifyingKet. ittɔ́  : Yug. it-tou without a reconstruction; on p. 395 he suggests deriving these forms from the same root as *ʔiǯVŋ 'writing, ornament' - which can hardly be supported because Yug has a very pronounced -tt-, not -t́t́- in ittou)."
 107,"*ʔic-",   0,"nomadizing, to nomadize","itaŋ\H5\h","íčaŋ (Werner 1, 383)","a-ith-ox 'nomadizing', aithog-ākŋ, praet. aitho-l-ōkŋ 'to nomadize'; (M, Kl) itik 'way'","","","In ССЕ 194 I have reconstructed *ʔit- 'nomadize' on the basis of Ket. itaŋ and Kott. aithox, and Werner 1, 383 accepts this reconstruction. However, he also adduces Yug. íčaŋ id. which makes such a reconstruction impossible and forces me to change it to *ʔic- (see the correspondences in КС 150-151)."
 108,"*ʔit (~x-)",   0,"to smell, smell","dīt 'to smell of, smell'; īt "smell", ittej "to smell (smth.)"","dīt//dit 'to smell of, smell'; īt 'smell', ittej 'to smell'","īt, pl. ītn "smell"; īta "smelling"","","","ССЕ 194. Werner 1, 396 (without reconstruction and mentioning Bouda and Timonina, deriving the Yen. forms from PT *jɨd - not excluded, but rather improbable phonetically)."
 109,"*ʔitVn (~x-)",   0,"dried fish (юкола)","itn\H5\h, pl. itnəŋ\H5\h","itn\H5\h, pl. itnəŋ\H5\h","","","","ССЕ 195. Possibly derived from *ʔit- "hack". Werner 1, 385."
 110,"*ʔiǯVŋ (~x-)",  60,"writing, ornament","īŕeŋ\H1\h 'writing'; īŕiŋ\H1\h (Bak., Sur. īdiŋ\H1\h) "beautiful" ("written"); iŕiŋ-bet\H6\h (Bak., Sur. idiŋ-bet\H6\h) "to write, literate"","id́iŋej\H5\h, pl. id́iŋ\H5\h ɛŋńiŋ\H5\h 'writing'; id́iŋ\H5\h "beautiful"; id́iŋ-bet\H6\h "to write"","eaŋōx "writing"; eaŋōjaŋ "to write", praet. eaŋōlajaŋ, imp. eaŋālče, pass. eaŋōlāgi; Ass. (М., Сл., Кл.) eŋuigen "to write"","","","ССЕ 195. Werner 1, 395 *id'əŋ (also faultily connecting *ʔit- 'hack, notch' q.v.). Werner (1, 260) separates Kott. eaŋōx and traces it back to PY *ʔeŋ- 'scratch' q.v. (with a reconstruction *eʔŋ-əq / *eʔŋ-ək); however, the development *-ǯ- > Kott. -j- (-0-) is quite regular, and the similarity of Kottish forms meaning 'scratch, dig' and 'write' appears to be secondary, due to phonetic convergence."
 111,"*ʔīGV (~-ʔ-,-χ-)",  61,"to whet, sharpen","i:\H3\h","i:\H3\h","","","","ССЕ 195. Werner 1, 391 <*ĳə / *igə>. See also *k-i-."
 112,"*ʔīń- (~x-)",  62,"finger-nail, claw","iń\H4 \h(South.), Kur. i:ńi\H4\h, Bak., Sur. i:ńə\H4\h / ińə\H4\h, pl. īńeŋ\H1\h","i:\Hh\hń\H4\h, pl. ińiŋ\H1\h","","","","ССЕ 195. See also *ʔeŋ- 'to scrape'. Werner 1, 364 <*iʔən'ə>, 367 <*iʔənə>."
 113,"*ʔīpV (~x-,j-)",  63,"breath, expiration (visible in cold weather)","i:\H3\h","i:p\H3\h / i:hp\H4\h(?)","","","","ССЕ 195. Werner 1, 390 <*iʔəp\Hh\h / *iʔəp\Hh\hə>."
 114,"*ʔīs-",  64,"to swear, curse","di:śə\H4 \h(North.); South. diś\H4\h","d́ɨ:\Hh\hs / d́i:\Hh\hs","","","","ССЕ 195. Pump. (Срсл.) biś "curse" is probably a Yug form; this allows us to regard d- and b- as prefixed elements (quite common in Yenisseian verb) and reconstruct *ʔīs-. Werner (1, 191) prefers to regard biś  as a writing error instead of *diś  [I would add - a rather bizarre writing error, never encountered elsewhere] and to reconstruct <*d'ɨʔəsə>."
 115,"*ʔīti",  65,"tooth","it\H4 \h(South.), North. i:ti\H4\h (Bak., Sur. i:tə\H4\h / itə\H4\h); pl. Imb. īteŋ\H1\h (cf. also South. it-tes\H6\h 'jaw')","i:ht, pl. iteŋ\H1\h","iti, *ite, g. itī, pl. itaŋ","itin (Лоск.)","","ССЕ 195. Werner 1, 382 <*iʔətə>."
 116,"*ʔɨʔɨn (~x-,-G-,-χ-)", 614,"puppy","ɨ̄ntip / ɨ:ntip\H3\h, pl. ɨ:ntap\H3\h / ɨntap\H1\h ; ɨ́jɨŋĺa 'female puppy' (Werner 2, 421)","ɨ:nčip\H3\h, pl. ɨ:čap\H3\h; fáŋ-gɨ-ĺa 'female puppy' (Werner 2, 421)","","","","ССЕ 196. A compound with PY *čip "dog" in the second part. Werner 2, 434 <*ɨgən>."
 117,"*ʔɨʔn (~x-)",   0,"sleigh runner","ɨʔn / ɨ:ńe\H4 \h(Kur.), Bak., Sur. ɨʔn / ɨ:ńe\H4\h, pl. ɨ̄ńeŋ","ɨʔn, pl. ɨneŋ","","","","ССЕ 196. Werner 1, 429 <*ɨʔənə>, suggesting a relationship with *xɨna 'two', phonetically hardly possible."
 118,"*ʔɨʔχ(V)",  66,"male","ɨ̄, pl. ɨ:n / ɨɣəń\H5\h "male deer"; ɨkś ( < ɨkśi\H5\h) "male, male deer"","ɨʔk / ɨksi\H5\h "male, male deer"","ig "male", eg "goat" [probably "he-goat"]; (М., Кл.) igíg "male", pién-ki "male of a wild goat"; Ass. (М., Кл.) eg "male", péŋ-eg "wild goat"","au (М., Кл.) "wild goat; male"","","ССЕ 196. Werner 2, 433 <*ɨʔk / *ɨgə>."
 119,"*ʔɨGɨn (~x-,-ʔ-,-χ-)",  67,"bark","ɨ:n, (Castr. ɨ̄gen)","ɨ:n","","","","ССЕ 196. Werner 2, 433 <*ɨgen>."
 120,"*ʔɨpVl",  68,"asp tree","ɨ:ĺ / ɨ̄ĺ, pl. ɨ:ĺn\H3\h","ɨfɨl\H5,6\h, pl. -ɨŋ\H5\h","īpal, pl. īpatn","","","ССЕ 196. Werner 2, 434 *ɨp\Hh\həl."
 121,"*ʔɨs- (~x-)",   0,"whirlpool","ɨśĺ\H5\h","","","","","ССЕ 196. Perhaps related to  *ʔɨs- 'to row' (?) Werner 2, 432."
 122,"*ʔɨ̄s-",1234,"to row","ɨ:śi\H4 \h(Kur.); Bak., Sur. ɨśə\H4\h / ɨśə\H4\h; South. ɨś\H4\h 'to row'; ъ̄ś (South.), North. ъ̄śi\H1\h 'to moor'","ɨ:\Hh\hs\H4\h 'to row'; ʌtsej\H5\h 'to moor'","d́agičaŋ, *d́ägičaŋ, praet. alagīčaŋ, imp. alčiš; šigiš "rowing"","","","ССЕ 196. The root is also attested with an initial vowel reduction as *sV- in the compound *sV-wVǯ 'to row' (Kott. ša-pēi, šā-pei, Ket. (Кастр.) de-sä-bät, (Донн.) de-se-wet, Yug. (Кастр.) dē-sabet́, (Доннер) dəsebet). Werner 2, 431 <*ɨʔəsə>; 2, 421 <*ət..əs> 'to moor' (on the first part see *ʔət-)."
 123,"*ʔɨGɨǯ- (~x-, -ʔ-)",1202,"vessel made of birch bark","ɨ:t, pl. ɨ̄reŋ\H1\h (Bak., Sur. ɨ̄dəŋ\H1\h), (Kl.) ɨggut","ɨ:t́, pl. ɨd́eŋ\H1\h","","","","ССЕ 196. Werner 2, 434 <*ɨgət'>: final -t' is incorrect (definitely *-ǯ should be reconstructed), but the emendation of *ɨ̄ (Werner would have had *ɨʔə) to *ɨGV (which is suggested by 3d tone and reconstructed *ɨgə) is correct: the form *ʔɨ̄ǯ- in КС... is indeed erroneous."
 124,"*ʔoʔl (~x-)",1203,"dressed off, naked","ɔ́laŋej  'to dress off' (Werner 2, 35)","ɔʔl / oul, pl. ɔlɨŋ\H5\h; ɔlɨŋxət́\H5\h 'to dress off', ɔlɨt́\H5\h 'dressed off'","ol, ōl 'naked, hairless; treeless'","","","ССЕ 197. Werner 2, 35 (*ol), 48 (*oʔl)."
 125,"*jVʔra", 536,"a small insect, worm","ɔləŋgəs\H5\h, pl. -n 'spider'","ɔʔl // ɔllə\H5\h, pl. ɔlɨn\H5\h 'worm, small insect'","d́era, pl. d́etn, d́erán "Eidechse"; d́ira, g. d́irā, d́irei, pl. d́itn id.","","","ССЕ 197. Werner 2, 48 (without the Kott. form). Kott. d́era / d́ira was compared in КС 215 with Ket. tuĺn 'lizard', but this was phonetically irregular (one had to suppose a variation *c- / *ʒ-, otherwise unattested). Werner seems unsure about the attribution of d́era: in 1, 286 he still compares it with tuĺn (see *tulVn); in 1, 415 he proposes to compare it with Ket ʌʔĺ 'frog' - not abandoning, however, the comparison of ʌʔĺ with Arin kere 'frog', proposed in ССЕ 295, and thus has to reconstruct an uncomprehensible variation <*əʔλ / *(k)əλə / *(d')əλə>. There remains, however, a possibility to compare Kott. d́era / d́ira 'lizard' with Ket. ɔʔl 'worm': except for a not quite clear vowel correspondence the etymology seems quite plausible."
 126,"*ʔoʔn-",  69,"seven","ɔʔn (attr.)","ɔʔn (attr.)","","una (Стр.), ɨńa (М., Сл., Срсл., Кл., Ф.), ona (Лоск.); -uńa in qoa-úńa (Сл.) "17"","óńaŋ (Сл., Срсл., Кл.)","ССЕ 197. Werner 2, 48."
 127,"*ʔob",  70,"father","ōp, pl. obaŋ\H6\h","op, pl. obe:ŋ\H3\h","ōp, pl. ōpan, ōpaŋ; Ass. (Бол.) ob, (М., Сл., Срсл., Кл., Ф.) op, (Кл.) öb; Koib. op (Ф.)","b́ap (М., Сл., Срсл., Кл.); (Срсл.) iṕa; (Лоск.) ajap","ab (Сл., Срсл., Кл.)","ССЕ 197. Werner 2, 50 *ob(ə)."
 128,"*ʔoGV (~x-)",  71,"meadow","u:, pl. ɔʔŋ","o: / ou\H3\h, pl. ɔʔŋ","ōx, pl. ōgaŋ","(?) jújuŋ (М., Сл., Кл.) "grass"","","ССЕ 197. Cf. also Ket. ɔɣə\H5\h (South. also ɔ:\H5\h) 'a low-down place overflown in spring': perhaps an alternative rendering of the same word. See Werner 2, 48, 376 <*ogə>."
