NUMBER|PROTO|MEANING|PRNUM|KUR|MLT|NOTES|ADDITION|DEDNUM
809|*saḍ-|sound|1394|saḍḍnā "to emit a sound, ring, clank"|saḍi "a sound, voice"||Also KUR \Isaṛā\i sound, noise.|2299
810|*surl?|flute|0||surli|||2694
811|*surp|to drink with a noisy sucking of the lips|1927|surUpnā (surpyas)|||Also KUR \IsurUkhsurUkhrnā\i to draw one's breath convulsively, sob.|2712
812|*tabd|to stop; to quench|0|tadrnā "to stop weeping or groaning; fig. applied to rain"|tathwe "to quench; be quenched, as fire"||Also KUR \Itadābaʔanā\i to console, dry the tears of, appease.|3065
813|*tak-|to touch, rub|1472|taknā "to rub or graze in passing, give a very slight knock"|take "to touch, hurt (as a sore)"||Also KUR refl.pass. \Itakrnā\i to get a slight knock; MLT \Itakuwre\i to be pained or grieved.|3004
814|*talG|tender, delicate, weak|0||talqro|||3127
815|*tal-|hair of head|1475||tali|||3103
816|*tal-G-?|to pull off, cut off|1928|talAkhnā "to pull off, strip, peel, decorticate"|tale "to cut off"||Also KUR (Hahn) \Italkhnā\i to sever, separate.|3124
817|*tam|to cease, be assuaged (of fever, headache, etc.)|0|tammnā||||3178
818|*tam|to tingle (as a limb when asleep)|0||tame|||3235
819|*tan-|to become rich|1485||tanyare|||3047
820|*taṛ-c-|to lash; to slap|1494|taṛnā (taṛcas) "to flog, lash, whip"|taṛce "to slap"|||3039
821|*taṛ-kī|ear ornament of metal, shaped like the moon-crescent|1513|taṛkī||||3121
822|*taṭq-ā|tongue|1496|tatxā|taṛte|||3064
823|*taŋ-|(his, her or their) younger brother|87|taŋgṛis|||Also KUR \Itaŋgṛī\i (his, her, or their) younger sister.|3015
824|*tākā|wind, air|1974|tākā "air, wind, breeze"|tāke||Also KUR \Itāgrnā\i to blow (of the wind); MLT \Itāgare\i to wave, undulate, fly with a waving motion as a sherd when thrown.|3149
825|*tām (obl. *tam-)|they, themselves|1505|tām (obl. tam-)|tām, tāmi (obl. tam-)|||3162
826|*tān (obl. *taŋ-)|himself|1507|tān (obl. taŋg-) "refl. pron. of the 3rd pers. himself"|tān, tāni (obl. tan̲g-) "himself, herself, itself"|||3196
827|*tānṛ|to spread out, lengthen|0|tā̃ṛnā "to lengthen, elongate, draw or stretch out"|tān̲ṛye "to spread out, stretch out"||Also MLT \Itān̲ṛg̣re\i to be spread out.|3154
828|*tār-|to fell, cut down|1489|tārnā (tāryas) "to fell (tree), lop off (bough)"|tāre "to cut down, fell"||Also MLT \Itare\i to break (as a stick), injure|3140
829|*tāṛ[-m-]|palm tree|1512|tāṛ|tālmi "Borassus flabelliformis"|||3180
830|*tel-|to lift; to tuck|0|telEgnā (telgcas) "to tuck up (e.g. garment before sitting)"|tēle "to lift (as the corner of a curtain or hem of a dress)"|||3428
831|*tel-g-|to disclose, uncover|1522|telgnā||||3433
832|*tē̆l-|to winnow, sift|1523|telnā "to winnow flour so as to separate it from stones or unground grain"|tēle "to sift"|||3435
833|*tem|to break; to miss|0|timmnā "to bungle at husking paddy, break the grains in the process of pounding"|teme "to prove false (as an arrow not going off)"||Also KUR \Itimmrnā\i (paddy grains) to be brittle.|3241
834|*temb|to beg for alms|0|tembnā|||Also KUR \ItembArus\i mendicant, beggar.|3431
835|*term|to roll something upon itself|0|terEmnā (tirmyas)|||Also KUR refl.pass. \ItermErnā\i|3246
836|*tīr-|to turn on one's heels over a few grains of scalded paddy to see if it has become sufficiently dry to husk, make pirouettes|1546|tīrnā||||3246
837|*tes|to plait, intertwine so as to form a long narrow strip, (Hahn) tie a knot (Pfeiffer)|0|tessnā (tissyas)||||3446
838|*tej|to send, carry newly married girl out of village|0|tainā (taiyyas), tēynā (tēyyas)|teye|||3418
839|*teŋ-|to tell|0|teŋgnā (tiŋgyas) "to tell, narrate, explain"|ten̲g̣e "to tell, point out, relate"||Also KUR \Iteŋgrnā\i to confess, profess; \Itiŋgābaʔanā\i to moralize, preach, impress upon, inculcate; refl.pass. \Itiŋgārnā\i.|3409
840|*tēG|to shine, glow|0||tēqe||Also Mlt \Iteg̣-teg̣re\i to be or become glossy|3200
841|*tēl-ā|scorpion|1531||tēle|||3470
842|*tēl-|ebony tree|0|tēlā|tēlo "a sort of ebony tree and its fruit (Diospyros gluttinosa)"|||3463
843|*tēn-|fly, bee|1533|tīnī "fly (\Itīn+ī\i)"|tēni "bee"|||533
844|*tēs|to drive in by surrounding when hunting or fishing|0|tēsnā|tēse|||3455
845|*tēt-|to assist a woman in raising a load to her head|1532|tētnā (tētcas/tettas)||||3450
846|*tiGl|rice, paddy cleansed of its husk|0|tixIl|tiqalu|||3271
847|*tin-d-|to feed by hand|1541|tindnā "to put into another person's mouth"|tinde "to feed by the hand"|||3263
848|*tin-[-G-/-ḍ-]|strength; to strain|1543|ṭinḍī "strength"|tinqe "to strain (as at stool)"||Also KUR (Hahn) \Itindī\i fast, immovable; (Grignard) \Itiū̃khnā\i to groan, moan under a violent effort, as when lifting a heavy load, fighting, etc.; (Hahn) \Itinkhnā\i, \Itiū̃xnā\i to strain, as at stool.|3222
849|*tīgā|monkey|0|tīgā "(Hahn) monkey"|tige|||3270
850|*tīn-ā|right|1540|tīnā|tina "right (hand)"|||3263
851|*tī-n-|to have a sweet taste, be a relish for, please|1556|tīnnā||||3268
852|*tīr-|to lag behind; to go away|1552|tirnā "to lag behind, arrive late"|tīre "to go away, be off"||Also KUR \Itīrtaʔānā\i to delay (tr.); MLT \Itīrtre\i to remove.|3278
853|*tod-|stammerer|1558||todlo||Also MLT \Itodlqoṭe\i to stammer, lisp|3503
854|*tolG|side of the body, flank|0|tolOkh|||Also KUR (Hahn) \Itolokh\i armpit.|3520
855|*toṛ-g-|to be in readiness for action|1564||toṛge|||3481
856|*toṛ-s-|to touch slightly|1561|toṛsOgnā (tuṛsgyas) "to touch slightly with the foot"|tōṛe "to string the bow"|||3480
857|*tot-|point, pointed|1594||tota|||3314
858|*toŋG|to break off|0|toŋkhnā "to break any part of a plant with the fingers, cull or pluck a leaf or flower, prune a tree"|toqe "to nip off (as herbs), cut off (as bamboos); end, finish (as a narrative)"||Also MLT \Itoqre\i to be at an end, be finished, be cut off, die; \Itoqro\i broken, ending.|3479
859|*tōk-|to stamp violently with one foot or with both feet (as in jatra dance)|1566|tōknā||||3539
860|*tōnṛ-ā|throat|1574||tōn̲ṛe|||3498
861|*tub|to put plenty (or too much) inside, press, stuff or cram into, overfill|0|tubnā|||Also KUR \IturUgnā\i to gather together continually (material that adheres to side of mortar or oil-press, in rice-pounding and oil-extracting)|3367
862|*tub|to throw away, disregard|0||tuwe|||3365
863|*tuk|to push|0|tukknā "to give a push to, shove"|tuke "to push, remove"|||3286
864|*tum-|to sneeze|1607|tumʔnā (tummyas)|tume||Also KUR \Itumʔtaʔānā\i to cause one to sneeze.|3336
865|*tumb-ā|wasp, hornet|1602|dumbā, tumbā|tumbe|Вариант с начальным звонким, по-видимому, вторичен.|Also KUR \Idumbhārō\i sp. of very long hornet; \Itumbil\i wasp; MLT \Itumbṛare\i black wasp.|3328
866|*tumb-r-|tube, tunnel|1619||tumbṛa||Also Mlt \Itombra\i tube|3389
867|*tund-|to spill, pour|2115|tundnā "to be poured out, spill, pour into"|tunde "to spill, shed, throw out as water"||Also KUR \Itundrnā\i to be poured out, be spilt; MLT \Itundg̣re\i to be spilt, be shed.|3321
868|*tungl|a dream|1614|tungul|tumgle|||3376
869|*tunq|to collect|0||tung̣e||Also Mlt \Itung̣re\i to be collected, assemble|3308
870|*tup-|to spit|1610|tuppnā|tupe||Also KUR \Ituppalxō\i saliva, spittle; MLT \Itupg̣le\i, \Itulg̣pe\i spittle.|3323
871|*tur-d-|to pass through|1616|turdnā "to pass through any narrow aperture, slip through a narrow passage of any form, fall through a hole, ooze out"|tuthr-kaṭe "to pass through a place, pass through (as an arrow)"||Also KUR \Iturdaʔānā\i to pass (a thread, string) through a hole, let pass an animal, help or allow someone to pass through any narrow aperture.|3399
872|*tuṛg|to break (as a stick)|0||tuṛge||Also MLT \Ituṛgre\i to be broken; \Ituṭgro\i broken.|3310
873|*tuṛq|to take the skin off, shell, strip|0|tuṛUxnā, tuṛxaʔānā|||Also KUR refl.pass. \ItuṛxUrnā\i.|3358
874|*tus|to grunt, snort|0|tussnā "to be about to cry, grunt, let escape a suppressed groan, ask for in a whisper"|tuse "to snort"|||3290
875|*tusgā|lizard|0|tuska "(Mirdha dial.) iguana"|tusge "a kind of lizard"|||3289
876|*tusg|to loosen threads that are knit, undo a piece of plaited straw, tamper with, unsettle, derange something tidily bound up|0|tusUgnā (tusgyas)|||Also refl.pass. \ItusgUrnā\i.|3288
877|*tūr-|to pierce|1613|tūrnā "to pierce through, perforate"|tūre "to scratch out"||Also MLT \Iturge\i to bury the ashes of the dead. Cf. also MLT \Itun̲ga\i, \Itun̲gṛa\i hollow of a bamboo or bridge, tube, tunnel.|3339
878|*tūt-|hole|0||tūtro|||3399
879|*ṭaḍ|a wooden spoon|0||ṭaḍu|||3411
880|*ṭaḍ|scar, spot|0||ṭaḍa|||3118
881|*ṭaō|name of a bird of blue plumage, (Hahn) blue jay|0|ṭaʔō̃||||2951
882|*ṭaṭqā|mango|0|ṭaṭxā|ṭāṭge, (Das) ṭaṭg̣e|||2943
883|*ṭaṇḍ-|to prevent, hinder, impede|1468|ṭaṇḍnā||||3031
884|*tonG-|to hang; to bend|1581|ṭaŋgnā (refl.pass. ṭaŋgrnā) "to suspend, hang"|tonqe "to bend, bend the knees slightly while dancing"|Во всех остальных корнях с начальным *ṭ- оно, несомненно, вторично и возникло в результате ассимиляции с инлаутным ретрофлексным; это наводит нас на мысль, что в данном корне запись ṭ- в курух ошибочна (ср. малто, где начальный смычный не ретрофлексный).|Also MLT \Itonqro\i bent.|3478
885|*ṭāṭ|to lick, kiss|0|ṭāṭnā (ṭaṭṭyas)|ṭāṭe||Also KUR \Iṭaṭṭ-ērnā\i to taste; MLT \Iṭaṭēre\i to taste.|2952
886|*ṭiḍ|to fell|0|ṭiṛnā (ṭiḍḍas) "to let fall, drop, make fall"|ṭiḍe "to vanquish, fell a tree"|||2957
887|*ṭō(n)ṛ-|to hook in|283|ṭō̃ṛnā|||Also KUR \Iṭōṛō̃\i a pole with an iron hook or branch curved down to one extremity; \Itūṛsī\i a variety of the native rake or \Iṭōṛō̃\i; (Bleses) \Iṭōṛō\i a long stick with an iron hook.|3547
888|*ṭōṭ|side, direction|0|ṭōṭ||||3040
889|*ṭūḍ|to smear; to mark|0|ṭūṛnā (ṭuḍḍyas) "to mark with dots, streaks, etc."|ṭūḍe "to smear, apint"|||2968
890|*ugī|the top-knots by which the strings which support a carrier's loads are connected with the shoulder-stick|0|ugī||||570
891|*uǯ-|to live; life|1672|ujjnā "to have life, reside, become animated, take life"|uje "to live; n. life"||Also KUR \Iujjtaʔānā\i to keep alive, bring back to consciousness, raise again to life, revive (fire, quarrel); MLT \Iujni\i living, alive.|645
892|*uǯ-gō|true, upright|1879|ujgō "uprightness, moral rectitude; adj. straight, upright; (Hahn) straight, right, true, straightforward"|ugjo "true, real; truth"|||583
893|*ul-ā|inner, inside|1642|ulā "inner room; in, inside"|ule "inside, within"||Also KUR \IoṛOgnā\i, \Ioṛgaʔānā\i to believe, think, fancy, assume ('inside' - 'entrails' - 'heart' - 'mind'???); MLT \Iugli\i heart, mind; \Iugleye\i to think, wish, care for; \Iuglare\i to remember; \Iuglatre\i to remind.|698
894|*ul-i|onion|1641|uli||Неясно отсутствие геминации в курух.||705
895|*ullā|day|0|ullā|ulle "by day"||Also KUR \Iullē̃ṛ\i two days; \Iullmūnd\i three days; \Iullnāx\i four days; \Ioḍul\i, \Iundul\i one day; MLT \Iulli-māqi\i night and day; \Iullond\i day before yesterday; \Iullte\i, \Iullti\i of the day; \Iullu\i daylight|677
896|*umbl-|to urinate|1644|umbUlnā, umUlnā|umble||Also KUR \Iumulkā\i urine; MLT \Iumblmuro\i urine (\Imuro\i id.).|644
897|*um-|to bow|0|umbʔū, humbuʔū, umbaʔā, humbaʔā, humkuryā, ombaʔā, hombaʔā "with the face turned downward"|umgre "to bend (as in respect)"||Also KUR \Iumbʔū mannā\i to bow profoundly, go down on one's knees; MLT \Iumgro\i bent, meek, humble.|641
898|*um-k|husk, chaff|1646|uŋk|umku|||637
899|*unṛp|to bore, perforate|0|umpnā "to perforate, pierce through, cut a passage for (through something)"|un̲ṛpe "to bore through"||Also MLT \Iun̲ṛpre\i to be bored through; \Iun̲ṛpo\i bored, a hole.|640
900|*urG|to come out|0|urkhnā "to come or go out, set out on journey, germinate, break forth (eruption), evolve"|urqe "to come out, come forth"|||668
901|*urb|well-to-do, well-off, rich|0|urb|||Also KUR \Iurbas\i master, landlord, (pl.) parents; \Iurbnī\i mistress of the house, lady.|654
902|*ur-|to rub off; to fall off|0|urnā (uryas) "to rub off the leaves of a branch, the spikes of a corn-ear, by passing the hand along"|urg̣re, urwre "to fall off (as the hair), slip off"|||652
903|*uṛ|to be full, satisfied|0|uṛnā "to have one's sufficiency, (stomach) fills; grow broad, be as thick as required"|uṛe "to be filled, be satisfied"||Also KUR \Iuṛdaʔānā\i, \IuṛUdnā\i to give one his fill, quench (thirst); MLT \Iuṛde\i to fill (as the belly), satisfy.|598
904|*us-|to plough|1668|uinā/uynā (ussas)|use "to turn up the soil (as pigs do)"||Also KUR \Iugtā\i a plough, ploughshare.|688
905|*utā|a tree lizard called also \Iqēse-ōnu\i (blooduscker)|0||ute|||1053
906|*ut|to kick|0||utese||Also Mlt \Iusete\i to kick, thrust away, despise|616
907|*utg|to sting, bore|0|utUgnā "to sting, (water) to be piercingly cold, rouse one against a third person"|uthke "to bore a hole"||Also KUR (Hahn) \Iutgā\i sting; MLT \Iuthkre\i to be bored through; \Iuthkro\i bored, a hole.|742
908|*uṭ-|to close, cover|0|uṭnā (uṭṭas) "to close an aperture by filling or obstructing"|uṭe "to cover, fill up (as a hole)"||Also KUR refl.pass. \IuṭUrnā\i (\Iuṭṭras\i) to set, be hidden behind; MLT \Iuṭg̣re\i to be covered up, be filled up (as a cavity or hole).|597
909|*uṭ|to fall, drop down|0||uṭre|||596
910|*uj|to marry|0|uinā (uyyas)||||1051
911|*ū|this (intermediate)|1676|hūs, hūr/hubṛar, hūd, hubṛā "this male, these persons, this female or thing, these things (intermediate between near and far, or close to the person addressed)"|uthi "look there!"||Also KUR \Ihū\i this; \Ihū̃rā\i, \Ihū̃dā\i, \Ihū̃rū\i, \Ihurū\i that much of (shown from some distance), that much (i.e. as much as is with you, or as much as you said); \Ihudā\i, \Ihuiyyā\i, \Ihusan\i there (in the centre, or close to you); \Ihujgō\i in that (intermediate) direction; \Ihunnū\i by that way; \Ihuttrā\i towards that quarter, on that side (previously mentioned), on your side, in your village or country.|557
912|*ūGā|dark|0|ūxā "darkness, dark, the rainy season"|ūqe "dark, darkness; to be or become dark"||Also KUR \Iūxnā\i to grow dark, be overtaken by night, get benighted; \Iūxrnā\i to be still dark or already dark; \Iūxtaʔānā\i to detain one till it is night, wait for the night to come; MLT \Iūq-māq\i dark night; \Iūqtre\i to darken, blacken (as the sky).|730
913|*ūd-|to fix; to lift|1647|ūdnā "to fix a closed door, shutter, etc. (by a bolt, latch, lock, stay)"|ūde "to lift or prop up (as a screen)"||Also KUR \IuddUrnā\i (\Iuddras\i), \IudUrnā\i (\Iudras\i) to lean upon a walking-stick; \Iudur-udur\i \Iēknā\i to walk leaning upon a stick; MLT \Iūdure\i (\Iudurya\i) to lean upon; \Iudutre\i to prop up (as a screen).|763
914|*ūǯ|to collect|0|ūjnā "to collect from door to door"|ūje "to collect taxes or contributions"|||734
915|*ūk-|to act with dignity, terrify|1678||ūkye|||729
916|*ūnḍṛī|mistress of a house|0|ūṇḍrī, ū̃ṛī, (Hahn) uṇḍrī||||593
917|*ūr-|to blow|1683|ūrnā "to blow, play upon a wind-instrument, set a fire to, put out (a light), draw (poison by magic insufflations)"|ūre "to blow (as the wind does), blow a fire or a trumpet, breathe upon (in sorcery)"||Also MLT \Iūrtre\i to have exorcisms performed in case of illness.|751
918|*ūrī|in cutting rice or grass or collecting dry leaves, each of the small heaps made from place to place, to be gathered in later, (Hahn) a sheaf of corn|0|ūrī||||753
919|*cap-|to smack, chomp|1402||cap-captre||Also \Icopye\i to chew (as sugarcane)|2334
920|*Kal-|to dilute, mix with water or other liquid|721|khalnā||Strange aspiration in Kurukh.||1299
921|*ī|fly, bee|449|tīn-ī "fly"|tēn-i "bee"||?Also KUR \Iēxā\i gadfly, horsefly|533
922|*pej-|to feel fervent or animated|1250||peypeyre|||4438
923|*tis-g-|to open|1519|tisIgnā (tisgas) "to open (door, shutter)"|tisge "to lift the latch"||Also KUR refl. and. pass. \Itisgrnā\i|3259
924|*ub-|to bubble up, gush up or out with force, swell up|1653|ubkārnā||||666
925|*ḍonḍ-/*ḍuḍ-|stout|277|ḍonḍā pottā "(Hahn) large-bellied"|ḍuḍo "large-bellied"|||3491
926|*qāǯ-|(Hahn) to tether, bind by the feet|366|xājnā||||1099
927|*qop-|(Hahn) chignon|635|xoppā||||2110
928|*mud-|face|913||mudra|||5031
929|*tor-|mouth|1562||toro||?Also MLT \Itoto\i beak, bill.|0
930|*karp-|straps (without sole) crossed over and worn round the ankle|731|kharpā||||0
931|*cit-|sour; tamarind|1424|citī "a tamarind seed with one of its sides rubbed until it has become white"|site (?) "sour"|||2529
932|*gur-|to roar (as a tiger), snarl or growl fiercely, utter angry words or shouts of anger|417|gurrārnā||||1852
933|*qās-|to scratch for relief|541|xā̃snā|||Also KUR \Ixā̃srnā\i to scratch oneself|1104
934|*majs|ink|804|maī̃s||||5101
935|*pal-|in: \Ieṛpā-pallī\i household, family establishment (\Ieṛpā\i house)|1169|pallī||||4018
936|*ekal-|to be separated, be alone|0||ekalare|KR 1.||0
937|*arb-|to press down, keep down|0|arb-||KR-22.||0
938|*sam-|to fit|0|sam- (samc-) "to fit, be of right size"|sambr- "to be cured, mended, come right"|KR-32.||0
939|*ar-|to call to goats|0||arr-|KR-37.||0
940|*alk-|to be opened|0||alkre|KR-47.|Also MLT \Ialktr-\i to open.|0
941|*ēgr-|to be abundant|0||ēgr-|KR-65.|Also MLT \Iēgrtr-\i to overfill.|0
942|*uṛ-|to boil|0|uṛtūr- (uṛtur-) "to be agitated by the action of heat; to boil; be boiled or cooked; fig. be tired up to excitement (KR 98)"||||0
943|*it-|to spring up, as seed|0||ite|KR-162.|Also MLT \Iitr-\i, \Iitg̣r-\i to be hatched|0
944|*ak-r-|to chase, fly at, drive|0||akr-|KR-153.|?Also MLT \Iaktr-\i to suspend|0
945|*cāǯ-|to choose, pick out the best|0|cāj- (cajj-)||KR-190.||0
946|*oḍ- (*-ṛ-)|to put any object in a position favorable for being acted upon, as ears to prick|0|oṛ- (oḍḍ-)||KR-193.||0
947|*ot-|to touch, give a slight stroke|0|oth- (utty-)||KR-201.||0
948|*oṭ-|to prick, hurt (as gravel the bare foot)|0||oṭy- (oṭc-)|KR-201.||0
949|*qar-|derangement by great heat in bowels during the hot season|0|xarai||KR-230.||0
950|*kaṛ-||0|kaṛ- "to twist together"|kaṛk- "to tighten"|KR-234.|Also MLT \Ikaṛkar-\i to restrain oneself|0
951|*qōǯ-|to take away, shift|0||qōj-|KR-320.||0
952|*qarq-|to sound|673|xarx- "to ring, jingle"|qarg̣r- "to cry out"|KR-340.||0
953|*gor-|abnormally bent one way|0|gorrē, goreā||KR-350.||0
954|*kōr-|to shrink in, lose volume|0|kōr-||KR-350.||0
955|*cab-|to chew, masticate|0|cab- (cabc-)||KR-409.||0
956|*sār-|to finish|0||sāry- (sārc-)|KR-420.||0
957|*cīnc-|to blow the nose|0|cī̃cr-||KR-445.||0
958|*tuk-|to aim at|0|tuk- (tukc-)||KR-451.||0
959|*tunḍ-|to see|0||ṭunḍ-|KR-451.||0
960|*genj-|to smash, crush|0|gẽj- (gejj-)||KR-457.||0
961|*ǯan-|to startle, jerk|0|jankaʔ- "to startle, affright"|janq- "to be jerked"|KR-483.||0
962|*dal-|to grind|0||daly- (dalc-)|KR-499.||0
963|*ḍeg-|to speak with effrontery|0|ḍeg- (ḍegc-)||KR-511.||0
964|*caṛ-|to expel, turn one out of the village|0|caṛ- (caḍḍ-)||KR-547.||0
965|*tunḍ-|end, termination|0|ṭuṇḍū||KR-579.||0
966|*ǯok-|to weigh|0|jokh- "to weigh, compare"|joky- "to measure, weigh"|KR-588.|Also MLT \Ijokar\i to be compared; \Ijokartr-\i to compare|0
967|*teG-|to burst, as a boil|0||teqr-|KR-597.|Also MLT \Iteqro\i damaged; \Iteq-\i v. i. to open, as a boil; come or break forth|0
968|*tāṛ-|to put out of the way; clear of obstruction|0|tāṛ-||KR-606.||0
969|*aŋl-|to weep loudly|85|aŋglnā, aŋgla'ānā||||31
970|*ar- (?)|neighbours|63|arbar-parbar||||222
971|*uṛ-|to be agitated by the action of heat, boil, be boiled or cooked; be tired up to excitement|1635|uṛturnā||||588
972|*kus-|(Hahn) to whisper|419|kusmusa'anā||||1638
973|*kūr|call to a dog|710||kūr-kūr|||1796
974|*nar-|to hum, weep and sob loudly so as to attract attention|1061|naryaʔānā||||2904
975|*man-j-|to love, marry|787||manye||Also MLT \Imanc-naqe\i to love each other, marry each other|4667
976|*bal-ej-|a brownish variety of the magṛī or horned fish|1746|baleyā-ińjō||||5379
977|*mad-|to be nervous and fidgety (as an animal overfed and left without work), be in rut, grow fond of a thing through habit, (Hahn) be intoxicated|747|madārnā||||4687
978|*poq-ol-|renown, praise|1307||pog̣ole|Also MLT \Ipog̣olare\i to be praised; \Ipog̣olatre\i to praise, extol||4235
979|*kā-|to go|727|kānā (\Ipast\i keras, \Ifut.\i kālos, kāos; \Iimper.\i \Ikalā\i; gerund \Ikālā\i) "to go, lead to (as a road), progress favourably, go on, continue, perish, pass (of time), come to an end, (stomach) has diarrhoea, bring oneself to, be able to|kāle "(no past tense) to go, come to"|||1419
980|*bas-j-|to consume to ashes, (man) destroys by fire|1785|bassnā|||If the root really < PDR *vēj- 'hot', then cf. MLT \Ibēru\i 'sun'.|5517
981|*bir-G-|to disgust with, make sick of, disaffect from|1761|birkhaʔānā|||Also KUR \Ibirkhārnā\i to grow disaffected, conceive a disgust for, be sick of|5512
982|*tur-|to bubble up (as foam when anything is being boiled), overflow.|1592||ture|||2883
983|*ǯōr-||1754|jorō 'leaking'|-jōra, in: \Iam-jōra\i a spring, fountain|||2883
984|*can-G-|to itch, tickle|1466|caŋgrnā "to itch, be the seat of a titillation"|cēql-kūnḍe "to tickle"|MLT cēql- possibly < *cenql-.|Also KUR \Icaŋgrtaʔānā\i 'to tickle, titillate, please (as a musical sound)'|2274
985|*caṭ-|to slap; to crackle|228|caṭkaʔānā, caṭgaʔānā "to slap in the face"|caṛ-caṛre "to crackle (as wood in the fire)"||Also KUR \Icaṭcaṭrnā\i 'to crackle, give forth a series of small explosions (as fire or loud slaps)'|2296
986|*por-s-|sweepings|163||porsi|||4316
987|*kac-|to be vexed, get annoyed|478|kackacrnā|||Also KUR \Ikackac\i annoyance, vexation|1089
988|*beŋk-|to turn (tr.) from a straight line, bend, curve|1732|beŋknā, beŋka'ānā|||Also KUR \Ibeŋkō,\i \Ibaŋkā\i 'crooked, bent, curved'|5335
989|*kab-|to bend|1885|kabʔā-kubʔurnā "to take short step forwards in a leaning position"|kawge "to curve, bend"|||1344
