NUMBER|PROTO|MEANING|PRNUM|KOLAMI|KOL̲KIN|KOL̲SR|NAIKRI|NAIKI|PARJI|OLLARI|SALUR|POYA|S̲3|ADDITION|NOTES|DEDNUM
803|*nak-|fox|986|nakka "(Br.) fox"||||||||||||3606
804|*naḷ|day|998|nal (obl. naṭ-) "in: \Iin nal\i two days, \Iin naṭuŋi\i for two days only"|||marneṛ "the day after tomorrow"|||||||||3656
805|*naml-|peacock|1058|lamni|namli|namlī|namli, lamli|||||||||2902
806|*naram|vein|985||naram||||nerub (pl. nerbul)|||narub (pl. narbul)||||2903
807|*ńar-|fear|1060|ari|||ari|ari|nar|nar|nar|||Also Kolami \Iars-\i (\Iarast-\i) to fear; \Iarp-\i (\Iarapt-\i), \Iarsip-\i (\Iarsipt-\i), (Kin.) \Iarplip-\i to terrify; Naikri \Iars-\i to fear; \Iartip-\i to terrify; Naiki \Iarus-/ars-\i to fear; \Iarup-/arp-\i to frighten; Parji \Inarc-\i to fear; \Inarpip-\i (\Inarpit-\i) to frighten; Ollari \Inars-\i to fear; \Inarupp-\i (\Inarupt-\i) to terrify; Salur \Inarc-\i to fear||3605
808|*nasam|itch|0|nesam tineng "(Pat.) to itch"|nasam- "to itch"|||||||||||3597
809|*nālk-/*nav[ŋ]-|tongue|991|nālka|||nālka||nevãḍ|nāŋ|nāngu|||||3633
810|*ńajt-|dog|1067|āte|||āte|āte|netta (pl. nettel)|nēte|nette|kope nete "wild dog"||Also Kolami \Iresn āte\i wild dog; Parji \Iiric netta\i wild dog\i||3650
811|*ńāḷ|night|1068|āle|||āḷe|ālen|nendu nal "midnight"|||||Also Kolami \Iālini\i in the morning; \Iālintanaṭ\i from morning; Naikri \Iāṛeni\i early in the morning; Naiki \Iarda ālen\i midnight; Parji \Iāṇḍ-\i evening to come on; \Iāṇḍek\i evening; in the evening; \Iāṇḍpip-\i (\Iāṇḍpit-\i) to make to become evening (i.e. stay until evening)||3621
812|*nāl-|four|996|nāliŋ "four things"||nālgur "four persons"|nāliŋ "four things"|nāli "four (non-masc.)"|nālu(k) "four things"||nalgur "four (masc.)"|||Also Kolami \Inalgur\i four men; \Inallav\i four women; \Ināl udul\i four days; Naikri \Inalgur\i four men; \Inallaḷ\i four women; Naiki \Inalgur\i four (masc.); Parji \Inelvir\i four men; \Inelal\i four women; adj. \Inel\i (in certain combinations); Salur \Inandal\i (fem.), \Inālig\i (neut). four; Gadba̲S3 \Inalvur\i (masc.), \Inaṇḍal\i (fem.), \Inālug\i (neut.) four||3655
813|*nān|day|1078|||||nān (obl. nāṭ-)||||||||2920
814|*nānḍ-|(eyes) to open|0||||||nā̃ḍ- "(eyes) to open (of young animals, which when born are unable to see)"|||||||3642
815|*nār-|rope|1002||nāra "rope, hanging rope-shelf"|nārā||||||||||3651
816|*nār-|a k. of fish|0||||nāri "the bām fish"|||||||||3654
817|*nājk-|to lick|995|nāk- (nākt-)|||nāk-||nēk-|nāk-|nāk-|||||3570
818|*nāŋl|plough|1070|nāŋgli|nāŋeli||nāŋgar|nāŋgar|nā̃gil|nāŋgal|nāngal|||||2907
819|*neg-|to fly; jump|313|negay- (negayt-) "to fly"|||negay- "to fly, rise"|egur- "to jump"||||||Also Kolami \Inegap-\i (\Inegapt-\i) to make to fly; Naikri \Inegap-\i to make to fly or rise||3730
820|*NelVk-|silk-cotton tree|1073||||||neluk|||||||495
821|*nel-, *nel-nǯ|moon|1010|nela|||nela||neliñ (pl. nelñil) "moon, month"|neliŋ "moon, month"|nelling|||Also Salur \Inelā\i (pl. \Inelŋīl\i, \Inelingīl\i) month||3754
822|*end̲-|sunshine|326|||||edde|nendi, (NE) nenḍi "heat of the sun"||||||Pa. \In-\i probably because of contamination with the *n-sun.|869
823|*nenǯ-|flesh|1015|nenjeŋ "meat, vegetable"||nānjūḍ|nenjuṛ|||||||Also Kolami̲Haig \Ināŋdzuḷ\i flesh; Naikri \Inenjeŋ\i broth||3581
824|*nernǯal|spleen|0||mirjeṛ "intestines"||||nereñal|||||||3751
825|*net- (*-t̲-)|forehead|1009|netti|||netti||||||nediḍe "scalp"|||3759
826|*netur|blood|1007|netur, (Pat.) nettur|||nettur|ettur|netir||nettūr|netir||Also Parji \Inetro\i, Salur (P) \Inetraṭ\i red||3748
827|*ńev-|earthworm|1075|ēvari purre (Pat.), evur burrey (SSTW)|evari purre||||nevaka|navake|navāke|||||2906
828|*ńevuṛ|spittle|1077|evur|||evur||nevuṛ, nevuḍ|nevuṛ||||||3756
829|*nej|oil, ghee|1006|ney "butter, ghee"||pāl nūne "ghee"|ney "ghee"|ey "oil"|ney "oil, fat"|ney "oil"|neyyū (pl. neygīl) "oil"||ney(yu) "oil"|Also Kolami \Inūne\i oil; Parji \Inū ney\i sesamum oil||3746
830|*nēk- (?)|to sound|0|||||nēk- "(musical instrument) to sound, be played on"||||||Also Naiki \Inēkup-/nēkp-\i to play an instrument||3762
831|*ńēl (*0-)|earth|1079|ēl|||ēl|||||||||2913
832|*nēnd̲|we (incl.)|1968|nēnḍ|||nēnḍ, nēm|||||||||3647
833|*Nēnḍ-|jambu|1081||||||nā̃ḍi (pl. nā̃ḍkul) "Eugenia jambolana"||nēnḍu||nēḍ māre|||2917
834|*ńil-|to stand|1082|il- (ilt-)|||il-|il-|nilp- (nilt-)|nil-|nil- (nilt-)||niṇup- "to make to stand"|Also Naiki \Iilup-/ilp-\i to make to stand; Parji \Initip-\i (\Initit-\i) to make to stand||3675
835|*ninḍ- (*-nd̲-)|to be full|1025|ninḍ- (ninḍt-) "to become full, (meeting) is convened"|||ninḍ- "to become full"|in- "to be filled"||||||Also Kolami \Ininḍp-\i (\Ininḍipt-\i) to fill, convene (meeting); Naikri \Inipp-\i to fill (tr.); Naiki \Iindup-/inp-\i to fill (tr.)||3682
836|*ninḍ-k-|(water) to subside|440|||||ḍik-, ḍig- "flood water to subside"|ninḍk- "(flood) to subside"|||nink- "flood water to subside"|iŋk-ēr- "to be absorbed"|||430
837|*ńipaṭ-|bread|0|ipaṭe|nipaṭe|nīpaṭe|ipaṭ (pl. ipaḍḷ)|||||||||3670
838|*nir-|to blaze|1024||nipp- "to kindle"||nipka "burning coal"||nir-||nirik-, niruk- "to light a lamp"|||Also Kolami \Inipka\i small piece of fire; Parji \Inirkip-\i (\Inirkit-\i) to kindle||2929
839|*nīg-|to massage|0|nīgeng "(Pat.) to massage"||||||||||||3691
840|*ńīnd- (*0-)|to swim|1084|||īnd-||||||||||3687
841|*ńīr|water|1085|īr|||īr|īr|nīr "water, general appearance, character"|nīr|nīr|||Also Naiki \Iīr kak-\i to bathe; Parji \Inīr netta\i, Salur (P) \Inīr nete\i otter||3690
842|*nījṛ-|shade|1008|nīnḍa|||nīnḍa||nīṛa|nikiṛ||||||3679
843|*nīŋ-a||0|nīŋga "fly"|||nīŋga "fly"|||||||||533
844|*ńoḍ-|to wash|1087|oḍ- (oṭṭ-) "to wash (body or part of body)"|||oṛ- (oṭṭ-) "to wash, bathe"|oṛ- (oṭṭ-) "to wash (hands, feet, etc.)"|noḍ- (noṭṭ-)|nor-|norr- (noṭṭ-) "to wash (clothes, etc.)"|||Also Kolami \Iōḍp-\i (\Iōḍopt-\i) to bath (tr.); Parji \Inoḍip-\i (\Inoḍit-\i) to wash (another)||3783
845|*noL-|to swallow|1039|nolayeng "(Pat.) to swallow"||||||||||||3791
846|*nor-|to thresh|0||norp-|||||||||||3728
847|*noṛŋ-|to roll|0|nolŋg- (noloŋkt-) "to thrash about on ground"|||noṛaŋ- "to roll on the ground"|||||||||3789
848|*ńoj-|to hurt|1089|oy- (oyt-) "(wound) hurts, pains"|||oy- "to be painful"|oy- "to hurt (intr.)"|noy- (noñ-) "to be painful, hurt, ache"|noy- "to be painful"|||noppi "pain"|Also Naikri \Ioyip-\i to cause pain; Parji \Inoykuḍ\i pain; \Inōmbir\i, \Inōmir\i fever, illness||3793
849|*nōl-|to crawl|0|nōlaŋg- (nōlaŋkt-) "(snake) crawls"||||||||||||3714
850|*nuḷn-|a k. of insect|0|nulle "(Br.) fly"|||||nuṛñi, (S) uṛñi "mosquito"|||||||3715
851|*nuv-|a well|1043|nuvvi|||nuvvi|uy, uvvi||||||||3706
852|*nuv-|sesamum|1055|nūne "oil"||nuvvū "sesamum, til"|nuvv (pl. nuvvuḷ)|ū|nuvul "(pl.) sesamum"||||nuvul "(pl.) Sesamum indicum"|||3720
853|*nūl|thread|1051|nuv (?)|nūl||||nūl|nūl||||||3726
854|*nuj-|smooth|0|nuyung "(Pat.) smooth"||||||||||||3779
855|*nūk-|to push|1056|nūk- (nūki-) "to push so as to move"||||||||||||3722
856|*ńūṛ-|to wear|0|ūr- (ūṭ-) "to wind on (waistcloth, belt), put on (clothes)"|||ūr-|ū-/ūy- (ūṭṭ-) "to put on cloth"|nūṛ- "to wear (loincloth, dhoti)"|nūṛ- "to wear cloth"|nuḍ- "to wear (dhoti, sari)"|||Also Parji \Inūṛpip-\i (\Inūṛpit-\i) to put (loincloth, dhoti) on someone else||3727
857|*njīm/*njīr (obl. *im-)|you (pl.)|1034|nīr (obl. im-)|||nīr|īm (obl. im-)|īm (obl. im-)|īm (obl. im-)|īm (obl. imm-)|||||3688
858|*njī (obl. *in-)|thou|1035|nīv (obl. in-)|||nīv|īv, nīv (obl. in-)|īn (obl. in-)|īn (obl. in-)|īn (obl. inn-)|||||3684
859|*Nad̲- (*-e-, *-d-)|to smell|1065||||||ned- (nett-) "to smell, stink"|||||||2918
860|*Nag-|to laugh|974||||||nav-|nag-|nagg-||nag- (nak-)|Also Parji \Inava jeri\i joke, joking; \Inavip-\i (\Inavit-\i) to cause to laugh||3569
861|*Nal-|to squeeze|976||||||||||nalpap-|||3611
862|*Nam-|button-tree|0||||||nammi "Anogeissus latifolia"|||||||3599
863|*Nanḍ-k-|bug|980||||||||naṇke|nanḍke|naṇke|||3621
864|*NaN-|to enter|1059|||||||nan-|nann-|||||3588
865|*Nark-|night|987|||||||narkam|narkā, narkām||narkam|Also Salur \Inisa narkam\i midnight||3613
866|*Navṭ-|chin|1063||||||navṭoŋ|||||Also Parji (S) \Inavurka\i lip||3596
867|*Nāg-|earring|994||||||||nāgu|||||3635
868|*Nān-|soaked|997||||||||||nān-ēr- "to be soaked"|||3630
869|*Nāg- (*-v-)|pig|993||||||nēva "female pig"|||||||3634
870|*Nel-|emblic myrobalan|1011||||||nella "Phyllanthus emblica"|||||||3755
871|*Nendil|earth|0||||||nendil, nẽdil "earth, ground, floor"|||||||3676
872|*Nend̲-|middle|0||||||nendub (pl. nendbul)||niṇḍin "in the middle"|nenḍin "in the middle"||Also Parji \Inendu nal\i midnight; \Inend vāv\i middle of the way; Salur \Iniṇḍiṭ vande\i middle finger; (P) \Inenḍ gap\i midnight||3761
873|*Nenǯ (*ńanǯ)|poison|983||||||neñj|||||Also Parji \Ineñj benḍa\i toad||3580
874|*Neŋ-|to grind|1074|||||iŋg-/iŋ- "to grind on a stone slab"|neŋg-|neŋ-|neng- "to rub, grind"|||Also Parji \Ineŋga\i that which has been ground||2927
875|*Nēnǯ-|to breathe|1018||||||nēñ(j)-|||nēnj-||Also Parji \Inēñal\i, (S) \Inēñjkal\i breath; \Inēñ/j/kuḍ\i panting||3765
876|*Nik-|to stretch out|0||||||nikip- (nikit-)|||||||2922
877|*Nirḍ|last year|1027|||||ernḍ|nirḍi "last year; next year"|nirḍin||||||3674
878|*Nij-|good|1005|||||||niya|niyāṭ|||||3735
879|*Nīd̲|ashes|1023|||||īd|nīd|||nīr||||3693
880|*Noŋ-|broken rice|1044||||||nūkol, (S) nuŋgur|||noŋgre manjik "broken rice after pounding"||||3728
881|*Nuḍ-|to speak, suggest|1036|||||uḍuk-/uṭk-||||||||3784
882|*Nuduṛ|forehead|1042||||||||||nuduḍ|||3705
883|*oḍ|oath|1095|oḍ "(Pat.) oath"||||||||||||959
884|*oḍ-|lap|1094||||oḍḍi|||||||||947
885|*ok-|one|2159|okkon "one man"|||okko(n) "one man"|okko, okkod|okur "one man"|ukur "one man"|ukkur "one man"|||Also Kolami \Iokkod\i one woman or thing; \Iok siḍ\i one day; Naikri \Iokkod\i one woman or thing; \Iok śir\i one day; \Iok maṭ\i once; Naiki \Iokoḍa\i once; Parji \Iokal\i one woman; \Iokut\i, \Iokti\i one thing; \Iok\i one (adj.); Ollari \Iukuṭ\i, \Iokuṭ\i one woman or thing; Salur \Iokal\i one woman; \Iukuṭ\i one thing||990
886|*ok-|to remove in cart|1105|panta okeng "(SSTW) to reap (i.e. cart crops from field)"|||||okp- (okt-) "to remove in loads, cart"|oskap- (oskat-) "to remove"||||||931
887|*okoṛ|yesterday|0|okkoḍ|||okkoṛ|ok(k)on|||||||The first part of the root can possibly go back to \I*or-\i 'one'; however, the second component is unclear.|929
888|*oL-|to hide|1111||||||||||olp- (olup-) "to hide (tr.)"|||1015
889|*ol-|slow|0||||ollaki "slowly"|||||||||985
890|*ol-|fire; to char|1141||||||olŋgam "blaze of fire"|||||Also Parji \Iolip-\i (\Iolit-\i) to char, scorch||1001
891|*ol-|to hatch eggs|0|||||||olonḍ er-||||||1067
892|*ol-s-|to peel|1107|ols- "(Wagh.) to skin"|||ols-||olc- "to flay"|||||||1000
893|*ol-s-|to bale out|1038||||||olc-|||||||3790
894|*onḍ-|den|1114||||||||onḍa "den (of wild animal)"|||||969
895|*or-|quiver|0||||||ora "(S) quiver, scabbard"|||ora "sheath, quiver"|||Said to be borrowed from Telugu; but who can tell?|723
896|*or-|yesterday|0||||||ori, orin|orgun|orgun||||Cf. \I*okoṛ̣\i 'yesterday': both variants may go back to \I*or-kUṛ\i.|989
897|*oṛ-|to be able|0||||||oṛ- (oṛt-)|oṛ- (oṛt-)|||ōḍ-|||1013
898|*or-g- (*-r̲-)|to lean|1120||||||org-|||||||707
899|*os-|to sew|0|||||oc-/os-||||||||1012
900|*oṭ-p-|to smear, paint|1125||||||oṭp- (oṭt-) "to apply whitewash, etc."|||orp- (ort-) "to smear with cowdung"||||958
901|*ov-/*op-|to be in charge|1117|ovol (pl. ovosil) "thing or person of first rank"|||||opip- (opit-) "to give in charge, hand over"|||||Also Kolami (Pat.) \Iovvol\i good||924
902|*oŋ-|to carry in lap|0|oŋg- (oŋkt-) "to carry (child) on hip"|||oŋgip- "to carry (child) on hip"|oŋ- "to take child in lap"|oŋg- "to take child in lap"|oŋg- "to take child in lap"||||Also Kolami \Ioḍŋg-\i (\Ioḍoŋkt-\i) to have (child) with oneself while sleeping|Kolami \Ioḍŋg-\i may represent an older variant going back to \I*od̲ŋ-\i.|935
903|*ōḍ-|to burst, break|1126|ōḍ- (ōḍt-) "to burst (intr.)"|||ōṛ- "to break (intr.)"|ōṛ- (ōṭṭ-) "to break (intr.)"|ōḍ- "to break, burst (intr.)"|or- "to break (intr.)"||||Also Kolami \Iōṭ-\i (\Iōṭt-\i) to smash (pot); Naikri \Iōṭ-\i to break (tr.); Naiki \Iuṭup-\i to split, break (tr.); \Ioṭup-/oṭp-\i to break (tr.); Parji \Iōṭip-\i (\Iōṭit-\i) to cause to burst||946
904|*ōḍ-|boat|1128||||||ōḍa "boat, trough"|||||||1039
905|*ōḍ-|defeat|1127||||||||||ōḍe|||1041
906|*ōd̲r|marriage|0||||||ōdir, (S) oyir "marriage procession"|ōdur|ōdur|||||1051
907|*ōl-|to see|1132|ōl- (ōlt-) "to see, look at"|||ōl-|||||||Also Naikri \Iōlip-\i to show||1066
908|*ōl-|to dry|1133||||||ōl- "to dry (tr.)"|ōl- "to dry (tr.)"||||||1073
909|*ōṛ-|to roll; to lie|0||||||ōṛ- "to roll"||ōṛ- "to lie down, sleep"|||||1072
910|*ōr-g-|to call|2116||||||||||ōrg- (ōrug-)|||1061
911|*pacaṛ|side|0||pasaṛ||||pacaṛ|||||||3823
912|*pac-/*pas-|yellow, turmeric|1143|pasuḍi "yellow, orange"|paccoṛi "yellow"|paspotād "yellow"|pasap "turmeric"|pasam "turmeric"|pay "green"||pay "green, fresh"||paccan "yellow"|Also Kolami̲Kin \Ipasap\i turmeric; Kolami̲SR \Ipasāp\i ginger; Kolami̲Kin \Ipaccik pan\i unripe fruit; \Ipayt\i bile; (Pat.) \Ipassi\i wet; Naikri \Ipayt\i bile; Parji (?) \Iparyop\i yellow; \Iparyop\i, (S) \Iparyep\i turmeric; Salur \Ipasūr\i raw; Gadba̲S3 \Iākupacan\i green; \Ipacca-pīru\i green rass; \Ipasur\i green of leaf; Ollari (?) \Iparep\i turmeric|Parji, etc. \Ipay\i < \I*pas-i\i.|3821
913|*paḍ-ac|boy|1153|||paḍas "boy, son"|||paḍic|||||||3840
914|*paḍ-|to fall|1152|parteng "(Pat.) to catch (in a trap)"||bollā paḍ- "to be on one's back"|paṛ- (paṭṭ-)|paḍ-/paṛ- (paṭṭ-)|paḍ- (paṭṭ-) "to fall, sink down, (sun) sets"|par-|par- (paṭ-)|||Also (?) Kolami̲SR \Ipār-\i to fall; Naikri \Iparp-\i to make to fall; \Ipart-\i to fell (a tree); Naiki \Ipayip-/payp-\i to make to fall, demolish||3852
915|*paḍ-|to receive|1151|paḍ- (paṭṭ-) "(wound) is got, (eye) is filled with dust, (turn in game) is won, become (loose, dusk, bald)"|||||paḍ- "to acquire"|par-||||Also Kolami \Ipart-\i (\Iparatt-\i) to win (turn in game); Parji \Ipaṭip-\i (\Ipaṭit-\i) to cause to get||3853
916|*paḍ-, *bar̲-|female calf; buffalo|1157|paḍḍa-lēŋa "female calf (Br.)"|barre "buffalo"|barre "buffalo"|paḍḍa "heiffer"||peḍḍa "female calf"|bere "female calf"||beḍe, beṛe "female calf"||Also Salur \Ibeḍḍe peyye\i calf|Actually two contaminated roots.|3881
917|*pad̲-|to pick up|1148|||||||pay- "to weed"|pay-|||Also Ollari \Ipayk-\i to pull out, pluck||4027
918|*paij-|calf|1161|||||paya, piya|peyya|pē-pāp "young calf"|beḍḍa-peyyā "young cow"||peyye|||3939
919|*pak-|to hide|0||||||pakk- "to hide oneself"|pak- "to hide (intr.)"||||Also Parji \Ipakkip-\i (\Ipakkit-\i) to hide something; Ollari \Ipakup-\i (\Ipakut-\i) to hide (tr.)||3810
920|*pak-|day|1160||||||pakṭa|||||Also Parji (S) \Ipaŋga\i dawn, morning; \Ipokka\i, \Ipokkai\i morning; \Ipokkal\i day||3805
921|*pak-|laughter|0||||||||||pakāl "the sound of sudden laughter"|||3813
922|*pak-|scab|1164||||||||||pakku "dried portion of any bodily secretion, scab"|||3811
923|*pal|tooth|1165|pal "tooth, esp. front tooth"|||pal|pal (pl. -ku/-gu)|pel|pal "tooth, sharp edge"|pallū (pl. palkīl)|||||3986
924|*paL-|east, low|1168|pallām "(Haig) east"|||||||||palam "downslope"|||4016
925|*paḷ-|seedling|1231||||||palla, pāla "seedlings"||palle "rice seedling"|||||3996
926|*pal-|piece of wood|0||||||palva "split piece of wood"|||||||3991
927|*paḷ-|village|1169||||||palli "village (only in place names)"|||||||4018
928|*palkar-|toothbrush|0||||||perkal, perkela "twig used as a toothbrush"||||palkara|||3986
929|*panḍ-|to ripen|1198|panḍ- (panḍt-) "to become ripe"|pan (pl. panḍl) "fruit"||panḍ- "to become ripe"|panḍ- (panṭ-) "to be ripe"|panḍ- "(plant) matures"|paṛŋ(g)- "to become ripe"|paḍiŋ- (paṭṭ-) "to become ripe"|||Also Kolami \Ipanḍip-\i (\Ipanḍipt-\i) to put to become ripe; \Ipanḍuḍ\i ripe fruit; Naikri \Ipanḍe\i ripe fruit; Naiki \Ipanṭa\i ripe; Parji \Ipaṛñ-\i to ripen; \Ipal\i ripe fruit, pus; Salur (P) \Ipaṛŋ-\i (hair) to become grey||4004
930|*panḍ-|to be tired|1176||||||panḍ- "to be tired, be defeated, lose"|panḍ- "to become tired"|panḍ- "to become tired"||paṇḍi "tiredness"|||3900
931|*panḍ-|bark|1175|||||||panḍaŋ "bark of a tree"||||||3897
932|*pand-r-|pandal|1173|pandri "pandal, bath-house"||||||||||||3922
933|*pand̲|pig|1174||||||pend, (NE) penḍ|panḍ|panḍu (pl. panḍkīl)|||||4039
934|*paṇ-|to do|1179|||pannī "work, labour"|pani "work"||panḍp- (panḍt-) "to make, do"|panḍ- "to be able"||||||3884
935|*pan-|to weave|0||||||||||pannap-|||4207
936|*pan-k-|to send|1178|pank- (panakt-)|||pank-|||||||Also Kolami (?) \Ipāna\i language||3887
937|*palnic|jack-fruit|1167||||||penac|panis||||||3988
938|*panǯ-|to be satisfied|1177||||||pañ- "to be replete, satisfied"|||||Also Parji \Ipañip-\i (\Ipañit-\i) to satisfy||3837
939|*paṛ|place|1202||||paṛ||paḍ "place, site"|||||||3878
940|*par- (*-r̲-)|to light|0|||||||||parj- "(lamp) to be lighted"||Also Salur (P) \Iparip-\i (\Iparit-\i) to light (lamp); ? \Ipand-\i (fire) to burn||4034
941|*par̲-|to cut, split|312|part- (paratt-) "to cut up"|||||parŋg- "to be split"|||pariŋp- (pariŋt-) "to split (firewood with axe)"||Also Parji \Iparkip-\i (\Iparkit-\i) to split, plough for the first time; \Iparka\i piece, portion, split piece of wood||3962
942|*par̲-|to crawl, spread|1192|pārakeng "(Pat.) to crawl (of babies)"|||||parp- (part-) "(S) to spread"||||pamp- (pamup-) "to crawl like a child"|||3949
943|*pari-|to grind|0|pari- (parit-) "to grind (flour)"|paray- "to pound"|parāy- "to grind (flour)"|paray-|paray-||||||Also Naiki \Ipadgare\i a stone mill for grinding||3967
944|*parnḍ-|frog|1188|pande "frog, toad; biceps"||paṇḍe "frog, toad; biceps"|pande "frog; muscle, biceps"|pande|benḍa|panḍake||||||3955
945|*par-s-|gravel|2030||parca|||||||||||3959
946|*par̲|garden|1193||||||par (pl. -kul)|||||||4030
947|*par̲-s-|to scratch|1191|pars- (parast-) "to scratch (part of body)"||||pars-|parc-||pārc- "to scratch (body, etc.)"|pars- "to scratch (body, etc.)"|pārs- (pāris-) "to scratch with fingernails or claws"|Also Parji \Ipartid\i the itch; \Ipaytil\i urticaria; \Iparru\i prickly heat||4023
948|*par̲-k-|to speak|1195||||||||park- "to say, speak"||park- (parik-) "to speak, talk"|||4031
949|*paṭ-|plank|1203|paṭṭe|||paṭi||peṭṭi (pl. peṭkul) "beam, post"|||paṭiya "beam"||||3875
950|*pat-|to take, buy|1201||||||patt- "to take hold of, buy"|pat- "to take hold of, catch, buy"|patt- "to take hold of, catch"|||||4034
951|*paj-|to divide|1163||pay-|paiy-|payk- "to distribute"||payp- (payt-) "to share"||pay- "to divide into shares"||payp- (payup-) "to distribute"|||3936
952|*paj-|to break|1159|||||pay-|papp "(S) split bamboo sticks"|||||||3808
953|*pa[j]n-|cold|1236|||panī|pani "coldness"|panni "winter, cold"|pañil|pañgil|payŋīl "chill"|||||4035
954|*pesaḷ|green gram|1244||pesal|pesāl|pesaḷ||(?) payari (pl. payarul), (S) payal|||||||3941
955|*pāḍ-|to sing|1210|pāḍ- (pāḍt-)|||pāṛ-|pāṛ- (pāṭ-)|pāḍ-|pār-|pār-||pāṭe "word, speech, pronunciation"|Also Kolami \Ipāṭa\i, Naikri \Ipāṭa\i, Naiki \Ipāṭa\i song, Parji \Ipāṭa\i song, story, word, language; Ollari \Ipāṭe\i song; Salur \Ipāṭe\i word||4065
956|*pāg-|to shoot|1212|||||pāk-/pāg- "to beat, shoot"||||||||4044
957|*pāl|milk|1214|pāl|||pāl|pāl|pēl "milk, breast"|pāl|pāl|||||4096
958|*pāl-|portion|1215||||||pēla|||||||4097
959|*pām|snake|1218|pām|||pām|pām|bām|bām|bāmu|bāmb||||4085
960|*pāp|child|1222||||||pāp (pl. pāpkul; voc. pāpā) "child, baby, young of animals"|pāp "child, young one, small one (of articles)"||||Also Ollari \Ipāponḍi\i young, small, green (of fruit); \Ipē-pāp\i young calf||4095
961|*pā-p-|to comb|1213|pāp- (pāpt-)|||pāp-|||||||||4089
962|*pār (*-r̲)|brahman|1223|||||pār (fem. pāriya)||||||||4091
963|*pār- (*-ē-)|side|0||||||pēru "shoulder, side"|||||||4122
964|*pār-|spade|1220||gaḍḍa pāra|||(?) pahar "crowbar"|||||pāra|||4093
965|*pār̲-|slab of stone|0||||||pāra|||||||4121
966|*pās-|to be stale|1226|||pās- "to get addled, get sour (of food)"|pās- "to become stale"||||||pā̃se "left-over food from the previous day, spoiled food"|||4057
967|*pāv|way, road|1229|pāv "way, path"|||pāv|pāv "path"|pāv "road"|pāv "road"|pāvu "road"|||||4108
968|*pedav-|lip|1232|pedave|||pedave|peddave|||pedeve||pedive|Also Kolami (Haig) \Ipeddēl\i lips||4400
969|*pedr|name|1233|pēr (pl. pēḍl)|||pēr (pl. pēḍḷ)|pēr (pl. -l)|pidir|pidir|||pidir|||4410
970|*ped̲-|to pick up|1234|petteng "(Pat.) to peck (i.e. to pick up)"|petk-||pett- "to pick, choose, pick up"||ped- (pett-) "to pick up, pick (flower), pick out, choose"||piy, pī-, piyk- "to pick up weeds, etc."||piyk- (piyik-) "to select, choose"|Also Parji \Ipetk-\i to pick up, glean||4423
971|*ped̲-|to bear|1235|peṭ- (peṭt-) "to bear young (said of animal)"|||peṭṭ- "to give birth to"||ped- (pett-) "to obtain"|||||||4422
972|*pend-|to bury|0|pātar "grain storage pit (< Telugu)"|||||pend-|||pendup- (pendut-)||||4080
973|*penḍ-|dung|1253|penḍa "cowdung"|||penḍa "dung (of cow, etc.)"|||||||||4441
974|*penḍ-|buttock|0||||||penḍa|||||||4398
975|*pend-|shifting cultivation|0||||||penda|||||||4404
976|*penḍ-|rice-beer|0|||||||penḍom||||||4397
977|*penṭ-|female|1237|penḍli "marriage"|penḍlig, penḍlik "marriage"|penṭī||penli "marriage"|pinḍrul "(pl.) married couple, man and wife"||||peṇṭi "female sheep"|||4395
978|*per-/*ber-|big|1239|perg- (perekt-) "to grow (intr.)"|pera, per|peret "many"|perg- "to grow up"|phar "big, elder"|berto|pernonḍ (masc.), berit (fem. and neut.)|beŋgiḍ "much, more"|||Also Kolami \Iperp-\i (\Iperept-\i) to rear; \Ipergip-\i (\Ipergipt-\i) to let grow up (without providing a wife); \Ipedda\i a male; \Iperpul\i tiger; \Iperāmā\i mother's sister; \Iperendā\i father's elder brother; Naikri \Iperp-\i to rear; \Ipedda\i man, male; Naiki \Iperuk-/perk-\i to live; Parji \Ipeŋgoṭ\i, \Ipeñot\i, (S) \Iperu\i much; \Iper-ed\i river; \Ipēpa\i mother's elder sister; Ollari \Iberpul\i tiger; Salur \Iberbullū\i id.; \Ibeŋgurtul\i many; (P) \Iber bereṭ\i big river||4411
979|*per-|bee|1240||pera "a kind of bee"|perāpotte||||||||Also Kolami̲Kin \Ipera taṭṭa\i hive of bees||4412
980|*per-ŋ-|to fall|138||||||perŋg- "to fall in ruins"|||||Also Parji \Iperkip-\i (\Iperkit-\i) to knock down in ruins||4414
981|*per-k|husked rice|1238|||||perku "(pl.) husked rice"|peruk (pl. perkul)|||||||3982
982|*per̲-|curds|1241|pereg (stem perg-, pl. pergul) "coagulated milk ready for churning"|||perag, perg||parṭub, (S) parup "cream"|||||Also Gadba̲S3 \Ipergu\i curds (< Telugu)||4421
983|*peṭal|thunder|0|peṭal "(Pat.) thunder"||||||||||||4386
984|*peṭ|a blow|0||peṭṭ|||||||||||4389
985|*peṭ-|female|1245||peṭṭa "female of birds"||peṭṭi "female (of animals and birds)"|||||||||4395
986|*peṭ-|bald|0|peṭṭiar||||||||||||4387
987|*peṭ-j-|box|1246||||||peṭeya|||||||4388
988|*pēd-|poor man|1247||||||||||pēdaṭoṇ "a poor man"|||4437
