NUMBER|PROTO|MEANING|PRNUM|TEL̲1|TEL̲2|TEL̲3|TEL̲4|TEL̲5|TEL̲KR|TEL̲INSCR|MEROLU|ADDITION|NOTES|DEDNUM
192|*ār-aj-|to think, consider, search, examine, inquire into, know, see, observe|105|ārayu|arayu|||||||Also \Iarayika\i thinking, considering, knowing, understanding; (K) \Irācu\i to investigate, inquire; \Iārekũḍu\i a watchman||377
193|*ārik-|Panicum scrobiculatum|104|āruka|āruga|ārike|āriga|||||Also \Iāḷḷu\i (pl.) id.||379
194|*ar-|love, affection|108|ariti|||||arma "fondness"|||Also \Iaruvamu\i eagerness, fondness; (inscr.) \Iarmili\i fondness, affection, desire; \Inarmili\i love, affection, desire||381
195|*āl-|to hear, listen or attend to, give ear to|1859|ālakincu|ālincu|||||||||383
196|*āli-|cockleshell|0|ālicippa||||||||||385
197|*āvaḍ-|a bitter acute-angled cucumber|0|āvaḍa||||||||Also (VPK) \Iāmaḍa-kāya\i, \Iamaḍa-kāya\i id.||389
198|*āv-Vl-|to yawn, gape|114|āvalincu|āvulincu|||||||Also \Iāvulinta\i a yawn||392
199|*āv-|steam, vapour, heat|115|āvi||||||||Also \Iāviri\i vapour, exhalation, heat of the breath; \Iāvincu\i to cook by steam or vapour; \Iāvirillu\i to sweat, steam, evaporate||393
200|*āb-|greediness|2102|āba||||||||||394
201|*āṇ-i|spherical, round, globular (applied to pearls)|0|āṇi||||||||||398
202|*āl-|woman, wife|100|ālu||||||āḷu (\Ipl.\i āṇḍru)||Also [1] \Iā̃ṭadi\i, [2] \Iā̃ḍadi\i, [3] \Iā̃ḍudi\i woman; \Iā̃ḍaŋgulu\i females, women; \Iā̃ḍaŋgi\i a man of womanish character and ways; \Iā̃ḍu\i womanishness||400
203|*ārāṭ-|grief, sorrow|0|ārā̆ṭamu||||||||Also \Iārā̆ṭincu\i to grieve||402
204|*ār̲aḍ-|slander, disgrace|0|ār̲aḍi||||||||Also \Iārudūr̲u\i ridicule, scorn||403
205|*ār̲-|to be extinguished, cool, be cooled, be calmed or pacified, be alleviated, abated, or assuaged, dry, become dry, heal or be cured (as a wound)|90|ār̲u||||||||Also [1] \Iār̲ucu\i, [2] \Iārcu\i, [3] \Iārucu\i, [4] \Iār̲upu\i, [5] \Iārpu\i to cool (tr.), pacify, appease, extinguish, dry (tr.)||404
206|*āṭ-|(Saŋk.) to be adequate, sufficient, be capable of, endure|112|ā̃ṭu|āṭu|||||||||407
207|*ān-|to lean, recline, be a support, lean or recline on|103|ānu||||||||Also \Iānincu\i to place or lay so as to lean against, lean (tr.), support; \Iānika\i support, prop, strength||408
208|*ān-c-|(SAN) to seize, take away|1941|ā̃ci-konu||||||||Also (Saŋk.) \Inā̃cu\i to snatch, seize, usurp; \Inā̃ci-kōlu\i usurpation||409
209|*īv-|this man|125|vī̃ḍu (\Iobl.\i vīni-)|ī̆tanu|ī̆tagā̆ḍu|ī̆tāḍu|īyana||||||410
210|*vīr-|these persons|125|vīru (\Iobl.\i vīri-)|vīnḍlu|||||||||410
211|*id-i|this woman or thing|125|idi (\Iobl.\i dīni-)|iddi|īyadi|iyyadi|||||||410
212|*iv-i|these things|125|ivi (\Iobl.\i vīṭi-)|ivvi|īyavi|iyyavi|||||||410
213|*ī|\Iadjective\i this|433|ī||||||||||410
214|*īviḍ-|this woman|125|ībiḍa|ībiḍe|īviḍa|īviḍe|īme||||Also [6] \Iīpe\i, [7] \Iīke\i, [8] \Iīyama\i id.||410
215|*i-kaḍ-|this place, here|125|ikkaḍa|icaṭu, icoṭu|iccaṭa, iccaṭu|iccō̆ṭu|iṭa||||Also [6] \Iīkaḍa\i, [7] \Iīḍa\i this place, here||410
216|*i-puḍ-|this time, now|125|ippuḍu|ipuḍu|||||||Also \Iippaṭi\i of this time, present, modern||410
217|*i-nd-|here|125|indu||||||||Also \Iinta\i so much, so large; this time, the present moment; \Iintaṭa\i at or by this time; [1] \Iintē̆\i, [2] \Iintiya\i only so much; \Iindar̲u\i so many (persons), all these; [1] \Iinni\i, [2] \Iini\i so many (things) as these, all these||410
218|*i-ṭ-|thus (\Iiṭu\i also 'to this place')|125|iṭu|iṭulu|iṭṭu|iṭṭulu|iṭlu||||Also \Iiṭṭi\i such; \Iiṭṭīḍu\i such a man||410
219|*i-d-|look here!|125|idigō̆|ide|igō||||||Also [1] \Iivvala\i, [2] \Iīvala\i this side, on this side, recently; [1] \Iinda\i, [2] \Iindamu\i take this! (imperative 2sg.; K., p. 210)||410
220|*ī-g-|hereafter, henceforth, still farther, yet|125|īka|īga|iŋka||||||||410
221|*is-/*inc-|adj., adv. a little, a particle, a jot|446|isumanta||||||||Also \Iincuka\i n. a little; adv. a little, somewhat; [1] \Inisũgu\i, [2] \Inisuvu\i child, young of an animal||410
222|*ig-ul-|to grin, show the teeth|0|igul(u)cu|igilincu|ivul(u)cu|||||iccu "to grin"|||418
223|*iŋk-|a sigh|438|iŋkuva||||||||||419
224|*iŋk-|a place, haunt|0|iŋkuva||||||||||420
225|*in-k-|to dry up or evaporate (as water), sink|440|iŋku|inuku|ī̃ku||||||Also \Iiŋkincu\i to dry up, cause to dry up; \Iiŋkuḍu\i sinking or drying up (of water or other liquid on the surface of any substance); adj. sunk, dried up, withered, shrunk; [1] \Iiguru\i, [2] \Iivuru\i to dry up, be evaporated, disappear, perish, die away; \Iigirincu\i to dry up (tr.); \Iimuru\i to be evaporated as oil in lamp; \Iīcu\i to shrivel, wither, dry up; \Iīca\i crookedness; (B.) lank, withered, misshapen; \Iḍindu\i to sink in, be absorbed||430
226|*iḍ-|to split, crack, fall to pieces, crumble, fall in|431|iḍiyu||||||||Also \Iiḍupu\i breach, crack, hole; \Iiṇḍe\i crack, slit||432
227|*eḍ-a|place, spot|0|eḍa||||||||Also \Ieḍamu\i place, space, room, opportunity, time, occasion||434
228|*eḍ-|misfortune|0|eḍaru||||||eḍar̲u "to obstruct"||Also \Ieḍḍami\i misfortune, calamity; \Ieḍḍamu\i prevention; \Iiḍuma\i calamity, misfortune, trouble, hardship, evil, ill; [1] \Iḍepparamu\i, [2] \Idepparamu\i danger, peril||435
229|*ḍe-kk-|to hinder, prevent, arrest|429|ḍekku||||||||||437
230|*iḍ-i|different sorts of cakes|0|iḍi|iḍikuḍaka|iḍikuḍumu||||||||439
231|*iḍ-|to place, put, lay, give, offer|428|iḍu||||||||Also \Iīḍu\i equality, a match, an equal, an equivalent, pledge; equal||442
232|*ḍī-|a butt with the head|430|ḍī||||||||Also \Iḍīkonu\i to butt, encounter, attack, meet, oppose||443
233|*iṭ-alam|great, abundant|1975|iṭṭalamu||||||||||445
234|*eḍ-a-|to be separated or disunited, remove|432|eḍayu|||||eḍal(u)cu "to remove, take off (as clothes)"|||Also \Ieḍayika\i separation; \Ieḍapu\i to break, separate, disunite; \Ieḍagillu\i to stand aside, get out of the way; [1] \Ieḍagala\i, [2] \Ieḍagalaga\i further off, at a little distance; \Ieḍamuga\i at a distance, aloof; \Ieḍalu\i to be broken, (K.) be separated (as joints); \Ieḍalincu\i to separate, remove, loosen; \Ieḍavu\i distant, remote; \Idavvu\i distance; distant||446
235|*ḍaj-|to be tired or fatigued|0|ḍayyu|||||ḍayyu|||||447
236|*eḍa-|left, left-hand, the left-hand side|312|eḍama||||||||Also [1] \Iḍā\i, [2] \Idā\i left||449
237|*iḍḍen-|a sort of cake|0|iḍḍena||||||||||455
238|*en-|equal; equality, a match|329|ena|||||nenayu "to fit, suit, adorn"|||Also \Ienayincu\i to mix, mingle, join, unite; \Ienayika\i fitness, mingling; \Ienayu\i to resemble, be equal or similar to, mingle, unite, (K. also) fit, suit; \Ieniyu\i to mingle, mix, join, unite; [1] \Ienucu\i, [2] \Ienupu\i to mix (tr.), mingle, stir with a stick as ingredients in a dish; \Ienupuḍu\i act of mixing, mingling, or stirring with a stick; [1] \Ienika\i, [2] \Ienike\i a thread composed of four single yarns united||457
239|*inḍ-|(SAN, VN, DCV) garland|0|iṇḍe||||||||||458
240|*im-|a place, home, room, space; convenience, convenient, suitable|0|immu||||||||||467
241|*īj-|to consent|453|īya-konu|iyya-konu|||||||Also [1] \Iīya-kōlu\i, [2] \Iiyya-kōlu\i consent; \Iīluvu\i honour, chastity||471
242|*er-av-|a loan, thing borrowed for temporary use|333|eravu||||||||||472
243|*irV-|two things|441|reṇḍu||||||||Also \Ireṇḍava\i second, another; \Irenca\i two (in gambling); \Ireṇṭa\i two ways or courses; \Ireṭṭa\i double, twofold; \Ireṭṭi\i twice as much; \Ireṭṭincu\i to double; \Ireṭṭimpu\i doubling; double; \Ipanneṇḍu\i twelve; \Iiru-\i, \Iīr-\i = \Ireṇḍu\i in some compounds; \Iiruvadi\i, (coll.) \Iiruvai\i twenty; \Iin-nūr̲u\i 200; [1] \Iiddar̲u\i, [2] \Iiruguru\i, [3] \Iiruvuru\i, (inscr.) \Iibbaṇḍru\i, \Iibbaru\i two persons; \Iinu mār̲u\i twice||474
244|*rēŋ-|Zizyphus jujuba|1822|rē̃gu|rēnu|||||||||475
245|*ir- (*-r̲-)|antelope|0|ir̲r̲i||||||iri (\Ipl.\i irulu) "stag"||Also ? [1] \Ilēṭi\i, [2] \Ilēḍi\i antelope||476
246|*r̲ēl-|purging cassia, Cassia (cathartocarpus) fistula|0|rēla-ceṭṭu||||||r̲ēla||||477
247|*ir-|place, abode; firm|442|iravu||||||||Also \Iiravu-paḍu\i to become established, firm; \Iiruvu\i neighbourhood, place, home; \Iirugu\i neighbourhood; neighbouring; \Iiravāru\i to become firm, fixed, settled; \Iikka\i place, abode, dwelling, seat||480
248|*inu-|in: \Iinumikkili\i very much, very great|0|inu||||||||Also \Iinu-maddi\i Terminalia tomentosa (a large tree; for \Imaddi\i, see 4718)||481
249|*iru-guḍ-|Dalbergia latifolia|0|iruguḍu|iruvuḍu|||||||Also (B) [1] \Iibbaḍa\i, [2] \Iibbeḍa\i a certain tree||483
250|*irus-|axle, axle-tree|0|irusu||||||||||484
251|*ipp-|Bassia longifolia (mahua)|444|ippa||||||||||485
252|*inum-|iron|443|inumu||||||||||486
253|*r̲amp-|noise, uproar, disturbance, squabble, wrangle, scandal|0|r̲ampu|rampu|||||||Also [1] \Ir̲ampilu\i, [2] \Ir̲ampillu\i, [3] \Irampilu\i to make an uproar||489
254|*er-a|food|334|era||||||||||490
255|*ill-|house, dwelling, habitation|435|illu (\Iadj.\i iṇṭi)||||||||Also [1] \Iillaṭamu\i, [2] \Iillaṇṭramu\i living in the house of one's wife's father||494
256|*illāmall-i|a backbiter, tell-tale|0|illāmalli||||||||||499
257|*ḍi-g-|to alight, descend, decrease|445|ḍigu||||||||Also \Iḍiggu\i, (K. also) \Idiggu\i to descend; \Idigu\i to descend, alight, dismount, be unladen or disembarked, be distilled, fall in drops, penetrate, become less, abate; \Idigudala\i descending, descent, decline; a lower region or part; \Idigumati\i disembarkation, unshipment; \Idiguva\i lower place or part; lower, inferior; down, below, under; \Idiga\i down; [1] \Iḍigiya\i, [2] \Iḍiggiya\i a well with steps descending into it; \Iḍiŋku\i to die; [1] \Iḍincu\i, [2] \Idincu\i, [3] \Iḍimpu\i, [4] \Idimpu\i, [5] \Idigucu\i to lower, let down, put down, decrease, unload, disembark, distil; \Iḍindu\i to sink, fall, droop, submit, die; n. defeat, fall, subjection; (B.) \Iḍiŋki\i a fall in wrestling||502
258|*īḍ-|to pull, haul, drag, draw, attract|451|īḍucu|īḍcu||||īḍu "to milk"|||Also [1] \Iīḍupu\i, [2] \Iīḍpu\i pulling, delay, convulsion; \Iīḍu-munta\i milk-pot; \Iiggul-āḍu\i to pull, haul, drag, jerk; \Iiggul-āṭa\i jerking, struggling; (B.) \Iiggu\i to pull, haul, drag; \Iiggā-muggi\i hauling about, struggle, violence||504
259|*deŋ-|to copulate with|0||||||dẽgu|||||507
260|*ḍē(ŋ)k-|to creep or slide along the ground on the posteriors|0|dē̃ku|dē̃kuru||||ḍē̃ku|||||508
261|*ēl-|weariness|0|ēlanna||||||||||512
262|*elV-|young, tender, light, delicate, soft|436|lē̃ta, lē̃-||||||||Also \Ilē̃ka\i servant; \Ilē̃ga\i a suckling or young calf; \Ilēma\i a woman; tender; \Iela\i young, tender, delicate, slight, gentle; \Iela-nāga\i damsel; \Ieḍa\i tender, young; \Ieḍa-nīru\i tender coconut water, a tender coconut; [1] \Inelãta\i, [2] \Inelãtuka\i woman||513
263|*er̲V-|to descend, bow or make obeisance, prostrate oneself|309|er̲ãgu|erãgu|||||||Also \Ierãguḍu\i bowing, salutation; \Irēvu\i, (inscr. 10th cent., in place names) \Ir̲ēvu\i landing place, port, harbour, ford||516
264|*rej-/*roj-|prawn, shrimp|1390|reyya|royya|||||||||517
265|*ir-ij-|(B) to be broken, smashed|0|iriyu||||||||||520
266|*ir̲-|to be squeezed, go or get into an insufficient space, be stuck in; squeeze or thrust into a narrow place; n. a narrow place, a lane; adj. narrow, incommodious|426|ir̲uku|||||ir̲i "tight (of embrace), narrow (of path), slender"|||Also \Iir̲umu\i a covert, hiding place; \Iir̲iyu\i to be squeezed, crushed, jammed; (K) \Iir̲iyincu\i to keep together (fingers of hand), hold tight; [1] \Iikku-pāṭu\i, [2] \Iikkaṭṭu\i calamity, difficulty, hardship, trouble; \Iibbandi\i difficulty, inconvenience; \Iimmudappu\i trouble, difficulty||524
267|*er̲-|king, lord, master, husband|342|r̲ē̃ḍu||||||er̲a "lord (Nellore inscr. [7th-8th cent.])"||||527
268|*er̲-a|in: \Italliy-er̲a\i the uppermost well-tube which forms a parapet round a well|341|er̲a||||||||||528
269|*er̲ac-|flesh, meat|308|er̲aci||||||||||529
270|*in-|to be agreeable; n. sugarcane|439|incu|||||indu "to be tasty, agreeable"|||Also \Iimpu\i (K., B. also \Iimbu\i, \Iimmu\i) agreeableness, sweetness, beauty, pleasure, desire; adj. agreeable, pleasant; \Iimpitamu\i pleasing, agreeable||530
271|*emm-|beauty, charm, amorous pastime|0|emme||||||||Also \Iemmekā̃ḍu\i a beau; \Iemmekā̃ḍi\i a belle||530
272|*ī-|eggs laid by a fly, usually in ulcers|449|ī̃ga||||||||Also \Itē̃ṭi\i a large black humble-bee, Bombinatrix glabra||533
273|*īŋ-|feather|452|ī̃ka|ī̃ke|||||||||534
274|*isuḷḷ-|winged white ants|0|isuḷḷu||||||||Also \Iusiḍi\i (pl. \Iusiḷḷu\i) winged white ant||536
275|*īr|slight|0|īr||||||||||545
276|*nīl-|to die, perish|0|ī̆lugu|nīlgu|nīlugu|||nilugu|||||548
277|*īḍ-|the toddy-drawer caste|0|īḍiga|īṇḍra|||||||Also \Iīṇḍravā̃ḍu\i man of the toddy-drawer caste; fem. \Iīṇḍradi\i||549
278|*īḍ-e|a kind of orange|0|īḍe||||||||||552
279|*(c)igur-|the gums, the tender part under the nail|314|iguru|ciguru|||||||||554
280|*īn-|to yean, bring forth, bear, calve, foal, produce|448|īnu||||||||Also \Iīnika\i calving, bearing; \Iī̃ta\i yeaning, bringing forth young||555
281|*īn-|mid-rib of a leaf, or any one of the ribs running from it|0|īne||||||||||556
282|*uv-|desires spring up; to be eager or impatient, have a vehement desire, water (as the mouth at the sight or thought of)|0|uvviḷul-ūru|uvviḷ-ūru|||||||Also (B) \Iuvvāyi\i cheerfulness, joy; ? \Igōmu\i love, affection, fondness, cherishing||558
283|*uŋk-|to spring, jump|0|uŋkincu||||||||||559
284|*uv-|Dillenia speciosa|0|uvva||||||||||560
285|*gōr-|nail|1103|gōru||||||||||561
286|*ūc-|to fall off as hair from sickness|1637|ūcu||||||||Also ? \Iguppu\i to throw, fling, sprinkle (as something contained in the closed hand), discharge (as an arrow)||562
287|*ukaḷ-|vanguard, pickets round a camp|0|ukkaḷamu||||||||||565
288|*ukiv-|baseness, cunning, hypocrisy|0|ukkivamu||||||||Also \Iukkivũḍu\i a cunning man, hypocrite||566
289|*uk-|closeness or oppressiveness of weather, sultriness, confined heat, want of breeze or ventilation|0|ukka|||||ukku "to be suffocated through excessive humidity and hot weather"|||Also \Iukkiribikkiri\i close, suffocating, oppressive;||568
290|*ukis-|a dry cough|0|ukkisa||||||||Also (B) [1] \Iogarcu\i, [2] \Iogarucu\i to gasp, breathe hard; [1] \Iogarpu\i, [2] \Iogarupu\i gasping, panting; [1] \Ivagarcu\i, [2] \Ivagarucu\i to sigh; [1] \Ivagarpu\i, [2] \Ivagarupu\i sign, asthma||569
291|*uga-m|a suspender or cord so attached to a pot that it may be carried about with its mouth horizontal|0|uggamu||||||||||570
292|*ugaḍ-|to utter; sound, produce sound|0|uggaḍincu|uggaḷincu (B)|||||||||571
293|*uŋar-|ring|0|uŋgramu|uŋgaramu|||||||||572
294|*usir-ik-|emblic myrobalan|1674|usirika||||||||||574
295|*usuk-/*isuk-|sand|447|usuka|isuka|isumu||||||Also (VPK) [1] \Iisaka\i, [2] \Iisike\i, [3] \Iiseka\i, [4] \Iiska\i, [5] \Iusike\i, [6] \Iuseka\i, [7] \Iuske\i sand||575
296|*us-|to scour, wash, cleanse|1673|usumu|||||usugu "to rub; be chafed"|||||576
297|*ūj-|to spit|1687||||||ūyu (ūs-)|||||578
298|*ucc-i|top or crown of head|1628|ucci||||||||||579
299|*onar-|to happen, occur|0|onaru||||||||Also [1] \Ionarincu\i, [2] \Ionarucu\i to do, perform, make, effect; \Ionaŋgūḍu\i to happen, occur, be effected, be obtained, be fulfilled; \Ionaŋgūrcu\i to effect, cause, accomplish, obtain||584
300|*oḍal-|body|1091|oḍalu|oḷḷu|||||||||586
301|*uḍ-|a suit of clothes, dress|1634|uḍupu||||||||||587
302|*uḍ-uk-|to boil, seethe, bubble with heat, simmer; n. heat, boiling|1635|uḍuku||||||||Also [1] \Iuḍikincu\i, [2] \Iuḍikilu\i, [3] \Iuḍikillu\i to boil (tr.), cook||588
303|*uḍuk-|small drum of the shape of an hour-glass|0|uḍuka||||||||||589
304|*uḍut-|squirrel|0|uḍuta||||||||||590
305|*uḍum-|iguana|1636|uḍumu||||||||||592
306|*oḍam-|wealth|1098|oḍami|oḍame|||||||Also [1] \Ioḍayãḍu\i, [2] \Ioḍayũḍu\i master, lord, owner, husband; \Ioḍayurālu\i mistress, female owner||593
307|*uḍḍ-|a parcel or pack of four|0|uḍḍa|uḍḍā|||||||||599
308|*ūṭ-|(cattle) to drink water, etc., completely|1651||||||ūṭu|||||600
309|*ulac-|porpoise|0|ulaca-mīnu|uluca|||||||||602
310|*od-av-|to flourish|0||||||odavu|||Also (K) \Iodalu\i to increase, flourish; [1] \Iodugu\i, [2] \Ioduvu\i to increase, thrive; n. abundance||605
311|*od-av-|to be serviceable, useful, suitable, fit, or proper, serve, occur, arise|1090|odavu|||||odavu "to give"|||||609
312|*ud-ar-|to tremble, shake, shiver, quake; n. trembling, shaking|1630|udaru|udilu||||uduru|||||613
313|*od-i|Odina pinnata|0|oddi||||||||||614
314|*utanḍ-|(pl.) gold necklace worn by women|0|uttaṇḍamulu||||||||Also (B) \Iuttariga\i a kind of necklace||618
315|*utarēṇ-|a common weed|0|uttarēnu|uttarēni (VPK)|uttarēṇi (VPK)||||||||619
316|*ud-|a steep bank|0|uddari||||||||Also \Iuddi\i bank or dam with a channel on it to convey water pumped into it to higher lands||622
317|*ud-i|a match, an equal, a rival; equal|1894|uddi||||||||Also \Iuddincu\i to pair, match, couple; [1] \Iuddikā̃ḍu\i, [2] \Iuddī̃ḍu\i companion, friend||623
318|*upar-|name of a caste whose occupation is digging tanks, etc.|0|uppara||||||||Also \Iuppari\i a digger, tank-digger; fem. \Iupparadi\i||626
319|*up-i|a kind of herb; (B) Volkameria capparis sepia|0|uppi||||||||Also \Ipuyyi\i a thorny shrub, Capparis sepiaria||629
320|*ubus-|leisure; chat, talk|0|ubusu|||||ūsu|||Also Visākha dialect \Iūsul-āḍukonu\i to chat||631
321|*ubasa-m|asthma|0|ubbasamu||||||||||632
322|*um-|to spit, spit out|1645|umiyu||||||||Also \Iummi\i spittle, saliva||636
323|*um-|husk, chaff|1646|umaka (B)|umuka|ū̃ka|ūka|||||||637
324|*ommac-|bezel which fastens a precious stone in a jewel, cavity in which a precious stone is set in a jewel|0|ommaccu||||||||||642
325|*usur-|breath, life|1672|usuru|usur̲u|||||||Also \Iusuranu\i to sigh, be much vexed; [1] \Iūrcu\i, [2] \Iūrucu\i to breathe, sigh; [1] \Iūrpu\i, [2] \Iūrupu\i breath, sigh; \Iūr̲aṭa\i taking or recovering breath, being refreshed, consolation, comfort, rest; [1] \Iūr̲aḍilu\i, [2] \Iūr̲aḍillu\i, [3] \Iūr̲aḍu\i to be consoled, calmed, appeased; \Iūr̲aḍincu\i to console, comfort, appease||645
326|*ur-|silently, quietly, not speaking; merely, simply, vainly|0|ūraka (\Ineg. gerund of\i *ūr-)|uraka|ur̲aka||||||Also \Iroda\i noise, outcry, uproar; ? \Irō̃ju\i to pant, gasp; n. panting; \Irō̃juḍu\i prattle||648
327|*uk-|strength, vigour, courage, spirit|0|ukku||||||||||649
328|*r̲ōl-|mortar|1118|rōlu|r̲ōlu|||||||||651
329|*ur-|noose or running knot, halter, snare, execution by a halter|1655|uri|||||uralu, urulu "to be caught in a snare"|||Also \Iuccu\i slip-knot, noose, halter||655
330|*ur-|to grieve, sorrow|1654|ummalincu|||||uriyu "to burn (intr.), be afflicted, grieve"|||Also (K) \Iuralu\i to burn (intr.), be ablaze; [1] \Iummalinta\i, [2] \Iummalimpu\i, [3] \Iummalika\i grief, uneasiness, disquiet||656
331|*ur-av-|beauty, fitness|1657|uravu||||||||Also \Iuruvu\i form, shape||657
332|*ur-ij-|to become ripe; hair to become grey|0||||||uriyu|||||658
333|*ukk-|steel|1658|ukku||||||||||661
334|*ucc-|to enter, penetrate, pierce|1656|uccu||||||||||663
335|*ural-|to roll, roll down, fall down|1652|uralu|urlu||||oralu "to toss in sleeplessness"|||||664
336|*unḍ-|ball, globe, pellet, pill, (VPK also) wheel of cart; round|1649|uṇḍa||||||||Also [1] \Iuṇṭa\i, [2] \Iuṇḍramu\i round; [1] \Iuṇḍramulu\i, [2] \Iuṇḍrālu\i, [3] \Iuṇḍrāḷḷu\i round cakes prepared as an offering to Vighneswara||664
