NUMBER|PROTO|MEANING|PRNUM|KUI|KUTTIA|KUWI̲F|KUWI̲S|KUWI̲SU|KUWI̲P|KUWI̲T|KUWI̲D|KUWI̲MAH|KUWI̲ISR|ADDITION|NOTES|DEDNUM
130|*cur-ʔVṛi|flute|95|||||||||suruṛi||||2694
131|*curk-i|a small basket|96||||||||||surki|||2691
132|*cur[p]-|to suck in, slurp, eat food noisily|0||||||||||surpu reʔ- (rec-)|||2712
133|*cūc-|to close the eyes, sleep|97|sūsa (sūsi-) "to close the eyes"||||||||ḍūc- "(written ṛūc-) to sleep"||Also Kui pl. action \Isūska\i (\Isūski-\i); \Isūsa kanga\i sleepy eyes, drowsiness; \Isūseri\i half-closed eyes; \Isūsaka\i 9.30 to 12.0 p.m.|The reconstruction is uncertain, since there is no good data on reflexation of PK \I*c-\i in Kuwi̲Mah. However, PK \I*s-\i most certainly > Kuwi̲Mah \Ih-\i, so, if we do not reject the comparison, the reconstruction of \I*c-\i is the only possible solution.|3291
134|*cūl|pregnant (animal)|0|||sūl|||||||||If not borrowed from Telugu.|2733
135|*dal-g- (*-ḷ-)|to spread over a space, increase in extent, overspread, overcast; n. extension, a spreading over|98|dalga (dalgi-)||||||||||||3119
136|*dali|an inflamed patch of skin, blotch|0|dali||||||||||Also Kui \Idali inba\i to be blotchy, spread in patches||3118
137|*dam-|flat ground on top of a mountain|99|||||||||damaka||||3239
138|*danḍ-|upper arm|100|||||ḍanḍe||||||||3048
139|*danḍ-i|stalk|101|ḍaṇḍi||||||||||||3056
140|*dari|next (adv.)|0|||dari||||||||||3142
141|*darmb-u|ashes|102|||darambū|dharmbu|darmbu|darmbu||||darmbu|||3092
142|*dās-|to seek|103|dahpa (daht-) "to seek, search for, desire, want; n. search, desire, longing"|||tāh'nai|||||||Also Kuwi̲S \Idāh'nai\i to trace; \Idah'-\i to search|The forms with voiced and voiceless consonants in Kuwi̲S are probably the same (one more case of Schultze's unexplained and most certainly unmotivated splitting of meanings; all three forms go back to *dāh-c-). Secondary vowel shortening in Kui, as shown by external data.|3100
143|*dāṭ-|strength, power, hardness, stiffness, toughness, difficulty; strong, powerful, etc.|104|ḍāṭa||||||||||Also Kui \Iḍāḍa\i (\Iḍāḍi-\i) to increase in numbers, multiply; n. increase; \Iḍāḍa giva\i to cause to increase in number, multiply; \Iḍaḍaki\i protruding, corpulent, obese||3020
144|*dāl-|to blossom|0||||||||||dāl- (-it-)||If not borrowed from Telugu (although no trace of a voiced \Id-\i there).|3131
145|*dӓ-|to open|105|dāpa (dāt-) "to open a door, clear a passage; n. act of opening"|||de'nai|de'- (det-)||||||Also (?) Kui \Idari inba\i to be opened, spread forth; tr. \Idari ispa\i|Kui \Idari\i hardly belongs here, since the root itself goes back to \I*ter̲e-\i, and \I*daji\i or \I*dahi\i would be expected.|3259
146|*dēǯ-|to wipe|106|||jejali|jēnai|||dē-|||||The reconstruction is approximate, but at least it is certainly near the truth. The only real problem is the fate of \I*-j-\i in Kuwi̲T; however, lack of data makes this problem not so serious. Both in Kuwi̲S and Kuwi̲F initial \I*d-\i was assimilated to \I-j-\i; in Kuwi̲S, moreover, \I*jejinai\i > \Ijēnai\i probably by haplology.|3458
147|*vdēr-u|bamboo|107||tēru (pl. trēka)|dēru (pl. dērka)|dēru (pl. dērka)|dēru (pl. dērka)|dēru (pl. dērka)||||dēru (pl. dērka) "bamboo shoot"|Also Kui̲W \Itēru\i (pl. \Itērka\i) a shoot, bud (?bamboo shoot)|The initial \It-\i in Kuttia is absolutely irregular. Since the root itself goes back to \I*vedur-,\i  this makes the situation somewhat similar to PK \I*pdōr-\i 'name', except that in 'name' Kui has  initial \I*p-\i. If it is possible to suggest two different developments: \I*pd-\i > \I*p-\i and \I*vd-\i > \I*t-,\i  the form above should be reconstructed as \I*vdēr-\i, with no irregularities.|5485
148|*dī-|to fall|108|dīva (dīt-) "to fall, drop, fall down from, descend upon, occur"|||||||dī- (-t-)|||Also Kui pl. action \Idīpka\i (\Idīpki-\i); \Idippa\i (\Idipt-\i) to set down, put a pot on the fire||502
149|*dīnḍ-|distended, puffed out|108|ḍīnḍeri||||||||||Also Kui \Iṭingi\i tight, fast, taut|The form \Iṭingi\i is borrowed from SDR.|3222
150|*dir-p-|to sprinkle|110|||diṛhali||dir- (-h-)|dri-|dir-|||||Kuwi̲P \Idri-\i is strange, probably metathesed from \Idir-p-\i, especially since external data does not confirm the bisyllabic character of the root.|3280
151|*dlā- (*-ḷ-)|live coal, embers (communication from Subrahmanyam)|0|dlāva, dlāba, jlāva||||||||||||3115
152|*doḍ-|a pitted surface, pitted sore|111|doḍa||||||||||||3528
153|*doḍ-|swollen, thick|112|ḍoḍori "distended, swollen, pregnant"||||||ḍoṭa vanju "thumb"||||||3491
154|*doḍg-|rolling, writhing, tossing|0|ḍuṛi||||||||||Also Kui \Iḍoḍga\i (\Iḍoḍgi-\i) to roll on the ground, grovel, sprawl, wallow; n. act of sprawling, etc.||2698
155|*dol-u|rice plant|113|kūḍi-ḍoḍu "(Mah) rice plant"||||||||kūli-dolu|dulomi "plant"|Also Kui (Mah) \Iḍoḍu\i tree|The form \Iḍoḍu\i < \I*doḍu\i < \I*dolu\i.|3517
156|*doh-|to tie|114|tohpa (toht-) "to tie, bind, fasten; n. act of tying, binding"||dōssali "to bind, tie"|dō̆h'nai "to bind, tie"||||||doh- (-t-) "to tie, build"||The initial \It-\i in Kui is probably assimilated to two voiceless consonants, although this is not a regular rule (cf. \Idāhpa\i).|3536
157|*doh-|to mention the name of a person, cite, accuse, blame; praise, honour; n. citation, accusation, praise|1326|dohpa (doht-)|||||||||||The phoneme \I-h-\i, not \I-s-,\i is confirmed by external data.|3397
158|*dō-|to put in, insert|115|dōpa (dōt-) "to put within, insert, introduce, plunge into"|||||||||doʔ- (-t-) "to put hand into something (water, etc.)"|||3554
159|*dōnḍ-i|pumpkin|116|ḍōnḍi||||||||||||3499
160|*drē-|ignition, a flare|117|drē||||||||||Also Kui \Idrē inba\i to be ignited, flare; \Idrēna\i with a flare||2929
161|*dumḍ-|having only loincloth|118||||||||||ḍumḍa|||2966
162|*dup-a|bush|119|duba "bush, tuft, cluster, clump of trees"|||relli tuppa "bulrush"||||||dupa "small thick bushes"|||3322
163|*dū-|old|120|||||||||dūtanju "old man"|dū- (-t-) "to grow old"|Also Kuwi̲Mah \Idūtāli\i old woman; Kuwi̲Isr \Idūti\i old|B&E compare it to PDR \I*mutu-\i 'old' (\I*mutu-\i > \I*mdu-\i > \I*dū-\i). If this is so, the PK protoform could as well be \I*mdū-\i, since initial clusters were a common thing in PK.|3374
164|*dūmb-ru|dirt|121||||dūmbru|||||||||3332
165|*dūr-i|ebony|122|duri, dureni "Coromandel ebony"|dūri||dūri||dūri|||||||3329
166|*dūh-|to pierce, go right through|123||||||||||dūh- (dūst-)|||3399
167|*dū̆nḍ-|black ant|124|ḍūnḍu, ḍūnḍuri "a large black ant"||dondori|donḍodi "ant"|||||ḍunḍunu orlā|ḍonḍoʔoṛi "big black ant"|||2969
168|*dūṛ-/*duḍ-|stick|125|ḍūṛa "stick, staff, rod"|||||||||ḍuḍu "carrying-stick"|||3304
169|*dӓ-|to cut|126|||dācali "to cut with knife"|dā'nai|dā'- (dāt-)|||dre- (-t-)||||The Kuwi̲D form is extremely archaic, since it alone preserves the old \I-r-\i that has fallen out in all other dialects (in fact, this is a serious isogloss separating Dongriya Kuwi from all other Kuwi dialects). Formally the protoform should have been \I*dRӓ-\i, but since Kuwi̲D material is extremely scarce and we only consider it an auxiliary dialect, the protoform is still being put down as \I*dӓ-\i.|3140
170|*djeʔoli|saliva, spittle|127|deoli, deori|||huoḍi "spittle"||||hu'uṛi "slobber, saliva"||hoʔoṛi "saliva, dribble"||The strange correspondence probably reflects one more cluster.|2862
171|*ḍVp- (?)|clod, sod|0|||dopla "clod"||ḍepla "clod"|||ḍema "sod"||||A very bad root, with no external parallels; furthermore, its phonetic character is extremely obscure.|2974
172|*ḍagVre (?)|near|0|||dagira|daggire|ḍagre|||||||B & E put this together with Kui \Iaḍa\i (PK \I*aḍ-\i) to be associated with, join; however, even if these two roots are related, it's only on a higher level. Anyway, I suspect the Kuwi forms are borrowed from Telugu, since they are unparalleled in other CDR languages.|79
173|*ḍah-|thin, lean|0|||daha "thin (of body), lean"|ḍahinai "to wither"|ḍah- "to become thin"|||||ḍāh- (-it-) "to become weak or thin"|Also Kuwi̲S \Idahi kīnai\i to imbecilitate (sic)|Probably borrowed from Telugu.|447
174|*ḍak-i|chest; skeleton|128|ḍaki "breastbone, chest"||dōkkū "skeleton"||hīpa-ḍaki "chest"|sīpa-ḍaki "chest"||||||The form \Idōkkū\i is a borrowing from Telugu (the semantics 'skeleton' points to it as well as the irregular vocalism; CDR parallels usually have 'chest' or 'belly' semantics).|2976
175|*ḍā- (caus. *āṭ-)|to lie in wait for|129|ḍāpa (ḍāt-)||||||||||Also Kui \Iāṛpa\i (\Iāṛt-\i), \Iāṭpa\i (\Iāṭt-\i) to hide (tr.), conceal|The root is a former bisyllabic base. Original \I*aḍa-\i > PK \I*ḍā-\i, while in the transitive form no metathese was required.|63
176|*ḍāk- (?)|to tremble|0|||||||||ḍāk-|||If not borrowed from Telugu \Inaḍuku\i.|3585
177|*ḍāk-i|shell (of tortoise, coconut, egg)|130|ḍāki||||||||||||2989
178|*ḍeʔr-|weaver|0|ḍerengā "weaver (Mah)"||||||||ḍe'rā|||Isolated root with no parallels.|2975
179|*ḍeh- (*-ɣ-)|to flee|131||||||ḍeh- (-it-)|||||||2950
180|*ḍek-a|hoof|131|||dekka|||||||||The initial retroflex cannot be determined from Fitzgerald's transcription, but it is confirmed by external data.|2970
181|*ḍep-|hill|1283|ḍepa "rising ground, high land, lower slopes of a hill, shore, earth platform, veranda, dais"|||debbe|||||||Also Kuwi \Ibā'ali dibba\i sandhill|Kuwi forms borrowed from Telugu.|3229
182|*ḍev-|to run, jump|133|dega (degi-) "to run, jump, leap; n. running, jumping, jump, leap"||devali "to bound, jump"|ḍēwinai "to leap"|ḍev- (-it-) "to jump"|||||ḍēv-/ḍēm- (-it-) "to jump"|?Also Kui \Idetka\i (\Idetki-\i) to jump; n. a jump|In Kui \I-g-\i < PK \I*-v-\i (regular development). However, the absence of retroflex articulation is somewhat strange (misspelling? dissimilation?) The vowel is short; in Kuwi dialects it probably became elongated because of the impossibility of geminated \I-vv-\i. Kui \Idetka\i, which B & E put here, should go back to \I*deta\i or \I*deda\i; the two roots cannot be related (if only we do not suggest a specific development \I*-vk-\i > \I-tk-\i?)|2971
183|*ḍē-|to be firm, strong|0|ḍehpa (ḍeht-) "to be firm, stiff, hard, tough; n. stiffness, hardness, toughness"||de'ni "hard"|tē'- "to be strong"|||||||Also Kuwi̲F \Idecali\i (\Idet-\i) to become hardened; Kuwi̲S \Ide'ne\i hard; \Idee\i is not strong; \Ideppi kīnai\i to stiffen; \Idepi kīnai\i to harden|The aspiration in Kuwi is secondary, like in some other cases, and eventually represents a long vowel. Usual mix-up with dental and retroflex articulation in Kuwi; the Kui form is certainly more reliable.|3443
184|*ḍēg-|hawk|134||||ḍēga|||||||||1527
185|*ḍēk-|to carry|135|ḍehka (ḍehki-) "to carry on the shoulder"|ḍēka|dekali|dēki'nai||||||ḍēk- (-it-)||Burrow and Emeneau unite this root with Kui \Iḍēnja\i 'to be raised'; however, it can by no means  regarded as a derivative (plural action) and has to be treated separately on the PK level.|851
186|*ḍēnǯ- (caus. *ḍēc-)|to be raised, uplifted, weighed; n. an uplift|136|ḍēnja (ḍēnji-)||||||||||Also Kui pl. action \Iḍēska\i (\Iḍēski-\i); \Iḍēspa\i (\Iḍēst-\i) to raise, lift, uplift, rear, build, praise, flatter, weigh; n. act of raising, erection, flattery, weighing||851
187|*ḍi[r]-ŋ- (caus. *ḍik-)|to break; to kill|138|ḍipka (<ḍik-p-; ḍikt-) "to kill, slay, murder; n. murder"||dīali "to be broken"|dikk'nai "to break"|ḍik- (-h-) "to break"|||ḍiŋg- (-it-) "to be broken"|||Also Kuwi̲F \Idikhali\i to break|Kuwi̲F \Idīali\i probably < \I*dirng-ali\i. A similar (although not absolutely equivalent) development occurs in *tūr-ŋg- 'to hang'.|2955
188|*ḍī-g-|to touch, feel|138|ḍīga (ḍīgi-) "to touch, feel; n. a touch"||dīgali "to feel, touch"|dīginai, dīnai "to touch"|ḍīg- (-it-) "to touch"||||||||453
189|*ḍīma|numbness, loss of sensation in the limbs|0||ḍīma|||||||||||2613
190|*ḍīmb-u|gourd|1054|||||||||ḍīmbu "gourd vessel"|ḍīmbu (pl. ḍīpka)|||2958
191|*ḍīp-|tongs, pincers|0|ḍīpa||||||||||||444
192|*ḍogḍ-i|chameleon, lizard|139|ḍoi "chameleon"|||droi "chameleon"|ḍru'i "sp. lizard"|ḍru'i "sp. lizard"|ḍrogi "chameleon"||ḍorgi "chameleon"|ḍrōgi "lizard"||Inlaut \I*-gḍ-\i (see external parallels) > Kui \I-0-\i; in Kuwi \I*-gḍ-\i > \I*-ṛg-\i (metathese), then another metathese to avoid a bad cluster.|2977
193|*ḍoveli|sickle, knife|140|||dō'velli (pl. dōvelka) "sickle"|doweli "knife"|ḍoveli "sickle"|||||ḍoveli "sickle"|||2054
194|*ḍoŋ-a|thief|141|||doŋa|donga|ḍoŋa, ḍoŋesi|||||ḍoŋa|||2982
195|*ḍoŋ-|suspended, dangling, dependent from, hanging|0|ḍongu||||||||||Also Kui \Iḍongu inba\i to be suspended||3478
196|*ḍō̆l-|to fall, lie down|142|ḍōpa (ḍōt-) "to lie down, recline, sleep; n. act of lying down, sleep"|||dūlinai "to sleep"|ḍul- (-it-) "(hair, leaves) to fall"|||ḍō- (-t-) "to sleep"|||Also Kuwi̲S \Idulh-\i to shake off|The original vowel is \I*o\i, as shown by external data. The reasons of \I*-o-\i > \I*-u-\i in Kuwi  are unclear. Vowel length should be original because of loss of \I-l-\i; however, it is not, as shown by external data, and this makes us suggest that at least in this case loss of \I-l-\i is not connected with vowel length (maybe with the initial retroflex?)|2988
197|*ḍrVk-|to snore|0|ḍrōka "snore, snoring"||dṛeki-kīali|ḍrukinai "to snore, snort"|||||||Also Kui \Iḍrōka pihpa\i to snore|The exact vowel is hard to determine, although it is certainly either \I*-o-\i or \I*-u-\i, probably long.|1852
198|*ḍrā̆nǯ-|a k. of ant|143|||||||ḍrānjuli "a species of ant"|||ḍranji "large ant"|||2993
199|*ḍre-b-|to belch|144|||drebali|||||||ḍreb- (-it-)|||3451
200|*ḍri-|to drag|145|ḍripa (ḍrit-) "to drag, drag away, abduct; n. act of dragging, abduction"|||drī'nai "to haul"||||||ḍriʔ- "to drag (leaves and branches to cover the seeds by levelling the soil)"|||504
201|*ḍu-k-|to scrape together, sweep up, clear away rubbish, scavenge; n. act of scraping together, sweeping up, scavenging|146|ḍupka (< ḍuk-p-; ḍukt-)||||||||||Cf. Kui \Irūṭpa\i (\Irūṭt-\i) to scrape into a heap?||695
202|*ḍum-u|bone (large)|147||||||||||ḍumu|||2965
203|*ḍunǯ- (caus. *ḍuc-)|to start, start forth, break cover, come to light, attempt; n. starting forth, attempt|0|ḍunja (ḍunji-)||||||||||Also Kui pl. action \Iḍuska\i (\Iḍuski-\i); \Iḍuspa\i (\Iḍust-\i) to cause to start forth, drive out of cover, bring to light, remind; n. driving of game or enemy; \Iōṛa\i channel, drain||1041
204|*ḍūmb- (*l-)|to be shrunken, contracted, wrinkled; n. shrinkage, contraction|148|ḍūmba (ḍūmbi-)||||||||||Also Kui \Iḍūppa\i (\Iḍūpt-\i) to cause to shrink, shorten, contract, draw in, tuck up; n. act of shortening, etc.||954
205|*ḍjūc-|to carry on the head|149|ḍūsa (ḍūsi-)||jūcali|jūcinai|jucc- (-it-)|ducc- (-it-)||||jūc- (-it-)|||3540
206|*ec-|how many|150|esoni, esoṛi, esoli|eccur|ecura "how many, how much"|eccōra|||||||Also Kui \Iest-\i which; \Iestanju\i, \Iestaru\i, \Iestari\i, \Iestai\i which man, which men, which woman or thing, which women or things; adj. \Iesti\i; \Iese\i how much; \Ieseka\i when; \Iestava\i where; Kuwi̲F \Ieceka\i how much; \Iecela\i when; Kuwi̲S \Iecceka\i how much.|This base was used as an interrogative quantitative pronoun in PK, although on the base of it Kui  has developed an independent declinable 'which' pronoun. Real PK forms, however, are just \I*ecora\i  (in Kui this suffix was confounded with the usual \I*-ṛi/*-ṇi\i suffix) 'how many' and \I*eceka\i 'how  much', as well as, possibly, the simple \I*ece\i, preserved in Kui.|5151
207|*ec-|uphill|0||||eski|||||||||916
208|*ec-|to pluck|151|espa (est-)|es- (-t-)|essali||eh- (est-)||||||||779
209|*ej-, *ej-v-|to arrive|152|epa (et-) "to arrive, reach, overtake, be sufficient"||ejali "to arrive, reach, overtake"||e- (-t-)|||ne- (-t-)|egowā- "to arrive (compound with \Ivā-\i to come)"|ega- "to arrive (motion base)"|Also Kui \Ieppa\i (\Iept-\i) to cause to reach, cause to arrive at, cause to suffice; Kuwi̲Isr \Ieda-\i to arrive (personal object); \Iep-\i (\I-it-\i) to cause to reach.|The problem with this root is that in most (or all dialects) of Kui-Kuwi it was not used alone,  but only in combination with the root \I*vā-\i 'to come' (\I*ey-v[ā]-\i) or other suffixes. In Kui \I*ey-v-a\i > \I*ey-pa\i > \I*e-pa\i, while \Ieppa\i is a secondary causative. In Kuwi̲F this cluster is probably responsible for the inlaut \I-j-\i (since PK \I*-y-\i normally > Kuwi̲F \I-y-\i), although the exact way of development is unclear. Kuwi̲Mah is an archaic form: \Iegowā-\i obviously results from \I*ey-vā-\i. The \In-\i in Kuwi̲D is mysterious (although it does have parallels in Manda).|809
210|*eRl- (caus. *ēRs-)|to sort; to winnow|153|ēja (ēji-) "to be separate from, detached, move aside, make way for"|ēsp- "to winnow"|ērḷali "to be separated"|ērsinai "to sort"|ērs- "to winnow"|ēhp- "to winnow"|ērsp- "to winnow with a sidewise motion"|||erl- (-it-) "to go by a different path"|Also Kui \Iēspa\i (\Iēst-\i) to separate; Kuwi̲F \Iēṛsali\i to separate; Kuwi̲Isr \Iērs-\i (\I-it-\i) to separate, keep separate|An interesting and unique case. The original causative form seems to be preserved in Kui̲T; in other  languages either \I-r-\i or \I-p-\i have fallen out. As for the original auslaut cluster, on the  base of the correspondence "Kui \I-j\i- - Kuwi \I-rl-\i" (\I-ṛ-\i in Kuwi̲F is misspelled as usual)  we reconstruct a PK \I*-Rl-\i which is indirectly indicated by external data (cf. Konda  \Ier̲lis-\i to separate). The vowel is long in the causative form; in the simple form the short vowel, preserved in Kuwi̲Isr, is primary; in other dialects vowel length is the result either of compensatory lengthening or analogy.|915
211|*eǯg- (?)|to die in childbirth|0|ejga (ejgi-)||||||||||||514
212|*eǯ-i|to count|154||||eji kīnai\i|||||||||793
