NUMBER|PROTO|MEANING|PRNUM|GONDI̲TR|GONDI̲W|GONDI̲PH|GONDI̲G|GONDI̲MU|GONDI̲MA|GONDI̲S|GONDI̲KO|GONDI̲Y|GONDI̲M|GONDI̲L|GONDI̲LU̲S|GONDI̲MND|GONDI̲CH|GONDI̲A|GONDI̲D|GONDI̲CHD|ADDITION|NOTES|DEDNUM|VOC̲NUM
176|*ḍok-e|lizard|139|dokkē "a small lizard"|ḍokke "sp. lizard"|ḍokke "sp. lizard"||ḍokke "garden lizard"|ḍokke "garden lizard"||||ḍoke|||||ḍokke "sp. lizard"|||Also Gondi̲Tr \Ipidrī-ḍokkē\i the house-lizard; \Iḍoggāl\i chameleon||2977|1597, 1600, 2227
177|*ḍol-|to die|142||||||ḍol-||ḍol-||ḍol-|dolanā "to perish, be destroyed"|||||||||2988|1616
178|*dols-|to pound|0|dalsānā "to pound (with fists or club), thresh with a flail"||dalsānā, dolsānā||||||||||||dalsānā "(SR) to pound"|||||3130|1851
179|*donḍ-i|water-snake|0|dhōndī|||||ḍonḍul(i)||||||||||||||2985|1612
180|*ḍop-|a small leaf-cup|0|ḍoppō|||||||||||||||||||2986|
181|*dorb-ā|lung|1056||||dorba||dorba||dorba|||||||dobbā (Su.)|||||3515|1900
182|*dor-|hole in tree|0||||||||dora||||||||||||3533|1894
183|*dorg-|(buffalo) to wallow|829|||||doṛg-|dorg-||||||||||||||3514|1898
184|*doṛi-|to bow|1417|||||doṛī-|||||||||||||||3525|1902
185|*dork-|to be found|1055||||||doroktōr "he was found"||dork-||||||||||||3535|1896
186|*doṭ-i|a kind of basket|0||||||ḍoṭi||||||||||||||3489|1608
187|*ḍoŋ-|thief|141||||||||ḍoŋga, ḍoŋgal (pl. ḍoŋgalor)||doŋga||||||||Also Gondi̲M \Idoŋgānā\i to steal; Gondi̲Ko \Iḍoŋg-\i to steal||2982|1603
188|*dōḍ-|river, nullah|0|ḍhōḍā̆||ḍoṛā|ḍōḍa|ḍōḍa, ḍhoṛgi|ḍōḍa||||||dora "running brook"||ḍhōḍā̆||ḍōḍa||||3543|1638
189|*ḍōk-|shell (of tortoise, egg)|130||||||||ḍōk||||||||||||2989|1620
190|*duR-s- (*-r-)|to stir; to thrust in|123||dursānā "to stir"|dursānā "to thrust in"||durs- "to push"|||turs- "to prod, poke (fire)"|||||||dursānā "(SR) to push"|||Also Gondi̲Ko \Iturrv-\i to thrust into; Gondi̲A (SR) \Iduriyānā\i to press; Gondi̲Ph \Idurrānā\i to thrust in; \Idorrānā\i to penetrate|The root was mostly used with the causative marker \I*-s-\i. Initial voiceless \It-\i in Gondi̲Ko can be explained as the result of contamination with \Iturs-\i 'to gather, collect' ('to poke fire' > 'to collect fuel in one place').|3399|1757
191|*ḍuḍ-|stick|125|||||||ḍuḍu|||ḍuḍu||||||||Also Gondi̲M \Iḍūḍi\i stick, cane||3304|1568
192|*duḍ-|female young of buffalo|0|||||||||||||||ḍuḍḍe|||||3378|
193|*dudl-i|down; cotton|0||||||||dudli "down (of birds)"|||||||lūdī "(Su.) silk-cotton tree"|||||3383|1875
194|*ḍuhk-j-|leopard|0|||||||||||||||ḍuhkyā (SR)|||Also Gondi̲A \Iḍuhkiak\i wolf||692|1579
195|*ḍum-|bare-headed|118|||||||||||||||ḍumal (SR)|||||2966|1572
196|*dum-|dust|121|||||||dumu|dumul|||dubā||||ḍuba "(SR) dust, earth"|||Also Gondi̲A (Su.) \Idubbā\i dirt|The change \I*-m-\i > \I-b-\i in some dialects is probably due to assimilation. However, initial retroflex in \Iḍuba\i is probably misspelled.|3332|1571, 1876
197|*ḍuv-|panther, tiger|1285||||||||ḍuv (pl. ḍūk) "panther"||ḍū, ḍūāl "tiger"|duvāl "tiger"||||ḍual, (Su.) ḍuvvāl "panther"||ḍuwāl, ḍuwwal "panther"|||692|1578
198|*ḍuj-|to strip (leaves of bough)|0||||||||ḍuy-||||||||||||3337|1575
199|*ed-i|heat of the sun|1247|addī|adī|addī|ed|eddi (E), addi (W)|eddi|eddi|ed||ed||||addi|eddi|eddi||Also Gondi̲A (SR) \Iyaddi\i hot, sunlight||869|342
200|*e-ke|in that direction|163|||||||eke|||||||||||Also Gondi̲S \Iheke\i on that side||764|328
201|*egr-|to dance|1059|||||||egr-|||||||||||Also Gondi̲S \Iegermuṛ\i a dance||3730|333
202|*eh-|to cook (gruel)|0|||||ah-|||eh-||||||||||Also Gondi̲Mu \Iehī-\i to place pot on fireplace for cooking||916|373
203|*eh-|to weed|0|ehtānā||ahtānā||||||eh-||||||eh-|||||765|372
204|*ek-|to climb|162||||||aʔk- (?)|ek- "to climb, (sun) rises"|ek- "to climb, (sun) rises"||||||||||||766|327
205|*ekṛ-āḷ|wild pig|0|||akṛā, akṛāl|||||||||||||||Also Gondi̲Se \Iikundāl\i boar||771|9, 150
206|*ekṭ-|hiccup, belch|0|aṭkī (pl. -hk) "hiccup"|||||||ekku "(Su.) to belch"|||||||ekṭi "hiccup"|||||772|330
207|*el-|to be peeled off|0||||||||el-||||||||||Also Gondi̲Ko \Ielsp-\i to peel off||843|365
208|*el-i|rat, mouse|1060|allī (pl. alk)|allī "mouse"|allī (pl. alk) "rat"||||elli "rat"|ellu "(Su.) rat"|elli "rat"||||||elli "rat"||||The ending \I-u\i in Gondi̲Ko is secondary (after \I*eli\i > \I*el\i).|833|367
209|*elum|white ant|164|allum|allum|||allum|elum||elu pete||elum||||||ellum patteŋ "white ants"|||External data makes us regard \I-um\i here as part of the root.|837|368
210|*elv-ā|wave, flood|1390|||||||||||||||helva|||||830|3587
211|*senḍ- (*0-)|to cut meat, carve|769||||||eṇḍ-||eṇḍ-||||||||||||2841|337
212|*enm-ud|eight|1209|aṛmur, aṛmul|armur|||||||||enmīdī|||armur|||tenmidi|Also \I\iGondi̲Hislop \Iyermud\i eight; Gondi̲Tr \Iaṛmuhk\i eight each||784|670
213|*erek-i|leaf-hat|0||||reki||reki "leaf-umbrella"||erek "leaf-umbrella"||||||||||Also Gondi̲Elwin \Irek\i leaf-hat||821|3044
214|*eṛ-/*er-|earthworm|1313||||||||eṛe puṛuk "earthworms"||erad||||||||||822|345
215|*eṛǯ-|a bear|547|aṛjal (pl. aṛjahk/aṛjalor)|aṛjāl|arjāl (pl. -or)|||eṛj(i)|eṛju|eṛj|eṛj|eṛj|||||eṛj|eṛjal||Also Gondi̲Ph \Iarje\i female bear|The exact ending of the word in PG is unclear.|857|361
216|*erk-|to cut down (grass, bushes)|156||||||||erk-||||||||||Also Gondi̲Ko \Ierkem\i (pl. \Ierke\i) billhook||824|349
217|*eṛ-ki|fever|703|aṛkī|arkī|arkī||||eṛki|eṛk|eṛki|eṛk|||||eṛki|||||276|362
218|*erm|wild dog|0|||||arm/aṛm nay|erm ney||||||||||erom nay||||817|353
219|*erm-i|buffalo|1213|armī "female buffalo"||||arm (W), aṛmi (E)|ermi|||hermi||ermī "female buffalo"||||hermi|ermi||||816|352
220|*ers-|to taste pungent|0|||||ars-|ers-||||||||||||||811|356
221|*ers-k- (*-R-)|to fan|241||||||||ersk-|||||||rēsk- (Su.)|||||800|357
222|*es-|to shoot|0||||||es- "to shoot with bow"|||||esnā|||||||||805|370
223|*et-|to take or carry (child)|161|attānā "to take in one's lap"||attānā "to take in one's lap"||att- "to carry child on hip"|ett- "to take or carry (child) in arms, lap"|ett- "to take or carry (child) in arms, lap"|ett- "to take or carry (child) in arms, lap"||||||||||Also Gondi̲Ph caus. \Iaccahtānā\i; Gondi̲S \Iettu\i high||796|338, 339
224|*ev-|to reach, arrive|152|awwānā|awwānā||ev-|av-||ev-|ev-||ev-|||||ev-|||Also Gondi̲W \Iāwsahtānā\i to dispatch; Gondi̲Mu \Iavh-/avih-\i to make to reach, bring, obtain||809|369
225|*evṛ-|spittle|946|||||eṛvo|evuṛ|eṛvunj, eṛvonj|eṛvu||||||||||||3756|364
226|*ēR- (*-r-)|to be separated|153|ērānā "to be separated, be separate from"||ērānā "to be separated, be separate from"||ēr- "(crossroads) to divide, spread out in different directions"|||||||||||||Also Gondi̲Tr caus. \Iērstānā\i||915|393
227|*ēm-|to sift, winnow|166|ēmānā "to sift out husks of rice, pulse, etc."|||ēm- "to sift, winnow sideways"|ēm- "to sift, winnow sideways"|ēm- "to sift, winnow sideways"|ēm- "to sift, winnow sideways"|||||||||||||3769|
228|*ēnd-|to make to dance|167|||||ēndh-/ēndih-||ēndcah-|||||||||||Simple form in all dialects \Iēnd-\i to dance||895|386
229|*ēn-|to receive|0|ētānā "to take, accept, receive"|||||||ēn- "(Su.) to receive, hold both the palms together in the shape of receptacle"|||erpānā "to spread"|||||||Other Gondi dialects have \Iēt-\i as well.|The form \Iēt-\i goes back to \I*ēn-t-\i; however, Gondi̲L \Ierpānā\i is probably not related.|905|380, 351
230|*ēr- (*-R-)|to thrash|945|ērīstānā "to beat violently, thrash"||||||||||||||ertānā "(SR) to thrash"|||||859|350
231|*ērg- (*-R-)|to lay eggs (as a hen)|0||||||||ērg- (Su.)||||||||||||197|
232|*ērg- (*-R-)|to defecate|0||||||||ērg-||||||||||||813|
233|*ēr-|to hurt|689|ērītānā "to hurt or ache violently"||erītānā "to hurt, pain"||arrī- "(boil) to throb with pain"|||||||||||||||811|347
234|*ēj-|father|1203||||||||ēyāl (Su.)||||||||||||196|
235|*gab-u|stink|0||||||||gabbu||||||||||||1247|1046
236|*gaḍVm|whiskers; beard|173||kaṭṭe "whiskers"|kaṭṭe "whiskers"||||gaḍḍem "beard"|gaḍḍok "(pl.) beard, chin"||gaḍḍo "beard"|||||||||Forms in Gondi̲W and Gondi̲Ph are probably re-borrowed from some Indo-Arian dialect. The final \I-m\i in Gondi̲S is archaic, as shown by external data.|1156|479, 1030
237|*gaḍ-|grass|176||||||||gaḍḍu||gaḍḍī||||||||||1158|1029
238|*gaḍ-|to pierce (thorn)|0|gaddānā "to be embedded (of a thorn)"|gaḍḍīnā "to pierce (of a thorn)"|gaḍḍānā "to pierce (of a thorn)"|gaḍ- "to pierce (of a thorn)"|gaḍ- "to pierce (of a thorn)"|gaḍ- "to pierce (of a thorn)"|||ganḍ- "to pierce (of a thorn)"||||||ganḍānā "(SR) to pierce (of a thorn)"|||||1178|1033
239|*gaḍ-ā|clod|0||||||||gaḍa||||||||||||1148|1024
240|*gaḍ-i|black-faced monkey|0|||||||||gaḍḍi||||||gaḍḍi|||Also Gondi̲Haig \Igaḍḍē\i black-faced monkey (male)||1140|1028
241|*gaǯ-i|itch|1288||||||gajji|gajji|gajju||gajji||kusee||||||||1104|1019
242|*gap-|basket, bag|949|||||gappa, goppa|||||||||||||||1243|1045
243|*ganēr-|oleander|0|||||||||||||||gannēri|||||1164|1043
244|*gan-|wrist|1190||||||||gana, gana-kay||||||||||||1160|1039
245|*gap-ne|quickly|0|gapnē "quickly, greedily (used of eating only)"||gapne|||||||||||||||Also Gondi̲FH \Igapene\i quickly, suddenly||1320|1044
246|*garb-|egg|1218||||||||garba, (Su.) garbūm||||||||||||1279|1054
247|*gar-um|nest inside anthill|0|||||garem|garum(i)||||||||||||||1790|1050
248|*gaṭ|Adam's apple|0||||||||gaṭ pāpe||||||||||||1148|1023
249|*gaṭ-|very|178||||||||gaṭṭi||||||||||||1148|1022
250|*gaṭ-ā|shrub, small tree|0|||||gaṭṭa|||kaṭṭa||||||||||||1941|475
251|*gaŋ-|darkness, mist|0||||||gaŋga||||||||||||||1278|1016
252|*gālam|fish-hook|0||||||||gālam||||||||||||1495|1075
253|*gāl-|wind|179||||||||gāl||||||||||||1499|1074
254|*gānḍ-|cloth|175||gānḍāl "men's cloth"|||gānḍo "man of weaver caste"|gānḍa "women's cloth"||||||||||||Also Gondi̲Mu fem. \Igānḍke\i; Gondi̲W \Igā̃ṛāl\i Panka caste||1180|1066
255|*gāṛd-i|ass|181||||gāṛdi||||gāṛdi||||||||||||1364|1073
256|*gār-ā|seed of mahua|180|gāṛā||gārā|||gārā||gārā||gārā|||||gārā (SR)|||||1468|1070
257|*genǯ-i|water from boiled rice|187||||||||genji ēr||||||||||||1107|1174
258|*gerŋ-|feather|1069||||||||gerŋ(g), (T) girru||||||||||||1983|1179
259|*getl-|cloth|970||||getli|gatla|getla, gette|||||gete, gende|||||||||1190|1175
260|*gēṭ-|to have sexual intercourse|0|geṭānā||geṭānā||gēṭ-|||||||||||||Also Gondi̲Mu \Igēṭ\i sexual intercourse||1949|1181
261|*gēṭ-ā|hoof|1062||||||||gēṭa||||||||||||1943|1182
262|*gilgil-|soft|0||||||||||gilgila||||||||||1576|1090
263|*ginǯ-i|pulp of fruit|0||||||||ginji||||||||||||1519|1078
264|*gir-i|ankle|311||||||||girri kāl||||||||||||1563|1088
265|*girgir|to wink jocularly at anyone as a signal|0|gir-gir (huṛānā)||||||||||||||||||Expressive.|1625|
266|*gisiṛ|cloth|0||||||gisīṛ (LSI)||||||||||||||1521|1093
267|*git-|to prick, pierce, penetrate (thorn, etc.)|0||||||||git-||||||||||||1550|1079
268|*giv-|to scratch|0|||||||giv- "(dog) to scratch up earth"|givv- "(T) to scratch"||||||||||||1976|1092
269|*gīt|line|0|||||||||||||||gīt (SR)|||||1623|1095
270|*goR-|manḍeya corn, Eleusine coracana|0|||||gorraŋ (pl.)|gor̨a (pl. -ŋ)||korra||||||||||||2163|1207
271|*gor-|sheep; deer|199||||||gorre "sheep"||gorre "four-horned antelope"|||gore "deer"||||gorre "sheep"|||Also Gondi̲A (SR) \Igore\i goat|Gondi̲Ma \I-rr-\i probably stands for \I-r̨-\i here.|2165|1208, 1209
272|*goRg-|salphi tree, Caryota urens|0|||||gorga|gor̨ga|gorge|||hurga||||||||||2131|1206
273|*goRk-|spear|0|||||gorka|goh̲ka|gorka|gorka||gorka||gohka|||gorka (SR)|||||2126|1205
274|*goḍ-|cow|1063||||||goḍu|goḍ (pl. goṛku)|goḍ(u) (pl. goḍk), (Su.) goḍḍu (pl. goḍku)||goḍ(u) "cattle, cow"||||||||||2074|1189
275|*gogōṛ-i|cock|0|gōgōṛi||gugoṛī||gogoṛ|gogoṛ|gogoṛ|gogoṛ|ghogṛi|||||||||||2248|1184
276|*gond-|to cut; log, piece|0|||||gond- "to cut with axe"|gōnda "log of wood"||||||gonda "bit, piece"||||||Also Gondi̲Mu \Igōnda\i piece||2091|1199, 1230
277|*gonṭ-|pipe; piece of bamboo|1317|||ghonṭa "a section of bamboo used as a receptacle for oil or salt"||goṭṭa "small wooden case for carrying tobacco"||||||||||ghoṭang "(pl.) pipe"|||Also Gondi̲A (Su.) \Igoṭṭa\i quiver||2059|1257, 1188, 1258
278|*gonṭ-|turbid|0|||ghonṭo|||||||||||||||||2067|1259
279|*gos-i|pulp; stone of fruit|198|||||gohi "pulp of fruit"|goʔi "stone of mango"||||||||||||||2179|1183, 1215
280|*goŋ-|crooked; sickle|331|gingōn̲-gongōn̲ aiānā "to be crooked, as a snake's progress"|||||||gongoṛ keser "sickle"||||||||||||2032|1076, 1183
281|*gōḍ-e|large black ant|0|||||gōḍe|gōḍe||gōḍo||||||||||||2096|1226
282|*gōl-|to fry|1412|||||||gōlis-|||||||||||||2246|1236
283|*gōnǯ-|to swing grain in a flat basket with a sideways sweep|0|gōenjē kīānā|||||||||||||||||||2144|1220
284|*gōr-|nail|203|||||||gōr|||||||||||||561|1233
285|*gōr-|myna|0||||||||gōrōḍ (Su.)||||||||||||1766|
286|*gub-al|hillock|1064||||||||gubbal||||||||||||1731|1139
287|*gubr-i|fine ashes of burnt-out fire|0|gubrī|||||||||||||||||||1752|1141
288|*gudam|button|0|||||gudam|||||||||||||||1713|1125
289|*gud-|to quarrel|210|||||||||||||||gudd- (Su.)|||||1850|
290|*guḍ-i|temple; tomb|213|guḍḍī "tomb"||guḍḍī "temple"||guḍḍi "temple"||guṛi "temple"|guṛi "temple"|||||||guḍi "(SR) temple"|||||1655|1113
291|*guḍ-i|blind|1186|||||||guḍḍi||guḍḍi||||||guḍḍi (SR)|||||1787|1115
292|*gud-i|navel|0||gudī|gudī|||||||||||||||||1678|1127
293|*guḍ-i|variety of small bead|0||||||||guḍi||||||||||||1680|1114
294|*gugr|any grain boiled and seasoned|0|||||||||||||||gugrī (Su.)|||||1632|
295|*gugv-|owl|0|||||||gupa|||||||gugva||||||1871|1101, 1135
296|*guhc-|to pierce, poke|0|||||guhc-|guʔc- "to poke with finger, punch with elbow"||||||||||||||1861|1167
297|*guh-|to seize, grasp|0|guhtānā|||||||||||||||||||1802|1168
298|*gul-ā|basket|0|||||||gulla "big basket"|gulla||gūlā||||||||||1884|1166
299|*gumal|the grey dove with a ring round its neck|0|gummal, gummul|||||||||||||||||||1930|1148
300|*gum|to assemble, collect (tr.)|0||||||gum ki-||||||||||||||1741|1142
301|*gumur|a k. of tree|1294|gummur maṛā "the kumīn tree, Careya arborea"|||||||gumudu "(Lush.) Gmelina arborea"||||koomooree "the koombhee tree"||||||||1742|1149
302|*gum-jā|pit; grave|1066|||||gumiya "pit"|||||gumiya "grave"|gumiyā "tomb, grave"|||||gumiya "pit"||||1818|1143
303|*gunḍ-|dust, powder|215||||||||gunḍal "sawdust"||gunḍam "powder"||||||||||1692|1117
304|*gunḍ-|round|0|||||||gunḍkula pēru "bead necklace"|||gonḍra|||||guṇḍāl "(Su.) round"|||||1695|1121, 1195
305|*gunḍ-|heart|1067|gundur-kāiā "kidney"|||||gunḍe, gunḍru kāya|gunḍe kaya|gunḍer kaya||||||||||Also Gondi̲S \Igunḍe\i gizzard; Gondi̲Ko \Igunḍe\i chest||1693|1119
306|*guṇ-|to grumble|0||||||||guṇang- (T)||||||||||||1685|
307|*gun-|to bend|0|||||||gun-|||||||||||||1927|1128
308|*gunǯ-|to pull|216||||||||gunj- "(Su.) to pull"||gunjānā "to drag"||||||||||1648|1105
309|*gū̆nǯ-|post, pillar|958||||||||gunje, (T) gūnji||||||||||||1878|1107
310|*gunǯ-i|sweet inner fibre of sugar-cane|0|gunjī|||||||||||||||||||1880|1106
311|*gunṭj-|bow|956||||||guncili "pellet-bow"|gunṭi||||||||gunti|||||1727|1132
312|*gup-|thick bushes|218|gubīā "dense tangle of tall grass and thorn at the foot of a thorny bush"||||gupsal "full of leaves, bushy"|||guppa "thick forest"||||||||||Also Gondi̲Grigson \Iguppa\i undergrowth||1733|1138
313|*gup-|to pierce|0|||||||||gup-|||||||||||1850|1134
314|*guram|horse|1070||||||||gurram (pl. gurrak)||||||||||||1711|1157
315|*gur- (*-ṛ-)|to coo; to snore|1065||||||guṛ- "(dove) to coo"|||||gurrānā "to snore, sleep"|||||||||1852|1156
316|*guṛ-nǯ-|to thunder|214||||||guṛnj-||||||||||||||1659|1161
317|*guṛŋ-|throat|204|guṛn̲gā "oesophagus"|||guṛŋga "throat, Adam's apple"||guṛŋga|guṛuŋa "Adam's apple"|guṛŋga||guṛŋgā "neck, throat"||||guṛŋga|guṛŋā "(Su.) Adam's apple"|||||1645|1162
318|*guṭ-|stump|220||||guṭṭa "stump of tree"|kuṭṭa, guṭṭa "stump of tree"|guṭṭa "stump of tree"|kuṭṭa "stump of tree, stubble"|guṭa "stump of tree"||||||||||Also Gondi̲FH \Ikuta\i jowari stubble||1676|731
319|*guṭ-|short|0||||||||guṭuṛ mane "dwarf"||||||||||Also Gondi̲Ko \Igunḍal\i short (?)||1670|1109, 1118
320|*guṭ-|hill|212|||||guḍri, guḍra "hillock"||guṭṭa "hill, mountain"||||||||guṭṭa "hill, mountain"|||||1682|1111, 1116
321|*gujhal|lizard|0|gūwhā̆l "a poisonous lizard smaller than the monitor"||||goyhal "iguana"|||||||||||||||1338|1173
322|*gūḍ-ā|nest|953|gūḍā "bird's nest"|godā|godā||gūḍa "nest, pigsty"||gūḍa|||||||gūḍa|gūḍa|gūḍa||||1883|1171, 1197
323|*gūg-e|butterfly|0|||||guge "moth"|gūge||gūge||gūge|guge|||||||Also Gondi̲Hislop \Ikuge\i butterfly||1874|716
324|*gūṛ-|to topple, roll over|0|kūṛānā "to topple over (of a vessel, boulder on hillside), founder (of a bullock)"||||gūṛ- "to roll over, spill"|gūṛ- "to lie down to sleep"||kūṛ- "(tree) to fall"|||||||kūḍānā "(SR) to topple down"|||Also Gondi̲A (SR) \Ikurānā\i to roll over; Gondi̲Ko \Ikūṛh-\i to fell||1907|834
325|*iR-|to put, place; to keep|959|irrānā "to keep, place, preserve"|irrānā "to keep, place, preserve"|irrānā "to keep, place, preserve"||irr- "to put, keep"|ar̨-, er̨- "to put away, hide"|ir- "to put, keep"|irr- "to hide"|ir- "to put, keep"||||||ir- "to keep"|||||442|182
326|*ic-|this much|0|iccōr (\Ineut.\i icnal, \Ipl.\i iccōṛ) "as much, as many, as big as"||||iccon|iccon|iccon|||||||||||Also Gondi̲Ma \Iicca\i this big, this much||410|157
327|*id (pl. *iv)|this woman or thing, these women or things|0|id (pl. iu)|id (pl. iú)||id (pl. iv)|id (pl. iv)|id (pl. iv)|||id/hid (pl. iv/hiv)||||||id/hid (pl. iv/hiv)||id (pl. iwwu)|||410|166
328|*iḍr-|to thunder|0||||||||iḍr-||iḍr-||||||||||438|163
329|*i-dr-|like this, of this sort|0|idrā "just now"||||idam "like this"|idram-na "of this sort"||||||||||||||410|167, 169
330|*i-sār-i|now|0|īsāṛī "just now"|isārī|isārī||||||||||||isnom "(SR) so far, up till now"|||Also Gondi̲Tr \Iiskē\i at this time in the past||410|199, 201, 202
331|*i-jēnḍ|this year|0|yēnḍ|yeṇṛ|||iyēnḍ|iyēnḍ||||īyenḍ|||||||iyode (i.e. iyoḍe)|||5153|179
332|*ig-ā, *ig-e|here|0|iggā|||iga|iga|igan, ige|||igge|iga|||||igge (SR)|||||410|151
333|*ih-|to coagulate (milk, tr.)|0|ihittānā||ihittānā|||||||||||||||||524|204
334|*il-|house|227|||||||||||||||il (SR)|||||494|196
335|*ind[V]ke|now|0|indēkē "just now"|indeke|||idek||indike||||||||indke "(SR) now"||indike|Also Gondi̲Tr \Iipkētē\i now; Gondi̲Ph \Iibārī\i this side; Gondi̲Ko \Iila\i so, in this way||410|172, 175, 176, 197
336|*in-|to say|228|indānā (inj-) "to say, call"||||ind- (itt-)|in- (-t-)|||ind- (itt-)||||||ind- (itt-)|||||868|173
337|*inǯ-ek|now|0||||injek|ijek|injek||inje||inje||||||||||410|158
338|*ink-|belch|1306||||||inka "a belch"||||||inkawata "hiccough"||||||||419|171
339|*ir-c-|to comb the hair|1424|||||irsānā|||īṛs-||||||||||||493|215
340|*irc-u (?)|axle|0||||||irs(u)|nirsu|irs|||||||||||B&E affirm the forms are borrowed from Telugu (?); but the initial \In-\i in Gondi̲S is unexplainable anyway.|484|190, 1992
341|*ir-aṛ (*s-)|the gums|0|hiraṛ|||||||||||||||||||554|3550
342|*ir- (*-R-)|to ooze|0|||||||||||||||ir- (Su.)|||||522|
343|*iṛ-k-|to drag|145||||||iṛk-||||||||||||||504|192
344|*ir-vur|two|688|iruṛ "two (masc.)"|||ivur "two (masc.)"|irvur "two (masc.)"|irvur "two (masc.)"||irvuṛ "two (masc.)"|ivir "two (masc.)"|irū(r) "two (masc.)"|||||iver "(SR) two (masc.)"|||||474|184
345|*iṛk- (*-ṇk-)|(flood) to subside, (water) dries up|702|||||iṛk-|||iṛk-||||||||||||430|194
346|*irp-u|mahua|229|īṛū-maṛā|iṛū|iru (pl. iruhk)|irp(i)|irum, iṛum|irp(i)||īṛu māṛa|īruk|irpi||irpoo||irup, iṛup|hiruk|||Also Gondi̲A (Su.) \Ihirp\i mahua; \Ihirūk\i mahua flowers|Forms with \I-k\i are actually plural forms.|485|183
347|*iṭ-|to touch|138|iṭṭānā|iṭṭānā|iṭṭānā|||||||||||||||Also several dialects \Iiṭ-\i to touch||453|161
348|*iv-nR (obl. *ivn-)|he, this man|232|ēl (obl. ēn-), pl. ēṛ "he, this man, these men"|ēr (pl. ērk) "he, this man, these men"|ēr (pl. ērk) "he, this man, these men"|vēr|ēr (obl. ēn-)|vēr̨|īn "this man"|vēnḍ|vēr|vēr||||iyel (pl. iyeṛ) "he, this man, these men"|vēr (obl. vēn-), pl. vīr "he, this man, these men"|vēr|ēr (pl. ērk) "(ChD) he, this man, these men"||The original quality of the vowel has been preserved in Gondi̲S (\Iīn\i < \I*iv-n\i) and Gondi̲Ch, which alone of all dialects has preserved some traces of \I-v-\i in its former position: \Iiyel\i < \I*iv-l\i < \I*iv-nR\i. In most other dialects vowel quality has been modified, and some preserved the original \I-v-\i by means of a metathese.|410|390, 181, 212, 3314
349|*iŋ-ā|now|0|ingā|ingā|||||||iŋga|||||iŋgana|||ingā|||410|152
350|*iŋ-l (*jeŋ-l?)|leavings of food|947|||||iŋgul sikṛiŋ|||||||||||||Also Gondi̲FH \Iyengul\i defiled|Whether we should rely on Gondi̲FH and reconstruct an initial \I*y-\i or not, is highly questionable.|780|334
351|*īc-|to blow the nose|0|īcānā "to wipe a part of one's person, esp. to blow the nose"||īcānā||||||||||||īcānā "(SR) to wipe"|||||537|207
352|*ī-hun|like this|0|īhun "like this, thus, so"|īhun "like this, thus, so"|īhun "like this, thus, so"||||||ihin "like this, in this manner"||||||ihin "(SR) like this, in this manner"|||Also Gondi̲Mu \Iīgadur\i in this direction||410|205, 206
