NUMBER|PROTO|MEANING|PRNUM|STEMS|TAM|TAMMEAN|TAMDER|MAL|MALMEAN|MALDER|KAN|KANMEAN|KANDER|KOD|KODMEAN|KODDER|TUL|TULMEAN|TULDER|KT|KTNUM|IRU|IRUMEAN|IRUDER|KAS|KASMEAN|KASDER|MISC|NOTES|DEDNUM|CHECKED
70|*aḍ-|to approach|11||aṭu (-pp-, -tt-)|to be next, near, approach, come in contact with, seek protection; to join (tr.), join together; to happen, occur|\Iaṭai\i (\I-v-\i, \I-nt-\i) to reach, arrive at, take refuge in, go to roost, sit on eggs as a hen, obtain, get, enjoy; (\I-pp-, -tt-\i) to lease, entrust, bestow; n. joining, delivering, conveying, resort, refuge, deposit, incubation; \Iaṭaippu\i lease; \Iaṭaivu\i pledge, help, aid, refuge, perching place for birds; \Iaṭaikkalam\i refuge, shelter, deposit; \Iaṭaku\i, \Iaṭaimān̲am\i pledge, property mortgaged; \Iaṭaiyal\i reaching; \Iaṭaiccu\i (\Iaṭaicci-\i) to put, place, insert (as flowers in the hair); \Iaṭaicu\i (\Iaṭaici-\i) to be joined, placed; \Iaṭṭu\i (\Iaṭṭi-\i) to put, place, put on|aṭuka (aṭṭu)|to come into contact, come to be close upon|\Iaṭukka\i to come nigh, approach, close; \Iaṭuppikka\i to bring near; \Iaṭuppam\i, \Iaṭuppu\i nearness; \Iaṭakkaḷam\i shelter; \Iaṭayuka\i to get into, come into possession, obtain; \Iaṭekka\i to take in, receive, collect, pay in; \Iaṭakkam\i possession, enjoyment; \Iaṭa\i incubation; bail, pledge; shelter, refuge; \Iaṭavu\i money that has come to hand; \Iaṭamānam\i a pawn, mortgage|aḍar|to be united or joined with, arise, come, appear|\Iaḍarcu\i to bring together, set in readiness, prepare; \Iaḍasu\i to join, be joined with, unite with, be near to, associate oneself to; \Iaḍe\i to obtain, get; n. trust; \Iaḍavu\i, \Iaḍapu\i pawn, pledge, deposit, mortgage; \Iaṭṭu\i to be within reach, keep close to, follow, run after, pursue; to put; n. closeness, pursuing, putting, placing|aḍɨ- (aḍɨp-, aḍɨt-)|to approach||aḍavu, aḍāvu|mortgage, pledge|\Iaḍepuni\i, \Iaḍevuni\i to roost, perch; \Iaṭṭuni\i to put|*aḍ-|47|||||||||0079|N
71|*aḍ-Vŋ-|to pile up|0||aṭukku (aṭukki-)|to pile up one on top of another, heap up in order; n. pile, series, row, tier|\Iaṭukkam\i pile, tier, range of mountains, mountain slope; \Iaṭukkal\i series, mountain|aṭukku|row, pile, layer|\Iaṭukkuka\i to pile up; \Iaṭukkam\i a plain, field|aḍaku, aḍuku|to pack, pile as pots, heap up|\Iaḍakil,\i \Iaḍikil\i piling up, a pile|aḍaŋg- (aḍaŋgi-)|to be piled in order, filling space|\Iaḍak-\i (\Iaḍaki-\i) to heap in order, filling space, to arrange formally||||*aḍǝ-|52|||||||||0080|N
72|*aḷ-|to ask about health|0||aḷavu (aḷavi-)|to inquire after one's health|||||||||||||||0|||||||||0081|N
73|*naṭ-|to beg|0||||||||||||||naṭṭuni|to beg, request, apply, beg|caus. \Inaṭṭāvuni\i; \Inaṭṭu\i, \Inaṭṭā\i begging, beggarly; \Inaṭṭā\i, \Inaṭṭāvu\i a loan, lending||0|||||||||0081|N
74|*aḍ-|mud, clay|0||||||||aḍusu, aḍalu, aḍlu, haḍlu, aḍi, aḍe, aṭil, aṭlu|mud, clay|||||||||0|||||||||0082|N
75|*aḍḍ-|to shut, close; to obstruct|16||aṭai (-pp-, -tt-)|to shut, close, obstruct, block (as a passage), stop up, put in, pack, lock, fasten, imprison, conceal; to be obstructed (as the ear, throat)|\Iaṭaiccu\i (\Iaṭaicci-\i) to shut, close; \Iaṭaippu\i shutting, closing, fence, obstruction, plug; \Iaṭṭam\i opposition, cross direction, enmity, rivalry; \Iaṭṭi\i hindrance, obstacle, delay; \Iaṭṭaŋ-kāl\i, \Iaṭṭaṇaŋ-kāl\i, \Iaṭṭaṇai-kkāl\i folded legs in sitting cross-legged|aṭa|a lock|\Iaṭayuka\i to be shut, shut up, be enclosed; \Iaṭavu\i stoppage, block, obstruction; \Iaṭekka\i to shut, obstruct, block up, lock; to be shut, rendered impervious; \Iaṭeppu\i, \Iaṭappu\i obstruction, whatever covers or closes a hole, stopper; \Iaṭappam\i, \Iaṭappan\i a stopper, cork; \Iaṭeppikka\i to cause to lock or shut; \Iaṭṭam\i what is across, transverse, thwarting|aḍe|to be enclosed, barred, shut up, choked; to shut, lock, obstruct, close up, enclose, confine, imprison, stop the passage|\Iaḍavu\i an impediment, anything to obstruct; \Iaḍa\i, \Iaḍḍa\i, \Iaḍḍā\i, \Iaḍḍe\i state of being across, transverse, or in the way, state of being broadwise or horizontal, crosswise; obstructing, an obstruction; state of being contrary or perverse; \Iaḍḍane\i, \Iaḍane\i across, transversely; \Iaḍḍayisu\i, \Iaḍḍagisu\i, \Iaḍḍaysu\i, \Iaḍḍavisu\i to move obliquely or obstructingly, make opposition, obstruct, impede, intervene, conceal; \Iaḍḍayisuha\i obstruction, opposition; \Iaḍḍaysuha\i going transversely, concealment; \Iaḍḍal\i crossing, obstructing, obstacle, across, sideways; \Iaḍḍi\i an obstacle, opposition, delay; \Iaḍḍana\i, \Iaḍḍaṇa\i a shield; \Iāṭaŋka\i, \Iātaŋka\i obstruction, obstacle, restraint|aḍe- (aḍev-, aḍand-)|(gap) is stopped|\Iaḍa-\i (\Iaḍap-,\i \Iaḍat-\i) to stop (gap, hole); \Iaḍḍa\i crosswise; \Iaḍḍa būḷ-\i to prostrate oneself (lit. fall horizontal)|aḍepuni, aḍevuni, aḍeŋguni|to shut, close|\Iaḍepu\i act of shutting, clossing, finishing; \Iaḍakụ\i, \Iaḍaka\i, \Iaḍēke\i, \Iaṭaka\i, \Iaṭakāvu\i obstacle, hindrance; \Iaḍḍa\i id., horizontal, intervening; across, athwart; rafter; \Iaḍḍakaṭṭè\i a dam; \Iaḍḍakāru\i the bent knee; \Iaḍḍa boruni\i to prostrate, bow down; \Iaḍḍa kaṭṭuni\i to dam up, shut in, hinder, prevent, screen; \Iaḍḍi\i obstacle, opposition; \Iaḍḍaṇa\i, \Iaḍḍaṇè\i, \Iaḍana\i a shield; \Iāṭaŋkụ\i, \Iāṭaŋka\i hindrance, obstacle|*aḍḍ-|5|||||||||0083|N
76|*aṭ-/*aḍ-|heap; to collect|13||aṭai (-v-, -nt-)|to collect, gather (as dust), become close, compact, hard (as sand by rain)|\Iaṭai-maṛai\i continuous rain; \Iaṭai-maṇ\i silt, alluvium; \Iaṭaicu\i (\Iaṭaici-\i) to crowd, get close together, shower upon; \Iaṭaical\i crowded condition, density; \Iaṭar\i (\I-v-\i, \I-nt-\i) to be close together, thick, crowded; to press around, hem in; \Iaṭarppam\i, \Iaṭartti\i, (PR) \Iaṭarcci\i closeness, crowdedness; \Iaṭarvu\i thickness, denseness; \Iaṭi\i (\I-pp-, -tt-\i) to be on the increase, abound; \Iaṭikkaṭi\i frequently, often; \Iaṭacu\i (\Iaṭaci-\i) to be crowded|aṭa-maṛa|incessant rain|\Iaṭal\i incessant (of rain); \Iaṭikkaṭi\i repeatedly; \Iaṭṭi keṭṭuka\i, \Iaṭṭikku\i \Iiṭuka\i to pile up, ram, pack close|aḍḍa|abundance (used of rain)|\Iaḍar\i to appear in numbers, to amass (as clouds); \Iaṭṭu\i state of being crowded or thronged, pressed or squeezed; \Iaṭṭuḷi\i a crowd, multitude, state of being squeezed; \Iaḍe\i a sticky, clotty mass, a lump (as of dates, tamarind, sugar, hair, etc.)||||aṭṭi|a pile, heap of rice|\Iaṭāra\i widespread, as the branches of a tree; \Iaḍarụ\i copse|*aḍ-ĭ-|1010||||||||Unclear \I-ḍḍ-\i in Kan. \Iaḍḍa\i: the root shows no other signs of a voiced geminate. Probably secondary.|0084|N
77|*aḍ-ai-|to preserve; pickle|0||aṭai (-v-, -nt-)|to be preserved (as pickles)|\Iaṭai-māŋkāy\i mango pickles||||aḍe|to preserve, pickle, season fruits with salt|||||aḍaŋ-gāyi|a kind of pickle|||0|||||||||0085|N
78|*aḍ-ai|support, prop|0||aṭai|prop. slight support|\Iaṭai-kal\i anvil|aṭa-kkallu|anvil of goldsmiths||aḍe, aḍa, aḍi|the piece of wood on which the five artisans put the article which they happen to operate upon, a support|\Iaḍegal\i, \Iaḍagallu\i, \Iaḍigallu\i anvil||||aṭṭè|a support, stand||*aḍ-|1181|||||||||0086|N
79|*aḍ-ai|a k. of cake|0||aṭai|thin cake, wafer||aṭa|a cake made of \Iuṛunnu\i [Phaseolus radiatus]||aḍe|a kind of thin bread or cake of rice flour|||||aḍḍyè|a cake, pudding|||0|||||||||0087|N
80|*aḍḍ-|areca-nut|15||aṭaikkāy|areca-nut (betel-nut)|\Iaṭaippai\i betel pouch (cf. 64)|aṭakka, aṭekka|betel pouch||aḍake, aḍa, aḍike|areca, areca palm, Areca catechu Lin., and its nut|\Iaḍakottu\i, \Iaḍagatti\i, \Iaḍagartti\i scissors for cutting areca-nut|aḍake|areca-nut||aḍḍa-katteri, iḍa-katteri|betel-nut cracker||*aḍӓ|53|||||||KOR (T) \Iḍakke\i areca nut|The Tulu form \Iaḍḍa-katteri\i can point to an original voiced geminate.|0088|N
81|*aḍaijāḷ-|mark, sign, symbol|0||aṭaiyāḷam|mark, symbol, emblem, seal||aṭayāḷam|mark, sign||aḍayāḷa|mark, sign||||||||*aḍjāḷ-|1011|||||||||0089|N
82|*aḍVk-|a k. of creeper, climber|0||||||||aḍke-bīṛubaḷḷi|a woody climber, climbing and rooting on the stems of trees, Pothos scandens Lin.|||||aḍike-būru, arke-būru|a kind of creeper, P. scandens|||0|||||||||0090|N
83|*aḍ- (?)|a k. of tree|0|||||||||||||||||*aḍǝd-|50|||||||||0092|N
84|*aṭ-am|loft, upper story|0||aṭṭam|terraced roof, upper story||aṭṭam|roof used as store-room, scaffold on four poles||aṭṭa|upper loft in a house, apartment of roof, tower, buttress (one of the tatsamas)||aṭṭa|loft||aṭṭa|upper loft, garret, upper room, ceiling|\Iaṭṭaḷu\i an upstairs room; \Iaṭṭoḷigè\i loft supported on posts, temporary gallery; \Ikutt-aṭṭa\i, \Ikutt-aṭṭè\i upper loft for storing rice|*aṭ-|57|||||||||0093|N
85|*aḍḍātiḍḍ- (?)|clumsy, awkward, perverse|0||aṭṭātuṭṭi, aṭṭātuṣṭi, aṭṭātuṣṭam, aṭātuṭi|perversity, abusive language|||||aḍḍatiḍḍa, aḍḍatiḍḍi, aḍḍātiḍḍi, aḍḍādiḍḍi, aḍḍāduḍḍi|awkwardness, perverseness, impropriety; awkwardly, etc.|||||aḍḍādiḍḍi|awkward, clumsy, topsy-turvy|||0|||||||||0094|N
86|*aḍḍij-|necklace|0||aṭṭiyal|closely fitting necklace|\Iaṭṭikai\i closely fitting necklace of gold wires or of precious stones (< Ka.)|aṭṭika|a closely fitting necklace||aḍḍike, aḍḍige|one of the pieces of gold of which the necklace called aḍḍike is composed, a necklace composed of aḍḍikes||aḍḍige|gold necklace||||||0|||||||||0095|N
87|*anṭ-|to join, stick to|52||aṭṭu (aṭṭi-)|to join, stick, paste (tr.)|\Iaṇṭai\i thing attached, annexed as a plug to stop a hole, patch|aṭṭuka|to join, stick, adhere||aṇṭu|to stick, adhere to; n. adhesion, that adheres, an impurity, that is sticky, gum, paste, that is viscous|\Iaṇṭaru\i to stick to; \Iaṇke\i, \Iaṇpu\i act of smearing or anointing; \Iaṭṭu\i state of being joined||||aṇṭuni|to adhere, stick; to paste (tr.), attract|\Iaṇṭụ\i gum, paste, adhesion; \Iaṇṭụpattu\i adhesive, attractive; \Iaṇṭāvuni\i to paste; \Iaṇarụ\i moss, lichen, mould, green stuff on stagnant water||0|||||||||0096|N
88|*aṭ-|to discharge, flow, urinate|0||aṭṭu (aṭṭi-)|to be discharged as pus, flow as honey; to pour (tr.)||aṭiyuka|(eye) suffers from excessive secretion|\Iaṭṭuka\i to pour, (Kauṭ.) discharge (urine)|||||||aṭṭuni|to urinate (with object \Ipōsra\i)||*aṭ-|56|||||||||0097|N
89|*aṭ-ai|sole of shoe; cardboard|79||aṭṭai|sole of shoe, cardboard|||||aṭṭe|sole (of leather), sandal, skin, bark||aṭṭe|bark of tree||aṭṭè|sole of shoe|||0|||||||||0098|N
90|*aṭ-ai|leech|0||aṭṭai|leech||aṭṭa|leech||aṭṭe, āḍe|leech||aṭṭe|water leech||||||0|||||||||0099|N
91|*aṭ-ai-|headless trunk|0||aṭṭaiy-āṭal|hero's body continuing to manifest heroic deeds even after dismemberment|||||aṭṭe|a headless trunk, esp. one retaining vitality|||||||||0|||||||||0100|N
92|*aṭ-|ditch; cliff|0|||||||||||||||||*aṭ|55|||||||||0101|N
93|*aḍḍagel-|breadth|0||||||||||||||aḍḍagela|breadth, diameter (i.e. \Iaḍḍa\i + \Iagela\i)||*aḍejḷ-|1159|||||||||0103|N
94|*aḍḍ-|a money unit|0||||||||aḍḍa|two aṇas and four pays, seven duḍḍus||||||||*aḍ-ǝm|1160|||||||||0104|N
95|*aḍ-|thirst|7||||||||nīr-aḍike, nīr-aṛke|thirst|\Inīr-aḍisu\i to be thirsty||||||||0|||||||||0109|N
96|*aṇ-|up, above|0||aṇ|upper part|\Iaṇa\i (\I-pp-, -nt-\i) to lift the head; \Iaṇar\i (\I-v-, -nt-\i) to rise, move upwards; \Iaṇavu\i (\Iaṇavi-\i) to go upward, ascend; \Iaṇṇal\i greatness, exaltation, superiority, great man, king, god; \Iaṇṇam\i palate, roof of the mouth, uvula; \Iaṇṇā\i, \Iaṇṇākku\i uvula (cpd. with 3633 \Inā\i, \Inākku\i); \Iaṇṇā\i (\I-pp-, -nt-\i) to look upward, gape, hold the head erect; \Iaṇṇāvi\i teacher, director of theatrical performances, master, one in authority|aṇṇa|upwards, above|\Iaṇṇal\i high, God, esp. Arhat; \Iaṇṇā\i looking upwards; \Iaṇṇāvi\i teacher, head of a company of actors; \Iaṇṇan\i royal predecessor, ancestor; \Iaṇṇam\i, \Iaṇṇākku\i uvula|aṇṇe, aṇṇa, aṇa|excellence, purity|\Iaṇṇālige\i uvula||||aṇāvuni, aṇṇāvuni|to look up, lift up the face, gaze|||0|||||||||0110|N
97|*aṇak-|mockery, quarreling|0||||||||aṇaka|mockery, derision, abuse|\Iaṇakisu\i to mock, deride; \Iaṇakisuvike\i mocking||||aṇakasaṇaka|quarrelling|||0|||||||||0111|N
98|*aṇ-aŋ-|to suffer|1880||aṇaŋku (aṇaŋki-)|to suffer, be distressed, be slain; to afflict; n. pain, affliction, killing|\Ian̲uŋku\i (\Ian̲uŋki-\i) to suffer pain, be in distress, fade, droop; \Ian̲ukku\i (\Ian̲ukki-\i) to distress, cause to suffer, ruin; \Ian̲ukkam\i suffering, distress, pain, weakness||||aṇaku|to press into a narrower compass, subdue, control|\Iaṇacu\i to depress, humble; \Iaṇaka\i closeness, compactness, firmness, state of being in good repair; \Iaṇakuve\i humbleness, modesty; \Iaṇagu\i to hide, disappear, be humbled, crouch; \Iaṇuŋku\i to depress, humble, abate, ruin, destroy; \Iaṇuŋgu\i to be depressed, etc.||||aṇaka|narrowness, closeness; narrow, small|||0|||||||||0112|N
99|*aṇ-|offspring|0||aṇaŋku|young offspring|||||aṇuga|son|\Iaṇugi\i daughter||||||||0|||||||||0113|N
100|*aṇ-|neck, jaw|0||aṇal|neck, side of the upper jaw, chin, throat, windpipe, beard, dewlap|\Iaṇar\i, \Iaṇari\i side of the upper jaw; \Iaṇār\i neck|aṇa|jaw, hinder part of jaw|\Iaṇa-ppallu\i grinder, double tooth; \Iaṇal\i jaw, hinder part of mouth; \Iaṇali\i viper; \Iaṇṇāṭi\i cheekbone; \Iaṇṇi\i inside of the cheek, joint of jaws|aṇal|under part of the mouth, the mouth||||||||*aṇǝg|28|||||||||0114|N
101|*aṇ-ap-|deceit; to deceive|0||aṇāppu (aṇāppi-)|to deceive|\Iaṇāppi\i a deceitful woman|aṇappu|deceit, trickery, fraud||||||||||||0|||||||||0115|N
102|*aṇ-i-|beauty; to wear (jewels)|0||aṇi (-v-, -nt-)|to be beautiful, be an ornament; to adorn, wear (as jewels), describe in embellished language; n. decoration, ornament, beauty|\Iaṇiyal\i adorning, necklace; \Iaṇivu\i wearing; \Iaṇikam\i ornament; \Iaṇaŋku\i beauty, form|aṇi|decoration|\Iaṇiyuka\i to wear (jewels, arms), decorate oneself; \Iaṇiyikka\i to dress, adorn|aṇi|niceness, pleasantness, beauty|(Hav.) \Iaṇi\i devil-dancer's headdress|aṇi- (aṇiv-, aṇiñj-)|to wear, enjoy (jewels) (song word)||aṇi|a kind of mask or appendage worn by a devil-dancer, a peacock's tail when spread|||0|||||||||0116|N
103|*aṇ-i|array, row|0||aṇi|array of an army, order, regularity, row|(\I-v-, -nt-\i) to put in array (as an army); \Iaṇiyam\i array of an army|aṇi|row, line of soldiers||aṇi|an array, body of soldiers, detachment|||||||||0|||||||||0117|N
104|*aṇ-ij-|prow|0||aṇiyam|forepart of a vessel, stem, prow||aṇiyam|ship's head, prow||||||||aṇya|prow of a vessel|||0|||||||||0118|N
105|*aṇil-|a large tree, gall-nut|0||||||||aṇile, aḷale, aḷile, aḷule, aḷḷi, aḷḷe|a large tree furnishing Indian myrobalans or ink nuts, Terminalia chebula Roxb.|||||aṇile-kāyi|gall-nut, ink-nut|\Iaṇile-mara\i ink-nut tree, T. chebula; \Ialḍe-kāyi\i gall-nut, T. c.||0|||||||||0119|N
106|*aṇ-|to approach; to join|51||aṇai (-v-, -nt-)|to approach, come near, touch, come in contact with, copulate with|(\I-pp-, -tt-\i) to join, put close (as earth to a tree), embrace, hold, tie, fasten (as animals), tie up in a bunch; n. coition; a yoke of oxen; \Iaṇaippu\i embracing; area that can be ploughed by two pairs of oxen in one day; \Iaṇmai\i, \Iaṇumai\i, \Iaṇimai\i nearness, proximity; \Iaṇavu\i (\Iaṇavi-\i) to go near, approach, come close to, embrace; \Iaṇāvu\i (\Iaṇāvi-\i) to approach; \Iaṇa\i (\I-pp-, -nt-\i) to be joined, united; \Iaṇaŋku\i (\Iaṇaŋki-\i) id.; \Iaṇi\i (\I-v-, -nt-\i) to join with (tr.); adv. near; \Iaṇiyan̲\i who is near by; \Iaṇuku\i (\Iaṇuki-\i) to approach; \Iaṇukkam\i, \Iaṇukku\i nearness, proximity; \Iaṇukkan̲\i one who is near, intimate; fem. \Iaṇukki\i; \Iaṇṇu\i (\Iaṇṇi-\i) to approach, draw near, join, unite with; \Iaṇṇimai\i nearness; \Iaṇṇaṇi\i in close proximity; \Iaṇmu\i (\Iaṇmi-\i), \Iaṇpu\i (\Iaṇpi-\i) to approach; \Iaṇṭu\i (\Iaṇṭi-\i) to approach, take refuge in; \Iaṇṭai\i nearness, vicinity|aṇayuka|to approach, arrive|\Iaṇavu\i arrival, closeness, love; \Iaṇekka\i to bring into contact, embrace, hug; \Iaṇa\i yoke, pair; \Iaṇukuka\i to approach; \Iaṇaccal\i embracing, drawing near; \Iaṇappu\i embracing, an embrace; \Iaṇayam\i vicinity, neighbourhood; (Kauṭ.) \Iaṇukkan\i one who is near; intimate; \Iaṇṭa\i nearness, proximity; \Iaṇṭuka\i, \Iaṇṇuka\i, \Iaṇpuka\i to approach|aṇe, aṇi|to come near, come in contact, touch, embrace|\Iaṇe\i approach; \Iaṇi\i joining, fitness, order; \Iaṇiyara\i fitness; \Iaṇasu\i that holds firmly together, a ferrule; a throng; \Iaṇugu\i nearness; \Iaṇṭu\i to come or be in contact with, touch (intr., tr.), embrace; n. menses (? < Te.); \Iaṇṭisu\i to place in contact; \Iaṇḍisu\i to go near, approach, resort to, come or go to for protection; \Iaṇḍu\i going near, an approach, a resort; \Iaṇḍe\i nearness, approach, side of anything|aṇḍa|side||aṇepuni|to come in contact, press|\Ianepini\i, \Ianepuni\i to touch, hug, embrace; \Iaṇasụ\i a handle, hilt|*anḍ-|26|||||||||0120|N
107|*aṇ-ai-|to be extinguished|0||aṇai (-v-, -nt-)|to be extinguished|(\I-pp-, -tt-\i) to quench, extinguish; \Iaṇaŋku\i (\Iaṇaŋki-\i) to die, be slain|aṇayuka|to go out (as light)|\Iaṇaykkuka\i to extinguish, put out|aṇe|to be extinguished or quenched, go out|||||||||0|||||||||0121|N
108|*aṇ-ai|dam|55||aṇai|embankment, dam, ridge for retaining water in a field, bank of river or sea|\Iaṇṭai\i field bund, ridge of a field|aṇa|dam|\Iaṇṭa\i bund, ridge of field|aṇe|dam, dike||aṇḍa|bank or edge of river|||||*aṇ|24||||||||Probably two roots: \I*ăṇ-\i 'embankment', \I*anḍ-\i 'field bund'. Contamination.|0122|N
109|*aṇ-ai|support, prop|0||aṇai|support, prop, protection, help|\Iaṇṭai\i support|aṇa|support, pillow||aṇḍe|support, prop||||||||*aṇ-|1168|||||||||0123|N
110|*aṇ-ai-|interjection|0||||||||aṇe|interj. used in calling to women|||||aṇè|oh! hey!|||0|||||||||0124|N
111|*anḍar-|shepherds|0||aṇṭar, iṇṭar|shepherds||aṇṭar|shepherds||||||||||||0|||||||||0125|N
112|*anḍ-i|mango stone|2157||aṇṭi-kkoṭṭai|cashew-nut||aṇṭi|kernel, stone of mango, etc., nut, scrotum|||||māŋge āṇḍi|mango stone||aṇḍi|kernel of mangoes, etc.|||0|||||||||0126|N
113|*anḍ-ig-|pannier or pack|0||||||||aṇḍige|one pannier or pack, half a bullock load|||||||||0|||||||||0127|N
114|*anḍipunār-|a k. of evergreen tree|0||||||||andipunāru-mara|an evergreen tree, Carallia integerrima Merr.|||||aṇḍiṇārụ, aṇḍipuṇārụ|C. integerrima|||0|||||||||0128|N
115|*anḍ-|anus, buttocks|0||aṇṭu-taḷḷukai|prolapsus ani|(Tinn.) \Iaṇṭi\i anus||||aṇḍu|a buttock, the buttocks, yoni of children, bottom of a vessel|||||aṇḍụ|the buttocks|||0|||||||||0129|N
116|*anḍ-ai|squirt, vessel|0||aṇṭai|squirt for festival occasions|||||aṇḍe|vessel made of a hollow bamboo, etc., generally with a handle|||||aṇḍè|vessel made of hollow bamboo or nutshell, vessel of a toddy-drawer for putting toddy in||*anḍӓ|27|||||||||0130|N
