NUMBER|PROTO|MEANING|PRNUM|STEMS|KOTA|TODA|ADDITION|NOTES|DEDNUM
71|*āḷ-/*āṛ-|depth, deep place in river|358|*āḷ-ǝm [\I"depth"\i], *āṛ-v- (\Ip.\i *ā[ṛ]-t-) [\I"to sink"\i]|āḷm (\Iobl.\i āḷt-)|ōḷm (\Iobl.\i ōḷt-)|Also Toda \Inȫr̲ ōf-\i (\Iōt-\i) to make sun drink (in one legend only); \Iōf-\i (\Iōt-\i) to run into foot; to sink (post) in ground; \Iōos̲y\i (thorns) not running into feet (in song; ? < Badaga); ? \Iōṛϑ\i not being; \Iōṛϑ ōɫ̣\i man who is not (here); \Iōṛϑfoy ōɫ̣\i man who died (here); \Iōṛϑi\i it is not ('not to be' < 'to sink, to disappear')||396
72|*ām|we (excl.)|4310|*ām (\Iobl.\i *em-)|ām (\Iobl.\i em-)|em (\Iobl.\i em-)||In Toda \Iem\i (dir. st.) by analogy with the obl. st.|5154
73|*ām|we (incl.)|3059|*ām (\Iobl.\i *am-)|ām (\Iobl.\i am-)|om (\Iobl.\i om-)||In Toda \Iom\i (dir. st.) by analogy with the obl. st.|5154
74|*āmǝ[-ḷg/-nḍ]|castor-oil plant|323||āmaṇḍ|ōmuḷg||The stem displays the same irregular variation in the auslaut position as the rest of the Dravidian languages.|360
75|*āmīr|Gaultheria fragrantissima, winter-green (bright blue, edible berries)|324||āmīr giṛv|ēmɨr|||361
76|*ān|I|4316|*ān (\Iobl.\i *en-)|ān (\Iobl.\i en-; e- \Iwith some relationship terms\i)|ōn (\Iobl.\i en-)|||5160
77|*ānӓ|elephant|4317||ān|ān|||5161
78|*āḷ-|to own|4313|*āḷ- (\Ip.\i *āḍ- < *āḷ-d-)|āṇ- (āḍ-) "to possess, rule, keep, own"|ōḷ- (ōḍ-) "to own (buffaloes), rule"|||5157
79|*e-|at what distance from the speaker in space, time, or contextual relationship|4308||e-|e-, ē-|||5151
80|*e-, *ej-|interrogative base|4307||evn, evḷ, evr, ed/edn/ēd/en "which man, which woman, which persons, which thing or things"|ēϑ (\Iobl. personal\i ēn-), \Ipl.\i ēϑām "which person or thing"|Also Kota adj. \Ie\i (before consonant), \Iey\i (before vowel); \Iey\i, \Iēd\i where; \Ieyk\i whither; \Ieytr\i whence; \Ieyōn\i, \Ieyōḷ\i, \Ieyōr\i, \Ieyd\i man, woman, persons, thing or things of or from what place; \Iejn\i whence; \Iet̲\i which direction; \Iet̲āk\i a little in which direction; \Ieyakd\i, \Iet̲akd\i somewhere (one doesn't know where); \Ietervī\i in which neighbourhood; \Iel\i, \Iēllk\i when; \Ielōn\i, \Ielōḷ\i, \Ielōr\i, \Ield\i man, woman, etc., at what time; \Ienm\i like what; \Ientk\i to what extent; \Ientgō\i numerous; \Ienā\i, \Ienenā\i such as what; \Iennm\i how, in what manner; \Ientā\i how great; \Iēpāṭy\i so big as what; \Iental\i how many; very much, very big, more; \Ienmūṛ\i like what; \Ieŋ gey-\i to do what; \Iend̲\i what day; \Iend̲ end̲km\i forever; Toda adj. \Iē\i (before consonant), \Iēy\i (before vowel); \Iēϑɨd\i because of what; \Iēϑɨdm\i because of any of these things; \Iet̲\i in which direction; \Iet̲m\i in any direction; \Iet̲ɨk\i a little in which direction; \Iet̲s̲n\i, \Ies̲n\i whence; \Iēl\i where; \Iēnk\i to what place; \Iēnār̲\i by what road, towards where; \Iēfaxm\i always; \Iēd̲\i, (in song also) \Ied̲\i why; \Ied̲\i on what day; \Ietfok\i, \Ietfɨn\i when; \Iet\i how many; \Ietk\i how much; \Ietks̲\i at what distance; \Ietōf\i such as what; \Iegy\i what manner, how; however much; \Ie(g) gɨs\i doing in what way, how; \Ie(g) gɨsem\i somehow; \Ies̲ ɨn-\i to say how or what|It is not quite clear whether the correspondence "Kota \Ie\i - Toda \Iē\i" can in any way reflect PSDR \I*jā-\i (\I*ja-\i) or if the length of the vowel in Toda (or its shortness in Kota) is secondary.|5151
81|*ār|who|4307||ār, dār, idār "who (sg., pl.)"|ōry (\Iobl.\i ōr-)|Also Toda \Iin\i what; why; \Iī\i what (\Iī xɨy-\i to do what; freely used in song)||5151
82|*ār-|to shout|330|*ār- (\Ip.\i *āt- < *ār-t-) [\I"to call"\i], *āŕ-v- (< *ār-ǐ-v-; \Ip.\i *āŕ-t-) [\I"to dance"\i]|ār- (āt-) "to call"|ōṣf- (ōṣt-) "to dance (of Todas; really, to shout \IƆhau hau\i while dancing)"|Also Toda \Iāfoṛ-\i (\Iāfoṭ-\i) to talk (in general, to one another, a language)|Toda \Iāfoṛ-\i = Kan. \Iārbaṭ-isu\i.|367
83|*ār-|to jump|337|*ār- (\Ip.\i ār-ǐ-); *ār-ǐ [\I"a jump"\i]|ār- (āry-) "to do broad jump, jump"|kup-ōry "a standing broad jump (\Ikup\i a jump)"|||373
84|*ār̲-|not to be [able]|368||ār- (\Ionly in negative, following S2\i -uḷ) "not to be willing to do so-and-so (Su. 1971, p. 342); (only in negative, following S1 \I-l\i) cannot do so-and-so"|ōxar̲e- "you will not be (said to be Badaga; \I-ar̲-\i belongs here)"|||407
85|*āḍ|goat|4308||āṛ (\Iobl.\i āṭ-)|ōḍ|||5152
86|*āḍ|one year|4309||ōr āṛ|wӯr ōṛ|Also Kota \Iīr āṛ\i two years; Toda \Iīr ōṛ\i two years; \Ikōḍ\i last year|In Toda \I*ōḍ\i would be expected, which we have in \Ik-ōḍ\i (< \I*kī-ōḍ\i, cf. \I*kī-\i); resonant assimilaton?|5153
87|*āḍ-|to move, dance|311|\Iintrans.\i *āḍ- (\Ip.\i *āḍ-ǐ-), \Itrans.\i *āṭ- (\Ip.\i *āṭ-ǐ-), \Icaus.\i *āḍ-ǝc- (\Ip.\i *āḍ-ǝc-ǐ-)|āṛ- (āc-) "to move, move violently, dance, play, speak, have sexual intercourse"|ōḍ- (ōḍy-) "to move violently, dance"|Also Kota \Iāṛc-\i (\Iāṛc-\i) to make to move violently, stir, sprinkle, disturb; \Iāṭ-\i (\Iāc-\i) to give birth to (child); \Iāṭ\i dance, game; \Iāṭm\i one's turn in game; \Iāṭḷ\i song of grief; Toda \Iōḍc-\i (\Iōḍč-\i) to make to dance, drive (buffaloes) around in pen at funeral; \Iōṭ-\i (\Iōṭy-\i) to shake violently, weep, embroider||347
88|*āv|cow|302||āv|-of "suffix in some names of female buffaloes (MBE 1979, p. 226)"|||334
89|*āvaḷ-|to yawn|355|*āvaḷ-ǐ-; *āv-aḷ-ǐ [\I"a yawn"\i]|āvaj "a yawn"|ōpüɫ̣y- (ōpüɫ̣c-)||In Kota \I*āvaḷǐ\i > \I*āvalǐ\i (weaking of retroflex articulation in a long word?) > \I*āvaj\i. Toda \Iōpüɫ̣y-\i = Koḍ. \Iāvali-c-\i; inlaut -ü- < *-a- under the influence of both labialized \Iō\i and front ǐ, but \I-p-\i is rather mysterious (by all means \I-f-\i should be expected in this position).|392
90|*āvĭ|soul; breath|356||āyv "soul, steam, vapour"|ofy "breath"|Also Toda \Iōfoj\i, \Iōfy\i vapour, morning mist, visible breath|Toda \Iōfy\i is primary here; \Iofy\i maybe due to contamination with \Iofy-\i 'to calm down'?|393
91|*vanḍ|bastard|3268||vaḍ "woman's lewd conduct which results in a bastard child"|poḍ mox "child which is illegitimate because bow was not given to mother"|Also Kota \Ivaḍ mog\i bastard child; \Ibaṇḍv\i lewdness (of a woman who has intercourse with many men); (senseless) cattle, domestic animals|Kota \Ibaṇḍv\i < Kannada.|3902
92|*vaḍ-|poor|4350|*vaḍ-ǝv- [\I"poverty"\i], *vaḍ-ǝv-ǝn [\I"poor man"\i]|vaṛv "poverty"|poḍfɨn mox "son of a pauper (in songs)"|Also Kota \Ivaṛvn\i poor man; \Ibaṛvā meyṇ\i, \Ibaṛvn meyṇ\i, \Ivaṛvn meyṇ\i son of a pauper (abusive)|Kota forms with b- < Kannada.|5222
93|*veṭ-|mountain (esp. \Itɨṭ pӧṭ\i id.)|4579|*veṭ-ǝm (\Iobl.\i *veṭ-ǝt-)|veṭm (\Iobl.\i veṭt-)|pӧṭ|Also Kota \Ibeṭ\i mountain (\Ināng beṭ\i the Nilgiris [lit. the four mountains]); \Ibeṭd amn\i the female member of the Raŋgr trinity in Kolmēl village [lit. the goddess of the mountain])|Kota \Ibeṭ\i borrowed from Kannada (where final -m regularly disappears, so \Ibeṭṭa\i > Kota \Ibeṭǝ\i > \Ibeṭ\i).|5474
94|*bōṛ-|shaved|3847|*bōṛ-Vc- (\Ip.\i *bōṛ-Vc-ǐ-) [\I"to shave"\i], *bōṛ [\I"shaving"\i]|bōḷ "complete shaving of head"|pōṇ- (pōṇy-) "to shave, clear (a way, growth on site)"|Also Kota \Ibōḷṇ\i, \Ibōḷmaṇḍṇ\i man with head completely shaved because of vermin; fem. \Ibōḷy\i, \Ibōḷmanj\i; \Ibōḷ ī meyṇ\i son of man with bald head, etc. (abusive)|The final \I-ḷ\i in Kota \Ibōḷ\i is irregular (\I*bōy\i would be expected). Either it is there under the influence of derivates like \Ibōḷṇ\i < \I*bōṛ-ǝn\i, or all the forms have to be considered borrowings (from Tulu? Kannada only has forms with \I-ṛ-\i).|4600
95|*bōr|hole|3850||bōr "vagina"|pӯr "hollow of tree (where bees nest)"|Also Toda \Iōr̲\i (obl. \Iōt̲-\i) hole, wound|Toda \Iōr̲\i looks like a borrowing from Kan., but the respective Kan. form is not attested.|4604
96|*bugīrǐ|flute|3557||bugīr|puxury "Toda flute"||Toda \Ipuxury\i < \I*puxirǐ\i through assimilation.|4239
97|*cad-/*cac-|to stroke|1985|\Iintrans.\i *cad-ǝ-g- (\Ip.\i *cad-ǝ-g-ǐ-), \Itrans.\i *cad-ǝ-k- (\Ip.\i *cad-ǝ-k-ǐ-); *cac- (\Ip.\i *cac-ǐ-) [\I"to beat, hammer"\i]|cady "a murder; pair word with \Icudy\i news (\Icudy cady\i)"|toϑx- (toϑxy-) "to be squeezed or smashed flat, (person) gets into difficulties"|Also Kota \Icac-\i (\Icac-\i) to hammer with heavy blows, pat, stroke, kill (animal); \Icac\i a blow; Toda \Itoϑk-\i (\Itoϑky-\i) to squeeze or smash flat; \Itoc-\i (\Itoč-\i) to beat||2322
98|*sal-|to suit, belong|2361|*sal- (\Ip.\i *sand-); *sal-ǝv [\I"money, expenses"\i]|cal- (cad-) "(prayer) is acceptable to god, (coin) is genuine, (wife) is suitable mate"|sal- (sad-) "to belong to (e. g. a person's property, a person to a clan, inherited property, etc.)"|Also Kota \Icalc-\i (\Icalc-\i) to pay (debt, vow), inform; \Icalv\i, \Icelv\i money for expenses, articles for sale, articles given by Kotas for Toda funeral; Toda \Isalf\i expenses, necessities (for family, funeral, etc.); ? \Italc-\i (\Italč-\i) to cause to be well known (to a person), inform||2781
99|*saḷ (?)|trouble|2070||caḷ "act of troubling or causing trouble"|soḷ "hindrance, inconvenience"||Since in Toda -ɫ̣ should be expected, it is not excluded that the word is actually borrowed from Tamil.|2414
100|*sāg-|enough; possible|2112|*sāg- (\Ip.\i *sāg-ǐ-); *sāk [\I"enough"\i]|cāg- (cāgy-) "to be possible"|sōk "enough"|Also Kota \Icākm\i sufficiency; \Icākō\i it is enough; \Icāky\i enough||2470
101|*sāk-|to rear|2077|*sāk- (\Ip.\i *sāk-ǐ-)|cāk- (cāyk-) "to make to grow, rear, support"|sōk- (sōky-) "to rear (in songs)"|Also Kota ? \Icākn\i tameness (but not really tractable or domesticated)||2427
102|*sāl|furrow|2113||cāl|sōl||PN \I*sāl\i > Toda \Isōl\i (not \I*sōs̲\i) apparently for dissimilative reasons.|2471
103|*sāl-|debt|2114|*sāl-ǝm (\Iobl.\i *sāl-ǝt-)|cālm (\Iobl.\i cālt-) "debt, loan, account of all debts and credits, account of one's life, piece of advice"|sōlm "assets and liabilities"|||2472
104|*sārĭ|near (in songs; < Badaga)|2106||cāry|sōry|Also Kota \Iaṛ cāry\i left side; \Ival cāry\i, \Ival ka cāry\i right side; \Io cāry\i one side; \Ival cārym\i all around|The fact that the word is mainly met in songs does not at all imply a borrowing, and there are no other reasons to suggest one.|2460
105|*sā/*saj-|to die|2076|*sā-v; *saj- (\Ip.\i sa-t-)|kāṛ cāv "person who dies somewhere so that his body is not found (\Ikāṛ\i jungle)"|soy- (sot-) "to die (of others than Todas)"|Also Toda \Isōf\i Badaga funeral|Since the Toda form goes back to \I*sāj-\i (p. \I*sa-t-\i), the shortness of the vowel in the present tense stem should probably be explained by analogy with the past tense.|2426
106|*ceḷ|flea|2371|*ceḷ, *ceḷk|cek|tӧɫ̣||Kota \Icek\i = Tamil \Iteḷku\i.|2792
107|*senḍ|ball|2349||ceṇḍ "ball used in games, ball on man's hair-cord"|seḍ||The Toda form may be a re-borrowing from Tamil, etc. (\I*sӧḍ\i would be expected).|2766
108|*ker̲-|tank; dam|1724|*ker̲-ǝ-p- (\Ip.\i *ker̲-ǝ-t-) [\I"to dam"\i]; *ker̲ [\I"tank"\i]|ker "tank"|ker̲f- (ker̲t-) "(water) is dammed, (crowd) gathers; to dam"|Also Kota \Icer\i imprisonment; obstruction in labour; \Igirn\i, \Igrn\i in a dense crowd (of people gathering); Toda \Iker̲\i party, side; \Iser\i imprisonment; \Iked-\i (\Ikedy-\i) to be stuck in (spear in tree, stick in hand or foot); to fix in position (waistcloth, sticks at end of ridgepole to hold thatch); \Iter̲ pat̲-\i (\Ipat̲y-\i) to arrest, seize, and confine (in song phrases)|PN \I*ser\i is a borrowing from Tamil (or Telugu). Kota \Igirn\i either displays expressive voicing or does not belong here at all. The only possible way Toda \Iked-\i can belong here is if it goes back to \I*ker̲-ǝnd-\i (even so, the exact reflexation would not be entirely predictable), but the respective forms are not attested in any other SDR languages.|1980
109|*cerǝŋ-|corner of cloth|2373||cerŋgl "corner of a cloak or piece of cloth"|tergy "corner of a garment"|||2796
110|*seḍĭ|bad smell|2345||ceyṛ, ceṭ, ceṭ ceyṛ|sid̲y||In Toda \I*siṛy\i would be expected; one of the few cases of irregular *ḍ > d̲.|2760
111|*sēr-|to arrive|2388|\Iintrans.\i *sēr- (\Ip.\i *sēnd-), \Itrans.\i *sēt- (\Ip.\i *sēt-ǐ-)|cēr- (cēd-), cēd- (cēdy-) "to arrive, join, gather (intr.)"|sȫr- (sȫd-)|Also Kota \Icēt-\i (\Icēty-\i) to make to gather or enter a place; \Icērek āḷ\i, fem. \Icērekāc\i people between whom verbal taboos do not operate (including people of opposite sex who may marry); Toda \Isȫrc-\i (\Isȫrč-\i) to cause to arrive, bring someone to his destination, allow someone to join oneself, collect; \Isȫt-\i (\Isȫty-\i) to make to join with others; \Isȫ-\i (only negative forms, translated as positive) to be envious (in songs)||2814
112|*cēḷ- (*s-)|bedbug|2490||cēḷ|(?) tixiṇy||It is very hard to suggest a PN reconstruction for both Kota and Toda forms. Most probably, Toda \Itixiṇy\i < Kan. \Itigaṇe\i.|2996
113|*kēr̲|tank|1750||kēr "shallow tank, puddle"|kȫr̲ (\Iobl.\i kȫt̲-) "lake, tank formed by dam"|Also Kota \Icēr\i, Toda \Isӧr̲\i mud|Forms with initial affricates are borrowed from Tamil (maybe already in PN: \I*sēr̲\i).|2020
114|*sigg|shame|2136||cig "shame, self-respect"|sig "shame (in songs)"|||2500
115|*cik-|to be trapped|2134|*cik- (\Ip.\i *cik-ǐ-)|cik- (ciky-) "to be caught, get in trouble, be got, obtained"|tik- (tiky-) "to be trapped (physically or figuratively)"|Also Kota \Icikc-\i (\Icikc-\i) to make to be caught, get, obtain; \Itik\i tangle in the hair; Toda \Isik\i knot or tangle in hair|Toda \Isik\i, Kota \Itik\i are borrowings.|2498
116|*sil-|silver|2194||cilr "odd (over a round number; \Icāvrm cilr kāc\i a thousand-odd rupees)"|silōr, silfōrm "silver, small change"|Also Kota \Icilr dēvādy\i a small-change god (contrasted with \Icōym\i the great god); Toda \Isily\i silver (in songs)|Obviously a contamination of the original \I*sil-\i "small, trifle" and English \Isilver\i (cf. esp. Toda \Isilfōrm\i), but even the older forms might have been borrowings from Tamil.|2574
117|*sin- (*c-)|gold; ear-ring|2214||cinm|sin|Also Toda \Itingoṇy\i bag in which old coins are put for use at funerals|If Toda \Itin-goṇy\i actually belongs here, the original form is \I*cin-\i, because there is no possible source of borrowing for this word. Otherwise, Kota \Icinm\i = Toda \Isin\i = PN \I*sin-ǝm\i, although the possibility of borrowing is not excluded.|2596
118|*kir̲-|anger|1398||? cirv- (cirt-) "to be angry with"|kɨr̲k "violent anger, madness"||Kota \Icirv-\i < Tamil \Icer̲u\i?|1597
119|*cīr|nit|2238||cīr|tīr|||2625
120|*sīr-|to spray|2247|*sīr [\I"spray"\i]; *sīr-ǝl [\I"drizzle"\i]|cīrl "(to rain) in a drizzle"|sīr "spray"|||2640
121|*cīr-|bag, sack|2241|*cīr-ǝm (\Iobl.\i cīr-ǝt-)|cīrm (\Iobl.\i cīrt-) "bag"|tīrm (\Iobl.\i tīrt-) "gunny sack"|||2632
122|*sup|a k. of leaves|2275||cop "broth made of plants, plants used in making broth"|sup "leaves (in song; ? < Badaga \Isoppu\i)"|Also Toda \Itub\i leaves\I|Toda \Itub\i is probably a separate root (\I*cumb\i).|2673
123|*tor̲ĭ-|to itch|2418|*tor̲-ǐ- (\Ip.\i *tor̲-ǐ-d-); *tor̲-ǐ [\I"Utica heterophylla"\i]|toyr- (torc-)|twar̲y "Urtica heterophylla Dcne. (causes itching and rash)"|Also Kota \Icorŋg\i an itch; \Itoyr\i, \Itoyrv\i Urtica heterophylla|Kota \Icorŋg\i < Tam. \Icoraŋk\i?|2865
124|*curǝ-|to shrink|2285|\Iintrans.\i *cur-ǝ-ŋ- (\Ip.\i *cur-ǝ-ŋ-ǐ-), \Itrans.\i *cur-ǝ-k- (\Ip.\i *cur-ǝ-k-ǐ-); *cur-ǝḷ- (\Ip.\i *cur-ǝ-nḍ- < *cur-ǝḷ-nd-) [\I"to pull legs close to body"\i]|curg- (curgy-) "to stint oneself to support family"|tūṛ- (tūṛy-) "to shrink (intr.)"|Also Kota \Icurk-\i (\Icurky-\i) to make small, draw up (legs, fingers), shrink; \Icug-\i (\Icugy-\i) to be creased; \Icorṭy\i state of a hoe being worn short by much use; Toda \Itūḷ-\i (\Itūḍ-\i) to pull legs close to body (e. g. while sleeping)|Kota preserves the root with the old extension \I-ǝŋ-/-ǝk-\i; Toda - with the old extension \I*-uḷ-\i (cf. Tamil \Icuruŋku\i, \Icuruḷ\i). Toda \Itūṛ-\i probably = Kan. \Isur-uṇṭu\i.|2687
125|*corǝ-|to pour, flow|2427|*cor-ǝ-v- (\Ip.\i *cor-ǝ-d-)|corv- (cord-) "(milk) streams from udder by itself"|twar- (twarϑ-) "(buffalo) is ready for milking with milk drawn down into teats by the calf"|Also Toda \Itwar\i state of having milk in the udder||2883
126|*soṭ-|to drip|2398|*soṭ- (\Ip.\i *soṭ-ǐ-); *soṭ [\I"drop"\i]|coṭ- (coṭy-) "to leak, fall in drops"|swɨṭ- (swɨṭy-) "to drop (of liquids; intr., tr.)"|Also Kota \Icoṭ\i, \Icoṭl\i a drop; Toda \Iswɨṭ\i a drop||2835
127|*cōɫ-|to be defeated|2981|*cōɫ- (\Ip.\i *cōt̲-), \Icaus.\i *sōl-ǝc- (\Ip.\i *sōl-ǝc-ǐ-)|cōl- (cōt-) "to be defeated, be inferior, fail"|twӯɫ- (twӯt̲-) "to be defeated, become old"|Also Kota \Icōv-\i (\Icōt-\i) to be defeated; Toda \Itwӯlc-\i (\Itwӯlč-\i) to defeat; \Iswӯl-\i (\Iswӯt-\i) to be defeated (< Badaga)||3558
128|*tōlӓ|forest|2432||tēl "forest; menstrual blood"|twās̲ "grove, thicket"|Also Kota \Itēl uk-\i to menstruate (lit. enter forest); \Itēl uḷ\i (lit. the inside of the forest), \Itēl uḷ pay\i (lit. house inside forest) menstrual house; \Icōlgn\i man of a forest trible living near Bokkapur [Sholagar, Census 1931, 1.3B, p. 194); Toda \Iswāl\i jungle (in song; < Badaga \Isōle\i jungle with trees); \Iswālgn\i = Kota \Icōlgn\i|All the forms with \Ic-\i and \Is-\i are borrowings.|2891
129|*cōrӓ|dove|2429||cōr|twar fɨɫ̣ "wood pigeon"|Also Kota \Imāṇ cōr\i pigeon|The shortening in Toda is due to the compound form.|2885
130|*nīnӡ-|to swim|3093|*nīnӡ- (\Ip.\i *nīnǯ- < *nīnӡ-ǐ-)|nīnj- (nīnj-), nīciḍ- (nīciṭ-)|nīӡ- (nīj-), nīd- (nīdy-), nīs- (nīsy-)||Toda shows alternative phonetic variants of the stem: \I*nīnd-\i and \I*nīs-\i.|3687
131|*cuṛ-|to turn|2294|*cuḷ-ǐ (< *cuṛǝl-ǐ) [\I"whirpool"\i]; *cuṛ-ǐ- (\Ip.\i cuṛ-ǐ-t-) [\I"to move in a circle"\i]|cuḷy "whirlpool in river"|tüɫ̣y "deep pool"|Also Kota \Icuyg\i hair-whorl on person's head, whorls of hair on animal's back indicating by position excellence or badness; Toda \Ituḍy-\i (\Ituḍs-\i) to move in a circle, lounge, loaf about; (\Ituḍc-\i) to turn (tr.) in a circle; \Itǖs̲\i churnstick, in: \Itǖs ӧṛf-\i (\Iӧṛt-\i) to churn (at tī dairy; lit. to lift or erect the churnstick); \Itǖl mēṇ\i post by which the churnstick is held erect with ring-fastenings; \Itǖl goṭy\i ring-fastening which attaches churnstick to post|Toda \Itǖs̲\i "churnstick" is not quite clear etymologically.|2698
132|*curǝḷ-|to roll up|2283|\Iintrans.\i *cur-ǝḷ- (\Ip.\i *cur-ǝnḍ- < *cur-ǝḷ-nd-), \Itrans.\i *cur-ǝṭ- (\Ip.\i *cur-ǝṭ-ǐ-); *cūr [\I"storm"\i]; *tur-k [\I"hair curl"\i]|curṇ- (curḍ-) "to lie in coils (snake, rope)"|tūḷ- (tūḍ-) "to be rolled up (curl, leaf)"|Also Kota \Icurṭ-\i (\Icurṭy-\i) to coil, roll (tr.); Toda \Itūṭ-\i (\Itūṭy-\i) to roll up (tr.), curl (hair), tie up (hair); \Ituṣk\i hair curl; \Itūr\i storm; \Isūṭ\i cigar (< Tamil \Icuruṭṭu\i)|The original stem is still preserved in Toda \Itūr\i < \I*cūr\i 'storm'.|2684
133|*tuḍ-|to burn|2260|*tuḍ- (\Ip.\i *tuṭ- < *tuḍ-t-)|tuṛ- (tuṭ-) "to roast, bake (pots), burn (corpses)"|tuṛ- (tuṭ-) "to burn (tr.)"|Also Kota \Icuṛ gāṛ\i funeral burning-place; \Icūṛ\i (obl. \Icūṭ-\i) heat, a burn, spark thrown off by hammered iron; pair-word with \Ipāṛ\i hardship (\Ipāṛ cūṛ\i)|Kota forms with \Ic-\i probably borrowed from Kannada (the bifurcation of the original root in two is hard to explain otherwise).|2654
134|*cut̲-|to wander|2311|*cut̲- (\Ip.\i *cut̲-ǐ-)|cut- (cuty-) "to wander, wrap around, coil (rope), twirl (sling), wrap on (waistcloth)"|tüt̲- (tüt̲y-) "to wander around; wind (tr.), whirl, wear (waistcloth)"|Also Toda \Itüt̲\i binding of thatch wound around roof-poles; \Itüt̲ xwɨṛ\i large intestine; \Itüt̲ mutm\i all around; \Itud̲py\i circle, round place|The development \I*cut̲-ǐ-\i > \I*cuc-\i (in the past stem) was most probably hindered in Kota because of dissimilative reasons; later the present stem became influenced by the past stem. Considering, however, that even so Kota \I*cut̲-\i rather than \Icut-\i would be expected, it is also possible that the Kota form is a borrowing from Kannada.|2715
135|*taṛ-|to hug|2602|*taṛ-ǝ-v- (\Ip.\i *taṛ-ǝ-v-ǐ-) [\I"to put arms around"\i]; *taṛ-koḷ- [\I"to hug"\i]|dab- (daby-) "to put arms around"|teškwɨḷ- (teškwɨḍ-)|Also Kota \Itakc-\i (\Itakc-\i) to carry in arms under the cloak; \Itak\i lap, act of sitting on lap under cloath; \Ikāl tek iḍ-\i (\Iiṭ-\i) to sit with feet crossed, throw in wrestling by hooking opponent's leg with one's own; Toda \Iteɫ̣k\i, \Iseɫ̣k\i crook or circle of arms|Kota \Idab-\i = Tamil \Itaṛ-uv-u\i; Kota \Itakc-\i = Kannada \Itaṛ-key-su\i; Toda \Iteškwɨḷ-\i = Tulu \Itar-koṇ-uni\i; Toda \Iteɫ̣k\i = Kannada \Itaṛ-ke\i. Assimilative voicing of the initial consonant in Kota. Development \I*a\i > \Ie\i in Toda not quite clear, as there is no evidence for an intermediate \I*ǐ\i anywhere in this stem.|3116
136|*dab-|a k. of noise|2560||dabār in- (id̲-), dabāl in- (id̲-) "to make sound of body falling in a heap on to ground from a height"|pā top "the river's noise of waves beating (in song; TS \Ipā tob\i is misprint)"|Also Kota \Idabārn\i with noise dabār; \Idabāl,\i \Idabāln\i with noise dabāl; \Idabakn\i with noise of falling crashingly or floppily; \Idap dop in-\i (\Iid̲-\i) to make repeated noises of falling or beating, or of a body thrashing about; \Idop dap in-\i (\Iid̲-\i) to make bumping noise of sexual intercourse; \Idop in-\i (\Iid̲-\i) to make noise of falling; \Idopn\i, \Idobn\i with noise of falling or of beating; \Idobār in-\i (\Iid̲-\i) to make noise of (pots, body) falling with a crash; \Idobārn\i with noise dobār; \Idobār dabār in-\i (\Iid̲-\i) to make noise of thrashing about while struggling; \Idobakn\i, \Idopakn\i with noise of falling with a crash||3069
