NUMBER|PROTO|PRNUM|MEANING|STPRO|CHU|KOR|PAL|ALU|CHFUNC|KOFUNC|ALFUNC|IM|BOG|RKS|NRS|YFA|PAK|COMMENTS|NIOD|NIODNUM|EXT
70|*amšo-|856|простор 1, очистить место 2, отходить в сторону 3, пустая ракушка, ракушка 4|*amRo[w]-|amroˊ-wtǝ adr. adv. 1, amroˊw- 2, 3|amjo-ɣǝjŋǝ-n 1, aˊmj[o]l* 'дальше'||amtu-tʔǝm, amǝt, amtu- 4||||53, 49|3|476|17|298||В алют. буквально 'пустая косточка' в сложении, и потом вторичное выделение основы amtu- со значением 'ракушка'. В НРС не проставлены точки над "ё".||438|
71|*am-šъʁaɫ|0|напрасно, зря 1, как попало 2|*amšъhaɫ||am-aˊmjǝhal-oŋ, am-aˊmjǝhac-oŋ 1||am-amcǝʔac(uŋ) 2||am-aˊmjǝhal-oŋ, am-aˊmjǝhac-oŋ|am-amcǝʔac(uŋ)|45|||17|297||Префикс *em- 'только, пустой', а вторая часть похожа на постсонантный вариант *ʒ(u)ʁe- 'ничего, пустой' (1781).||1140|
72|*ʁemʒir-|715|гладкий, растянутый 1, удлиняться, растягиваться (о днях) 2|*hemjir-|ʔɛmjiˊr- 2|hemjij- 1||hamjǝr- 1|||n-hamjǝr-, hamjǝr-nalˊɣǝ-n, ina-n-hamjǝr-at-inˊŋǝ-n 'утюг'|2906, 2855|27|86, 87, 497|235|428, 429||||35|
73|*em-tǝn[ʁ]-eb-|0|отдохнуть, прийти в себя 1, проголодаться 2|*emten-ev- (~ -ŋ-)|ɛmtǝnɛˊw- 1, 2|emtǝŋev- (I) 1|amtǝnɣev- 1, 2|||||527|28||||58|||0|
74|*ạm-kụmʁǝ̣-|0|аккуратный, бережливый|*ām-kūmhǝ̄-|ɛmkumʔǝ- (АБ)|amkumhǝ- (III)||amkumʔǝ-|||n/nˊ-amkumʔǝ-|522||27||297||Первая часть - служебная морфема *em- 'только'.||0|
75|*emnuŋ-|0|тундра, внутри страны 1, дикая тундра, нежилая земля 2|*emnuŋ-|ɛmnuˊŋ-kǝ 1|eˊmnuŋ-||amnuŋ-ki loc. 2||||524|28|583|235|297||М.б. первая часть *em- 'пустой', тогда интересно соотношение с *nute.||0|
76|*em-|583|только, исключительно (только в комплексах) 1, вот, ой ! 2, только, пустой (в композитах) 3, а, но (союз) 4|*em-|ɛm-, em-ǝteˊt-ǝm adv. 1|em- (I) 1, amoˊk 2, em- 3, am* 4|em, em- 3|am, am- 1, amoˋk 2, am- 3|||||27, 20|577, 464|235, 17|435, 297||Чук. советизм am-jeˊtaŋ! 'Всегда готов! (пионерский девиз)' do., НРС amjeˊtaŋ 'наготове' (17).||0|
77|*em-ŋut|0|многократно, постоянно 1, ну, вот тебе раз, ну, как вс егда, опять 2|*em-ŋut|aˊmŋot 2|eˊmŋut 1||amŋut, amŋu-caŋ (< amŋut-caŋ) 1||||526|3||236|298||||0|
78|*ano-n "|560|весна|*ano-n "|aˊno-n, (АБ) a'no-n|anoˊ-an "|ano-an "|anu-an "||пал. tor-anˊo-k loc. 'ранней весной' (ЯПК 195)|anu-l/cʔat-, anu-tva-cqiv-|61|4||18|299|213, 243|В чук. 'время года, немного ранее середины лета', ano-jʔeˊlɣǝn 'месячц с начала июня по начало июля' (63), НРС 'весна (время всхода трав)'.||0|
79|*anъŋ-|974|внутри, внутрь 1, погружаться в преисподнюю (о шаманах) 2, внутренность 3|*anъŋ-|anŋ-aˊt- 2|anǝˊŋ-ko, anˊŋǝ- 1|anǝŋ-ko, ann/ŋǝ-, annǝ-ko-kin adj. 1|anǝŋ-ki loc., annǝ-ku-kin* adj. 1, anǝŋ-ku-n 3|aˊnŋelqǝ 'clitoris'|||58, 60|4||19|299|234, 219, 213, 234, 243|||0|
80|*enpic-i du.|960|родители 1, отец 2, старший 3, бурый медведь 4|*enpici|~ ǝˊnpǝc(ʔ)ǝ-n 3, ɛpɛˊci 4|enˊpic(i) 1, 2|enˊpici-w, enˊpic-u pl. 1||||||30|324||||Образование от 'старый' *ǝŋpǝ- (305) или ласкательное от *en-.||0|
81|*ʁenqe-|0|не хотеть, отказываься 1, перестать 2|*henqe-|ʔɛnqɛ-, ʔɛnkɛˊ- (I) 1|heˊnqe- (I) 1|hanqaw 2|hanqa-, hanˊqa-cʔat- 1, hanqa-v- 2||henqe-chet-* (156), ɣenˊqe-chet- (ЯПК 217)|hanqa-lqiv-, hanˊqa-cʔat-|2908|28||156|429, 36|133, 217|||0|
82|*enqib-|586|сильный, могучий|*enqiv-|ɛnqiˊw-|enqiv-||anqiv-||||541|28|||||||0|
83|*anŋɨna|716|душа, характер, гнев|*anŋɨna|aˊnŋen(a)|anˊŋen(a)||anŋin(a)|anŋena-cʔat- 'злиться' (АБ)||haqa-anˊŋinˊa-kjit, anˊŋinˊa-cʔat- 'быть беспокойным душою', t/nˊ-anˊŋinˊa-cʔav-|59|4|||299||По всей видимости poss. образование от *anъŋ- 'внутри' (79), хотя ожидалось бы *anъŋ-kɨn(a).||0|
84|*ennu-n|0|ворона|*ennu-n||ennu-wellǝ|ennu-n||||||||||208|||0|
85|*ạŋạŋ(ạ) "|1041|дух, бог, идол 1, волшебный дух 2, шаман 3|*āŋ "|ɛˊŋɛŋ 1, 2, ɛŋɛˊŋǝ-lʔǝ-n 3|aˊŋaŋ (III) 1, aŋaˊŋǝ-lhǝ-n* 3||aŋaŋ 1, aŋaŋa-l/cʔǝ-n 2, kalak-aŋǝ-lʔǝ-n 3|ɛŋɛˊŋǝ-lʔǝ-n|aŋaˊŋǝ-lhǝ-n*, aŋaˊŋǝ-lhat-*|aŋaŋa-l/cʔǝ-n, kalak-aŋǝ-lʔǝ-n|543|29||19, 20|299, 334||||0|
86|*ạŋ "|0|борщeвик, пучка (съед. растение)|*āŋ "||aŋaŋ (III)|eŋeŋ|||||544|||||201|||0|
87|*aŋaŋša-|561|петь песню|*aŋaŋša-||aŋaˊŋja-||aŋaŋta-(lʔat-)|||aŋaŋta-(lʔat-)|62|||20|300||||0|
88|*eŋer(ʒǝ) (~ ạ)|588|звезда|*eŋer (~ ā)|ɛˊŋɛr, aŋaˊt=lǝŋǝn||eŋer|anar, anari-, aŋar||||545|29|||298|278|В алют. словнике записан дентальный -n-, в диссертации Муравьевой И.А. и в алют. материалах Жуковой А.Н. - велярный -ŋ-. Косвенная основа в алют. anari- может указывать на развитие комплекса *-rʒъ. В чук. ŋǝl-ǝnt-aŋaˊt-lǝŋǝn 'комета (букв. звезда, испускающая дым)', unp-ɛŋɛr 'Полярная звезда (букв. воткнутого кола звезда)' (?), iluˊk-ɛŋɛr 'id., неподвижная звезда', ʔɛlqɛˊp-ɛŋɛr 'id., гвоздь-звезда' do.||0|
89|*eŋi-, *eŋi-nmǝ-n|0|рассказывать (о былом) 1, слово 2, разговор 3|*eŋi-, *eŋi-nmǝ-n|ɛŋiˊ- 1, ɛŋiˊnmǝ-n 2|eŋinˊmǝ-n 2||aŋinˊmǝ-n 3|||aŋinˊmǝ-cʔat-(lqiv-) (20), aŋinˊmǝ-cʔatǝ-lˊʔǝ-n (52)|546|29|||300, 20||Сюда же чук. tɛŋ-ɛŋiˊ- 'хвалить, прославлять' (29).||167|
90|*eŋ(ʁ)ǝlˊɣǝ-|589|жаловаться на что-л. 1, стонать 2, мучиться 3, испугаться 4|*eŋǝlˊɣǝ-, *eŋhe-||eŋǝlɣu lǝŋǝk, eŋiˊlɣǝ-ke* adv. 1, eŋiˊlɣǝ-cij-* 2, eŋheˊlet- 3, 4*, ~ aŋǝˊjev-* 3||aŋǝlˊɣ-at-, aŋǝlˊɣǝ-cir- 1, 2||eŋilɣǝ-cij-lǝhet-|aŋǝlˊɣ-at-, aŋǝlˊɣǝ-cir-|547||119, 560, 231|242, 20|300||Ср. *'ǝŋin(ʁ-eb)- 'болезненный' (860).||0|
91|*eŋʁeɫ(e)-|936|заботиться, беспокоиться 1, бояться, испугаться 2, находиться в разгаре течки 3, предмет беспокойства, забота 4, приходить в азарт, прибавить прыти 5|*eŋheɫ-|ɛŋʔɛɫɛt- 1, 3, aŋ(ʔ)aˊc-ɣǝrŋǝ-n 4, ɛŋ(ʔ)ɛˊcɛw- 5|eŋheɫ-u lǝŋ-ɣǝjŋǝ-n (I) DVN, c-eŋheˊce-ŋ-kǝ 1, eŋheˊlet-* 2||aŋʔalat- 2|aŋ(ʔ)aˊc-ɣǝrŋǝ-n, ɛŋ(ʔ)ɛˊc-ɛw-|||551|28|125|218, 242|300||Советские неологизмы в чук. aŋala-tvaˊ-ɣǝrɣǝ-n 'трудовой строй', aŋala-tvaˊ-ɣǝrɣǝ-lʔǝ-n 'трудящийся', cecat-uwek-aŋalaˊt-ɣǝrɣǝ-n 'физический труд'.||0|
92|*aŋʒa-|562|хвалить, отвечать|*aŋja-|anjaˊ-|aˊŋja-|aŋja-tko-|aŋja-||||63|4||20|300|243|||0|
93|*aŋqa-n|973|море|*aŋqa-n|aˊŋqa-n|aˊŋqa-n|aŋqa-n|aŋqa-n|aŋqa-l/cʔǝ-raˊmkǝn|||65|4||20|300|211, 243|||0|
94|*ạpạqǝ̣-|0|ничком (лежать) 1, вползать, лезть 2|*apaqъ-|apaqaˊtlǝŋ 1|apaqallǝŋ, apaˊqallǝ-* 1, apaqǝ-lˊheja-, -lhija-, apaˊllǝja-* (II, III) 2||||||66, 555||60|21|||Образование от *pạq-ǝ̣ckụ- 'бежать на четвереньках' (1058).||0|
95|*ạppạ # "|733|дедушка 1, батюшка (священник) 2, отец, папа voc. 3, паук 4|*āppā #|ɛˊpǝ, ɛpɛ- 1, ɛpɛˊ-pil 2, ɛpɛˊ-ɛpɛj ", apaapaˊɣ-lǝŋǝn 4|aˊppa, appa-pil, apaˊppil* (III) 1, 3, apaˊppo (II) 2, 3|pepha 1, pepe 3|apapaˋ, apō 3|ɛpɛˊ-pil, ɛpɛˊci|apapp-pil||552|29, 30||21|300|199|Сюда же чук. ɛpɛˊci 'бурый медведь' из эвфемистичного 'дедушка' как в других языках Сибири. Чук. ɛpɛˊ-qɛj 'бабушка'.||0|
96|*ạpị-|0|подстилка для сидения 1, прижать, навалиться, подмять под себя 2, лежать на животе 3|*āpī-|ɛpiˊ-quut, ɛpi-quwtɛ- 1|apaŋqǝc-, apaˊŋkǝci-* (III) 2||apinaŋ- 3||||557, 554, 556|30||21|300||Исходное значение: 'поджать под себя, сев/ лежа сверху'.||0|
97|*ʁạptǝ̣-|0|пинать 1, мять ногами 2, болтать ногами 3|*hāptǝ̄-|ʔɛˊptǝ-(tku-) 1|haˊptǝ- (III) 2||haptǝ- 2, hapt-itat- 3||||2911|30|232|21|429||||0|
98|*ar- ~ *ɨr- (*ʁar-)|0|болеть 1, хворать 2, хворь 3, зараза 4, заразиться 5|*ar-|araˊt-, (АБ) aʔrat- 2, arǝ-tkoˊ- 1, aˊr-ɣǝrɣǝ-n, aʔr-ɣǝrɣǝ-n (АБ) 3, eˊr-ɣǝrɣǝ-n 4, erɣǝrɣ-aˊt- 5|||ara-, ar-? 1|aɣratǝ-lʔǝ-n 'больной' (АБ)||n-ara-ɣǝm 4sg.1sg. (68)|72|5, 21|||||||45|
99|*arɨ "|0|пах 1, внутренняя сторона бедра 2, лобковый волос 3|*arɨ "|areˊ= 1, aˊrǝ-lɣǝn (areˊpǝ abl.) 2|aje " 1||ari-tɣǝ-n 3||||75, 73|5|345||301||||0|
100|*ạrạt-|198|падать, упасть 1, проваливаться 2|*ārāt-|ɛrɛˊt-, r-ɛrɛˊt- caus. 1|ajaˊt- (III) 1, 2|eret- 1, en-arajhat- 2|arat- 1||ajaˊc-cej- mult. 'сыпаться'|-nˊ-arac-cit- mult.|567|30|342, 443|26|301|227, 239|Ср. *arǝtɣъr 'овражек, падь' (570) и *raɣlǝ- 'упасть, уронить' (1135). В пал. -jhat- 'провалиться' *ǝʒʁǝ-, *š-ǝʒʁ-at- (518).||0|
101|*-ǝɫqib-|0|однократное действие, начинательность|*-Lqiv-|-lqiw-, -sqiw-|-lqiv-|-lqiv-, -c̨qiv-|-lqiv-, -cqiv-||||||||439|85|ГКЯ 211.||0|
102|*ʁarɨ-|530|удерживать, тормозить 1, упираться 2, тянущийся сзади 3, держаться 4|*harɨ-, *har-at-|ʔareˊ- 1, (ʔ)ar-aˊt- 2, (ʔ)ar- 3, ʔare-tko- (АБ) 4|haje- 1|harat- 2|har(r)i- 1||||2863, 2861|5|578||430|24|||0|
103|*ʁarɨ "|0|торос 1, айсберг 2|*(h)arɨ "|aˊre-ar ", (АБ) ʔare-ʔar " 1, ʔerʔer ", ʔerʔat (II) (АБ) 2||(h)ari-har, hari-lwǝn 1|||||76|5||||43, 212, 279|||0|
104|*ʁarъɫŋъ-|0|покатый 1, лечь на бок 2, лежать (чаще об оленях) 3|*harъcъŋ-|aˊr(k)ǝcǝŋ adv. 1, arkǝc-aˊt- 1, 2, arǝcɣaˊt- 2, arǝcɣǝ-tvaˊ- 3|hajǝcŋǝ-n 1|harǝnŋǝ-n 1||arkǝc-at- 'наклониться' (АБ), t-arkǝc-ɣ-aˊw- 'становиться низко (о солнце)' (150)|||80, 74|5|||||Пал. форма реконструируется на основании ительменского заимствования xrǝŋ-an 'косой' (1638).||0|
105|*ạrmạ #|0|сильный; глава, вождь 1, совершать насилие 2|*ārmā #|ɛˊrmɛ-, -ɛˊrǝm (I) 1, r-ɛrmɛˊ-ŋ- 2|aˊjǝm*, ajma- (III) 1||arǝm, arma- 1|ɛrmɛ-cʔɛˊt-, -ɛrmɛˊ-cǝ-n, r-t-ɛrmɛ-cǝ-ŋ-ɛˊw-; ɛrmɛ-ltɛt- 'выиграть' (АБ)|ajmaˊ-l/chat-*|arma-l/cʔat-, arma-cʔǝ-n|569|30, 31||15, 13|301||||398|
106|*er- (~ ạ)|0|узкий, тесный|*er- (~ ā)|ɛˊr-||nˊ-er- (I)|||||564|30||||261|||0|
107|*er- ~ *ɨr-|439|отливать (о море) 1, устье реки 2, берег моря 3, (от)мель 4|*er-|eˊr-ɣǝrɣǝ-n 2|ej- (I) 1, erɣin 2|er- 1, erɣiŋ, etɣin 3|ar- 1, arɣiŋ 3, arǝ-l/cqǝ-n, ar-lǝqǝ-n 4|||arǝ-l/cqǝ-n|565|21|||301, 395|212, 194, 136|Чук. указывает на вариант *ɨr-.||0|
108|*(š)er-|0|жарить, готовить 1, сжигать 2, жаркое 3, поджариваться 4|*š-er-|ɛr-, (АБ) r-ɛr- 1, iˊn-ɛr 3, in-ɛˊr- 4|j-ej- (I) 1|t-tar-c̨qev- 1|t-ar- 1, t/nˊ-ar-cǝku- 2|||t/nˊ-ar-cǝku-|566|52|||411, 88|273|Ср. *ạrʁạ " (~ -ǝ̣) 'варенная рыба, уха' (111).||0|
109|*ʁeš|952|большой палец 1, одно из маленьких копыт оленьей стопы 2, палки с развилиной на конце, поддерживающие углы полога 3|*heš|arǝˊt=lǝŋǝn 1, ʔɛˊt-ti pl. 1, 3, at-jaˊjpǝ=lɣǝn 2|hej=, haj-lǝˊŋǝ-n (I) 1|(h)at=lŋǝn 1|hat-vaɣǝ-lŋǝn, hat-vo, hatvo-ti du. 1|a-ɣǝˊp- 'прокалывать нарыв под копытом оленя' (5)|||2888|30|343|13|431|210, 243|В чук. вторичное восстановление -r- в абсолютном падеже, -  должно быть "ʔat=lǝŋǝn; косвенная основа ʔar- сохранена.||0|
110|*eʒʒib- (~ -ʒH-)|563|нанизывать 1, снизок 2, связывать 3|*eRjiv-|ɛtjiˊw- 1, (ʔ)ɛtjiˊw 2|ejiv-(ǝjvǝ-) 1|ejiv- 1, 3|||||576, 2920|31|246|||58|||0|
111|*ạrʁạ " (~ -ǝ̣)|0|варенная рыба, уха|*ārhā " (~ -ǝ̄)|ɛrʔɛ-ŋ, ɛˊrǝ(ŋ), ɛˊrɛ-t pl.|acha ", achǝ-ac " (III)|erh-er "|arʔa-ar "|ɛrʔɛ-lqǝl|||572|30|611||302|81|Ср. *š-er- 'жарить, готовить' (108).||0|
112|*erte-n (~ ạ)|0|подводная скала 1, большой камень 2|*erte-n (~ ā)|||erte-n 1|arta-ar " 2||||371||||301|212|||0|
113|*aškaRa|717|чехол для ружья|*aškaRa|aˊrkar|ajkaj(a), aˊjqaj(e)*||||||79|5||14|||||9|
114|*erŋine (~ ạ)|0|дождь 1, дождить 2|*erŋine (~ ā)|||erɣin(e) 1, erɣine- 2|arŋin(a) 1, arɣina-t- 2|||arŋinˊa-kvǝ-n 'дождевик'|570||||301|212, 278, 240|||0|
115|*atqъ-|0|ранить 1, рана 2, хромой 3, хромать 4|*atqъ-, *at-|aˊt-ǝn(v) 2, aˊtq(a)- 3, atq-aˊw- 4|atq-aˊt- (III*) 1, atqǝˊ-lhǝ-n 3, atq-aˊv- 4|atqǝ- 3|atq-at- 1, atqǝ- 3, atq-av- 4|atK-eˊlɣǝ-n 'ремень для стреноживания оленей' (6)|acKuˊ-chǝ-n 'метатель копья при охоте на морского зверя' (25)|n-atqǝ-, atqǝ-lʔǝ-n|84, 88|6|486|22|302|243|Первоначальное значение 'рана, ущербность', развитие в 'хромать' - вторично, глагольная основа с суффиксом *-ab-заимствована в камчатские как *'atqaw-/ *'atkaw-.||0|
116|*etenmǝ-n (~ ạ)|0|загривок 1, затылок 2, грива 3|*ete-nmǝ-n (~ ā)|ɛtɛˊnmǝ-n 1, ataˊnmǝ-rɣǝ-n 3||etenmǝ-n 2|||||574|31, 6||||211|В чук. слове 'грива' последняя часть значит 'шерсть'.||0|
117|*etu-|0|вероятно|*etu-|eˊtǝŋ|etun||||||444, 578|22|||||||0|
118|*(š)atbъ-|0|вносить внутрь 1, вносить  в дом 2|*š-atvъ-|r-atvuˊ- 2, r-atwǝ- 1|j-atvǝ- 1|t-atvǝ- 1|t-atvǝ- 1|||t-atvǝ-lʔat-|300|127|||411|271|Пал. ratvǝ- 'вносить в дом' (ЯПК 268).||0|
119|*etʁu|0|еще, больше, а больше (нет) 1, лучше, получше 2|*ethu|mɛc-icu, eto- 1, etoˊ-pel 2|ethu 1|ethu, mel-ethu 1|atʔuˋ 1||Confused with \X0*kinǝʁ-\x 'dry', \X0*kinʁǝ-\x 'humid', *kitǝ- 'to sink' in CED.||580, 1519|91, 22|118||302|278, 261|Первая часть в сложениях значит 'хорошо'.||0|
120|*ʁạtkị-ŋ|567|плохой, скверный|*hātkīŋ-|ʔɛtki-, ɛˊtqi-ŋ|hatke-ŋ|haˊtke-ŋ|hatkiŋ-, hatkaŋ-|ɛtkiˊŋǝ-cʔǝ-n||n-hatkaŋ-|2922|31|366|22|431|65, 217|||0|
121|*'ǝntǝ-|950|род-побратим: зять 1, невестка, сноха 2|*ǝntǝwǝlpǝre, *ъntъjo|ǝntuˊ-ulpǝr(ɛ) 1, ǝntǝˊ, ǝntǝ-joˊ- 2|ǝntǝ-wǝlpi, ǝntǝ-wǝlpǝj- (I) 1, ǝnte, ǝntǝ-jo-(n) 2|hǝnt-wǝlpǝr, hǝlt-wǝlpǝr 1, hǝntǝ-j 2|ǝntǝ-wǝlpǝr(a) 1, ǝnt-i, ǝntǝ-ju- 2||||662, 661|38, 38|167, 258|227|309|280, 281|||0|
122|*ʁat(t)af|0|зря, попусту 1, а ну как, а что, если 2, пока, до свидания 3|*hat(t)aw|ʔat(t)aˊw 1, (АБ) 3|haˊtaw 1|atawwac̨ 2|hataˋv 1||||2865|6|167|22|431|243|||0|
123|*ạb-|0|продырявиться 1, рухлядь 2|*āv-|ɛˊw- 1, ɛw-iˊr(ʔ)ǝ-n, (АБ) ɛwirʔǝ-n 2|av- (III) 1||av- 1|ɛw-ciˊr- 1, (АБ) ɛwǝ-lʔǝ-n||n-av-|581|31|||303||Чук. ɛw-iˊr(ʔ)ǝ-n < "ɛw-jǝrʔǝ-n с собирательным суффиксом. См. *ebir(ʁ)ǝ- (1921).||0|
124|*afa "|564|настежь, распахнувшись 1, рана (резаная) 2, дыра 3, прорубь|*awa "|aˊaŋkǝ 1, aˊk-wurɣǝ-n, (АБ) akwǝrɣǝ-n 3, 4|awaˊ-aw " 2, 3|aw-epǝŋ prolat. 3|||||90|1|486|11||131|||0|
125|*ạfịl-mịq|0|фитиль (из мха) 1, трут 2, огниво (ружейное) 3|*āwālmīq|ɛɣɛˊlmiq 2, aˊel 3|awalmiq, awaˊlmǝq* (III), awalmǝ-n 1|ewilmek 1|awilmak 1||||587|24, 2|615|11||229, 277|||0|
126|*afъlpa(l)|0|рыбий хвост, плавник ластоногих|*awъlpa(l)||awǝlpa-lŋǝn|aw(ǝ)lpal, awǝlpa-lŋǝn|||||||508, 617|||207, 242|Контаминация *afъ- 'щипцы, клещи' (1733) и *fъlpa (~ *ъflъpa) 'лопата' (1346).||0|
127|*ạbǝ̣lqǝ̣-|0|тупой 1, затупиться 2|*āvǝ̄lqǝ̄-|ɛwǝlqǝ-, ɛuˊlqǝ- 1, ɛulq-ɛˊt- 2|j-avǝlqǝ- (III) 1, avǝlˊq-at-, caus. j-avǝlˊq-av- 2|ǝwlˊkǝ- (I)|||||584|29|584, 159|||65|Проверить 'клык' и, возможно, сюда же алют. hawǝlˊku- 'грызть (кость, сыр, хлеб)' (Муравьева 2927). М.б. e-...-qǝ отрицание? n-akka-qin, ta-qqǝk-am 'холодный' (64, 68)||0|
128|*ạfǝ̣n, *ạfǝ̣š|866|а, уже, все, тотчас|*āwǝ̄š/ *āwǝ̄n|ɛwǝn, ɛwǝt, eˊun, eˊut/r|awǝn (III)|ewn, ewt|awǝˋn, kǝt-avaˋn, awǝt, ot-am, kǝt-awǝˋt||||595, 598, 597|21|||303, 340, 367|277, 195|Чук. (АБ) ɛwǝr 'если'.||0|
129|*afta # "|565|каменный скребок 1, кремень, материал для выделки ножей, топоров 2|*awta (~ ā) #||aˊwǝt 1(*), 2, awtaˊ-aw " 2*, awta- (II)||awǝt, ota-ut ", ota-|||ota-thul-in(a)|95|||12|304||||0|
130|*efecu|591|сиг, чавыча|*ewecu|ɛwɛc|ewec (I)|ewec(u), ewec̨ (ewecu-w pl.)|||||586|||||206, 277, 283, 195|||0|
131|*meLu-|729|царапать, скрести 1, расческа, гребень для волос 2|*meLu-|mǝcuˊnɛŋ 2|jǝɣǝ-melu-, cǝɣǝˊ-malo-*, -cɣǝ-melu- 1||||||270|94||221|||||0|
132|*ef(ǝ)ʒǝ-|819|есть 1, пастись 2, кормить 3|*ewǝjǝ-|ɛviˊi- 2|ew(ǝ)ji- 1, j-ewj-et- 3|ewji- 1, 2, ewji-ɣili- 2, t-ewj-et 3|aˋwǝji-, awji-k*, -oˋji- 1, t-aˋwǝj-at-, t-awja-t-* 3|||oji-cqǝ-julˊɣǝ-k 'на место для еды' (302)|592|31|||303|277, 274, 85, 194, 240|||0|
133|*ạfʁịkạ|594|сарана (растение) 1, крупа, раст. типа колокольчика с корнем как рисовое зернышко 2|*āwhīkā||aˊwhek(a) 1|ewhik(e), ewjik 1|awwik(a) 2||||97||511|12|304|202, 277, 283, 231|||0|
134|*ạfnǝ̣p-|0|ближний, тутошний, на данном месте|*āwnǝ̄p-||awnǝˊp (III)||onǝp-||||596||9*|12|367||||0|
135|*afŋъ-|0|подавиться|*(h)awŋъ-||awŋǝ-||||||94||||||||0|
136|*efǝn- (~ ạ)|0|главный, настоящий (только комплексно)|*ewǝn- (~ ā)|ɛwǝn-, ɛun-||ewn|awǝn-||||23|29||||136, 195|||0|
137|*effeb-|0|легко приручаться (о ведомом олене)|*ewwev-|ɛkwǝ-, ɛˊkwu-, ɛˊkw-ɛw-|ewwev-||||||599, 601|26|||||||0|
138|*(ʁ)effet/b-|406|уходить, уезжать, отправляться 1, месяц примерно соответствующий февралю (= холода уходят) 2|*(h)ewwev/t-|ɛkwɛˊt- (r-ɛkwɛt-ɛˊw- caus.) 1|ciq-heˊwiw*, ciq-hiwiw 2|ewwew-, (h)ewwev- (I) 1|awwav- 1|||awwavǝ-lʔat-, ɣ-awwavǝ-lqiv-linat 3du.perf. (30)|600, 2913|26|594|220, 243|304|87, 28, 277|Ср. *qɨʁab- 'убегать (в испуге о животных), разбегаться' (736).||0|
139|*lạl "|383|роса|*lāl "|lɛˊlɛl|lalal (III)|lelel|||||1404|14||||258|В языках перестроенная модель, по-видимому, из *lạllǝ̣.||0|
