NUMBER|PROTO|PRNUM|MEANING|ICOST|WCOST|ITE|ITRUSL|STBIT|ITEMEA|WIT|WITMEA|WITMEP|SIT|SITMEA|SITMEP|VOL|IRSLOV|VZHU|STEB|WDYB|SDYB|COMMENTS|NIOD|NIODNUM|EXT
59|*ŋim-sx|58|женщина|NïMSX-e, MïMSX-e, NịMSX-CạX|XïMSX, NɨMS(X)-, NiMŚ-C|ŋimsx-čah, mimsx (mimsx-e'n pl.) 1, ŋimsx-'in poss. 2|mimsx (mimsx-e'n pl.) 1, mimsx-'in poss. 2|ŋmcx-ən pl. 1, ŋmcx-in poss. 2|женщина 1, женский 2|ximsx 1, nimš́-č́ 2, ximsx-in, gimsx-in, nɨms-in poss. 3|serva 1, femina 2, femina 3|niewolnica 1, kobieta 2, samica 3|nimutkut́|nurus, uxor filli|synowe|413, 70, 35|57, 75||86, 102|92, 139, 103, 140|115|См. также *ŋi-č 'жена' (58).||423|нив. ам. ńumgu 'жена', umgu 'женщина', ańʁ 'самка, жена (сах.)', ? r̃aŋq сах. домашня женщина?
60|*ŋačəz "|59|дым|NaCă/əS ", NaCaS=, Na̲Ce̲S=|NaCəS ", Na̲Cə̲S-|ŋačaz-ŋačas 1, ŋačas-kes 2|ŋačə̆s 3, kł-ŋačez-a adv. 3||дым 1, угорать в дыму 2, угар 3, очень дымно (в помещении) 4|načəz-načəz 1, načəz-lax 2|fumus|dym|načz-nač [ngara-ngač*]|fumus|dym|108, 216|151, 30|||137|115|В юж. камч. у Крашенинникова -r- (~ -r̃-) из -čz-.||0|
61|*'ĭskč-|0|огромный, сильный|ëSKC-|ïSCK-|'eskč-aq adv. 2|'esqč-kin adj. 1, 'esč-aq 2, 3||огромный, большой 1, сильно 2, много 3|'isčk-lin|audax, fortis|śmiały, dzielny||||397|122, 12, 128|||110||Ср. *'esk(č)- 'холм, нагорье, скала' (1143).||0|
62|*mĭt'k-la-|61|возвращаться с нереста отметав икру; снулая рыба|MịTK-La̲-Te̲=, MịTK-Lạ-C|Mo̲TX- (La)|mitk-la-č 1, mitk-la-te-kes 2|||снулая, лощалая рыба (отметавшая икру) 1, ослабеть, быть полумертвым 2|motx-la 'inč-in tə-kzo-zin|piscis celeriter nat|ryba szybko płynie||||62, 95||||136||У Дыбовского в зап. камч. слово взято из фразы 'рыба быстро плывет', по-видимому, имелся в виду 'нерест'. Однако, судя по другим данным Дыбовский перепутал рыбу идущую на нерест и снулую рыбу, идущую с нереста.||512|
63|*mač, *mas-k'əl|62|мешок для вещей|Ma̲SK'e̲L-a, -MaC|MaC, ḾaC, MJəC|mask'el 2|panza-mač 1, mask'el (mask'ela-'n pl.) 2||полка для вещей на чердаке, в сарае 1, сумка, мешок для женских вещей 2|mač, mjač, mjəč|marsupium|worek|mau̯č, 'uu̯-mau̯č 1, mau̯d pl. 1|capsa, arcula 1, perae fundae 2|skrzyneczka, pudło 1, kieszenie torby 2|157|69, 56|||133, 135|121, 114|В ИРС 'полка для вещей...' буквально 'камусный мешочек для вещей'. В юж. камч. 'uu̯-mau̯č значит буквально 'деревянная коробочка'.||0|
64|*niśi-|497|охотиться|NïSï-|Nɨ̈Śï-|nise-s 1, nisi-la-n 2, nes-no-, nis-nu- 3|nes-kas (t-'nɨs-eskičen 1sg. pres.) 1, nɨsɨ-lan (nɨsɨla'n pl.) 2, (nes-no-ke adr.) 3||охотиться 1, охотник 2, охота 3|nɨši-ĺɣin|rete|sieć|ki-'isi-č|praeda|zdobycz|93, 155|64, 63, 42|||93|111|Использование в зап. камч. обозначения -ɨ- указывает на велярный характер носового. В сложении -ilɣin значит 'сеть'.||0|
65|*ŋin-: *'ini-ŋin-|64|новорожденный, подросток, побег||ïNɨ̈-Nɨ̈N-, ïNə̈-N̨ïN-|||||'inɨ-nɨn-zin 3,  'inə-gin-ksu-zin 4|nunc, statim 1, novus 2, nascens 3, planta 4|teraz, zaraz 1, nowy 2, rodzący się, rosnący 3, latorośl 4||||||||138, 139, 109, 107||Использование Дыбовским буквы "ы" = [ɨ] рядом с "н" = [n] и альтернация с "г" = [g, ɣ] указывают на велярный характер носового.||1083|
66|*ŋič-l-|65|мешать, ненавидеть, противный, вредный||Nẹ̄CLē=, NCL̈́K-|||||nẹčle-z 1, ńčĺ-k-lex-in 2|nocere, laedere, odisse 1, turpis 2|szkodzić, obrażać, nienawidzieć 1, szpętny, wstrętny 2||||||||137||Использование Дыбовским в зап. камч. знака "ять" = [ẹ] указывает на велярный характер носового.||0|
67|*ŋosh (*m-)|66|хвост (рыбы, зверя)|No̲SX-a, -e ?, NoJ-, NoJNə-N|No̲SX-a, N̨oS-a, Nẹ̄JNẹ̄-L=|ŋosx (ŋosx-a'n pl.) 1, ŋojj-aj magn. 3|ŋosx (ŋosx-e'n pl.) 1, ŋojŋə̆-n (ŋojŋ-e'n pl.) 2||хвост (рыбы, зверя) 1, плавник 2, хвостовой плавник 3|nosɣ, nosx, (noś'-an poss.) 1, gos (goś'-an poss.) 2, nẹɣnẹ-l-kaz 3|cauda 1, cauda avis 2, remigare 3|ogon 1, ogon u ptaka 2, wiosłować 3|muzi-d pl.|caudae|ogony|31, 164, 29|65|||139, 104|115|В зап. камч. nẹɣnẹ-l-kaz буквально значит 'работать плавником', использование Дыбовским знаков "ять" = [ẹ] указывает на велярный характер носовых.||988|
68|*ŋołke-|67|скользкий|No̲LKe̲-N, No̲LKa̲T=||ŋołke-ŋ 1, ŋołkat-kas 2|ŋołke-ŋ (ŋołke-'n pl., ŋołkeŋ-anke adr.) 1||скользкое место 1, скользить по льду 2|||||||95|65|||||||0|? нив.? laq-laq- 'гладкий' (РНС)
69|*nuhu|68|тот, чуть подальше|Nü, NFë-|NüHü, NXʷə̈-|nu (nw-e(n) poss.) 1|nu (nw-e'n pl., nu-x, nux-qene loc., nwe-kit causal.) 1|nu (n'uh-) 2|тот 1, этот 2|nu'u (no-nkẹ adr., nvə-'in, nɣə-'in poss.)|hic, ille (ibi illic, eo loc.)|ten, tamten (tam, tędy)||||148, 170|62, 61, 63, 111||92|140, 139||||0|
70|*ŋu'-ŋu|69|тут|Nü-N-|N̨üN|ŋu'ŋu, ŋu'n 1|ŋu'nu, ŋu'n 1, ŋo-nke adr. 2, ŋonk-en-lah 3||тут 1, обыкновенно 2, обыкновенный 3|nun 1, gun 2|hic, hoc loco 1, circum 2|tu, tutaj 1, około 2||||170, 244|65, 76|||140, 104||||0|
71|*'ăzzan|70|снаружи, внешняя сторона|əSa̲N||'ə̆z(z)an 1, 'ăz(z)an-k loc. 2|'ə̆zzan-k loc. ('ə̆zzan-ke adr.) 2||погода, улица, наружный 1, снаружи 2|||||||339, 148, 56, 28|108|||||||0|
72|*ńt'i-, *'ət'i-q-|71|второй|NT`ï-LNiN|NTɨ̈-ĹNiN, NTɨ̣-ĹạN, NTẹĹ-|nt'i-lŋin|t'i-lŋə̆n, t'i-lŋɨn||второй|ńtɨ-ĺnɨn 1, ńtɨ-lɣin 2, ńtɨ-ĺan 3, ńtẹĺ-txi-k-nən 4, ['ət-utk-tunuk*] 7|secundus 1, dualis 2, duplex 3, duos annos habens , secundus 4, septem 7|drugi 1, podwójny 2, dwojaki 3, dwuletni 4, siedem 5|['ita'a-tuk*] 7, *kumx-tuka (dikid) 10|septem, decem|siedem, dziesięć|188|92, 130|||140, 139, 101|108|||0|
73|*č'a-q|72|четыре|C`a-K|Ca̲-K|č'a-q, ča'a-k**|č'a-q|c'a-q|четыре|ča-k [ča'ak*] 1, [ča'ak-tanak*] 2|quattuor 1, novem 2|cztery 1, dziewięć 2|ča'a-k [ča'a-k*] 1, [ča'ak-tak*] 2|quattuor 1, novem 2|cztery 1, dziewięć 2|188|105|338|102|94|105|||0|
74|*č'o-q|73|три|C`o̲-K|Co̲Hʷ-K, Co̲l-|č'o-q 1, č'o-l 2, č'ol-anaŋ 3|č'o-q 1, č'o-l 2, č'ol-anaŋ 3, čo'ok-tunuk 4|c'o-q 1|три 1, трижды 2, третий 3, восемь 4|čoŭ-k (čo-l-anan ordin.) 1, [čo'ok-tunuk*] 2, čol-pala-lan 3|tres 1, octo 2, menyantes trifoliata 3|trzy 1, osiem 2, bobrek (roślina, = трилистник) 3|ča-k [čo'ok*] 1, [čuku-tuk*] 2|tres 1, octo 2|trzy 1, osiem 2|188|106, 103||102|98|105, 106|||217|
75|*`eś-|0|выходить|e̲S(e̲)=|əŚ=, əŚ-əT=, əSiCaN ?|'es- 1|'es-kas (t-esə̆-skičen 1sg. pres., q-es-xč 2sg. imper., 'ese-zen 3sg. pres. 'вытекает (кровь)', 'es-qzu-zen 3sg. pres. dur., k-es-knan 3sg. perf.) 1, 2||выходить 1, вылезать, всходить (о светилах) 2|'əš-kaz 1, 'əšət-kaz 2, 'əzičan ['əšitsun*] 3|exire 1, abire, fugere 2, via 3|wychodzić 1, odchodzić, uciekać 2, droga 3||||61|121, 122|||101|107|В ИРС отмечены также значения 'вытекать' и 'всходить (о светилах)'. Любопытно, что по примерам в данных случаях основа имеет задний сингармонистический ряд, в отличие от t-esə̆-skičen 'я выхожу' с передним рядом. См. также *'ił- 'уходить' (662). Форма 'əšət- 'убегать' похожа на вариант *'əl'ẹ(t)- 'убегать, съездить' (584).||0|
76|*'ip-|75|причаливать|ïP=||'ip-k-nŏ-ŋ**|'ep-kas (q-'ip-xč 2sg. imper., k-'ip-knen 3sg. perf.) 1, 'ep-no-m ('epno-'n pl.) 2||причаливать 1, пристань 2||||||||121|337||||||1085|
77|*'uzu-, *'ənzu-|76|начинать|NSü=, üSü=|üSü̈(T)=, ïNSü=|'uzu-** 1, 'ə̆nzu-kə̆s (k-uzu-knen 3sg. perf.) 2|'ə̆nzo-s ( t-ə̆nzu-čen 1sg.3sg. perf., q-ə̆nzu-x 2sg.3sg. imper., k-ə̆nzu-'in 3sg.3sg. perf.) 1, 'ə̆nzo-kas ('ə̆nzu-zɨn 3sg. pres., 'ə̆nzu-wɨn perf.) 2, 'ə̆nzu-no-m 3||начать 1, начинать 2, начало 3|ozot-kaz (k-uzu-k-nən part. pass.) 1, k-inzu-'in 2|coepisse, incipere 1, initialis 2|rozpoczynąć 1, początkowy 2||||409, 413|111|348||142, 128, 122||||973|
78|*(n)izli-|77|ожить, очнуться, почуствовать|ïSLï=, NT-ëSLï-HL=, N-ïSLï-K=||'izli-kes 1, 'ə̆n-t-ezli-'ł-es 2|'ezle-kas ('izlɨ-zɨn 3sg. pres., 'izl-a-xen 3sg. fut.) 1, nezle-k-as (qa'm 'ăŋqa nɨzlɨ-kaq łin 3sg.3sg. neg. perf.) 3||оживать 1, оживлять (заставлять делаться живым) 2, чувствовать, почувствовать 3|||||||203|118, 63|||||||0|
79|*kĭz-xłi-, *kizu-|78|просыпаться|e̲SXLï-, ( ï)SXLï-, Nə-SXLï-HL=, N-SXLï=|K-ïSXLï=|'esxłi-kes ('isxłi-), nə̆-sxłe-'łk-es intr. mult. 2, 'ə̆n-sxłe-s 2|'esxłe-kas (t-'esxłi-kičen 1sg. perf., q-'esxłi-xč 2sg. imper., k-'esxłi-knen 3sg. perf.) 1, 'ə̆n-sxłe-s (t-ə̆nsxłi-čen 1sg.3sg. perf., t-ə̆nsxł-ał-čen 1sg.3sg. fut., q-ə̆nsxłi-miŋ 2sg.1sg. imper., k-ə̆nsxłi-'in 3sg.3sg. perf.) 2||просыпаться 1, будить 2|kizxli-k|expergefacere|budzić|kizu-skik 3sg. past 1, kiz̲ĳa'ax 3sg. imper.|experectus est 1, expergefac (eum) 2|przebudził się 1, rozbudź (go) 2|205, 204|122, 114|||122|112, 111|Каузатив 'ə̆n- указывает на вторичную утерю начального согласного в ител., т.к. в таком виде каузатив может быть только перед согласным. При передаче записи Дыбовского для слова 'пусть он проснется!' неправильно прочитано рус. рукописное "з" = [z], как "д" = [d].||0|
80|*t(')unsid- ЮК|966|бородавка||||||||||tunsid-ad pl.|ulci|wrzody||||||120|||0|
81|*pŋil "|80|корень|PNiL "|PNɨL "|pŋil-pŋil|pŋɨl-pŋɨl (pŋɨ'l pl.)||корень|pnɨl 1, pnɨ(l)-pnɨl 2|trucus 1, radix 2|pień 1, korzeń 2|[pingəĺ-pin*], pimči-t pl.|radices|korzenie|60, 108|71|||145|116|||0|
82|*pamja-|81|чулок|Pa̲MJa̲-LNiN|Pa̲MJa̲-|pamja-lŋin|paŋja-lŋə̆n (paŋja-'n pl.)||меховой чулок, носок|pamja-n pl.|soeci e pelle facti|szkarpetki futrzane||||115, 131|69|||143||||0|
83|*pănza-|82|камус, шкурка с лапок|PịNSị-N -e, PaNSa-(TLe-LNəN)|PaNSa-|piŋzi-ŋ (piŋz-'in poss.)1|pə̆nzə̆-ŋ (pə̆nze-'n pl.) 1, panza-tłe-lŋə̆n (panza-tłe-'n pl.) 2, panza-mač 3||камус 1, камусные торбаза (зимняя обувь) 2, полка для вещей на чердаке, в сарае 3|panz-an poss.|ex pellibus pedum cervi tarandi factus|futrzany, z łapek rena uszyty|piza-č-an|ex pellibus pedum animalum factum, sutum|z łapek uszyty, zrobiony|165|74, 69|||143|116|В ИРС 'торбаза' буквально 'камусные ходилки', а 'полка для вещей...' - 'камусный мешочек для вещей'.||0|
84|*paŋo- "|83|снегопад|Pa̲No̲ ", Pa̲No̲=||paŋo-paŋ 1, paŋo-kes 2|||свежевыпавший снег 1, идти о снеге 2|||||||26, 92||||||||0|
85|*paŋz(a)|84|лопатка, подмышка|PaNSa, PäS-PäT́ "/ PäS-e (!)|PaS-PaT́|paŋza 1, paŋza-kes 2|pas-pat (pas-e'n pl.) 3||пазуха 1, класть за пазуху 2, лопатка 3|pas-pas (paspad pl.)|scapula|łopatka|'ipət|homoplata, scapula|łopatka|215|70|||143|108|В ител. пеpвоначально значение было "подмышка". Нетривиально образовано мн. число в зап. камч. нетривиальное -d на месте жидаемых pãzə-'n или pã'z.||49|
86|*paxčo-|0|бросать|Pa̲XCo̲= ~ PeXCu=||paxčo-kes|||бросать|||||||26||||||С суффиксом интенсивного действия -čo-.||579|
87|*pahel, *pehel|86|шапка|Pa̲Hë̲Le-CX, PeHëL-e|PaXəL|pahel (pahel-ečh dim.) 1, paheli-lan poss. 2|pehel (pehel-e'n pl.) 1|pekel (хайрюз.), pexal (напан.) 1|шапка 1, утка-свизза 2|paxəl|velamen capitus e pelle factum|czapka futrzana||||124, 67, 118|74||86|143||||0|
88|*pe[q]e-|87|дикий||PāKā-ĹC=, PōKā-ĹC=, Pə̈Kə̈-, Pə̈Kə̈J=|||||paka-ĺč-kaz, poka-ĺč-kaz 1, pəkə-lin 2, pəkə-lex-in, pəkəj-k-nən 3|ferus, esse fieri 1, rabiosus 2, ferus 3|być, stawać się dzikim 1, wściekły 2, dziki 3||||||||143, 144, 145||||0|
89|*pan(')e-|1079|откровенный, настоящий|Pa̲Ne̲N-aJP-|N-PạNHə̣̲-|panen-ajp-kas, łin-panen-ajp-as caus.|||откровенно говорить|ń-pań'ə-kin|gratus|przyjemny, miły||||201||||139||||543|
90|*pilwit|89|жила оленя|PiLFïT-e||pilwit|pɨlwit (pɨlwit-e'n pl.)||спинная жила оленя 1, жила, из которой сучили нитки 2|||||||129|73|||||||0|
91|*pəl[k]a-|90|металл||Pa̲Le̲Fa̲NTe̲N|||||[~ paleu̯anten]|metallum, ferrum, cuprum, chalybs||pilkačid pl.|pecunia|pieniądze|||||143|116|Зап. камч. скорее всего заимствован из чукотских, но непонятна полная огласовка с широким гласным и различение -a- и -e- в этом слове, а также разбивка сочетания -lw- гласным.||1117|
92|*'ipəLa-k'əč|96|ястреб, птица из вида орлинных|ịPəLạ-K'eC|ə̲Pə̲Ĺa̲̣-KiC|'ipəlak'eč**|||сова|'əpəĺakič|accipiter|jastrząb||||||350||101||Вариант зап. камч. с -ĺ- в записи скорее указывает на -ł-. Вторая часть *kăč значит 'птица' (842). Ср. *'epilaɣi-č (1178).||1060|
93|*pĭzə-|92|привязать|PïSə=||pize-s|pə̆zə̆-s (k-pə̆s-xi'n 2sg. imper., k-pə̆z-'in 3sg.3sg. perf.)||привязать|||||||200|73|||||||1115|
94|*peśkŏz-|0|проходить мимо, перегонять|Pe̲SKŏ̲Sə=, N-Pe̲SKo̲Sə=|PāŚKS-ə̄T=, ? aN-PŚa-|peskŏz- 1|peskŏs-kas (peskŏs-ezen 3sg. pres.) 1, 'ə̆n-peskoz-es (t-ə̆npeskoz-win 1sg.2sg. perf., t-ə̆npeskozə̆-zwin 1sg.2sg. pres., t-ə̆npeskoz-ał-win 1sg.2sg. fut., k-ə̆npeskos-'an 3sg.3sg. perf.) 2||проходить, пробегать мимо 1, обгонять, перегонять 2|paškzət-əz|transire|przejść||||62|74, 114|||143||Истоpическое сложение глаголов *peś- 'оставлять, покидать, обгонять' и глагола *kŏz-  'пpибыть'(151) > зап. камч. kazi/e-, т.е. 'пpибыть обогнав, покинув'.||0|
95|*pəl-|0|большой|PʷḺ-, PL̈-Së̲=|PḺ-, Po̲L-|pl-ah 1, pə̆l-se-kes 2| ̊pl-ah (xe-) 1, pə̆l-se-kas (k-pə̆lse-knen 3sg. perf.) 3, 2||большой 1, увеличиваться (в объеме) 2, разбухать 3|pl-ax, pl-aɣ, plax-an (pol-k adv.)|magnus, maximus|wielki, największy||||29, 56, 158||||144, 145||||546|
96|*psl-(aŋr-)|95|гладкий, ровный, плоский|PSLaNS-|Nə̄PSə̄L|pslaŋs-lah 1, 2|pslaŋs-lah 2||гладкий, плоский 1, ровный 2|nə-psəl 1, nəpsəl dvn. 2|substernere 1, vestigium 2|podścielać 1, ślad nóg źwierzęcych na śniegu, trop 2||||318|73|||138||||1160|
97|*phakč|91|коршун|PXäKC-e|ṔXaKC|phakč (phakč-e'n pl.) 1|pxakč (pxakč-e'n pl.) 1, 2||коршун 1, ястреб 2|ṕxakč|falco|sokół||||60, 127|73|||143||Ср. 'птенец' *paka-k'a-č (773).||0|
98|*śpăl "|97|ветер|SPəL, SPə̈L(i)=|ŚPa̲L|spə̆l (spə̆l' pl.) 1, spə̆l-kes 2|spə̆l (spə̆'l pl.), spə̆l-kas (spə̆llɨ-zɨn 3sg. pres.)||ветер 1, дуть о ветре 2|spal, špal (špal-an poss.)|ventus, serenitas|wiatr, pogoda|spana-spa 1, 'ačva-spil 2, vi-ačva-sp̲iĺ 3|ventus 1, oriens, eurus, apeliotes 2, aquilo 3|wiatr 1, wschód, wiatr wschodni 2, wiatr północno-wschodni 3|29, 36, 95|79, 80|||148, 153|118, 104, 121|В аффиксальном варианте во втором случае при подаче юж. камч. материалов Дыбовского неправильно проинтерпретировано рус. рукописное "п" = [p] как "т" = [t].||0|
99|*pna-wə-|98|точить|PNa̲Fe̲-N, -ŏM, PNa̲F-So̲=|PNāFāN|pnawen 2|pnaw-zo-s dur. (q-pnawzo-x 2sg.3sg. imper.) 1, pna-w-ŏm (pnaw-e'n pl.) 2||точить 1, точильный камень 2|faĺ-an pna-van|serra|piła||||125|71|||102||Вторая часть - слово 'камень' см. *-wăn (523).||0|
100|*ptka-: *'ə̆n-ptka-k-|99|ударить, вонзить|M-PTKa-K=|aN-P(T)Ka-(T)=|'ə̆m-ptka-k-es SO|||ударить со всей силой|'an-pka-t-əz mult. 1, 'an-ptka-z 2|incudere 1, imprimere 2|wbĳać 1, wciskać, wyciskać 2||||205||||86||||0|
101|*pens-|100|бросаться|Pë̲NS(e)=||pens-kes|pens-kas (pens-esč 2sg. pres., k-pens-knen 3sg. perf.)||бросаться|||||||200|74|||||||0|
102|*pip'i-|101|хвост||PïPẹ̈-Lẹ-C|||||pipẹ-lẹč|cauda|ogon||||||||144||Ср. юж. камч. papi-č 'шея' (1499).||1167|
