NUMBER|PROTO|PRNUM|RUSMEAN|MEANING|GRU|GRMEAN|EGRMEAN|MEG|MGMEAN|EMGMEAN|SVA|SVMEAN|ESVMEAN|LAZ|LZMEAN|ELZMEAN|NOTES
74|*br-|383|вертеть(ся), вращать(ся)|to spin, roll|br-un-|||bur-|||||||||EWK 60 (ср. также груз. borbal- 'колесо'). В ОСНЯ 1, 186 относится к ностр. *bura 'сверлить' (откуда также ПИЕ *bher- 'ранить, сверлить', урал. *pura 'сверло, сверлить'; алтайский материал, видимо, недостоверен). Не вполне ясно.  Возможно, следует разделять корни со значением "ранить, копать, сверлить" и "крутить, вращать" (в ПИЕ ср. также *bher- 'плести' = алт. *p`orV id.; ИЕ-картв. сравнение см. в Бомхард 1996, 142).
75|*brdɣwen-|0|рычать, ворчать|to growl, scowl|brdɣven-|||burdɣin-||||||bundɣin-|||ЭСКЯ 54, EWK 61-62. Ономатопоэтическая основа.
76|*breg|896|стучать, колотить|to knock, hammer|breg, brag-|стучать, колотить; bragun 'грохот'|to knock, hammer; bragun 'rumble'|burg-; burgon- 'dull rumble'|||bərgən- ( < Megr.?)|||brang|стучать (ногами)|to beat upon (with the feet)|EWK 60. Ср. ПИЕ *bhragh- 'ломать'.
77|*brʒ́-|0|бороться|to fight|brʒ-|||burǯ-|||||||||ЭСКЯ 53, EWK 64-65 (где справедливо отделяется сван. bərg-). Соотношение *brʒ́-    и *borg- (q.v.) не вполне ясно: возможно, налицо различные суффиксальные    образования от одного корня *bor-, связанного с ПИЕ *bher- "бороться; ранить"   и, далее, с алт. *bore "погибать" < ПН *borV. Выведение картв. *borg- из ностр.  *bur- / *bor- предлагается Бомхардом (1996, 141), добавляющим еще драв.  параллель (*por- 'биться, сражаться'). В ПИЕ интересно отметить также *bhreus-  'ломать' ( = картв. *brʒ́-) и *bhreǵh- 'раздирать; вредить' (Walde 200; =  картв. *borg-).
78|*bud-|139|гнездо|nest|bude-|||bude-|||bid-, bud-|vulva|vulva||||ЭСКЯ 54, EWK 66. Возможно, экспрессивный вариант того же корня, который налицо  в сван. puṭu "дыра"; ср. далее алт. *p`ut`e 'дыра', урал. *putV 'rectum' <  ностр. *ṗu[ṭ]V (МССНЯ 340). Сходный корень налицо и в ПВК *pūṭi / *būṭi  '(женские) гениталии'.
79|*bug-|897|сыпь|rash|bug-r-||||||bugw-ir||||||EWK 65-66. Ср. алт. *bogda 'пестрый, красить'.
80|*bumbul-|0|пух|down|bumbul-|||bumbul-||||||bumbul-|||ЭСКЯ 55.
81|*buq̇wN|0|есть (грубо), жрать|to gobble down|buq̇vn-|есть (грубо), жрать|to gobble down|bu`on|||||||||Не исключено СК происхождение основы, ср. ПВК *=HVq̲̇wVn 'глотать', с классным показателем *bHVq̲̇wVn- / *wHVq̲̇wVn (см. NCED 618).
82|*bur-|168|закрывать, затемнять; заштопывать|to close, obscure; to darn|bur-|||bur-|||bur-|||bur-|||ЭСКЯ 55, EWK 67. В ОСНЯ 1, 191-192 возводися к ностр. *büri 'покрывать' (драв.  *pūṛ̣ 'покрывать, погребать', алт. *buri 'покрывать'). Аналогичную этимологию  дает Бомхард 1996, 145.
83|*burčx-|0|Echinochloa crus galli|Echinochloa crus galli|burčxa|||burčxi||||||bučxi|||EWK 68-69. [Ср. barʒg-]
84|*burd-|0|расстроить, привести в беспорядок|to disconcert, to derange|burd-||||||būrd-||||||EWK 67.
85|*burdɣa, *bRdɣwN-|659|оперение, пух|down|burdɣa|оперение, пух; b(r)dɣwn- 'щипать (птицу)'|down; b(r)dɣwn- 'to pluck (a bird)'|burdɣa|оперение, пух, мохнатый; burdɣon- 'щипать (птицу)'|down, fluffy; burdɣon- 'to pluck (a bird)'||||bundɣa|оперение, пух; burdɣol-, bundɣol- 'щипать (птицу)'|down; burdɣol-, bundɣol- 'to pluck (a bird)'|ЭСКЯ 54, 55, EWK 61. Имеется также вариант *burṭq̇(w)- (q.v.). Ностратические параллели: ПА *burtV "борода; пух, перья"; ПИЕ *bhardhā "борода" < ПН *burtɣV "пух, борода".
86|*burɣ-|0|широколиственное растение|a k. of broadleaf plant|burɣ-|||burɣ-||||||burɣ-|||EWK 68. Отметим сходство с ПСК *ʕapālq̇wĔ 'лопух; лист'.
87|*bur(ɣw)-|39|пыль, пылить|dust, to make dusty|ср.-груз. bre|пыль, прах (диал. bre 'мякина')|dust (dial. bre 'chaff')||||burɣw- 'to make dusty', birɣw 'dust, ash'||||||ОСНЯ 1, 188. Основа далее сравнивается с урал. *porV 'пыль, песок, грязь',  драв. *pūr..V / *por..V 'рыхлая земля, песок, пыль' (алт. данные, видимо,  недостоверны).
88|*burs-|0|удары, неправильная борьба|hits; illegal fighting|burs- / brus-|||burs-|||||||||EWK 67-68.
89|*burṭq̇-L-, *bRṭq̇w-|1225|пух и перья|down and feathers|burṭq̇l-|пух и перья; brṭq̇w- 'ощипывать (птицу)'|down and feathers; ; brṭq̇w- 'to pluck (a bird)'|buṭq̇u|мягкий; burṭq̇- 'ощипывать (птицу')|soft; burṭq̇- 'to pluck (a bird)'|binṭq̇il|пух|down|? bu(r)ṭq̇u|название насекомого|a k. of insect|ЭСКЯ 55; EWK 63, 68. Повидимому, вариант корня *burdɣ- / *bRdɣw- q.v.
90|*burʒg(a)|0|щетина|bristle|burʒg-al-|ворс; burʒg- 'щетиниться'; buʒg- 'маленький еж'|fleece; burʒg- 'to stand on end (of bristle)', buʒg- 'small hedgehog'|buʒga|иглы плода каштана; buʒg-, biʒg- 'щетиниться'|spines of chestnut; buʒg-, biʒg- 'to stand on end (of bristle)'||||buʒg-|'щетиниться'|'to stand on end (of bristle)'|EWK 69. Скорее всего = *barʒg-.
91|*buṭḳ-|0|соцветие, лист|inflorescence, leaf|buṭḳ(o)-|соцветие; puṭḳar- пчела|inflorescence; puṭḳar- 'bee'|||||||buṭḳ-|лист; buṭḳuǯ- пчела|leaf; buṭḳuǯ- 'bee'|ЭСКЯ 56; EWK 69. Ср. алт. *pūto 'branch' (проверить англ. bud etc.).
92|*buz(w)|0|муха|fly (n.)|buz- (bzu- 'to buzz'; bziḳ- 'wasp')|||buz-|furzen||buzul (bzūl 'buzzing')|||buz-al-|жужжать|to buzz|ЭСКЯ 51, EWK 66. Ономатопэтическая основа, широко распространенная на Кавказе (ср. ПСК *bĭnʒĕ 'муха', см. NCED 304-305). [?Ср. также ПИЕ *wobhs-?]
93|*bzeḳ / *bziḳ|0|вытягивать(ся)|to stretch|bzeḳ, bziḳ|вытягивать(ся)|to stretch|ziḳ|коченеть, каменеть|to freeze, turn to stone|||||||Ср. алт. *siku 'давить; съеживаться' (если в ПК *b- вторично).
94|*bziar-|0|треснуть, трещина|to crack; a crack|bzar-|||zior-|||||||||EWK 55.
95|*ca-|291|небо|sky|ca-|||ca-|||cā-š|четверг|Thursday|(m)ca-, (n)ca-|||ЭСКЯ 222, EWK 443-444. Климов сравнивает основу с ПСК *ʒə̆wɨ̆ 'небо' (NCED  1092-1093), что сомнительно по фонетическим соображениям. Возможно, лучше  сопоставить с ПИЕ *sḱeiə- 'сиять, мерцать', урал. *śäjä 'мерцать,  светиться', драв. *cāj 'блеск', для которых Иллич-Свитыч (ОСНЯ 1, 199)  восстанавливает *c̣äjḥa, хотя возможна и реконструкция *cäjV.
96|*ca-|0|Ulme (вяз)|elm||||ci, cə|||cah-, caj-||||||EWK 444.
97|*cag-|898|колючка|thorn|||||||cäg 'thorn', cag-ǟr 'pricky'|||m-cig-ura 'pricky plant', o-cig- 'to prick'|||EWK 444. Ср. алт. *čākte 'сосна, лиственница'.
98|*cal-|0|часть, кусок|piece, part|cal|штука, один (из парных предметов)|unit, one (of two)|cal- ( < Georg.)||||||co(r)|кусок|piece|ЭСКЯ 222-223 (*ca-). Кавказские параллели, приводимые ibid. и в Климов 1969, 291 (*cɨ̆łɦV̄ "зуб" и   *cHə̆ "один", при  этом не связанные никак между собой) вряд ли сопоставимы с   картвельским материалом. Поскольку  исходное значение корня - "часть, кусок", то  представляется разумным связывать его с *cal-  "отрывать; удаляться" (q.v.) и выводить из ностр. *calu "расщеплять, резать"   (ОСНЯ 1, 195-197: ПИЕ  *skel- "расщеплять", урал. *śale "резать, расщеплять",   драв. *cal- id., алт. *čalV "резать,  отрезать"; картв. *cel- "косить",   относимое к этому корню Иллич-Свитычем, повидимому, имеет СК  происхождение).
99|*cal-/cel-/cil-|494|отрывать, сдирать|to tear away, peel|cal-, cl-, cil-|удаляться; снимать (кожуру), сходить (о коже)|to go away; to peel|rc(w)-|снимать (кожуру), сходить (о коже)|to peel|cel-, cil-, cl-|отрывать|to tear away|prc- (?)|снимать (кожуру), сходить (о коже)|to peel|ЭСКЯ 225; EWK 444. См. *cal- 'часть, кусок'.
