"NUMBER","PROTO","PRNUM","MEANING","LAK","COMMENT"
873,"q̇aṭ",1671,"community, folk assembly","q̇aṭ","    The meaning 'street' is present in locative derivates (e.g. \Iq̇aṭuw\i 'on the street'). The Khosrekh form is not attested, but Khaidakov (1966) spells the Lak. word as \Iq̇ʷaṭ.\i"
874,"=aiꭓ:i-",2074,"to wash off, wash away","=aiꭓ:i-n","    G. pr. \I=aI=ꭓ:u-nu.\i The verb is homophonic with \I=aIꭓ:i-\i 'to rake up, shovel up' (q.v.), which is probably a result of secondary merger."
875,"lač̣u-",2076,"to catch fire","lač̣u-n","    G. pr. \Ila=č̣u-n.\i"
876,"la",2079,"medicinal absinth","la",
877,"lah-",2088,"low","lah-s:a",
878,"liꭓ:aIwu",2090,"anxiety, alarm","liꭓ:aIwu","    A suffixed form; with another suffix the root was borrowed (from some Lak. dialect) into Arch. \Ilaꭓ:Iə-ṭi\i 'anxiety'."
879,"surū",2091,"shroud","surū","    Lak. > Arch. \Isoro\i id."
880,"mulcu",2093,"wild oats","mulcu",
881,"muhi",2096,"seeking hand in marriage (n.)","muhi",
882,"maħĳa",2097,"bilberry","maħĳa",
883,"nač",2098,"shame","nač",
884,"q:uw",2105,"thunder","q:uw","    Lak. > Arch. \Iqu-bus\i 'to thunder'."
885,"q:urq:ur",2106,"rumble, crash, boom","q:urq:ur","    Cf. also \Iq:arq:ar\i id."
886,"q:aI",2107,"gossip, rumour","q:aI",
887,"q:int:a",2109,"back (of head)","q:int:a",
888,"qaInša",2111,"end (of loaf)","qaInša",
889,"ꭓ:urt:a-ma",2113,"witch","ꭓ:urt:a-ma","    Cited from Khaidakov 1966."
890,"uIrč̣i-",2116,"variegated","uIrč̣i-s:a",
891,"q:urq",2118,"tight knot","q:urq","    Old Lak. > Arch. \Iqerq\i 'knot'."
892,"ʁaw",2122,"rumble","ʁaw",
893,"š:iq̇:i",2125,"ink","š:iq̇:i","    The Old Lak. form \I*š:aq̇i\i was probably borrowed in Avar as \Išaq̇:i\i 'ink'. The Avar form penetrated into Nakh languages (Chech. \Išēq̇a,\i Ing. \Išäq̇a\i), whence it came to Kab. \Išāq:a\i 'ink'."
894,"š:uIwṭ",2127,"whistle","š:uIwṭ","    Cf. also Khosr. \Iš:ʷuIṭa ṭun\i 'to whistle'."
895,"š:aItal",2128,"woollen footwear (socks)","š:aItal","    The Lak. form is an original plural."
896,"bara",2134,"witness","bara","    The Lak. form goes back to \I*baq̇ara\i (cf. PD \I*biq̇-ri\i), as clearly seen from the old Arch. loanword \Ibaq̇ərə-nnu\i 'witness'."
897,"buʁi",2137,"fine (paid by parents for children's misbehaviour)","buʁi",
898,"zanč",2141,"snow-drift (in the mountains)","zanč",
899,"c̣ullu-",2143,"healthy; whole, undamaged","c̣ullu-s:a",
900,"ꭓ:aꭓ:a-",543,"to be angry","ꭓ:aꭓ:a-n","    G. pr. \Iꭓ:a=ꭓ:u-n.\i"
901,"=aha-n",2148,"to quarrel","=aha-n","    G. pr. \I=ah-nu.\i"
902,"c̣-ik:ʷi-",2150,"to coax, wheedle, cheat","c̣-ik:i-n","    G. pr. \Ic̣-i=k:u-nu.\i The form contains an expressive preverb (c̣-)."
903,"=ĳa-",2151,"to ripen","=ĳa-n","    G. pr. \I=i=nu.\i The root is homonymous with \I=ĳa-\i 'to reach' (PEC \I*=arq̇Vr\i), as a result of phonetic merger (cf. the same phenomenon in PN)."
904,"=ĳa-l-",2149,"enough, sufficient","=ĳa-l-A:S",
905,"=aq̇i-",2153,"to lead, bring (somewhere)","=aq̇i-n","    G. pr. \I=a=q̇u-nu.\i"
906,"q̇uṭi-",2154,"to stick into, pierce","q̇uṭi-n","    G. pr. \Iq̇u=ṭu-nu.\i"
907,"uk:a-",2155,"to play","uk:a-n","    G. pr. \Iu=k:u-n.\i Cf. also expressive derivates: \Iak:u-zak:u\i 'a k. of  children's play', \Iak:a\i (colloq.) 'silly, silly girl'."
908,"lač̣u-",2159,"to rain","lač̣u-n","    G. pr. \Ila=č̣u-n.\i"
909,"ar",2171,"plain","ar",
910,"=aš:a- / =aš:i-",2172,"to become cloudy (of weather)","=aš:a-n/=aš:i-n","    G. pr. \I=a=š:u-nu.\i"
911,"qunṭa",2108,"pit","qunṭa",
912,"č̣aꭓ:u-l",2180,"neighbours","č̣aꭓ:u-l","    A plural form; cf. also \Ič̣aꭓ:u-ču\i 'neighbour', \Ič̣aꭓ:u-duš\i id. (fem.). Lak. > Arch. \Ič̣aꭓ:u-t\i 'neighbours'."
913,"q̇uru",2185,"drinking-horn","q̇uru",
914,"aIrꭓ:i",2188,"trip, march, journey","aIrꭓ:i",
915,"ra=xi-",1723,"to beat, hit","ra=xi-n",
916,"aʁu",1058,"anger","aʁu",
917,"laIṗ",2067,"a moment","laIṗ",
918,"q:uq:u",2194,"jug, pitcher","q:uq:u",
919,"burḳna",1375,"tomb-stone","burḳna",
920,"w, u",2195,"1st (masc.) class marker",,
921,"d-, r",2198,"2d class sing. and 4th class sing.-plur. class marker",,
922,"b, -w-",2197,"3d class sing. and 1-3d cl. plur. marker",,
923,"-ru, -ri, -r-du",2204,"plural",,
924,"-du, -t:u, -r-du, -l-t",2202,"plural",,
925,"-l-t, -ta-l",2201,"plural",,
926,"-ta-l",2207,"plural",,
927,0,2215,"nominative",,
928,"-l",2217,"genitive / ergative",,
929,"-n",2216,"dative I, lative, infinitive",,
930,"-x, -x:u-n",2311,"possessive (-x), dative II (-x:u-n)",,
931,"-š:a, -š:a-l",2229,"elative (-š:a), comitative (-š:a-l)",,
932,"-j-nu 1, -ĳa 2",2218,"1 instrumental 2 deverbative nominal suffix",,
933,"-w-",2241,"in series",,
934,"-j-",0,"super series",,
935,,0,,,
936,"-ni-",2211,"oblique stem marker",,
937,"-č̣-",2232,"ad series",,
938,"-c̣-",0,"proximity series",,
939,"-ala, -(w)alu",2279,"derivative suffix",,
940,"-s:a",2220,"suffix of adjectives and participles",,
941,"-m-",0,"suffix of adjectives and participles",,
942,"-0 (-a, -i, -u)",2252,"imperative",,
943,"-ra, -ru",2262,"pres. general (in some cases perfect) 1-2 sing. (-ra), plural (-ru)",,
944,"-j",2244,"pres. general 3d p. sing.; pres. gerund",,
945,"-w",0,"1st p. perfect (w/r conjug.)",,
946,"-unna, -unnu; -n(u)",2260,"perf. -nn- conjug. (-unna sing., -unnu pl.); past gerund and adverbializer (-nu, -n)",,
947,"-unni",0,"2d p. perf. (w/r conjug.)",,
948,"-rdu",0,"plur. perf. (w/r conjug.)",,
949,"-l(a)-",0,"continuous",,
950,"-aw-",0,"iterative",,
951,"-n-na, -n-nu; -n",2261,"1 future 2 suffix of abstract nouns",,
952,"-na-w",2253,"desiderative",,
953,"-ča",2266,"conditional, 3d p. imperative",,
954,"-kun",2267,"future gerund",,
955,"-ča ( < -ka)",0,"even",,
