NUMBER|PROTO|PRNUM|MEANING|NAKH|NAKHNUM|AAND|AANDNUM|CEZ|CEZNUM|LAK|LAKNUM|DARG|DARGNUM|LEZG|LEZGNUM|KHIN|KHINNUM|ABAD|ABADNUM|COMMENT
66|*HāχuɫV / *HālχV|508|long|*=ʕāχ-(in)|63|*=iχ:Vl-|135|*=ɨχ:ɔlV-|109|halχ:a-|107|*χ:ʷala-|8|*[hI]alχä-|68|wiχä|40|*ŁʷA|93|    For the phonetic development in PWC cf. \I*χ̲ɦwĕje\i 'dog' (in this case the lateralisation in PWC may also have been favoured by the lateral resonant in the root).         The stem \I*HālχV\i (reflected in PN, Lak., PL and Khin. /with a former class prefix w-/) is a secondary development < \I*HāχɫV\i < \I*HāχuɫV.\i     Several morphological notes: the stem is usually accompanied by class prefixes in the Western area (Nakh, Andian, Tsezian) but is prefixless in Eastern Daghestan (Lak., Darg., Lezghian). By now it is hard to judge which situation is original; however, it seems probable that the initial syllable *Hā- is historically a prefix, and that we should reconstruct the most archaic form as \I*χuɫV\i (cf. the rather frequent reflex of this stem in different areas: in Av. /χ:alaˊ-ta-/, in PD /*χ:ʷala-/, in some Lezg. languages/Rut. χuläχ-dɨ, Tsakh. χɨli-na/. Cf. also Hurr. \Iχel(-)di\i 'lofty, highborn' (see Diakonoff-Starostin 1986, 54-55).     See Абдоков 1983, 147.
67|*nĕmʒ̲ĭ (~ -ĕ)|509|louse|*mac̣e|64|*noc̣:i|49|*nɔcǝ A|45|nac̣|48|*nez|71|*näc̣:|69|nimc̣|41|*c̣ˊA|94|    One of the best preserved common NC roots. Correspondences are regular (except the Av. paradigm A - since Nakh languages do not show here any trace of any laryngeal, and there is no pharyngealisation in PL, PD and Lak., it must be secondary).     See Trubetzkoy 1930, 277.
68|*mōrŁV|510|male|*mār|364||0||0||0|*marga|319|*morƛ:ɨl / *uorƛ:ɨl|70||0||0|    Reconstructed for the PEC level. Cf. also Hurr. \Imari(j)-annǝ\i 'chariot driver', Urart. \Imarǝ\i 'one of the social groups' - an important social term, not borrowed (as sometimes supposed) from Indo-Aryan (see Diakonoff-Starostin 1986, 21).
69|*rä̆ƛ̣̲ɨ̆|415|meat, flesh|*dilχu|70|*riƛ̣:i|69|*riƛ A (~*l-)|59|diḳ|51|*diɣ|75|*jaƛ̣:|71|lɨk:a|44|*LˊA|105|    One of the best preserved common NC roots. Correspondences are completely regular (in PWC palatalized *Lˊ because of a late WC shift *L > *Lˊ; a hard *L is absent in PWC).     See Trubetzkoy 1922, 240, 243; 1930, 278; Lafon 1964; Abdokov 1983, 82.
70|*wǝ̆mc̣̲ŏ|98|moon, month|*butt|71|*birc̣:ʷi|85|*bocV A|69|barz|52|*bac:|76|*wac:|72|wac̣|45|*mVza|107|    One of the most stable common NC roots. Its oblique base in PEC may be safely reconstructed as \I*wŭmc̣̲V-rV-;\i the -r- of the original suffix has in some languages penetrated into the direct base.     See Trubetzkoy 1930, 275, Abdokov 1983, 89.
71|*HɨsˊɨwV (-ɫī)|0|side||0|*ʔisib(V)|172|*žeblV A|214||0|*š:ali|188|*s:ɨw|73||0||0|    Reconstructed for the PEC level. The stem contains an element *-ɫī (av. \Ixibi-l,\i PC \I*žeb-lV,\i PD \I*š:a-li\i < \I*š:aw-li\i) which is present not in all languages and may be an old suffix. But if it is not, then this is one of several very rare cases of tetrasyllabic roots in PEC. Quite enigmatic is the Lak. form \Ičul\i 'side' (why č-?).
72|*ʒ̲wĕrhɨ̆|649|name|*c̣e|74|*c̣:iri|114|*cʷǝ˜ A|93|c̣a|55|*zʷe|80|*c̣:ʷer|74|c̣u|47|*(P)c̣a|114|    A good common NC root. In PWC labialisation was lost, as often, after the preceding labial (which, in this case, is a prefix). Not quite clear, however, is the absence of palatalisation in PWC (expected before an original front vowel); perhaps, we deal with a case of old vowel alternation.     See Trubetzkoy 1930, 278; Абдоков 1983, 189-190.
73|*c̣ä̆nʔV|411|new|*c̣in-|75|*c̣inhV-|153|*-ɨc̣Vn- A|131|c̣u-|57|*c̣i-|84|*c̣enjä- / *c̣enwä-|75||0|*c̣ˊA|117|    One of the most widely spread common NC roots. It is adjectival, but usually does not have class prefixes (the situation in some Tsez. languages must therefore be considered as a secondary innovation). In Khin. the root is preserved within the compound \Ic̣ɨ-nas\i 'bride' (see \I*nŭsA\i).     Cf. Urart. \Iš(V)-uɣǝ\i 'new' (see Diakonoff-Starostin 1986, 34-35).     See Trubetzkoy 1930, 275; Абдоков 1983, 142.
74|*ɦnic̲ˊwV̆|367|night, evening||0||0|*niš:e|92|šana-|72||0|*ʡiš:ʷ|76|äč:u-|60|*(pǝ-)ʒˊʷǝ|298|    Except the metathesis in Lak. (rather usual in the HRVCV structure; regularly \I*naša-,\i \I*našu\i would be expected), correspondences are regular. In PWC there is a sporadic labial prefix (as in many other cases, possibly reflecting class prefixation).
75|*mɨ̆ɦwVlV̆|511|nose||0|*mihar|6|*maru|3|maj|59|*maħul|231|*muʔel|77||0||0|    Reconstructed for the PEC level. Lak. has lost the final resonant (probably as a result of its reinterpretation as obl. base marker).
76|*qHwanq̲wV (~-ǝ-,-ŏ-)|0|nose, muzzle||0||0||0|qanqa|343|*q:Iʷanq:I|86|*qIʷaqIʷ(a)|78||0||0|    An expressive reduplicated root, spread only in the Eastern area.
77|*=ŭGwV|439|to rain|*daʁu|80||0|*ʁ:ʷǝdǝ|81|ʁaral|62||0|*ʔoq:ʷa-|81||0||0|    Reconstructed for the PEC level. The verbal root is preserved only in PL. Other languages reflect a deverbative noun \I*GwV-(r)dV\i / \I*r-ŭGwV.\i
78|*mărƛwĂ|283|cloud, rain-cloud|*marχo|19||0||0|bark|666|*mark(ʷ)a|89|*marλʷ|82||0|*pǝƛa|26|    Correspondences are regular: in PWC a usual denasalisation of *m- before a (former) medial liquid, and delabialisation *ƛʷ > *ƛ after a labial initial. Not quite clear, however, is the denasalisation (m- > b-) in the Lak. dialectal form. The comparison seems quite reliable both phonetically and semantically.
79|*ɦirV|1331|red||0|*ħiri|41|*ʔɨr (~ʕ-,ħ-)|198||0||0|*ʔirɨ-|83||0||0|    Reconstructed for the PEC level. The root is almost uniformly prefixless, thus b- in Av. \Ibaʕaˊra-b\i is probably an innovation.
80|*Hrēmq̲̇ĭ|512|road|*nīq̇|82|*miq̇:i|82||0||0|*daIq̇|165|*räq̇I:|84|ḳʷar|54|*mʁˊʷa|135|    A typical case of the structure HRVMCV̆ (in PN *n- < *m- before a front vowel). The Khin. form raises some problems: it must be a metathesis (\Iḳʷar\i < \I*raḳʷ;\i the supposed form \I*raḳʷ\i would be a regular development < \I*rVq̲̇wV\i which must be a result of secondary labialisation < \I*rVmq̲̇V\i having occurred early in the history of the Khinalug language).     The EC and WC forms were compared in Trombetti 1923, Ломтатидзе 1955, Meˊszaroˊs 1934, Абдоков 1983. The comparison seems reasonable enough, but we must note that to justify it phonetically we must suppose a metathesis \I*Hrēmq̲̇ĭ\i > \I*Hmērq̲̇ĭ\i in early Proto-WC (otherwise *-m- would have been lost); it is even possible that the Adygh languages reflect the normal \I*Hrēmq̲̇ĭ\i (no nasal is preserved in PAK), while Ub. and PAT reflect the metathesized variant. Labialisation in PWC is probably assimilatory (after a labial consonant); palatalisation is regular.
81||0|||0||0||0||0||0|*t:uwVl ?|85||0||0|
82|*Hĭƛ̣̲īwV(-ɫV̄)|513|root, seed; kin|*ʔablV (~-λ-,-Ł-)|84|*hiƛ̣:ib (/-m)|58|*ƛib(u) A|49||0||0|*ƛ̣:iw(a)|86||0|*ƛ:ˊʷǝlA|146|    Cf. also HU: Urart. \Izil(i)b-\i 'seed; descendants, kin' (see Diakonoff-Starostin 1986, 48).     An interesting common NC root. An original polysemy ("root, seed" : "kin, clan") can be reconstructed, because both meanings keep recurring in different subbranches (Nakh, Avar, WC, HU). The meaning 'leaf' in PC is obviously secondary - although phonetically PC \I*ƛib(u)\i goes back directly to \I*Hĭƛ̣̲īwV,\i semantically it has merged with PNC \I*ƛ̣ăpi\i 'leaf' q.v.
83|*=irʁwV|514|to roll, turn round||0|*=iʁʷ- / *ʁʷir-|191||0|=i=hi-|354|*ʔiʁ(ʷ)-|339|*ʔirq:ʷä- (~ -ʁʷ-)|87||0||0|    Reconstructed for the PEC level. In the Western Daghestan area possible derivates from the same root are Av. (Chad.) \Imiʁiˊr\i (\Imaʁruˊ-l,\i \Imaʁraˊ-l\i) 'a roller (for rolling roofs)', PGB \I*ʁɨr-ṭǝna\i (Gunz. \Iʁɨrṭǝna,\i Bezht. Khosh. \Iʁirṭina\i) id.
84|*gīrgwV|0|circle, round|*gōga|85|*girg(ʷ)V-|132||0|k:urk:i-|66|*gulgul-/*gurgur-|95|*girgʷV-|88|gongʷaz|55|*gˊagˊa/*gˊʷagˊwa|310|    An expressive and rather universal root (cf., e.g., PK \I*mgrgod-\i 'round', IE \I*krengho-\i (WP 594, Vasmer 2,385)); it is, however, widely spread in NC languages and certainly can be reconstructed for PNC. See also \I*gwērV\i (it is possible that \I*gīrgwV\i is historically a reduplication of that root).
85|*=iʔwV|0|to say||0|*ʔVb-|202||0|ṭu-|813|*ʔV-|96|*ʔiʔIʷɨ-|89|li (?)|56||0|    Reconstructed for the PEC level. One of the verbs with laryngeal root-consonant.
86|*=agwV|515|to see|*gu- / *=ag-|87|*-Vg-|237|*=[e]g̥1̇ʷ- A|178|k:ʷa=k:ʷa-|357|*gʷ- / *=irg(ʷ)-|343|*ʔak:ʷä-|90||0||0|    Reconstructed for the PEC level. An Ablaut grade \I*=igwV\i can also be reconstructed (represented in PD \I*=irg(ʷ),\i PL: Tab. \Ii=g-;\i in a prefixless form it lost the initial syllable and is reflected as PN \I*gu-,\i PD \I*gʷ-\i).
87|*=Hārq̲̇V(n)|516|to see, to find||0||0|*=ɨ˜q-|900||0|*=ahI-|98|*ʔarq̇I:ä-|91|zaʁ-|57||0|    Reconstructed for the PEC level. Both PL and PD reflect also the Ablaut grade \I*=Hirq̲̇V(n).\i Reasons for conjugation variation (-0 and -n) are not yet clear. Cf. also Hurr. \Itiɣ-an-\i (causative) 'to show' ( < PHU *tiχ-), where t- reflects *r (see Diakonoff-Starostin 1986, 29).
88|*=iq̇wV|438|to sit; to be|*χ-aʔ-|10|*=iḳʷ-|196|*-iq̇ʷ- (~ -ɨ-)|180|=i=ḳa-|56||0|*ʔiq̇ʷä-|92||0||0|    Reconstructed for the PEC level. Correspondences are regular. The root was also present in HU, cf. the Hurr. derivate \Ik/χē-šχǝ\i 'settee, throne' (see Diakonoff-Starostin 1986, 59).
89|*=ä̆sA|202|to sit, stay|*=is-|207|*ḳ-us-|297||0||0||0|*ʔos:V-|93||0|*sǝ- (~ *š-)|89|    The verb demonstrates an old Ablaut \I*-ä̆sA\i (reflected in PN \I*-is-,\i PWC \I*sǝ-\i and probably also Ud. \Iars-\i) / \I*-os(w)V\i (reflected in PA \I*-us-,\i PL \I*ʔos:V-\i). It is interesting that the grade \I*-ĭsV\i is not attested. Correspondences are regular.     Cf. also HU: Hurr. \Iaš:-\i 'to sit', Urart. \Iaš-\i 'to sit' (caus. 'to put'), see Diakonoff-Starostin 1986, 37.
90|*χʕāmV|0|skin, cloth||0|*χ:ami (~ -o-)|609||0||0||0|*χam(a)|94||0|*t-q:amǝ|317|    The PWC form has a rare dental prefix *t- (*d-) which must have caused a not quite regular development *t-χ:- > *t-q:- (in PEC the initial consonant is certainly a fricative).     Cf. Kartv. \I*qaml-\i 'skin (of a sheep, goat)' (see Klimov 1963, 263, listing also the Abkh. form).
91|*=aχVr|1319|to fall, lie||0|*=aχ- / *=aχ:-|613||0|=aha-|368||0|*ʔaχär-|96||0|*pχa|321|    The comparison seems plausible phonetically and semantically. See Абдоков 1983, 167.
92||0|||0||0||0||0||0|*ʁIʷač̣:V ?|97||0||0|
93|*ʕwamħV|517|hyena; wolf||0|*ʕVnV (~-m-)|618||0||0||0|*ʔIam:|688||0||0|    An Av.-Lezg. isogloss; since the PL form has a very archaic shape, the PEC reconstruction seems reliable.     It seems very probable that the same root serves as part of an old (PEC) compound which can be reconstructed as \I*dVHV-ʕwamħV.\i It means some small wild animal and can be traced in following languages:     a) PN \I*dʕaʡam\i 'badger', reflected in Chech. \Idaʕam\i (RCD \Idʕama\i), Lev. \Idaʕam,\i Itumk. \Idʕām,\i Ved. \Idʕaʕam,\i Shar. \Idʕām.\i     b) Av. \Iʕondoˊ-ƛ̣:\i 'weasel' = PA \I*handa-riƛ̣:u\i (Akhv. Ratl. \Ihindareƛ̣:u,\i And. (Khaid.) \Ihanaroƛ̣:i,\i Tind. \Ihandareƛ̣:u,\i Cham. \Iannaraƛ̣:\i (Gig. \Ihannareƛ̣:u\i), God. \Iʕandiruƛ̣:i.\i This is a further compound with \I*riƛ̣:u\i 'weasel, squirrel' q.v. We must note here also a quite aberrant form Akhv. \Iši˜da-reƛ̣:u\i (all other Andian languages point uniformly to *h-), which is probably a result of further contamination with \Iši˜de-\i (obl. stem) 'bear'.     c) PTsKh \I*madu-ƛa\i 'weasel' q.v. ( < \I*madu-rVƛa\i = PA \I*handa-riƛ̣:u,\i Av. \Iʕondoƛ̣:\i).     It is hard to guess the original meaning of the first component \I*dVHV-\i (since it is very distorted phonetically in all daughter-languages); however, it can be (with deglottalisation) = PEC \I*ṭiHwV-\i 'small'; thus, the whole compound would mean something like 'small wolf'.
94|*Hƛwɨ̆mā (~-ē)|518|wind, air|*m(ɦ)oχ|137|*xʷonHi|616||0||0||0|*ƛuma (*ƛʷima)|99||0||0|    Reconstructed for the PEC level. Correspondences are regular (this is a typical example of the *HCVRV structure).
95|*=Vmc̣̲ˊVr|640|to stand, stand up|*-ātt-|98|*=ič̣:- /*ħi(r)č̣:-|193|*=arč- / *=eč-|185|=iza-n|372|*=ic:Vr-/=ilc:-|107|*ʔec:ʷär-|100||0||0|    Reconstructed for the PEC level. The root vowel is hard to reconstruct (because of complicated and rather unclear Ablaut patterns). The medial nasal resonant has caused the change *-mc̣ˊ- > *-tt- in PN and the deglottalisation in Lak., PL and PD; its labial character can be reconstructed on basis of the PL labialisation (although the resonant itself was regularly dropped).     [The root is used in several languages in a compound meaning 'stirrup', lit. 'foot'+'stand (caus.)' or '(foot)-prop'+'stand', i.e. 'a place for putting feet on'. Cf. Av. \Iħoṭo-č̣:el\i (Chad. with assimilation and distortion \Iħonƛ̣loˊč̣\i), Lak. \Ič:armuzi\i < \I*č:an-b-uzi,\i Darg. Chir. \IṭuIr-birc:an,\i Arch. \Imoλ:ol-orc:i.\i The Avar word, sometimes with severe distortions, was borrowed into many EC languages: Akhv. \Iħoṭoč̣:a,\i Cham., Inkh., Tsez., Gin. \Iħoṭoč̣el,\i Cham. Gig. \Iħeṭeč̣\i (cf. an Avar dialectal variant \Iħeṭeč̣:el\i), Gunz. \Iħonṭoč̣al,\i Bezht. Tlad. \Ihaƛso,\i Khosh. \Ihacijo\i.]
96|*=ǟGV|0|to stand up; to erect; high|*=ōʁ- / *=ēbʁ-|402|*=iʁ-|194|*=ɔχ- B|478||0||0|*jaq:V-|101||0||0|    Reconstructed for the PEC level. Correspondences are regular. The external (and internal) evidence here shows that PL *j- is an original class prefix.
97||0|||0||0||0||0||0|*χI:an:a|102||0||0|
98|*hG̲wānū (~ -ǝ̄-,-ǝ̄)|0|large flat stone|*ʕāq̇i|404|*q̇:unHV|625||0|q̇un|375||0|*q:ʷan|103||0||0|    Reconstructed for the PEC level. Correspondences are regular (the correlation PN \I*ʕāq̇i\i : PA \I*q̇:unHi\i etc. demonstrates the structure *HCVNV̄).
99|*wirǝ̄q̲̇Ă|519|sun||0|*bV(r)q̇:V|83|*boq|68|barʁ|78|*berħi|110|*wiraq:|104|ɨnq̇|65|*(mV)-rǝʁa|162|    The comparison of PTs, Lak and PL paradigms allows to reconstruct a PNC paradigm with Ablaut: \I*wirǝ̄q̲̇Ă,\i \I*wirōq̲̇V-\i (PTs \I*boq,\i \I*bɨqV-\i : Lak. \Ibarʁ,\i \Iburʁi-\i : PL \I*wiraq:,\i \I*wiroq:V-\i). The most archaic trisyllabic structure is preserved in PL and reflected in PWC; other languages reflect a contracted form \I*bVrq̲̇Ă.\i This structure, and some similarity (noted long ago) with the root \I*Hwīq̲̇ī\i 'day' (q.v.) allows to suggest that \I*wi̲rǝ̄q̇Ă\i in PNC was actually a compound of \I*hwēri\i 'day' + \I*Hwīq̲̇ī\i 'day, sun'.     Comparison of the EC and WC forms see in Trubetzkoy 1930,275; Trombetti 1923, 363 (wrongly connecting also PN \I*malχ\i 'sun' q.v.), Abdokov 1983, 92.
100||0|||0||0||0||0||0|*t:om ?|105||0||0|
101|*ɦrĕʒ̲ˊwǝ̆|0|long hair, tail||0|*roč̣:V|223|*rɔč|414|dač̣u|259|*derz|51|*ħɨrč:ʷ ( ~ *ʡ-)|106||0||0|    Reconstructed for the PEC level. The original meaning was probably "long hair, hair in tail" with the meaning "hair" preserved only in Darg. Correspondences are regular except for the vowel in PL (we would rather expect \I*ħirč:ʷ\i or \I*ħärč:ʷ\i); however, we must note that in this root most Lezghian languages lost the initial syllable, thus the PL vocalic reconstruction is not very certain.     PL has also another root, PL \I*(j)ic̣:\i (Arch. \Iic̣,\i erg. \Iic̣:i,\i Rut. \Idɨn\i < \I*(j)ic̣:ɨ-n\i) "goat's wool". It may reflect a separate PEC root which had merged with \I*ɦrĕʒˊ̲wǝ̆\i in other languages (cf. the meaning "goat's wool" in Av. Chad. and PTs).
102|*mĕlc̣̲ĭ|521|tongue|*moṭṭ|110|*mic̣:i|11|*mɨc A|7|maz|83|*mec:/*lec:mi|116|*melc:|109|mic̣|70|*bǝzˊA|176|    A common NC root with perfect correspondences. See Trubetzkoy 1930, 277;  Abdokov 1983, 78.
103||0|||0||0||0||0||0|*sars (~s:)|110||0||0|
104|*cɨ̆ɫɦV̄|522|tooth|*ca|111|*colu|12|*s:ɨl A (~s-)|9||0|*cula|117|*sɨl:|111|culoz|71|*c:A|177|    One of the most reliable comparisons put forward by Trubetzkoy (1930,277);  see also Abdokov 1983, 85.  Despite some authors (Dzhavakhishvili 1937,419, Bghazhba 1948,42, Klimov 1963,223) this root has nothing to do with the PNC  numeral "one" q.v.     The only apparent irregularity is the strength of *c: in PWC, while the PEC root  vowel is short. This is probably due to the early vowel contraction after the (regular) loss of resonant+laryngeal in PWC.
105|*daro|689|tree; conifer||0||0||0|t:ar|379||0|*t:ar|112||0||0|    A Lak-Lezg. isogloss; it is possibly an early loan from Indo-Iranian.
106||0|||0||0||0||0||0|*har ?|113||0||0|
107|*bHāṭV|523|dirt, faeces|*b(ɦ)eṭ (~-ē-)|366|*baṭa (~ o)|556|*bǝṭi|440||0|*baIṭ-|320|*p:aIṭ|647||0||0|    Reconstructed for the PEC level. An expressive root - however, with quite satisfactory correspondences.     In a few cases (cf. the root for "feather") labial initials get lost in Av. before a following laryngeal; if this is the case here, we could compare also Av. \Iħaṭ\i (gen. \Iħaṭuˊ-l\i) "clay", Chad. \Iħaṭ\i (\Iħaṭiˊ-l,\i \Iħaṭaˊ-l\i) "dung".
108|*=ĭxwV|938|to go, walk; to flow|*=aχ-|116|*=ixʷ-|636||0||0|*-ix:(ʷ)-|366|*ʔiλʷe|116||0||0|    Reconstructed for the PEC level. Correspondences are regular. Av. reflects the Av.-And. "stage II" (with loss of initial vowel), with a durative suffix -d-. The Ablaut grade \I*-ä̆xwV\i is reflected in PN \I*ʔiχ-.\i
109|*=ārχ̲V|524|far||0||0|*č̣iχ:- (~-ʁ-)|146|arχ(:)-|95|*-arχ(:)-|133|*ʔarχ:(-Vl)|117||0||0|    Reconstructed for the PEC level. Originally used with class prefixes or preverbs (cf. the expressive preverb *č̣- in PTs), although they were lost or became part of the root in some modern languages.
110||0|||0||0||0||0||0|*čimV- ?|118||0||0|
111|*mhălV- ~ *mhănV-|525|warm|*mɦal-i(n)|117||0||0||0|*wana-|102|*manV|119||0||0|    Reconstructed for the PEC level. The Nakh, Darg. and Tab. forms are hard to separate, although we have to assume different as-/dissimilations to unite them (in PD obviously \I*wana-\i < \I*mana-,\i because genuine w- is very rare in PD; and either PN \I*mɦal-\i through dissimilation < \I*mɦan-,\i or PD, PL \I*manV-\i through assimilation < \I*malV-\i). Since interaction of this kind between two neighbouring resonants is very frequent in Caucasian languages, we think that the etymology is rather probable.
112|*x̲ä̆nɦɨ̆|441|water|*χi|118|*λ:inʔi|96|*λ:ɨ˜ B|79|š:in|89|*xin|125|*λ:än:|120|xu|75||0|    Reconstructed for the PEC level. One of the most widely preserved and stable roots (having, however, left no trace in PWC). See Trubetzkoy 1922, 239.     Cf. also Hurr. \Išijǝ\i 'water, river' (if we suppose a palatalisation *x- > š- before front vowels in HU), see Diakonoff-Starostin 1986, 49.
113|*lŏʒV̄|0|bright metal||0|*rizV|651|*lɔs ( ~r-, -s:)|614||0||0|*lac:V-|123||0|*c:a (~ *cˊ:-)|343|    Although not very widely spread, the root seems quite reliable both phonetically and semantically.
114|*babV|0|mother||0|*babV (~ -o-)|654||0|baba|699|*baba-j|384|*p:ap:(a)|125||0||0|    A "nursery" word, like many other EC kinship terms; may be secondary. The non-reduplicated form \I*ʔabV\i is very seldom attested (only in Av. ebe-l and PD \I*ʔaba\i), because of a possible confusion with \I*ʔŏbV̄(jV)\i 'father' (also a nursery word, but probably used with that meaning already in PNC).
115|*qwä̆nV|324|woman|*qin|218||0|*ʁinV (~ʁ:-)|96|qami|155||0|*χon-p:V|126|χin-|81|*pǝχˊʷA|197|    One of several common NC roots meaning 'woman, female'. Its specific usage in Lak. (where \Iqami\i is phonetically a development < \I*qan-bi\i with the old plural suffix) and PL suggests that it may have been a collective noun 'women', at least, in PEC.     In PWC *p(ǝ)- is a frequent nominal prefix. We should note also some phonetic irregularities: Khin. χ- instead of expected q- (probably under influence of Az. \Iχanɨm\i 'lady' /which has nothing to do with the root in question/ or related Lezghian forms; direct borrowing from Kryz or Az. is rather improbable in this case); PL \I*χon-p:V\i instead of expected \I*χʷen-p:V\i - probably, an early reduction in a polysyllabic pluralis tantum. Otherwise the correspondences are regular, and the reconstruction seems rather secure.
