NUMBER|PROTO|PRNUM|MEANING|AVA|AVC|AND|AKV|CHM|TND|KRT|BTL|BGV|GDB|COMMENT
84|*miλi|457|1 sun 2 day|||miλi 1|miλi 1|miλ 1,2|miλi 1|miλe 1|mĩhi 1|miλ 1|miλi 1|    Cf. also Bagv. Kvan. \Imih,\i Tlond. \Imilh\i 'sun', Cham. Gig. \Imiλi\i 'sun, day', and the derived words meaning 'southern (sunny) slope of a hill': And. \Imiλĳol,\i Akhv. \Imiλadi,\i Tind. \Imiλa.\i
85|*birc̣:ʷi|70|moon|moc̣:|moc̣|borc̣:i|boc̣:o|boṣ|boc:u|borc̣:o|purc̣:u|boc̣:|purc:u|    Av. paradigm C (\Imoc̣:ró-l,\i \Imóc̣:a-l\i). The PA form reflects a former oblique base \I*bic̣:ʷ-rV-\i < \I*bimc̣:V-rV-.\i Cf. also Bagv. Tlis. \Iborc̣:,\i Cham. Gad., Gig. \Ibuc̣:u,\i Kar. Tok. \Ipurc̣:i.\i In some languages (Kar. Tok., Botl., God.) a secondary (assimilative) unvoicing (b- > p-) took place.
86|*c̣:ʷarhi|357|star|c̣:ʷa|c̣ʷa|c̣:a|c̣:ʷari|ṣā|c:aru|c̣:ʷaj|c̣:aj|c̣:ʷara|c:aji|    Av. paradigm B (\Ic̣:ʷají-l/c̣:ʷa-dú-l,\i \Ic̣:ʷa-bí\i).Cf. also Cham. Gad. \Ic̣:ā.\i
87|*rVƛ̣:V|514|earth, ground|raƛ̣:|raƛ̣|||||||||    Av. paradigm C (\Iraƛ̣:ú-l,\i \Iráƛ̣:a-l\i). Av. > Gin., Bezht., Gunz. \Iraƛ̣\i 'floor'.
88|*ʔonš:ʷi|515|1 earth 2 mud, clay|ħarš: 2||onš:i 1|ũs:i 1|ũs: 1|unš:i 1|unš:i 1|unš:i 1|unš: 1|unš:i 1|    Av. paradigm B~C (gen. \Iħarš:ú-l\i). Cf. also Av. (Usl.) \Iħaš:\i 'mud, clay', Bagv. Tlond. \Ihũš:a,\i Kar. Tok. \Iʕunš:i,\i Cham. Gig. \Iuns:i\i 'earth'.
89|*mVč:Vl (/-r)|315|1 argillaceous schist 2 sand|mič:íl 1|muceru 2|||||||||    Av. paradigm C (pl. \Imáč:la-l\i). From Av. the word was borrowed into Akhv. (\Imič:i,\i Tseg. \Imič:ir\i 'clay').
90|*sirV (~ c-)|516|sand|||sur||sira (Gig.)|||||sira|    The vowel -u- in And. is irregular (\Isur\i < \I*siru\i ?). Cf. also Cham. (U.-Gakv.) \Isera\i 'road-metal'.
91|*silV|517|1 sand 2 road gravel|sáli 1|šali 2||||selu 2|||||    Paradigm B~C (gen. salú-l). Akhv. sali 'sand' (by Magomedbekova 'clay') is certainly borrowed from Avar.
92|*kus:V ?|518|sand|||||kus:||||||    An isolated Cham. word with unclear etymology.
93|*biḳ:V ?|519|sand||||||biḱ:i|||||    An isolated Tind. root with obscure etymology.
94|*gVmVč̣V /*č̣omHu|520|1 stone 2 flint|gamáč̣ 1|gamáč̣ 1|č̣omu 2||||č̣amu 2|||č̣amu 2|   Av paradigm C (\Iganč̣í-l,\i \Igánč̣a-l\i). Cf. also And. (Khaidakov) \Ič̣ow\i 'flint'. The Av. word for 'stone' is probably an old compound, whose first member is not clear (ga-) and the second is the same as \Imač̣ú\i (\Imač̣-dá-l,\i \Imač̣á-bi\i) 'flint' (Chad. \Imoč̣ó\i). The Andian forms are metathesized (Kar. Anch. \Imač̣u\i 'flint' is obviously an Avar loanword). Old loans from Avar are Nakh forms: Chech. \Imāžar,\i Ing. \Imažar\i 'flint gun', and Arch. \Imač̣a č̣ele\i 'flint' (\Ič̣ele\i 'stone'). Av. \Igamač̣\i > Gin., Gunz. \Igamač̣\i 'big stone'.
95|*hinc̣o|521|stone|hec̣ó||hinc̣o|ĩč̣a|hĩc̣a|hinc̣a||hinc̣a|hinc̣a||    Av. paradigm B (pl. \Ihec̣á-bi\i). Cf. also Cham. Gig. \Ihinza.\i The same root can be discovered in a PA compound meaning "sledge hammer": \I*hinc̣o-q̇:ur\i (origin of the second part is unclear; -c̣- > -c̣:- in some forms as a result of assimilation) > Akhv. \Iĩc̣:aq̇:u,\i Cham. \Ihĩc̣aq̇:ʷ\i (Gig. \Ihinc̣aq̇:ur\i), Tind. \Ihinc̣aq̇:ur\i ( > Inkh. \Ihic̣aq̇ur\i); from some Andian source is borrowed (with distortion) Bezht. Tlad. \Iãzaḳ,\i Khosh. \Iazaḳ\i id.
96|*λ:inʔi|112|water|λ:im|λim|λ:en|λ:eni|λ:ī̃|λ:ẽ|λ:ẽji|λ:eni|λ:ẽ|λ:eni|    Av. paradigm C ( \Iλ:a-dá-l/λ:e-l,\i \Iλ:ína-l\i). Cf. also Akhv. Tseg. \Iλ:in,\i Bagv. Tlis. \Iλ:ẽji,\i Kar. Tok. \Iλ:in.\i
97|*c̣:a[d]i|522|rain|c̣:ad|c̣ad|c̣:a|c̣:ari|ṣā|c:ā|c̣:aj|c̣:aj||c:aji|    Av. has an irregular accent paradigm (gen. \Ic̣:áda-l,\i pl. \Ic̣:adá-l\i). Cf. also Akhv. Tseg., Tlan., Ratl. \Ic̣:a,\i Cham. Gig. \Ic̣:aj.\i The Av. and Akhv. forms contain historical suffixes (probably reflecting old obl. stems \I*c̣:adV-lV-\i and \I*c̣:adV-rV-\i - cf. the external evidence). Loss of medial *-d- in Andian languages is quite strange, but there seems to be no reason to suppose that *-d- is a suffix in all languages outside the Andian family (cf. a similar case in PA \I*la[d]i\i < PEC \I*ladV\i 'a k. of berry' q.v.).
98|*nVḳ:V|423|cloud|naḳ:|naḳ|||||||||    Paradigm C (\Inaḳ:í-l,\i \Ináḳ:a-l\i).
99|*lirčV ?|523|cloud|||lerčol||||||||    An isolated And. word with unknown etymology.
100|*ħiro|524|1 cloud 2 wind|hurí 2|huri 2|hiro (Khaid.) 1|hira 1|eʔa 1|||hira 1|||    Av. paradigm B~C (gen. huró-l); cf. also hurá-l 'rheumatism'.
101|*honƛ̣V (~ħ-,-a-,-m-)|525|1 fog 2 cloud|||||hãla 1|hinawu 2|hanƛ̣u 1,2|||hanlu 1,2|    Cf. also Cham. Gig. \Ihanna.\i The Tind. form is not quite clear (cf. also the notation in Лексика: Tind. \Ihinalu\i).
102|*c̣aʔi|38|fire|c̣a|č̣a|c̣a|č̣ari|c̣ā|c̣ā|c̣aj|c̣aj|c̣aj|c̣aji|    Av. paradigm C (\Ic̣e-l/c̣a-dúl,\i \Ic̣ája-l\i). Cf. also Cham. Gig. \Ic̣aj,\i Gad. \Ilā,\i Kar. Tok. \Ic̣e,\i Arch.,Rach. \Ic̣aji.\i The Akhv. form reflects an archaic oblique base \I*c̣ari-.\i     In most Andian languages the verb 'burn' is derived from this root (cf.  And. \Ic̣a-to-,\i Akhv. \Ič̣o-ru-,\i Cham. \Ic̣ah-,\i Tind. \Ic̣ahal-\i etc.).
103|*ḳ:ʷinhi|294|smoke|ḳ:uj|ḳʷi|ḳ:ʷoj|ḳ:ʷī̃||k:ʷĩ|ḳ:ũji (Tok.)||ḳ:ũj||    Cf. also Akhv. Tseg. \Iḳ:ũj.\i Av. paradigm A (\Iḳ:új-dul,\i \Iḳ:úja-l\i).
104|*c:uri|526|1 smoke 2 to swell|c:ur- 2 (?)||c:ur(i) 1(Gud.)||s:ur 1||c:ure 1|c:uri 1|s:ur 1||    The relation of av. c:ur- 'to swell' to Andian forms meaning 'smoke' (suggested in Гудава 1964, 100) is somewhat dubious. Cham. s:- is irregular (c:- would be expected) - a loanword?
105|*rVq:V|527|ashes|raq:ú|roqó|||||||||    Av. paradigm B (gen. \Iraq:-dá-l,\i Chad. \Iroqó-l\i).
106|*ƛ̣:iʔi|364|ashes|||ƛ̣:e|ƛ̣:e (Gudava)|ƛ̣:ē|ƛ̣:ē|ƛ̣:ej|ƛ̣:e(j)|ƛ̣:e|ƛ̣:eji|    Cf. also Cham. Gig. \Iƛ̣:ej.\i
107|*tirV|528|1 ashes, dust 2 dog's dung 3 sleet|terét 3|||tereti 1||tira 2|||||    In Av. and Akhv. the root is reduplicated. Tind. \Itira\i > Inkh. \Itira\i 'dog's dung';  Av. \Iterét\i > Arch. \Iteret\i 'sleet'.
108|*ʔVḳ:ʷVn-|544|small, little|||č̣:an-ṭi|ĩḳ:ʷa;ḳ:ana-da||ḱ:anu-|||||    Tind. > Inkh. ḳanur 'small'.
109|*močʷi (/*mičʷi)|321|wind|muč-huri (Gudava)||moči|miče (Ratl.)|muš|muču|muču|muču|mučʷ|muču|    The second part of the Av. compound is \Ihuri\i 'wind' q.v. Cf. also Cham. Gig. \Imuču.\i
110|*λʷilHV|529|wind, breeze||||λʷē / λoji|||||||    Cf. also Akhv. Tlan., Tseg. \Iλel,\i Ratl. \Iλʷel.\i The word is isolated in Akhvakh, but has reliable external parallels.
111|*rišin|146|1 year 2 sky|son 1|šon 1|rešin 1,2|reše 1,2|jehĩ 2|rehan 1,2|rešin 1,2|reši 1,2|rešĩ 1,2|rešin 1,2|    Av. paradigm C (obl. \Isaná-\i in \Isaná-jil\i 'every year', pl. \Isóna-l\i). Cf. also Akhv. Tseg., Tl., Ratl. \Irešen,\i Cham. Gig. \Ireši,\i Kar. Anch. \Iniši,\i Tok. \Irexin.\i The initial *ri- in PA is probably a result of contamination with another PEC root for 'year' (\I*swĕrho\i / \I*rĕswo\i q.v.).     The only Andian language which distinguishes between 'year' and 'sky' is Chamalal: cf. Cham. \Ijehna\i 'sky', Gig. \Irešin\i id. (opposed to Cham. \Ijehĩ,\i Gig. \Ireši\i 'year'). This may be an indication of an old opposition between \I*riši\i 'year; old' ( < \I*rĕswo\i) : \I*ri-šin\i 'year; sky' ( < \I*śwänɨ̆\i).
112|*šVr-dV|530|night|sordó|šordo|||||||||   Paradigm B ( \Isardí-l,\i \Isardá-l\i). -do is historically a suffix.
113|*riƛo|531|1 night 2 at night|reλé-da 2||reλo 1|raƛa 1|jeλa 1|reλa 1|reλa 1|reha 1|reλa 1|reλa 1|    Cf. also Bagv. Kvan. \Ireha,\i Tlond. \Irelha,\i Akhv. Tseg. \Iraλe,\i Cham. Gig. \Ireλa.\i  Tind. > Khv., Inkh. \Ireλa\i id.
114|*c̣:iri|72|name|c̣:ar|c̣ar|c̣:er|c̣:eri|ṣē|c:era|c̣:eri|c̣:eri|c̣:er|c:eri|    Av. paradigm C (\Ic̣:arú-l,\i \Ic̣:ára-l\i). Cf. also Akhv. Tseg.,Tl., Ratl. \Ic̣:e\i (without -ri probably by analogy with the obl. base \Ic̣:e-de-\i < \I*c̣:er-de-\i), Cham. Gig. \Ic̣:eri,\i Gad. \Ic̣:ej,\i Kar. Tok. \Ic̣:er.\i
115|*čVjV|124|man|či|či|||||||||    Av. paradigm B (pl. \Ičaʕí\i). The root was generally lost in Andian languages; it is, perhaps, preserved within an old compound \I*miλi-ča-\i 'young man, male' q.v.
116|*hiḳʷa|370|man, person|||heḳʷa|eḳʷa|heḳʷa|heḳʷa|heḳʷa|heḳʷa|heḳʷa|heḳʷa|    Cf. also Akhv. Tseg. \Iiḳʷa,\i Tl. \Iiḳo.\i
117|*w-ošo, *j-oši|532|1 son 2 daughter|w-as 1, j-as 2|wáša 1,jáša 2|wošo 1, joši 2|waša 1, jaše 2|waha 1, jah 2|waha 1, jaha 2|waša 1, jaše 2|waša 1, ješi 2|waša 1, jaš 2|waša 1, jaši 2|    The root has changeable class affixes (w- for the 1st class, j- for the second). Variation of final vowels (neutralized in Av., Akhv. and Tind.) can be explained by former class suffixation (parallelling class prefixation: \I*w-ošV-w\i > \Iwošo,\i \I*j-ošV-j\i > \Ijoši\i). Masculine and feminine forms are neutralized in Av., Akhv. and Tind. Note that there are also forms reflecting PA \I*b-ošV\i 'child of animals' (Akhv. \Ibaša,\i And. \Iboši\i etc.). In Akhv. there also exists a form \Ir-eša\i meaning 'heifer' (*'daughter of animal'), parallelling PL \I*ruš:\i and especially PGB \I*riže\i 'heifer'.     The word for 'woman' in And. (\Ijošḳʷa\i) is a contraction of \Ijoši+heḳʷa\i 'girl+person'.
118|*horḳ:ʷa-|371|1 woman 2 wife 3 sheep (2-3 y. old)|ʕorḳ:én 3|ʕorḳen 3|horč̣:i 2|aḳ:a 1, aḳ:i 2|haṣ 1,2|hak:uj 1|harḳ:e 2|harḳ:i 1,2|haḳ:uj 1,2|hark:i 2|    Cf. also Cham. Gig., Gad.  \Ihac̣:i\i 'woman, wife' ( = U.-Gakv. \Ihaṣ\i < \I*ho(r\i)ḳ:i < \I*ho(r)ḳ:ʷaj\i), U.-Gakv. \Ihaḳ:u-b\i 'female', Akhv. Tseg. \Iaḳ:i,\i Tl. \I aḳ:aj,\i Ratl. \Iarḳ:i\i 'woman, wife', Bagv. Tlond. \Iharḳ:oj\i id., Tind. \Ihak:u-b\i 'female', Kar. Kar. \Iharḳ:o-b,\i Tok. \Iharḳ:u-b\i id., \Iharuḳ:a\i 'wife'.         Most Andian forms go back to PA \I*horḳ:ʷa-j\i (with the 2d class -j suffix).         An old (going back at least to Proto-Av.-And.-Tsez) derivate of the same root is Av. \Iʕorḳ:én\i (par. B: \Iʕorḳ:á-dul,\i \Iʕorḳ:á-bi\i), PA \I*horḳ:i-n\i "sheep, ewe (2-3 y. old)". Besides Av. cf. And. \Ihorč̣:in,\i Akhv. \Iãḳ:e\i (Tseg. \Iaḳ:en,\i Tlan. \Iarḳ:en,\i Ratl. \Iarḳ:eni\i), Cham. \Ihaṣim\i (Gig. \Ihac̣:in\i), Tind. (Gudava) \Iharḱ:in,\i Kar. (Gudava) \Iharḳ:in,\i Bagv. (Kvan.) \Iharḳ́:in,\i God. \Ihark:in.\i Av. \Iʕorḳ:én\i > Bezht. (Khosh., Tlad.) \Iʕörḳen,\i Gunz. \Iʕorḳen.\i
119|*q:oʔi-|117|1 white 2 blue|q:áħa-b 1|qáħa-b 1|q:ʷoj 2|q:a-šura-ƛ:i|q:aj-ƛ:|qā-ƛ:a|q:aji-ƛ:|q:aj-ƛ:i|q:e-ƛ:|q:aj-ƛ:a|    Cf. also Av. lit., Chad. \Iq:aħí-la-b\i 'blue'. For the Akhv. form cf. Botl. \Iq:aj-šur\i 'blue, blueing (n.)'. Tind. or Cham. > Inkh. \Iqajƛe\i 'blue, green'.
120|*hac̣a- ( ~ *ħ-)|230|white|||hac̣a||hac̣a-b|hac̣a-b|hac̣a-b|hac̣a-ꭓa||hac̣a|    Cf. also Cham. Gad. \Ihadda-b,\i Gig. \Ihazi-l.\i
121|*-ašV ?|533|white||||-ašida|||||||    An isolated Akhv. form with obscure etymology.
122|*mVč̣V-|300|1 dark grey 2 yellow|máč̣a-b 1|mač̣a-b 2|||||||||    Av. > Gunz. \Imač̣ab\i 'yellow'.
123|*č:ak:u-|329|yellow|||cak:u|||||č:ak:u||č:ak:u|    Rather strange is c- in And. (Лексика 103 has the notation čak:u).
124|*ṭVħV|534|yellow|ṭohila-b|||ṭiho-ƛ:i|||||||    Etymology obscure.
125|*ʔa(r)ču- (~-o-)|49|1 variegated  2 yellow; green|čára-b 1||||ašu-b 2|aču-b 2|ʕačo-b 2|aču 2|ʕaču-b 2|aču 2|    Cf. also Kar. Anch. \Iarčo-b\i 'green,yellow'.
126|*c̣:VꭓV|535|1 grey 2 green|c̣:aħíla-b 1|c̣aħíla-b 2||||||||c:uꭓ:u (Zib.) 1|    Vocalism is hard to establish (insufficient evidence); -ꭓ:- in God. is probably a result of assimilation.
127|*ꭓ:ʷočV- ?|536|green|||ꭓ:ʷoči||||||||    An isolated And. root with unclear etymology.
128|*mič̣:V|1320|nettle|mič̣:|mic̣|mič̣:i|mic̣:i|miṣ|mič:a|mič̣:i||mič̣:a|mič:a|    Av. paradigm A (\Imíč̣:i-l;\i but Chad. \Imic̣í-l\i). Cf. also Cham. Gad. \Imic̣:u.\i
129|*bici ( ~ -s-)|433|1 grass 2 green|||||besi-ƛ: 2|||||besi 1|
130|*č:ič:V-|201|red||||||č:eč:u-b|||š:iš:u-b||    Cf. also Bagv. Tlis. \Ič:ič:o-b.\i
131|*-ič̣V(r)-|11|black|č̣eʕéra-b|č̣eʕera-b|-eč̣e-dir|-ač̣i-da|-eč̣a-ṭu-b|-eč̣a-ṭu-b|-eč̣e-ṭi-rob|-eč̣er|-eč̣e-ṭu-b|-eč̣er|    The most archaic forms are Botl. \I-eč̣er\i and God. \I-eč̣er\i ( = Av. \Ič̣eʕer-\i). Other languages reflect PA \I*-ič̣Vr-dV-\i (with an added adjectival suffix) > \I*-ič̣VdV-;\i in some languages (Cham., Tind., Kar., Bagv.) an assimilative glottalization (d > ṭ after č̣) took place.
132|*girg(ʷ)V-|84|round|gurgína-b|gurgína-b|gurguma|gĩga-da|||gergamo-|||girǵamu-|    The root is normally supplied with suffixes (-n- or -m-); cf. also Kar. Anch. \Igirgin\i 'wheel', God. \Igurgu-š:il\i 'circle, ring, wheel', And. \Igirgin\i 'roof roller; skein, hank'.
133|*ꭓ:ar- ?|539|round|||||ꭓ:aradda||||||    The form is a participle building from ꭓ:ar-ad- 'to turn round, encircle, walk round'; etymology unclear (see, however, under WC *ꭓʷərV).
134|*ḳʷarḳV-|540|1 clew (of threads) 2 whirligig, humming-top|||ḳaḳu 2|ḳãḳa 1|č̣ač̣an (Gig.) 1|ḳ́eḳ́an 1|ḳarḳan 1||||    Cf. also Akhv. Tseg., Tlan. \Iḳaḳan,\i Ratl. \Iḳʷanḳʷa.\i The vowel -e- in Tind. is unclear (conditioned by analogy with \Iḳ́eḳ́ama\i 'egg' ?); cf. (with labialisation) the derivate \Iḳorḳa-lu-b\i "round". Perhaps we should also compare Cham. \Iḳuḳu-ra,\i Gig. \Iḳuḳu\i 'a bunch of sheaves (in the field)'.
135|*=iꭓ:Vl-|66|long|ꭓ:alá-ta-b|ꭓalá-da-b|=eꭓ:ula|=aꭓ:a-da|=eꭓ:ila-b|=eꭓ:ala-b|=eꭓ:ela-b|=eꭓ:ila|=eꭓ:ela-|=eꭓ:ila|    In some languages (Akhv., Av.) the root is supplied with a dental adjectival suffix (Akhv. \I-aꭓ:a-da\i < \I*-aꭓ:al-da\i). The second root vowel is impossible to reconstruct (because of its weak unstressed position).
136|*q̇:Vq̇:V ?|541|short|q̇:oq̇:a-b|q̇uq̇a-b|||||||||    An isolated Avar word with unclear etymology.
137|*=ičo- / *=očo-|380|short|||=očo|=ača-da|=ašaḳu-b|=ečaḳu-b|=ačaḳo-b|=ečeḳi|=ačaḳu-b|=ačeḳi|    The original form must be probably reconstructed as *=ičo- (cf. Tind. \I=eča-\i) with vowel assimilation in most languages. Most Andian (except And. and Akhv.) languages reflect a suffixed form \I*=ičo-ḳV-.\i Cf. also Akhv. Tseg. \I=ača-b\i 'tight, narrow'.
138|*hinḳa- (~-o)|382|big|ḳudíja-b|ḳudá-b||ĩḳa||hiḳ́a-b|heḳa-m||||   The Av. form is reduced from \I*Hiḳu-da-/*Hiḳu-dĳa-\i (with a frequent adjectival suffix). Cf. also Akhv. Tseg., Tl. \Iinḳa-ħe-da\i 'much', Kar. Arch. \Iħeḳa-m,\i Tok. \Ihinḳ́a-ħa-b\i 'big'.
139|*-ič̣uꭓa (~-q-)|5|1 big  2 large, big (adv.) 3 high, tall|č̣aħá- 2|č̣áħa-b 3|-eč̣uꭓa 1||||hič̣uꭓa-b (Anch) 1|-eč̣uꭓa 1||-eč̣uꭓa 1|    Not quite clear is the initial h- in Kar.; otherwise the correspondences are quite regular.
140|*=išV-|381|1 big 2 large 3 thick|||=iši 3|=iše-da-be 2|gošha-b 1||||||    The Cham. form goes back to \I*gʷ-išV-\i with an obscure (expressive?) prefix; the reflex -šh- is also exceptional (normally *-š- > Cham. -h-). Cf. also Akhv. Tseg., Tlan. \I=ešel-da-b,\i Ratl. \I=išel-da-b\i 'large'; Cham. Gig. \I=iši\i 'big' (used only in plural).
141|*daha- (~ o)|385|1 small 2 few|dáha-b 2|dáha-b 1,2|||dah 2|dahar 2|||||    Avar > Tsez. \Idahaw,\i Gin. \Idah\i 'few', Bezht., Gunz. \Idahab\i id.
142|*miḳi / *moḳi|330|1 small 2 child|||mič̣i 1, moč̣i 2|miḳe 2|miḳu-b 1, mač̣ 2|muḳutu-1,maḳ́a2|miḳi-s:1,maḳe 2|maḳi 2|maḳ 2|miḳi-si 1,maḳi2|    For PA we can reconstruct \I*miḳi-'small'\i (cf. also Kar. Tok. \Imuḳu-b,\i L.-Enkh. \Imeḳo-b,\i dial. \Imiḳo-b,\i Cham. Gad. \Imiḳa-b\i) and \I*moḳi\i 'child'. These forms probably reflect old Ablaut.         The same root was probably used in PA to denote 'small finger' (cf. the meanings in PTs) later developped to 'finger' in some languages: Tind. \Imiḳ́a,\i Akhv. \Iũḳa,\i Tseg. \Iĩḳʷa\i ( < \I*ʔi-miḳV\i with a laryngeal prefix occurring also in some other body part names), Cham. miḳ- in \Imiḳ-s:il\i 'finger-ring' ( = Tind. \Imiḳ́i-š:al\i).
143|*=iƛ̣ora|121|thin|ṭeréna-b|ṭeréna-b|=elora|=aƛ̣ara-da|=ela-b|=erala-b|=eƛ̣ara-b|=eʔera|=ela-b|=elera-|    Cf. also Akhv. Tseg., Tl. \I=aṭara-b,\i Cham. Gig. \I=ellara-b,\i Kar. Rach., Anch. \I=elʔara-b,\i Chab. \I=eṭara-b,\i Tok. \I=ilʔara-b.\i
144|*ħoḳV-|305|heavy|báḳa-b|baḳa-b|hoḳo-ru|hoḳo-ra-da|=aḳu-ḳa-b|haḳuba-b|haḳiba-b|haḳuba|haḳ́iba-b|haḳuma|    The root is normally extended by suffixes (-rV, -ḳV, -bV). Cf. also Cham. Gig. \Ihaḳuba-b,\i Bagv. Tlis. \Iharč̣a-b,\i Kar. Tok. \Iharḳiba-b\i (-r- in the last two forms is obviously secondary).
145|*=iq̇:ʷV-|29|dry|=aq̇:ʷarab|=uq̇ara-b|=eq̇:u-b|=uq̇:ada|=eq̇:u-b|=eq̇:u-b|=eq̇:u-b|||=eq̇:uq̇:i-b|    The word for 'dry' is a participle of the verbal root \I*=iq̇:ʷV-\i "to dry (up)", cf. Av. \I=aq̇:ʷá-,\i Akhv. \I=uq̇:o-,\i Kar. \I=eq̇:ʷa-,\i Botl. \I=eq̇:ʷ-,\i Tind. \I=eq̇:ʷ-,\i \I=eq̇:uq̇:-,\i God. \I=eq̇:uq̇:-,\i Cham. \I=eq̇:uq̇:-\i (the last three forms are reduplicated).
146|*=ic̣-|44|1 full 2 to fill|c̣ura-b 1|č̣ura-b 1|=uc̣i-b 1|=eč̣e-da 1|=ic̣i-dda 1|=ec̣u-b 1|=ec̣- 2|hi-c̣- 2|=ec̣- 2|=ec̣i-bu 1|    The word for "full" is actually a participle of the verb \I*=ic̣-\i 'to get full, satiated', cf. Av. \Ic̣e-\i (with Ablaut: \Iʕorc̣-\i "be satiated"), Chad. \Ič̣e-,\i Akhv. \I=eč̣-\i (Tseg., Tlan. \I=ič̣-),\i And. \I=ic̣-,\i Cham. \I=ic̣-,\i Tind. \I=ec̣-,\i God. \I=ec̣-.\i
147|*=iꭓVn-|334|1 warm 2 to kindle 3 to become heated|ꭓína-b 1|ꭓéna-b 1||=iꭓ(ũ) 2||=iꭓ- 3|||||    In Av. Chad. ħ- would be expected normally; ꭓ- should probably be explained by the influence of literary Avar. An Ablaut variant of the same root is PA \I*ʔoꭓ(ʷ)Vn-\i 'to boil, seethe' > And. \Ioꭓʷon-\i (the MSU recording is \Ioꭓ:ʷon-,\i which is probably a misspelling), Akhv. \Iãꭓun-,\i Cham. \Iaꭓʷa-ta-d-\i (Gig. \Iaꭓaꭓ-\i), Kar. \Iahan-\i (Anch. \Iãꭓuꭓʷ-,\i Tok. \Iũhũh-\i), God. \Iãwuꭓ-.\i
148|*ʔons:a-|797|warm|||ons:a|ãs:a-da|ãs:a-b|ãs:a-b|ans:a-b|ans:a|ans:a-b|ans:a|
149|*c̣:VrV|332|ice|c̣:er|c̣er|||||||||    Paradigm C (\Ic̣:oró-l,\i \Ic̣:úr-dul,\i \Ic̣:éra-l\i). Cf. also the derived adjective "cold": Av. lit. \Ic̣:oróra-b,\i Chad. \Ic̣ororab.\i     The word is isolated in Av., but has probable external correspondences.
150|*soʔV-|546|1 hoar-frost 2 cold (adj.) 3 cold (n.)|sawú 1|šʷi 1|so-do 2||saw 2|sā-b 2||||saji-λi 3|    Av. paradigm B (gen. \Isawú-dul\i).
151|*zari|547|ice, hail|||zar|žari|zā|zari|zare|zari|zar|zari|    Cf. also Cham. Gig. \Izari.\i In Akhv. the same root served as a basis for the noun and adjective "cold": \I*zar-λʷi\i / \I*zar-hʷi\i >  North. Akhv. \Ižaho,\i \Ižahu-dabe,\i Tseg. \Ižoλer,\i \Ižoλa-b,\i Tlan. \Ižʷarλer,\i \Ižʷarλa-b,\i Ratl. \Ižaλʷer,\i \Ižaλu-dab.\i
152|*HVnč̣-|219|bite|ħánč̣-||||||||||    The root is also present in Akhv. (Tseg., Tlan. \Iħanč̣-\i), where it is obviously borrowed from Avar (judging from initial ħ-).
153|*c̣inhV-|73|new|c̣íja-b|č̣ĳa-b|c̣iw|č̣ĩ-da|c̣ĩw|c̣ĩhu-b|c̣ĳo-m|c̣ĩu|c̣inu-b|c̣ĩju|    Cf. also Kar. Arch., Anch. \Ic̣ino-b,\i Tok. \Ic̣inu-b.\i
154|*ci-|2314|one|co|šo|se-w|če-be|se-b|se-b|ce-b|se-b / ce-b|se-b / ce-b|se-b|    Some languages have irregularly preserved the affricate *c- (Kar., Botl., Bagv.; cf. also And. Kvankh., Zil. \Ice-b\i). This should be probably explained by Avar influence.         Derived from the same root is the PA adverb \I*ca-ru\i / \I*ca-nu\i (~-o-) 'together' (Kar. \Isa-ru,\i God. \Isa-nu,\i Cham. \Isa-n\i).
155|*ḳi-|2315|two|ḳi-go|ḳi-gu|č̣e-gu|ḳe-da|eč̣i-da|ḳ́e-ja|ḳe-da|ḳe-da|ḳ́e-ra|ḳ́e-da|    Cf. also Сham. Gig. \Ič̣e-da,\i Bagv. Tlis. \Ič̣e-da.\i
156|*di-n|2283|I (1st p. pr.)|dun|dun|din|dene|dī̃|de|den|den(i)|dẽ|den|
157|*ʔiš:i|2287|we (excl.)|niž|niž|iš:il|is:i|is:i|iš:a|iš:i|iš:i|iš:i|iš:i|
158|*mi-n|2285|thou (2d p. pr.)|mun|mun|min|mene|mī|me|men|min|mẽ|min|    Av. \Imu-n\i probably < \I*mi-n\i (or \I*me-n\i) with labial assimilation.
159|*š:V|2296|what, who|š:i-|si-|||||||||    The root is preserved only in Av. (with changing class suffixes: 1st class - \Iš:i-w,\i 2d - \Iš:i-j,\i 3d - \Iš:i-b,\i pl. \Iš:a-l\i), but has good external parallels.
160|*ʔi-mV|2301|who (interrog. pronoun)|||emi-||im|ima-la|heme|ẽ(w)|em||    The stem \I*ʔi-mV-\i is actually a compound of the interrogative stem \I*ʔi-\i (q.v.) which is also used independently, and the bound stem \I*-mV-,\i used only in the 1st and 2d classes.
161|*ču-, *čo-mi|2299|1 who, what  2 how many|čan 2|čam 2|čom 2|ču- 1, čami 2|šā̃ 2|čʷami-la 2|čam 2|čamu 2|čamu 2|čamu 2|    In the meaning 'who, what' the root has been preserved only in Akhvakh (with changeable class suffixes); all other languages reflect only the old derivate \I*čo-mi\i (or, perhaps, \I*čʷo-mi,\i cf. the Tind. form) 'how many'.     In Akhvakh the root serves also for building quantor pronouns (\Ičubi-da,\i \Ičuga-dala\i 'all' etc.).
