"NUMBER","PROTO","PRNUM","MEANING","CEZ","GIN","KHV","INH","BZT","GNZ","COMMENT"
110,"*ḳɔṭV-",314,"short","ḳoṭono","ḳoṭondĳu","ḳojtu (Radzhibov)","ḳottu",,,"    PTsKh \I*ḳoṭV-\i (with various suffixation and sometimes with dissimilative deglottalization)."
111,"*=Ṽš:V",380,"1 short 2 thin 3 narrow","niši, nišju 1,2","niššu 2","niššü 2 (Radzhibov)","niššu 2,3","=ašo 1, šušĳo 2","=ɔ̃šu 1, šũššu2","    PTsKh \I*n[e]š(-ĳu),\i PGB \I*=ɔ̃šu\i (cf. also Khosh. \I=ä̃ššö,\i \Išüšĳö\i). The meaning ""thin"" in PGB is expressed by a reduplication \I*šũš(-ĳu).\i Vocalic correlations between all these variants are somewhat unclear (traces of Ablaut?)."
112,"*=iIžV (~-ž:-) B",381,"1 big  2 many","=eiže 1","=eiži 1",,"ez-za-ʕan 2",,"=iže-q̇ 2","    PTsKh \I*=ɨIžV.\i"
113,"*=[u]q̇V",382,"1 big 2 many","=aq̇iu 2",,"=uq̇- 1","=uq̇iq̇iu 1","=üq̇ö 1","=ɨq̇u 1","    PTsKh \I*=uq̇-;\i PGB \I*=[u]q̇u\i (unclear is the -ɨ- vowel in Gunz.)."
114,"*=iʁ(:)V",383,"small","=eʁe",,"iʁa(j) (Radzhibov)",,,,"    PTsKh \I*=iʁV.\i"
115,"*=igʷV (~-ɨ-,-ə-)",384,"small",,"=egʷej",,,,,"    An isolated Gin. form, but with possible external correspondences."
116,"*m[i]ḳV-",330,"1 small, little 2 bear-cub",,,,"mic̣ḳare 1","ḳomori 2","meḳori 2","    An expressive root with somewhat irregular correspondences (especially strange is the addition of -c̣- in Inkh.); but the basic shape and the meaning small may be reconstructed securely enough."
117,"*boLo A",788,"1 neck 2 necklace","buλi (Radzhibov)",,"buλuba (Radzhibov)","bulu 2","boλo 1","bolo 1","    PTsKh \I*buLV;\i PGB \I*boLo.\i There are no secure external parallels (Cham. Gig. \Ibelun\i 'neck, collar' does not correspond regularly and since it is quite isolated within Andian, may be an old loan)."
118,"*=ihV",385,"small, little",,"ehe-nnu",,,"=üwerö (tlad.)","=ĳeru","    PGB \I*-iʔV-ru.\i"
119,"*ꭓ:ɔ( ̃)ḳa /*ꭓ:a( ̃)ḳɔ",391,"dumpling (khinkal)","ħaḳo","ꭓoḳo","ꭓiḳo (Radzhibov)",,"ꭓoḳa (Tlad.,Khosh.)",,"    Tsez. ħ- is irregular (ꭓ- would be expected)."
120,"*dada-",387,"thin","dadaru","dadaru",,,,,"    PTsKh *dada-ru."
121,"*ƛamV-",212,"thin, narrow",,,,,"ƛämmö","ƛamu","    PGB \I*ƛam-.\i"
122,"*zɨzV- ?",388,"thin",,,"zejzu (Radzhibov)","zɨzzu",,,"   PTsKh \I*zɨz-ĳu.\i"
123,"*=ɔq̇(u) A",305,"heavy","ʕoq̇Iju","=oq̇u",,,"äq̇ĳö","=oq̇q̇u","    PTsKh \I*=oq̇I(u),\i PGB \I*-ɔq̇V-ju\i (-o- in Gunz. is either a result of misspelling instead of ɔ, or a result of assimilation to the following u). Cf. also a  PTs derivate \I*r-ɔq̇\i ""burden"" > Tsez. \Iroq̇I,\i Gin. \Iroq̇,\i Gunz. \Iroq̇,\i Bezht. Tlad. \Iräq̇.\i"
124,"*-ɨṭV ?",389,"heavy",,,"ujṭu (Radzhibov)","-ɨṭṭu",,,"    An isolated Inkh. word with obscure etymology."
125,"*qoqV- A",29,"dry","quqqǟsi","quqes","quqqa (Radzhibov)","quqqu","qoqoro","qoqoru","    The word is actually a gerund of the verb \I*qoqV-\i A 'to dry up, get dry', cf.Tsez. \Iquqa\i id. PTsKh \I*quqV-,\i PGB \I*qoqo-.\i"
126,"*=[ə]c̣-",44,"full","=ic̣c̣äsi","=ič̣iš","=ejc̣u","=ec̣c̣u","oc̣iro (Tlad.)","=əc̣əru","    All forms are verbal adjectives from the verb PTs \I*=[ə]c̣-\i 'be full, get filled up', cf. PTsKh \I*=ec̣-\i >Tsez. \I=ic̣-,\i Gin. \I=ič̣-,\i Khv. (caus.) \I=ec̣-ꭓ-,\i PGB \I*=əc̣-\i > Bezht. \I=oc̣-,\i Gunz. \I=əc̣-.\i The vowel correspondence between PTsKh *-e- and PGB *-ə- is irregular."
127,"*tõtV- A",390,"1 soft 2 warm","tatanu 2",,"tutunu 1",,"totilo 1","tõdil 1","    PTsKh \I*tuta-nu\i (with vowel assimilations), PGB \I*tõti-l(u\i)."
128,"*=ɨꭓ:V- A",334,"warm",,"=eꭓƛ̣es","=eꭓꭓu","=ɨꭓꭓu","iꭓĳo","=ɨꭓꭓu","    PTsKh \I*=ɨꭓ-,\i PGB \I*=ɨꭓ-.\i This is a verbal stem, cf. Gunz. \I=ɨꭓ-la\i 'to warm up, get warm'."
129,"*=ɔč̣V A",331,"cold","=oč̣ju","=oč̣č̣u",,,"äč̣ĳo","=ɔč̣č̣u","    PTsKh \I*-oč̣-,\i PGB \I*-ɔč̣-.\i There exists also a noun PTs \I*rɔč̣V\i 'cold' ( > Tsez. \Iroč̣i,\i Gin. \Iroč̣i,\i Bezht. \Ijač̣o,\i Gunz. \Irɔč̣u\i), which may be treated as a derivate."
130,"*=oc̣V A (~-u-)",332,"cold",,,"=ujc̣-","=uc̣c̣u",,,"    PTsKh \I*-uc̣-ĳu.\i"
131,"*-ɨc̣Vn- A",73,"new","ec̣no","ec̣endĳu","ec̣nu","ɨc̣nu","ic̣ĳo","ɨ̃c̣c̣u","    PTsKh \I*ʔɨc̣(ɨ)n-,\i PGB \I*-ɨ̃c̣-\i (\I*-ɨc̣n-\i)."
132,"*hə̃s:",2314,"one","sis","hes","has","hos","hõs","hə̃s","    The PTs paradigm: \I*hə̃s:,\i obl. \I*s:ɨ-.\i The oblique base is preserved in Gunz. \Isɨ-d,\i Bezht. \Isi-d;\i it is also reflected in the Tsez form sis which is a contamination of former direct and oblique bases. Cf. also Gunz. \Ise-n\i 'everything', \Ise-se\i 'some', very probably derived from the same root."
133,"*q̇ʷɨ-nV A",2315,"two","q̇Iano","q̇ono","q̇Iʷene","q̇Iune","q̇ona","q̇anu","    PTsKh \I*q̇IʷɨnV,\i PGB \I*q̇/o/nV.\i The vowel reconstruction is not very secure (probably because of the joint effect of labialisation and pharyngealization)."
134,"*də",2283,"I (1st ps. pronoun)","di","de","da","do","do","də","    The paradigm of PTs 1st person pronoun is dir. (nom., erg.) \I*də,\i obl. \I*di-:\i cf. Tsez. \Idi,\i \Ide-,\i Gin. \Ide,\i \Idi-\i (\I*de-ji-\i), Inkh. \Ido,\i \Idi-,\i Gunz. \Idə,\i \Idi-,\i Bezht. \Ido,\i \Idi-.\i"
135,"*ilV A",2288,"we (1st ps. pl. pronoun)","eli","eli","ila","ilo","ile","ile","    PTsKh \I*ʔilə,\i PGB \I*ʔile.\i There had certainly existed an obl. base \I*ʔilu-\i (cf. Gunz. \Iilu-,\i Bezht. \Iilo-,\i Tsez. \Ielu-,\i Gin. \Ielu-,\i Inkh. \Iilo-\i); probably secondary is the distinction between nom. and erg. in Inkh. \I(ilo\i - \Iile\i) and Tsez. (\Ieli\i - \Iela\i), although the details are yet to be found out."
136,"*mə",2285,"thou (2d p. sing. pronoun)","mi","me","ma","mo","mi","mə","    PTsKh \I*mə,\i PGB \I*m/ə/\i (the reflex -i in Bezht. is irregular). This is only the direct base; the oblique one was formed in PTs suppletively from another root."
137,"*š:i- (~š-)",2296,"1 what 2 who","šo-w, še-b 1,2","se 1",,,"šižo 1","šĳo 1","    PTsKh \I*ši-,\i PGB \I*ši-jo\i (in Bezht. Tlad. -ž- is a result of assimilation, cf. Khosh. \Išĳo-d\i). A derived word (from \Išeb\i 'what') is Tsez. \Išebin\i 'thing'."
138,"*λ:u- /*λ:i-",2294,"an interrogative stem","λi-nas","λu","λu (Radzhibov)","λu","λi-ni",,"    PTsKh \I*λu\i 'who, what' (Inkh. \Iλu\i id., Gin. \Iλu\i 'who'); the stem \I*λe-\i was used in some oblique forms, cf.Tsez. \Iλi-nas,\i \Iλi-nar\i 'why', Gin. \Iλi-ni\i erg. 'what'. Bezht. has \Iλō\i (erg.) 'who', \Iλi-ni\i (erg.) 'what'."
139,"*=iƛ̣-",24,"kill",,,,,"=iƛ̣-","=iƛ̣-","   PGB \I*-iƛ̣-.\i With Ablaut cf. perhaps also Bezht. (Tlad.) \I=äƛ̣-el-\i 'to beat, to hit' (in Tlad. the root \I=iƛ̣-,\i besides 'to kill' means also 'to throw')."
140,"*s:V- (~s-,z-)",2298,"an interrogative stem",,,,,"suḳo","suḳu","    The root is present only in PGB (NB: Gin. \Ise\i 'what' comes from \I*š:i\i). The direct base of it had been influenced by PGB \I*suḳu\i 'man, person' and coincided with it phonetically. The pure stem is, however, preserved in the oblique base Gunz. \Isi-\i ('what'), \Ise-\i ('who') (cf. also \Isu-rba\i 'why'). Cf. also the derived Bezht. pronoun \Isuḳo-nazu\i 'all' (""whoever"")."
141,"*-m",2272,"a negative particle","-n-č̣","-go-m","-b-č̣","-b-",,,"    PTsKh \I*-m\i (only in compounds with other particles; Tsez. -n- in \I-nč̣-\i is a result of assimilation). Reasons for denasalisation in Khvarsh. and Inkh. are not quite clear."
142,"*ʔaš- ?",393,"many","aši (Radzhibov)","ʕaši",,,,,"   PTsKh *ʔaš-."
143,"*-at- / *-aṭ-",2270,"a negative particle",,,,"-ate",,"-aṭ-","    An irregular correspondence (ṭ/t) is explained by the grammatical nature of the morph. Cf. also Gunz. -iṭ- suffix of negative past gerund (showing that the vowel here does not belong to the negative affix itself)."
144,"*teli",394,"many",,,,,"teli","telli","    PGB *teli (with expressive gemination in Gunz.)."
145,"*miqV",395,"far","maqIi","meqi","miqe","miqe",,,"    PTsKh \I*miqe.\i"
146,"*č̣iꭓ:- (~-ʁ-)",109,"far",,,,,"c̣iꭓo","č̣iꭓu","   Cf. also Tlad. \Ič̣iꭓö\i id."
147,"*ʔəgV (~-ɨ-)",396,"near","igo","igo","agol","oge",,,"    PTsKh \I*ʔəgV\i (the reason for -i- instead of -e- in Gin. is not clear)."
148,"*[h]ĩč-",397,"near",,,,,"hica","ĩččo","    PGB *[h]ĩč- (cf. also Bezht. Tlad. hĩččä)."
149,"*gujL(:)- ?",398,"all",,,"gojλač","gulluč",,,"    PTsKh \I*gujLVč;\i derivation unclear."
150,"*muʁ:u B (~-ʁ-)",303,"udder","meʁu","ʁomo","meʁu (Radzhibov)","moʁu",,,"    PTsKh \I*mu̲ʁu;\i the Gin. form is metathesized."
151,"*ʔɨ̃q- ?",399,"all",,,,,,"ɨ̃qɔru","    An isolated Gunz. word; etymology unknown."
152,"*žV (~*ž:-)",2306,"a demonstrative pronoun","žo",,"ži-du (Radzhibov)","ži-du",,,"    The PTsKh paradigm may be reconstructed as \I*žo,\i \I*ži-,\i cf. Tsez. \Ižo\i (nom./erg.) 'that (far away but seen)', pl. \Iže-di.\i In Inkh. only the plural form \Iži-du\i 'those, they' is preserved."
153,"*ha-/*ho-",2313,"a deictic stem","ho-w-da","ha-go","a-w-du (Radzhibov)","a-we-du,o-we-nu","hu-gi,ho-go","ə-g, o-gu","    The stem is used only in conjunction with other demonstrative pronouns. Variants \I*ha-/*ho-/*ʔa-/*ʔo-\i are present, and although they may go back to different EC stems (with *h- and with *ʔ-) it is very hard to separate them from each other within Tsezian. A front vowel counterpart \I*ʔe-\i \I(ʔẽ-)\i is present in PTs \I*ʔẽ-du\i 'inside' (Tsez. \Iidu\i 'at home', Khvarsh. \Iĩdu\i 'inside', Bezht. Tlad. \Iẽdö,\i Khosh. \Iedo,\i Gunz. \Iẽdu\i) = PA \I*ħi-nV.\i"
154,"*cõ/B/-ṭɔ̃/A/",972,"navel","co-ṭori","či-ṭo","ce-ṭona (Radzhibov)","ce-ṭon","co-ṭaro","co-ṭor","    The word is originally a compound (""navel""+""nipple,pimple""). The PTs paradigm may be reconstructed as \I*cõ-ṭɔ̃,\i \I*cõ-ṭɔrə-\i > PTsKh \I*cö-ṭõ,\i \I*cö-ṭoRə-,\i PGB \I*ṭɔr(ə)\i (direct base from oblique)."
155,"*gV",2307,"a demonstrative stem",,"ha-go",,,"hu-gi,ho-go","ə-g, o-gu","    The root \I*gV\i is used only for far deixis and only in conjunction with other demonstrative stems. It has lost the original meaning 'that (below)', which is perhaps preserved in some adverbs: Inkh. \Igi-λ\i 'below; inside', Gin. \Ige-λ\i / \Ige-ƛ\i 'below'."
156,"*dV",2304,"a demonstrative stem","je-da","ha-do","i-du (Radzhibov)","i-du","hu-di, ho-do","bə-d","    The stem is opposed to \I*gV\i and is used normally (in compounds with other demonstrative particles) for the near deixis."
157,"*bV",2308,"a demonstrative stem",,"hi-ba-go",,,,"bə-d","    Used (in conjunction with other deictic particles) for far deixis in Ginukh, but for near deixis in Gunzib."
158,"*heIn- / *heIl-",32,"to bite","ħan-","hil-","ħa:n-",,,,"    PTsKh \I*heIn-\i / \I*heIl-\i (with expressive vowel length in Khvarsh.)."
159,"*zʷɨrV A",1474,"an alcoholic beverage (beer)","zeru / zero","zere","zila (Radzhibov)","zɨlo","suro (Khosh.)","suru (Gunz.)","    PTsKh \I*zɨRV;\i PGB \I*suru.\i"
160,"*=eḳʷ- B",422,"to burn","=iḳʷ-","=eḳʷ-","=aḳʷ-","=oḳʷ-","=eḳ-","=eḳeḳ-","    PTsKh \I*=əḳʷ-,\i PGB \I*=eḳ-.\i The Gunz. form contains a causative suffix (cf. also \I=eḳ-\i 'to burn (intr.)', \I=eḳ-eru\i 'hot'. In other languages it is both transitive and intransitive."
161,"*=uꭓ:ʷ- B",401,"to come","neꭓw-","noꭓ-","=iꭓw-","=uꭓ-",,,"    PTsKh \I*=u̲ꭓʷ-.\i"
162,"*=[ã]q̇-",1846,"1 to come  2 to come, go","=aj- 1","=aq̇- 1",,,"=õq̇- 2","=ãq̇- 1","    PTsKh \I*=a( ̃)q̇-\i, PGB \I*-[ã]q̇-.\i The vocalism is not quite clear."
163,"*=iꭓʷ-",336,"to die","=eꭓʷ-","=uh-","=ih-","=uh-","=uʁ-","=uh-","    PTsKh \I*=iꭓ̥1̇ʷ-\i (~-ɨ-), PGB \I*=uʁ-.\i Cf. also the PTs causative ('to kill') \I*=iꭓ̥1̇ʷ-Vl-\i (Tsez. \I=eꭓur-,\i Gin. \I=uher-,\i Bezht. \I=uʁol-,\i Gunz. \I=uhl-\i)."
164,"*ꭓ:i-ƛʷ-",27,"to drink","ħaƛʷ-",,"ꭓiƛ-","ꭓuƛ-","ꭓuƛ-","ꭓuƛ-","    PTsKh \I*ꭓiƛʷ-\i (with an irregular development *ꭓ > ħ in Tsez.), PGB \I*ꭓuƛ-.\i Historically a compound (the second part goes back to the verb ""to say""). Cf. in Bezht. \Iꭓu-ƛ-\i 'to drink', \Iꭓu-rah-\i 'to drink (often)', suggesting that the original form was \I*ꭓ:ʷi-,\i with a later transfer of labialisation: \I*ꭓ:ʷi-ƛ-\i > \I*ꭓ:i-ƛʷ-.\i"
165,"*ga- ?",403,"drink",,"ga-",,,,,"    An isolated Ginukh form of obscure origin."
166,"*kək- (~-e-,-ɨ-)",276,"1 to eat 2 to feed","kik- 1,2","kik-aj- 2","kak- 1","kok- 1",,,"    PTsKh \I*kək-\i (an historical reduplication)."
167,"*=ac̣-",275,"to eat","=ac̣-","=ac̣-","=ac̣-","=ac̣-",,,"    PTsKh \I*=ac̣-.\i"
168,"*=ũq- (~*-ĩqʷ-)",277,"to eat",,,,,"=üq-","=ũq-","    PGB \I*=ũq-.\i"
169,"*=etʷ- A",404,"to fly",,,"=etʷ-","=etʷ-",,,"    PTsKh \I*=etʷ-\i (may be borrowed from Andian)."
170,"*ʔeḳ-",405,"to go, walk","iḳ-",,,,,,"    Attested only in Tsez., but having probable external parallels."
171,"*-ɨƛ- A",45,"give","neƛ-,teƛ-","neƛ-,toƛ-","tiƛ-","tɨƛ-,iƛ-,cɨƛ-","niƛ-","nɨƛ-","    PTsKh \I*-ɨƛ-\i (with preverbs: *n-,*t-,*c-, but also without them in the Ablaut form \I*ʔiƛ-\i; forms with *n- mean 'to give (to the 1st p.)', forms with *t- - 'to give (to the 3d p.)'); PGB \I*n-ɨƛ-.\i"
172,"*tuqʷ- B",406,"to hear","teq-","toq-","tiqʷ-","tuq-","tuq-",,"    PTsKh *tu̲qʷ-."
173,"*nɨd- ?",407,"hear",,,,,,"nɨd-","    Isolated in Gunz. with no obvious etymology."
174,"*=iq̇-",408,"to know","ĳ-","=üq̇-","=iq̇-","=iq̇i-","=iq̇-","=iq̇-","    PTsKh \I*=iq̇-\i (-ü- in Gin. is secondary), PGB \I*=iq̇-.\i"
175,"*=ãk-",63,"lie, lie down",,,,,"=ak-",,"    Cf. Bezht. Tl. \I=ãk-.\i"
176,"*=ĩs:- / *=ɨ̃s:- A",409,"to say, speak","=es-","=es-","=is-","=is-","nis-","nɨs-","    PTsKh \I*=is-,\i PGB \I*n-ɨs-\i (\I*=ɨ̃s-\i)."
177,"*ḳaḳa",267,"1 joint, bone between two joints 2 leg, shin","ḳaḳa 1",,,"ḳaIḳaI 2",,,"    PTsKh \I*ḳa(I\i)ḳa."
178,"*=[e]g̥1̇ʷ- A",86,"see","=ikʷ-","=ük-","=akʷ-","=akʷ-","=egā-",,"    PTsKh \I*=[e]kʷ\i (unclear is -a- in Khvarsh. and Inkh.)."
179,"*=ãc̣-",160,"1 to see 2 to look",,,,,"gow-ac̣- 2 (Khosh.)","=ãc̣- 1","    PGB \I*=ãc̣-.\i"
180,"*-iq̇ʷ- (~ -ɨ-)",88,"to be","z-ow- (Radzhibov)","z-eq̇ʷ-","z-oq̇ʷ-",,"z-uq̇-","z-uq̇-","    PTsKh \I*z-iq̇ʷ-\i (~-ɨ-)(all forms quoted from Балкаров 1964,101); PGB \I*z-uq̇-.\i Used with the PTs preverb *z:-. Cf. also Gunz. \Iƛ̣o-q̇-,\i Bezht. (Tlad., Khosh.) \Iƛ̣är-q̇-\i 'to mount (an animal)' (\I*ƛ̣V-\i 'up, above')."
181,"*gagV- ~ *gogV-",461,"rolling-pin, beater",,,,,"gogo-ṭa",,"    Cf. also Khosh. \Igaga-ṭo\i id. Although the root is known only in Bezht., it has reliable external correspondences."
182,"*kic- ?",410,"sleep","kec-",,,,,,"    Isolated in Tsez. with obscure etymology."
183,"*=ɨ̃ƛ- / *ƛV-",337,"1 to sleep 2 dream","moƛu 2","moƛu 2","ƛe-s- 1, muƛu 2","moƛu 2","maƛo 2","=ɨ̃ƛ- 1, mɔƛu 2","    The original verbal root is preserved only in Khvarsh. ( within a former compound with a reduction of the initial vowel) and in Gunz. Much wider spread is the deverbative \I*mɔƛu\i A 'dream' (PTsKh \I*moƛu,\i PGB \I*mɔƛu\i)."
184,"*=iṭʷ-",411,"1 to sleep 2 to lie down",,"=oṭ- 2",,,"=uṭ- 1","=uṭ- 1","    PGB \I*=uṭ-.\i"
185,"*=arč- / *=eč-",95,"1 to stand 2 to stay, to be situated 3 to become, to be","=ič- 3","=ič- 3","=eč- 3","=eč- 3","=ečenoc̣- 1, =eč- 2","=arč- 1, =eč- 2","    PTsKh \I*=eč-.\i Ablaut variants \I*=eč-\i and \I*=arč-\i ( < \I*-ačr-)\i are present in PGB. Cf. also Gunz. \I=eče-r-da\i 'straight, vertical'; Bezht. Tlad. \I=eč-el-\i 'to let, leave'."
186,"*=[ẽ]ƛ̣-",412,"to go, walk","=iƛ̣-","=üƛ̣-","=ĩƛ̣-","=ẽƛ̣-","=eƛ̣-","=ẽƛ̣-","    PTsKh \I*=[ẽ]ƛ̣-,\i PGB \I*=ẽƛ̣-.\i Gin. \I=üƛ̣-\i probably reflects an Ablaut variant \I*=[õ]ƛ̣-,\i cf. Bezht. Tlad. \I=üƛ̣-\i 'to go (away)'."
187,"*ʔoλ:- (~-λ-,-L-)",135,"go, walk",,"uλ-",,,,,"    Isolated in Ginukh, but with reliable external parallels."
188,"*=o( ̃)qʷ- B (~-e-)",23,"1 to go 2 to come","oq- (Radzhibov)",,"=eqʷ- 1","=eqʷ- 1",,,"    PTsKh \I*=eqʷ-.\i"
189,"*niꭓV (~ -ɨ-)",462,"oak-tree","naho","nihi / nĳ",,,"niʁe",,"    PTsKh \I*n[ɨ]ꭓ̥1̇V (̃-i-)\i (cf. also Tsez. /Imn./ \IneꭓIu\i ~ \Inaħu,\i Sh. \Inaħu).\i"
190,"*=ɨgV (~-ə-)",432,"good","=igu","=egi","=agu","=ogu",,,"    PTsKh \I*=əg/u/.\i"
191,"*ḳoṭV",413,"good",,,,,"ḳeṭö (Khosh.)","ḳoṭu","    PGB."
192,"*bõƛ̣V A",52,"1 beak  2 mouth, lip","buƛ̣i 1","miƛ̣u 1","maƛ̣u (Radzhibov)","maIƛ̣u 2","moƛ̣o 1","moƛ̣o 1","    PTsKh \I*bũƛ̣V\i (in Inkh., Khvarsh. and Gin. one must suppose a vowel metathesis); PGB \I*mɨƛ̣o.\i Pharyngealized articulation recorded sometimes in Cez. (\IbuIƛ̣i\i) and Inkh. (\ImaIƛ̣u\i) must be secondary. Cf. also Gin. \Imiƛ̣o-qoju\i 'bridle' = Tsez. \ImoIƛ̣o-qow\i id. (preserving nasalisation)."
193,"*nene",272,"female breast, teat",,,,,"nene","nene","    PGB \I*nene\i."
194,"*ꭓ:uꭓ: (~-o-)",477,"face;cheek","ħuħ / ꭓIuꭓI","ꭓuꭓ","ꭓuꭓ (Radzhibov)","ꭓuIꭓ",,,"    PTsKh \I*ꭓuIꭓ.\i"
195,"*λ:arV (~ L:-,-l-)",441,"belly (exterior part)","λara",,"oλore (Radzhibov)",,,,"    PTsKh \I*λ[a]RV\i. Because of its meaning, the word should be kept distant from \I*LVrV\i 'besom' q.v."
196,"*riz(:)V (~ l-,-ɨ-)",489,"string","rezi",,"lizi (Radzhibov)",,,,"    PTsKh \I*Rizi.\i"
197,"*λir(V) (~ l-,-l-)",491,"wing","lel","lela","lil","lilu",,,"    PTsKh \I*lil(V\i)."
198,"*ʔər (~ʕ-,ħ-)",79,"1 raspberry  2 blackberry",,,,,"oj-do 1","ɨr (kãj) 2","    PGB \I*ʔər\i (or \I*ʔɔr,\i cf. Gunz. (G.) \Iɔr kãj\i 'raspberry'); cf. also Bezht. Khosh. \Iordo,\i Tlad. \Iordĳo.\i The root originally meant ""red"" (cf. the external evidence) and is shaped as an adjective (with adjective -do/-dĳo suffixation) in Bezht."
199,"*riša (~ -ž(:)-)",496,"roof timber, roof poles",,,,,"riza (Khosh.)","riža","    PGB \I*riža.\i"
200,"*ƛ̣imV",497,"buckwheat 1: a k. of plant (""купырь"")",,,,,"holo-ƛ̣ime 1, sĩ-ƛ̣ime 2","sɨj-ƛ̣imi 2","    PGB \I*ƛ̣imi.\i The first component is \Iholo\i ""pea(s)"" or \I*sɨ̃h\i ""bear""."
201,"*ꭓ:eš:",452,"skin, shell",,,,,"ꭓeš",,"    Isolated in Bezht., but with probable external parallels."
202,"*moħ A",503,"1 oats 2 acorn ( < *grain)",,"mu 1",,,"miʔẽ (Tlad.) 2","moh 2","    PGB \I*moh,\i obl. \I*mɨhe-\i (in Gunz. \Imoha-\i there occurred a secondary vowel levelling)."
203,"*ḳəḳə",507,"roasted grain","ḳiḳi (Radzhibov)",,"ḳaḳa (Radzhibov)",,"ḳeḳe","ḳeḳe","    PTsKh \I*ḳəḳə;\i PGB \I*ḳeḳe.\i According to Y. Testelets, the shift *ə > e is regular in PGB in the position close to velar consonants."
204,"*maIru",295,"1 mountain 2 hillock, knoll","maIli 2","malu 1","mani (Radzhibov)",,"mä","maru","    PTsKh \I\I*maIRV,\i\i PGB \I\I*maru.\i\i Cf. also Bezht. Tlad. \I\Imärö,\i\i Khosh. \I\Imärö\i\i 'mountain top'."
205,"*riqu (~-ɨ-,-ə-)",513,"mountain slope",,"requ",,,,,"    Isolated in Gin., but with reliable external parallels."
206,"*zar",516,"1 sand, road-metal  2 faeces","zar 1","zaru 1",,,"saj 2","sar 2","    PTsKh \I*zar(u\i), PGB \I*sar.\i Cf. also Bezht. Tl, Khosh. \Isar.\i"
207,"*tar ( ~ -ɔ-)",528,"sheep's dung",,,,,"tär (Tlad.)",,"    Isolated within Tsezian, but having Andian parallels."
208,"*muš:ə A",321,"breath, smell","muši",,"muša",,"mušo","muše","    PTsKh \I*mušə,\i PGB \I*mušə.\i"
209,"*ʔožə (~ -ž:-)",532,"son, boy","užu / uži","uži","uža","užo","ožo","ože","    PTsKh \I*ʔužə,\i PGB \I*ʔožə.\i PTs \I*ʔož(:)ə\i must go back to an earlier \I*ʔɨžʷə;\i cf. also PTs \I*r-ɨž(ʷ)ə\i reflected in PGB \I*riže\i 'heifer' (Bezht. Tlad., Khosh. \Iriže,\i Gunz. \Iriže;\i = Akhv. \Ir-eša\i id.)."
210,"*ḳic̣-",459,"sheep's tail","ḳec̣-maħi",,"ḳec̣-mehi (Radzhibov)","ḳic̣-mihe",,,"    PTsKh \I*ḳic̣-miꭓ̥1̇e\i (a compound with \I*miꭓ̥1̇e\i 'tail')."
211,"*ž:ara",547,"1 ice 2 to get cold",,,,,"za-λ- (Khosh.) 2","žara 1","    PGB \I*žar(a\i). Bezht. \Iza-λ-\i ( < \I*ž:ar-λ-\i with an auxiliary verbal morpheme -λ-). The Bezht. root is superficially close to Andian forms like Tind. \Isaλ-\i 'to get cold' ( < PA \I*soʔ-λ-\i), but the correspondence PA *s- : PTs *z:- (or *ž:-) is irregular."
212,"*š:ɔ-mɔ",2299,"how many","šomo","somo","šomu (Radzhibov)","šomo",,,"    PTsKh \I*šo-mo.\i The stem is obviously related to other Dagestanian forms (reflecting \I*čʷ[ĕ]mV\i), but has š- (č- would be expected) under the influence of the widely spread PTs interrogative pronoun \I*š:i\i (q.v.)."
213,"*hi-",2295,"interrogative pronoun (which 1, how 2)",,,"hi-ba (Radzhibov)","hi-bo 1",,"hi-na 2","    PTsKh \I*hi-bə;\i cf. also Gunz. \Ihɨ̃-də\i 'when'."
214,"*žeblV A",71,"1 rib 2 side","žibra 1","žibra 1","žebla (Radzhibov)","žebla 1","šeblo 1,2","šeble 1,2","    PTsKh \I*žebRa,\i PGB \I*šeblV.\i"
215,"*beƛV",307,"part of body from the armpit to the hip",,,,,"beƛejo",,"    An isolated Bezht. word, but with probable external parallels."
216,"*ž:V",2293,"(one)self","žo","zo","žu (Radzhibov)",,"žü","žu","    PTsKh \I*žo,\i PGB \I*žu.\i"
217,"*=ə̃ʔ-",561,"come",,,,,,"nəʔ-","    Isolated in Gunz. (initial n- points to root nasalisation), but having probable parallels in Andian languages and elsewhere."
218,"*-ič̣-",562,"to get into, sit in",,,,,"t-ič̣- (Tlad.)","g-ič̣-","    Cf. also Gunz. \It-ič̣-\i ""go down (of the sun)"". PGB \I*-ič̣-\i (with different preverbs)."
219,"*q̇Ie-",567,"1 down, below 2 floor","q̇Ii-da 1",,,"q̇Ie-l 2","q̇e-re 1 (Tlad.)","q̇e-re 1","    PTsKh \I*q̇e-\i (with different suffixes); PGB \I*q̇e-re.\i"
220,"*=eḳʷ-",570,"1 to fall 2 to gather, to (be) put together",,,"=eḳ- 1","=eḳʷ- 1","=oḳ- 2","=oḳ- 2","    PTsKh \I*=eḳʷ-\i ( ~ -ö-); PGB \I*=oḳ-.\i In Bezht. the intransitive verb is usually compound: \I=iḳo =oḳ-\i (where \I=iḳo\i is another Ablaut grade of the same verb). Cf. also the derivate: Gunz. \Ir-oḳali\i 'rake' ('tool for gathering, raking up'); perhaps also PGB \I*g-uḳ-\i (Bezht., Gunz. \Ig-uḳ-\i) 'to put on (hat, cap)'."
