NUMBER|PROTO|PRNUM|MEANING|LZG|TAB|AGU|RUT|CAK|KRZ|BUD|ARC|UDI|COMMENT
66|*ʔaqɨ-|1830|to lie||d-aq-|aqu xas|||||a=ꭓa-||    The Arch. form can belong both here and to the PL \I*ʔaꭓär-\i 'sleep, lie' q.v. The original meaning of PL \I*ʔaqɨ-\i must have been 'to fall, to become spilled, scattered', cf. Ag. \Il-aqa-s\i (Bursh. \Iaqi-s\i) 'to scatter, spill, get scattered' (cf. also in Tab. without the d- preverb \Iaq-\i 'to fall'), Arch. \Ic-a=ꭓa-\i 'to fall; to throw' (with an expressive preverb) and possibly also Lezg. \Ial-aq-\i 'to stick, adhere', Ag. \Iʕ-aq-\i (Bursh. \Iʕ-aqi-\i) 'to mix'.     Cf. also Tab. \Ial-a=q-,\i Düb. \Ih-a=q-,\i Ag. \Iʕat:-aq-\i 'to meet, encounter' (*"to fall upon") - which may have obtained its meaning due to the influence of PL \I*ʔiqɨ-\i 'to find' (q.v.), or may, in fact, provide a link between these two roots (stems): see PEC \I*=iq̲wV.\i
67|*läƛ̣|65|liver|leq̇|liḳ|leḳ|laq̇|ḳɨl'ḳam|läħä-läħkäm|(laʕa)-leq̇|||    In Tsakh. the form is reduplicated (under influence of \Izɨlzam\i 'spleen' q.v.). In Kryz. there occurred an irregular change \I*läq̇ä-n\i > \Iläħkän\i under influence of \Iläħä\i 'black' (the form actually means 'black liver', cf. the same combination in Bud.). 4th class in all class-distinguishing languages.     See Бокарев 1961, 60; Лексика 1971, 122; Гигинейшвили 1977, 104.
68|*[hI]alꭓä-|66|1 long  2 up, on top|jarʁi 1|jarꭓi 1|jarꭓIe-f 1|ꭓuläꭓ-dɨ 1|ꭓɨli-na 1||laꭓa 2|lāꭓa 1|laꭓo 2|    Within PL there is a difficult interrelation between four roots: \I*[hI]alꭓä-\i 'long', \I*hI[a]ꭓV-\i 'high', \I*jaq:V\i 'high' and \I*ʔarꭓ:(Vl)-\i 'far' q.v. In several languages contaminations have arisen. Thus, -ʁ- in Lezg. \Ijarʁi\i 'long' is obviously due to contamination with \Ijarʁal\i 'far'.         Several languages reflect metathesized forms (\I*[hI]alꭓä-\i ~ \I*laꭓä-\i ~ \I*ꭓalä-\i and, with Ablaut, \I*ꭓolä-\i), which is usual for verbal/adjectival stems. Note that all these variants are not merely Lezgian, but have external parallels as well.
69|*näc̣:|67|louse|net|nic:|net:|||||nac̣|nec:|    Other relevant forms: Lezg. lit. erg. neṭ-re; Khl. pl. net:er; Arch. erg. nec̣:iri. 3d class (to judge from the Arch. form). Obl. vowel base unclear; the existing evidence points only to the PL oblique base in *-rV-, cf. Lezg. neṭre, Tab. nic:ru, Arch. nec̣:iri.     See Талибов 1960а, 297; Лексика 1971, 150; Гигинейшвили 1977, 72, 106.
70|*morƛ:ɨl / *uorƛ:ɨl|68|1 man  2 male  3 male child  4 brave man, hero|rugul 3|murgu-ž̌i 4||wɨɣɨl-dɨ 1|wɨɣɨli-n 2|miɣil 2|wɨli 2|meƛle 2||    Lezg. \Irugul\i goes back to *u̲orƛ:ɨl with a regular elision of *u̲o-. The original form (to judge from external correspondences) must have been the one with *m-; initial *u- substituted it under analogy with the 1t class prefix *u̲-. External evidence shows also that inspite of the superficial resemblance this is not the same root as PL \I*ƛ:ilV-\i 'man, male' (q.v.).     See Лексика 1971, 131; Гигинейшвили 1977, 86.
71|*jaƛ̣:|69|meat|jak|jik:|jak:|jak||jek|jək|aƛ̣:|eq:|    Obl. base \I*joƛ̣:ɨ-\i (cf. Rut. \Ijigɨ-,\i with first vowel levelling Lezg. \Ijaḳu,\i Tab. \Ijik:u-\i). 4th class in all class-distinguishing languages.     See Лексика 1971, 204; Гигинейшвили 1977, 109.
72|*wac:|70|moon, month|warz|waz|waz|waz|waz|wäz|wəz|bac||    -r- in Lezg. \Iwarz\i probably comes from the oblique base PL \I*woc:-ra-\i / \I*wac:-ra-,\i cf. Lezg. \Iwac:ra,\i Arch. \Ibocro,\i Kryz. \Iwuzur-.\i The Ablaut *-a-/-o- in the root is witnessed by Kryz. \Iwäz\i : wuzur- and Tsakh. Gelm. \Iwaz\i : \Iwɨza-.\i Belongs uniformly to the 3d class in all class-distinguishing languages.     See Лексика 1971, 193; Гигинейшвили 1977, 75.
73|*s:ɨw|71|1 mouth  2 edge, end|siv 1|uš̌ 2|siv 3||siv 2|siv 1|siv 1|s:ob 1,2|oIš 2|    Obl. base \I*s:ɨwɨ-,\i cf. Lezg. \Isivi-,\i Ag. \Isivi-,\i Tsakh. \Isivɨ-.\i Cf. also (for the reflexes of *s:) Tab. Düb. \Iuž̌u,\i Ag. Bursh. \Is:iw.\i Tab. and Ud. reflect a metathesised form  \I*ʔɨs:ʷ\i (which may be archaic in the light of external evidence). Belongs to the 4th class in all class-distinguishing languages.     Rutul has not preserved the root independently; but probably a trace of it has stayed in \Ixe-sɨ-m\i ( < \Ixex-sɨ(w)-)\i 'face' ('nose'+'mouth').     See Лексика 1971, 108; Талибов 1980, 314.
74|*c̣:ʷer|72|name|ṭʷar|č:̌ur|t:ur|dur|do|tɨr|tur|c̣or|c:i|    Cf. also Lezg. Khl. \It:ʷar,\i Tab. Düb. \Iʒur.\i Oblique base \I*c̣:ʷerɨ-,\i cf. Tab. Düb. \Iʒuri-,\i Ag. \It:uri-,\i Tsakh. \Idojɨ-.\i 4th class in all class distinguishing languages.     Cf. Лексика 1971, 142; Гигинейшвили 1973, 68, 106; Талибов 1980, 297.
75|*c̣enjä- / *c̣enwä-|73|new|c̣ĳi|c̣ĳi|c̣ajif|c̣indɨ|c̣edɨn|c̣ĳä||mac̣at:ut|ini|    -j- and -w- are probably class suffixes (-w- postulated on basis of the Arch. form: \I*c̣enwä-\i > \I*c̣emä-\i > \Imac̣a-\i). The Udi form goes back to \I*c̣enjä-\i quite regularly, thus the assonance with Az. \Ijeni\i is coincidental.     See Бокарев 1961, 70; Гигинейшвили 1977, 100; Талибов 1980, 296.
76|*ʡiš:ʷ|74|night|jif|jiš̌|ʕüš|wɨš / huš||jif|juǯenǯiǯ|iš|šü|    Cf. also Lezg. Nüt. \Ijüxʷ,\i Tab. Düb. \Ijiž̌i,\i Ulz. \Ijiš:̌,\i Ag. Bursh. \Iiš:ʷ,\i Arch. adv. \Iš:ʷi\i 'at night' ( = Ud. \Išü\i 'night'), Ud. \Iüše\i adv. 'at night'. Bud. adv. \Ijuwu-z\i id. (the form \Ijuǯe-nǯiǯ\i is a result of early delabialisation and assimilation from \I*ʡiš:ʷe-\i). Oblique base \I*ʡiš:ʷa-,\i cf. Lezg. \Ijife-/fe-,\i Tab. \Ijiš̌a-,\i Rut. \Iwɨši-\i). 4th class in all class-distinguishing languages.        See Лексика 1971, 181; Гигинейшвили 1977, 94.
77|*muʔel|75|1 nose  2 beak  3 snot|ner 1||muʔul 2|||miʔel 1|meʔel 1|muIl 3||    The Lezghi form needs a special comment. It is, in fact, a historical plural form: \In-er\i < \I*ʔin-er\i < \I*ʔil-er\i (cf. dialectal Khl. \Iiler\i 'nose'); the shift from l to n in lit. Lezghi is not quite clear, but paralleled in the case \In-ez\i "eat" < \I*ʔil-ez\i (see \I*ʔiʔʷäl-\i). In its turn, \I*ʔil-er\i is a quite regular reflex of \I*muʔel-ar\i ("the nostrils") with a normal loss of the preaccented sequence *mu-.     The word belongs to the 3d class in Kryz., Bud. and Arch.     See Лексика 1971, 120.
78|*qIʷaqIʷ(a)|76|1 nose  2 cheek|qʷeq 2|qIuqI 1|qIuqI 1|||||||    Cf. also Tab. Düb. \IqIaqI,\i Ag. Fit. \IqIʷaqIʷ.\i Obl. base unknown (Lezg. \Iqüq:ʷe-\i may point to *-a or -ä).     It is interesting to note that the compound \I*qIʷaqIʷ\i + \I*s:ɨw\i ('nose'+'mouth') served in Ag. as the word for 'face' (Ag. \IqIusi,\i Fit. \IqIusu,\i Burk. \Iqessu\i with phonetic simplifications).
79|*t:V-|2270|not|t:-|d-|d-||d-|d-|d-|-ṭu|te|    The common Lezgian negative morpheme, which could be used both in prefixed and suffixed positions. Glottalisation in Arch. is clearly secondary (the final vowel was probably originally lost, and there occurred a neutralisation of the glottalisation feature in the Auslaut position; later a new parasitic vowel was added).     See Алексеев 1985, 100-101.
80|*s:a|2314|one|sa|sa|sad|sa|sa|säd|sad|os|sa|    Evidence for strong *s: : Ag. Bursh. \Is:a-d;\i Arch. (in compound numerals) \Is:e-j-;\i Ud. \Isa.\i It is probable, that Rut. \Isĳe-nä\i 'all' is derived from the same root (as well as Rut. Ikhr. \Isa-sa-na\i 'every').     See Бокарев 1961, 69; Гигинейшвили 1977, 89.
81|*ʔoq:ʷa-|77|1 to rain  2 rain (n.)|q:ʷa-z 1|u-r-ʁ-uz 1|uʁas 1|huʁʷas 1|g'-oʁa-s 1||||aʁala 2|    The words for 'rain' in most Lezgian languages are derived from this verb base (PL \I*ʔoq:ʷa-l(V)\i 'rain' > Lezg. \Iq:ʷal,\i Ag. \Iuʁal,\i Rut. \Ihuʁʷal,\i Ud. \Iaʁala\i); a separate derivation from the same root is Tsakh. \Ijoʁʷi.\i     See Талибов 1960а, 298; Лексика 1971, 185.
82|*marλʷ|78|1 rain  2 foam|marf 1|marx 1|marf 1 (Fit.)|maf 1 (Khniukh.)|||məf 1|moλ 2||    Cf. also Tab. Düb. \Imarx,\i Arch. erg. \Imiλi.\i Obl. base unknown. 3d class in Arch., but 4th class in Rut. and Bud.     See Trubetzkoy 1922, 240.
83|*ʔirɨ- (~ *ʔI-)|79|1 red  2 blood|jaru 1|üru 1|iref 1|irdɨ 1||iri 1, iräǯ 2|ird 2|||    In Lezg. a secondary dissimilatory vowel shift (\I*ʔirɨ-\i > \I*ʔerɨ-,\i cf. Khl. \Ieri\i); in Tab., on the other hand, assimilation due to labialisation (cf. Tab. Düb. \Iiri\i 'red'). In Kryz. and Bud. the word for 'blood' is derived from this adjectival base.     See Хайдаков 1973, 104.
84|*räq̇I:|80|road|req|raqI:|req:|raqI|jaqI|||deq̇I|jaq:|    Cf. also Lezg. erg. \Ireq̇i,\i Arch. loc. \Ideq̇I:u.\i Obl. base \I*riq̇I:ɨ-,\i cf. Rut. \IrɨqI:ɨ-\i and (with vowel levelling) Lezg. \Ireq̇i-,\i Tab. \IraqI:u-,\i Ag. \IraqI:u-,\i Tsakh. \IjaqI:ɨ-.\i 3d class in Rut., Tsakh. and Arch.     See Лексика 1971, 142; Гигинейшвили 1977, 109; Талибов 1980, 264.
85|*t:uwVl ?|81|root|duvul|||||||||    An isolated lezgian word (in dialects cf. Khl. t:ʷɨl id.) with obscure etymology.
86|*ƛ̣:iw(a)|82|root||č:iv||||||||    The word has no parallels within the Lezghian family (from Tab. dialects cf. also Düb. \Iǯuv\i 'root'), but (assuming that Tab. č: here regularly goes back to PL *ƛ̣: before a front vowel) has very good external cognates.
87|*ʔirq:ʷä- (~ -ʁʷ-)|83|1 to turn round  2 to roll  3 to be round|el-q:ʷe-z 1|i-d-irʁ-uz 2||ruʁʷa-s 3||||||    The adjective 'round' is formed from this stem in Lezg. (\Ielq:ʷej\i) and Rut. (\Iruʁu-d\i). In Lezg. el- is a preverb (\Iel-q:ʷe-z\i = Tab. \Iil-d-irʁ-uz\i id.). In Rut. cf. also the reduplicated stem \Iʁʷɨrʁʷa-s\i 'to walk around; to turn (a wheel)' (with the Ablaut grade *-o-).
88|*girgʷV-|84|round||gergmi|gilgenf||gɨrgɨra-n|gurgum|gungurṭi|guk:i|k:ank:oroj|    Reconstruction is rather difficult because of the root's expressive nature. The Arch. form \Iguk:i\i may be influenced or borrowed from Lak. \Ik:urk:i-\i (as also the verb \Ikʷek:i-s\i 'to roll'). In Tsakh. the pronoun 'all' (\Igɨrgɨ-n\i) is also probably derived from this root (< *all around, everywhere). Note also the form Tsakh. Mishl. \Igilgilen\i preserving -l-: this and Ag. \Igilgen-f\i probably go back to \I*girgʷV-\i with a suffixed -l- (with subsequent -r- > -l- assimilation). The same root in a nominal function is preserved in Lezg. \Igig\i (erg. \Igigini-\i) 'axis', Ag. \Ik:uk:\i 'roller (for ramming roof)' (with emphatic reflex k:), Bursh. \Igilgen\i 'small round stone', Arch. \Igik:u-r\i  'roof roller'.     See Лексика 1971, 221; Гигинейшвили 1977, 68.
89|*ʔiʔIʷɨ-|85|say|luhu-|p-|p-||ihe-|lɨp-|juʔ-|bo-|pe-sun|    In Tab., Ag., Kryz., Arch. and Ud. we witness a case of interaction between the root laryngeal (normally reflected as -h-) and the class infix -b- (PL *p:). Cf. the paradigm in Kryz. (inf. \Ilɨpɨ-ǯ\i < \I*l-i-b-ʔIʷɨ-,\i dur. \Ilu-ri,\i prohib. \Im-uʔu\i), Bud. (\Ijuʔu,\i \Ijɨpə-ǯi\i), Arch. (\Ibo-s\i < \I*ʔi-p:-ʔIʷɨ-s,\i dur. \Iwa-r\i < \I*ʔiʔIʷa-r\i without the class infix). In Lezg. and Kryz. there is a *l- preverb; other languages reflect a prefixless form.     See Trubetzkoy 1930, 88; Гигинейшвили 1977, 138; Талибов 1980, 277.
90|*ʔak:ʷä-|86|1 to see  2 to search  3 to show|ak:ʷa- 1|a=g- 2|agʷ- 1|h-a=gʷa- 1|h-a=gʷa- 3|||=ak:u-|ak:-sun|    Cf. also Ag. Bursh. \Iuga-\i / \Iagʷa-\i 'to search'. Belongs to the weak verb class. Reconstruction of *-ä is conditioned by Lezg. (\Iak:ʷa-,\i praet. \Iak:u-na\i), Rut. (\I-a=gʷa-,\i plur. \I-a=gʷe-s\i) and Arch. (-u-s) forms.     With a preverb cf. Rut. \Iaq-a=gʷa-\i 'to find'.     See Бокарев 1961, 63; Лексика 1971, 243; Гигинейшвили 1977, 78.
91|*ʔarq̇I:ä-|87|1 to see  2 to watch, look 3 to be found||raqI:- 1|raqI:a- 1 (Bursh)|g-a=q:a- 2||irq- 1|irq- 1||b-aʁIa-jesun 3|    The Kryz. and Bud. form reflect the PL Ablaut grade \I*ʔirq̇I:ä-;\i the Auslaut *ä is reconstructed on basis of Ag. (Bursh. \IraqI:a-s\i) and Rut. (\Ig-aq:a-s,\i pl. \Iga-q:e-s\i). Not quite clear is the loss of pharyngealization in Rut.     See Хайдаков 1973, 121.
92|*ʔiq̇ʷä-|88|1 to sit  2 to set (caus.)|ac-uq̇- 1|uṭ-uq̇- 2|iq̇ʷa- 1|s-uq̇ʷa- 1||äs-q̇un- 1|a=q̇Vl- 1|oq̇is 1||    For PL Ablaut grades \I*ʔiq̇ʷä-\i / \I*ʔäq̇ʷä-\i / \I*ʔoq̇ʷä-\i can be reconstructed. Cf. in Archi: \Iq̇Ie-q̇ʷi-\i 'sit' (\I*ʔäq̇ʷä-\i with reduplication), \Io=q̇i-\i id. (\I*ʔoq̇ʷä-\i); Rut. \Is-u=q̇ʷa-/s-i=q̇ʷa-\i 'sit' (\I*ʔiq̇ʷä-\i), but \Is-ɨ=q̇Ia-\i 'sit (plur.) (\I*ʔoq̇ʷä-\i). Cf. also Kryz. \Iq̇o-q̇un-\i 'to sit (on horse-back)'. Unclear are reasons for the -n-/-l- conjugation in Kryz. and Bud.    Cf. Хайдаков 1973, 140.
93|*ʔos:V-|89|sit down, sit||d-us-uz 1|||||||arcesun, arst:un|    Cf. also Tab. \Iu-r-s-uz\i 'set (caus.)'. The vowel reconstruction is not reliable (because there is not enough evidence). -r- in Ud. is an aspect infix.
94|*ꭓam(a)|90|skin|ꭓam|ꭓam|ꭓam|||||||    Obl. base unknown (can be any vowel).
95|*šʷi|2299|what||||ši-w(i)|erg. ni-še|ši|ši|||    This root should not be confused with another PL interrogative, \I*š:i\i q.v. It serves as a base for PL \I*šʷimV-\i 'how many' (Lezg. \Išumu-d,\i Tab. \Iš̌nu-b,\i Rut. \Išumu-d,\i Arch. \Išume-jṭu;\i Ud. Vart. \Iema,\i Nidzh. \Ihema\i is partially contaminated with another PL interrogative stem, \I*ha-/*hi-\i q.v.). A loan from Lezg. is probably Khin. \Isam\i 'how many'.     See Гигинейшвили 1977,91; Алексеев 1985, 75.
96|*ʔaꭓär-|91|1 to sleep  2 sleep, dream (n.)|aꭓʷ-ar 2|aꭓ- 1|aꭓa- 1 (Bursh.)|s-a=ꭓa- 1||äꭓr- 1|a=ꭓar- 1|aꭓu kes 1|(nep:) aꭓesun 1|    Labialisation in Lezg. is clearly secondary (all other languages point to *ꭓ). The original meaning was probably 'to lie; to throw, fall', cf. Ud. \Ib-arꭓi\i 'horizontal' ( < *'lying') (perhaps also, with prefixation and Ablaut, Rut. \Iqa-ruꭓa-s\i 'to throw'). A local derivate from this root is Tab. \Iaꭓin\i (Düb. \Iaꭓin\i) 'bed', Ag. Bursh., Fit. \Iaꭓun\i id., Rich., Burk. \Iaꭓun\i 'mattress'.         See Хайдаков 1973, 141.
97|*ʁIʷač̣:V ?|92|small|ʁweč̣i|||||||||    An isolated Lezgian root with no obvious parallels (strong *-č̣:- is indicated by the Khl. form ʁʷeč:i).
98|*p:ac̣V-j|1122|1 small  2 kid  3 small sheep|bac̣i 2|bic̣i 1|bic̣i-f 1|bac̣i 3 (Khniukh.)|bɨc̣ɨc̣ 2 (Khaid.)|||||    Cf. also Lezg. Khl. \Ip:ac̣i\i 'kid' (reflecting *p:-). The root contains a common PL diminutive morpheme *-j. Also derived from this root may be expressive forms: Bud. \Ibic̣el,\i Kryz. \Imec̣ej\i 'penis (of a boy)'.     In Ag. Bursh. the adjective 'small' does not have the initial b-: Ag. Bursh. \Iic̣í-r.\i There exist also probably related forms in Tab.: Tab. \Ic̣i-b\i 'few', Düb. \Ic̣u-w\i id. This may be an indication that the initial *p:- in PL is a former class prefix (although loss of b- may be a secondary development in the Tab.-Ag. dialect area).
99|*ƛuma (*ƛʷima)|94|smoke|gum|kum|kum|xum|kuma|firmi|xim|||    Cf. also Lezg. Khl. \Igɨm,\i Nüt. \Iɣum.\i The Kryz. form represents an original plural building (\Ifirmi\i < \I*fim-ri\i). Shakhdagh > Khin. \Iximi\i 'smoke'.     See Талибов 1960а, 298; Лексика 1971, 197.
100|*ʔec:ʷär-|95|1 to stand  2 to stand up|aq:ʷ-az- 1|ʁ-uz- 2|ʁ-uz- 1|l-u=zʷa- 1|ul'-o=zar- 1|q:-u=zur- 2|q:-urzər 2|o=c:i- 1|ajze-sun 2|    Cf. also Ag. Bursh. \Iaʕ-za-\i 'to stand', Tsakh. \Io=zar-\i 'to become tired' (for the semantics cf. Russ. 'стоять' - 'уставать'). In Tab. there exist two synonymous variants: \Iʁ-uz-uz\i (Düb. \Iuʒ-us\i) and \Iʁ-ud-už̌-uz\i (Düb. \Iq:-uǯ̌-us\i) 'stand up', reflecting probably proto-Tabasaran variants \I*ʔoc:V-\i (with secondary delabialisation) and \I*ʔec:ʷV-\i (preserving the labialisation). Note the common prefixation (*q:-) in Lezg., Tab., Ag., Kryz. and Bud.     See Бокарев 1961, 65; Лексика 1971, 243; Гигинейшвили 1977, 84.
101|*jaq:V-|96|1 high  2 long|jarʁi 1|jaʁ-li 1|jaʕaldi-l 1|||q:-aʁa 1||aqa 2||    The Ag. form is from the Burshag dialect. Cf. also Tab. Düb. \Ijaq:-li,\i Ag. Fit. \Ijaq:al-t\i 'high'. In Lezg. there occurred a contamination with \I*[hI]alꭓä-\i 'long' q.v. (that is why we have \Ijarʁi\i instead of \I*jarq:i;\i cf. also Lezg. Khl. \It:aq:aj\i 'high', which contains a preverb t:-).     The root is actually verbal, which is shown by verbal prefixation (q:-) in Kryz.; it is also very probable that the Tab. verb \Idi-ji=ʁ-uz\i (Düb. \Idī=q:-\i)'to stand' reflects the same root.     See Хайдаков 1973, 105.
102|*ꭓI:an:a|97|star|ʁed|ꭓIad|ħad|ꭓIadĳ|ꭓIane|ħäč̣|ħač̣|ꭓI:ološ-qIan||    Cf. also Lezg. erg. ʁet:re; Lezg. Khl. ꭓIäd; Tab. Khan. ꭓI:är; Ag. Tp. ʕad (all forms point unanimously to *ꭓI:-, thus qI in the Arch. form - which is a compound with ꭓI:olo-š- 'in the sky' - must be secondary, due to dissimilation after a fricative). Final -č̣ in Kryz. and Bud. is obviously due to assimilation before a front vowel (the obl. base in PL had been *ꭓIan:ä-) which later got lost (the same is true for the Tab. Kand. form ꭓIaǯ), although reasons for its glottalisation are less obvious.     See Магометов 1966, 342.
103|*q:ʷan|98|1 stone  2 big flat stone|q:ʷan 1|ʁʷan 1|ʁʷan 1|||||qʷan 2||    Obl. base unknown. Belongs to 4th class in Arch.      See Гигинейшвили 1977, 85; Талибов 1980, 304.
104|*wiraq:|99|sun|raʁ|riʁ|raʁ|virɨʁ|virɨʁ|viraʁ|viraʁ|barq|beʁI|    The word shows traces of Ablaut (\I*wiraq:,\i \I*wirɨq:V-\i); belongs uniformly to the 3d class.     See Trubetzkoy 1930, 82; Лексика 1971, 184; Гигинейшвили 1977, 75.
105|*t:om ?|100|tail|t:um|||||||||    A purely Lezgian root (cf. also Khl. t:ɨm) without clear etymology.
106|*ħɨrč:ʷ ( ~ *ʡ-)|101|1 tail  2 (sheep's) fat tail||riž̌ 1|ruž 1|ǯɨ-bɨr 1|ǯɨ-ḳrɨ 2 (?)|ǯi 1|ǯi-bir 1|oIč 1|ožiI-l 1|    In Tab. and Ag. there occurred a metathesis (\I*Hɨrč:ʷ\i > \I*rɨč:ʷ\i) with the loss of initial laryngeal; that is why both reconstructing *ħ- and *ʡ- (on basis of the Arch. pharyngealisation) is permitted. The PL obl. vowel stem must have been \I*Hɨrč:ʷɨ-;\i it became the direct stem (possibly with a suffixed *-j) in Eastern Lezghian, where afterwards the initial weak syllable disappeared. This would explain the Kryz., Bud. and Rut. forms (the latter two have finally added the plural suffix to the root). Unclear is the element -ḳrɨ in Tsakh. See Гигинейшвили 1977, 85.
107|*mV|2311|demonstrative pronoun|a-m, i-m|mu, du-mu|mi|mi|ma-n|ä-m|||me|    A common demonstrative stem (mostly near deixis "this", but also a component of compound pronouns). Reconstruction of vocalism uncertain (as in many auxiliary morphemes).         See Кахадзе 1973б, 41; Алексеев 1985, 75.
108|*ʔi|2309|demonstrative pronoun|i||||i-n|||ja-t, ja-mu||    The Arch. form (\Ija-\i) is probably a compound of pronoun stems \I*ʔi-\i and \I*ʔa-;\i cf. also a separate \Ii-\i in \Ii-ši-k\i 'here', \Ii-ši-š\i 'from here'.     See Алексеев 1985, 75.
109|*melc:|102|tongue|mez|melz|mez|miz|miz|mez|mez|mac|muz|    Oblique base \I*melc:e-,\i cf. Lezg. \Imec:i-,\i Rut. \Imizi-,\i Tsakh. \Imize-.\i 3d class in all class-distinguishing languages.     See Бокарев 1961, 59; Лексика 1971, 127; Гигинейшвили 1977, 70, 84; Талибов 1980, 293.
110|*sars (~s:)|103|tooth, fang|sas|sars||sɨs||||||    Oblique base *sarsa- (or *sorsa- with Ablaut which probably passed into the direct base in Rut.), cf. Lezg. sara- ( < *sarsa- with dissimilation).
111|*sɨl:|104|tooth||slib|sileb|sɨlab|sili|sil|sil|sot|uluꭓ|    Obl. vowel base unclear (in many languages only the original plural form 'teeth' is preserved and passed into singular, thus in Tab., Ag., Rut. and. Ud.). For PL *-l: cf. Arch. \Isot,\i pl. \Isot:-or\i (where -t:- < *-l:-). Belongs to the 4th class in all class-distinguishing languages.     See Лексика 1971, 111; Гигинейшвили 1977, 70; Талибов 1980, 295.
112|*t:ar|105|1 tree  2 stem|t:ar 1||dar 2|||dar 3|dər 3|||    Obl. base \I*t:ara-\i (cf. Lezg. \It:ara,\i Ag. \Idara-\i). 3d class in Kryz. and Bud. We should, perhaps, relate to the same root (with reduplication) Ud. \Idurut:\i 'log'.     See Талибов 1960а, 298; Лексика 1971, 162-3.
113|*har ?|106|tree||har||||||||    An isolated Tabasaran form.
114|*q:aꭓ|961|dried carcass|q:aꭓ|ʁaꭓ||||q:äꭓ|q:aꭓ|||    Oblique vowel base unclear. Serves as basis for the adjective 'yellow' in Tab. (\Iʁatꭓu\i with infixed adjectival -t-; cf. also Düb. \Iq:arꭓi\i (with -r-) "yellow" and a back-building \Iq:arꭓ\i 'bile, gall'). An influence of Azer. \IGaꭓ\i 'dried fruits' is possible, but the root is no doubt genuine.
115|*q̇Iʷä|2315|two|q̇ʷe-d|q̇Iu|q̇Iu-d|q̇Iʷad|q̇Io-llä|q̇ʷad|q̇a-b|q̇Iʷe|p:aI|    Cf. also Ag. Burk. \Iʡa-d,\i Tp. \Iʡu-d.\i         See Талибов 1960а, 302; Лексика 1971, 232; Гигинейшвили 1977, 137.
116|*ʔiλʷe|108|1 to walk, go  2 to come 3 to go away|fi-|ʁa-f-nu(term) 1||h-ɨxɨ-r(term) 1|q-ɨ=xe- 3|=ix- 1,ʕu=x- 2|w-i=x- (term)|||    Cf. Lezg. praet. \Ife-na.\i Labialization was lost (before a front vowel) in Rut., Tsakh., Kryz. and Bud., but is preserved in Kryz. after the preverb ʕ-. The verb reflects Ablaut grades \I*ʔiλʷe-\i and \I*ʔoλʷe-;\i the stem \I*ʔäλʷe-\i is possibly present in Kryz. \Iʕa=x-\i 'to go down', \Iʕajx-\i 'to search' ( = "to go walking for..."). Cf. also Kryz. \Iq:i=jx-\i 'to return, to turn round'. See Лексика 1971, 249; Хайдаков 1973, 123.
117|*ʔarꭓ:(-Vl)|109|far|jarʁal|jarꭓla|warꭓa|ꭓɨrɨ-dɨ||juꭓ-ta|jiꭓ-ta|aꭓ|aꭓIil|    j- and w- are prefixed class markers. In PL there existed an Ablaut grade \I*ʔorꭓ:V-,\i reflected in Kryz., Bud. and Rut. (where \Iꭓɨrɨ-\i < \I*ʔorꭓ:ɨ-\i with a usual adjectival metathesis).     See Хайдаков 1973, 106.
