NUMBER|PROTO|PRNUM|MEANING|ABK|ABA|ADG|KAB|UBK|COMMENT
50|*mAcˀʷa|38|fire|aˊ-mca|mca|mās.ˇa|māf˔a|mǝǯˊaˊ|    PAT \I*mǝca\i (cf. also Bzyb. \Iaˊ-mca\i). PAK \I*macˀʷaˊ.\i Ub. def. \Iaˊ-mǯˊa.\i     The root presents some irregularities. The PAT and Ub. forms reveal a secondary delabialisation (PAT \I*mǝca\i < \I*mǝcʷa;\i Lomtatidze (1942, 862, 865) is probably right in assuming that the original labialized form is preserved in PAT \I*macʷǝ-sˊǝ\i 'lightning' ("fire"+"beat"); Ub. \Imǝǯˊaˊ\i < \I*mǝʒʷa\i). The same languages also have lost glottalisation. The most archaic form (judging from the external evidence) is PAK \I*macˀʷaˊ.\i     Cf. also PAT \I*cʷǝ-\i in \I*cʷǝ-mǝsa\i 'tinder' ( = PL \I*cˀojɨ-mäs,\i see under \I*mä˘sA\i); this is probably the only trace of the prefixless stem in WC languages.
51|*p:ǝšA|344|fish|a-psǝˊʒ|pslačwa|pca|bʒa|psa|    PAT \I*pǝsˊǝ-\i (cf. also Bz. \Ia-psˊǝʒ,\i Ashkh. \Ipsǝz\i). Both in Abkh. and Abaz. the root is present in compounds with unclear second components (-ʒ in Abkh., -lačʷa in Abaz.).         PAK \I*p:c:a\i : the pure root has meant 'big fish'; most common is the diminutive derivate \I*p:c:a-zˊaˊjǝ\i (Ad. \Ipcazˊǝj,\i Kab. \Ibʒazˊej\i).        We have to reconstruct initial *p: to account for the AK progressive assimilation (\I*p:c:a\i < \I*p:sa\i); both in PAT and Ub. the assimilation had been regressive. Numerous attempts to analise the word on WC ground and to explain it as an IE loan (see Shagirov 1, 82 with literature) seem to us unsuccessful.
52|*pǝrǝ|281|fly (v.)|a-pǝˊr-ra|pǝr-ra (Ashkh.)|||pǝr-|    PAT \I*pǝrǝ;\i Ub. 1 p. \Isǝ-pǝˊrǝ-n.\i
53|*ʁʷV|746|1 person 2 self|a-wa-ʕʷǝˊ 1|ʕʷǝ 1|||ʁʷa 2|    PAT \I*ʕʷǝ\i (in Abkh. - only within a compound with \I*wa-\i q.v.); Ub. def. \Ia-ʁʷaˊ.\i It is not quite clear how this morpheme in PAT correlates with its plural counterpart - *-ʕa in \I*wa-ʕa\i 'people' (Abkh. \Ia-wāˊ,\i Abaz. \Iwaʕa\i).
54|*bǝbǝ|709|1 fly 2 put on airs|||bǝbǝ-n 1|zǝʁa-bǝbǝ-n 2||    PAK *bǝbǝ-: an expressive root with obscure etymology.
55|*λˊa-|710|jump|||λa-n|λa-n||    PAK *λa-; the root with a suffix *-ta- is used also for 'to fly' in Kab., 'to fly up' in Ad. Further etymology is unclear (Shagirov 1, 250 relates it to *λa 'foot' which is dubious).
56|*λˊa|229|foot|a-šˊa-pˀǝˊ|šˊa-pˀǝ|λā-q:wa|λā-q:wa|λā-pˀaˊ|    PAT \I*šˊa-pˀǝ\i (-pˀǝ the same as in \I*na-pˀǝ\i 'hand'). PAT \I*šˊa\i 'foot' is frequent in compounds (\I*šˊa-xʷa\i 'shin', \I*šˊa-mǝqA\i 'knee', \I*šˊa-cʷǝ\i 'toe' etc.). Cf. also the preverb \I*šˊa-/*šˊǝ-\i 'from the foot, on the foot'. The root is employed also in PAT \I*šˊa-ta\i (Abkh. \Iaˊ-šˊata,\i Abaz. \Išˊata\i) 'root' ('foot part').     PAK \I*λa-q:ʷaˊ;\i meaning of the element -q:ʷa is not quite clear (possible interpretations see in Шагиров 1, 246). The root is used also separately in Kab. \Iλa\i 'foot' and in a lot of compounds (\I*λa-paˊdǝ\i 'stocking', \I*λa-gʷaˊ(n\i)ža 'knee', \I*λa-sǝˊ\i 'barefooted' etc.).          In Ub. -pˀa = PAT *-pˀǝ. Cf. also λa in compounds (\Iλa-pˀcˀǝ\i 'barefooted', \Iλa-qˀaˊ\i (\Iaˊ-λaqˀa\i) 'trace, footprint' etc.).     See Trubetzkoy 1922, 188-189, Шагиров 1, 246. Note that despite Lomtatidze (1966, 157-158, 161) the PAK *-q:ʷa has nothing to do with PAT *-pˀǝ and Ub. -pˀa.
57|*zA|44|full|aˊ-zna|azna(ta)|jǝz|jǝz|ʁa-zaˊ|    PAT \I*(a)zǝ-na;\i PAK \I*jǝˊ-zǝ.\i All the forms (including Ub. \Iʁa-zaˊ\i) contain pronominal prefixes.
58|*tA-|285|give|aˊ-ta-ra|a-t-ra|tǝ-n|tǝ-n|ta-|    PAT \I*tA-;\i PAK \I*tǝ-\i (an objectless form \I*ta-\i > Ad., Kab. \Ita-n\i also exists). In Ub. \Ita-\i is archaic and rarely used; more usual is the form \Itʷǝ-\i which must be an old variant of the same root (labialisation may reflect either old Ablaut or old class affixation).
59|*pˀǝzˊA|299|1 clean 2 good|a-bziˊa 2|bzi 2|q:ā-bza 1|q:ā-bza 1|pˀcˀˊa 1|    PAT \I*bǝzǝ-jA;\i PAK \I*q:a-bzaˊ\i (Shagirov 1, 218 regards the q:a- as a directive preverb). The root \I*bza-\i can also be seen in the compound verb \I*č:a-bza-\i 'to get pure, settle (of water)'.         The Ub. form with glottalisation suggests PWC *pˀ-; the PAT reflex *-z- confirms it (if in PWC we had \I*bǝcˀˊA,\i then even after assimilation PAT *-zˊ- would be expected; on the other hand, *-zˊ- normally yields PAT *-z-). However, earlier glottalisation must have resided on the affricate, since the initial labial certainly is a historical prefix and there were no glottalised labial prefixes in NC or WC.
60|*ʁˊʷV (~ɣˊʷ-)|711|1 good 2 of high quality, fitting 3 fresh, young|||daʁʷǝ 1|daʁʷa 2|dāˊʁˊa 3|    PAK \I*daʁʷAˊ.\i The element *da- is the same as in PAK \I*da-xaˊ\i 'beautiful' and Ad. \Ida-jǝ\i 'bad'.
61|*cˀʷǝ|1440|good|||s˔ʷǝ|f˔ǝ||    PAK \I*cˀʷǝ.\i Also means 'sweet' within the compound PAK \I*ʡaˊ-cˀʷǝ\i > Kab. \Iʡaf˔,\i Ad. \Iʡas˔ʷ\i.
62|*čˀʷa|713|1 young, fresh 2 new 3 good|a-čˀaˊ 1|čˀa 1|čˀˊa 1,2|s˔ˊa 1,2|čˀa 3|    PAT \I*čˀa;\i PAK \I*čˀˊa.\i Usually these AA and AK forms are compared with Ub. \Icˀˊa\i 'young, fresh, new': the correspondence is, however, irregular, and there exists a self-standing PWC root \I*cˀˊV\i q.v. On the other hand, Ub. čˀ regularly corresponds to AT čˀ, AK čˀˊ, and the semantic correlation between 'new' and 'good' is fairly common.
63|*pašˊʷǝ|750|1 root; offspring 2 in front (postpos.)|a-paˊšˇ 1|pašʷ-ħa 2||||    PAT *pašʷǝ (cf. also Bz. a-paˊšˇ). The meaning 'in front' is probably conditioned by analogy with PAT *pǝ 'nose, front' (or is this really a compound with this morpheme in the first component?). A similar root is present in Kartvelian (PK *pasw- 'root', see Klimov 187), so a loan from Kartvelian is possible (however, the reverse can also not be excluded).
64|*šʷǝχʷa|714|1 grey 2 powder|||šχʷa 1|sˊχʷa 1|šχʷa 2|    PAK \I*šχʷa.\i The root is used in several compounds also, cf. PAK \I*q:a-šχʷa\i (Ad. \Iq:āšχʷa,\i Kab. \Iq:āsˊχʷa\i) 'blue', \I*šχʷa-(n)tˀaˊ \i'blue, green' (Ad. \Išχʷāntˀa,\i Kab. \Isˊχʷāntˀa\i) etc.
65|*ʁIa- ?|715|green, blue|||||ʁIa-qˀaˊ|    Isolated in Ub. with obscure etymology.
66|*cǝ|716|hair|a-χʷǝˊ-c|qwǝ-c|cǝ|cǝ||    PAT \I*cǝ,\i mainly within the compound \I*qʷǝ-cǝ\i 'a (single) hair' (cf. also Bzyb. \Ia-χʷǝˊ-c\i); cf. also Abaz. \Išla-c\i 'a grey hair'. PAK \I*cǝ.\i     In PAK we would expect a change *c- > *s-. One may suppose that it didn't occur in old compounds like \I*sˊħa-cǝ\i 'hair of head' (medial -c- did not undergo spirantization) which hindered spirantization in the independent position.     Abdokov (1983, 83-84) compares PWC \I*cǝ\i 'hair', explained as a contraction <  \I*dǝsǝ,\i with PAK \I*lasˊa,\i Ub. \Idašʷa\i 'wool' (see under \I*lasˊʷV\i). If this is true  we should rather speak of a more complicated contraction \I*lasˊʷǝ\i > \I*tħVsˊǝ\i  [which would be a regular reflex] > \I*cˊǝ\i > \I*cǝ.\i In this case, \I*-cǝ\i in PAT \I*qʷǝ-cǝ\i '(a single) hair' should be kept apart from the PAK form. The problem is still to be investigated.
67|*lakˀǝ ?|717|hair|||||Lakˀˊ|    Def. a-Laˊkˀˊ. An isolated Ub. word with obscure etymology.
68|*mV|718|1 hand 2 knee 3 kneeling|a-na-pˀǝˊ 1|napˀǝ 1|λagʷanǯa-mǝ-sˊħ|λagʷazˊa-mǝšˊħa|λa-mā-ša 2|    PAT \I*na-pˀǝ\i 'hand' (for -pˀǝ see PWC \I*pˀA\i) is obviously a dissimilation from \I*ma-pˀǝ.\i The root \I*ma\i is clearly seen in compounds like \I*ma-cʷA\i 'finger' (Abkh.  \Ia-ma-cˇaˊ,\i Abaz. \Ima-čʷǝ\i), Abkh. \Ia-ma-χʷaˊr\i  'arm' etc.     Outside AT the same root (with the general meaning "extremity") can be probably discovered within the common WC designation of "knee": AT \I*mǝ-qA\i (Abkh. \Ia-šˊa-mχǝˊ,\i Bz. \Ia-šˊa-mχǝˊ,\i Abaz. \Išˊa-mqa\i); Ub. \Iλa-mā-ša\i (where the first part is the PWC root for 'foot, leg' q.v. and the last part is the PWC root for 'head': the whole compound can thus be interpreted as "head of leg's extremity"). In AK this root has survived only within the compound \I*λa-gʷa(n)ža-mǝ-sˊħa\i 'kneeling' (\I*λa-gʷa(n)ža\i is the PAK word for 'knee').  Thus Abdokov's (1983, 79) comparison of PAT \I*mǝ-qA\i with an isolated Akhvakh  form (Akhv. \Imuqˀu\i 'knee') should be rejected.
69|*qˀˊIa (~*q:ˊIa)|719|hand|||ʡa|ʡa|qˀā-pˀaˊ|    PAK \I*ʡa;\i Ub. def. \Iaˊ-qˀapˀa.\i For the etymology of -pˀa see \I*pˀA;\i the root \Iqˀa-\i is discoverable in many compounds (\Iqˀa-(n)cʷaˊ \i'finger' etc.).     External correspondences suggest that this root must have been labialised, but labialisation was for some reason lost in PWC. Indeed, we find the labialised form \I*qˀˊIʷa\i (\I~*q:ˊIʷa\i) within the compound \I*qˀˊIʷa-(p)ƛˀa\i (~*q:ˊIʷ-) 'arms, embrace; to embrace' q.v.     AT parallels for this root suggested by several authors are not persuasive (see Шагиров 2, 154 - 155 with literature).
70|*SqIa|720|head|χǝ|qa|sˊħa|sˊħa|ša|    PAK \I*qA\i (cf. also Bz. \Ia-χǝˊ\i), PAK \I*sˊħa;\i Ub. def. \Ia-šaˊ.\i A cluster with some front fricative must be reconstructed for PWC on basis of the Ub. and AK forms; its precise nature is hard to establish.
71|*χ(I)a-|60|1 to hear 2 to be heard, reach one's ears|a-ħa-raˊ 1|ħa-ra, ʕa-ħa-ra 2||||    PAT \I*ħa-.\i The PWC reconstruction is tentative: without Ub. and AK parallels we could reconstruct *χ, *χˊ,*qˀI,*qˀˊI,*χI or *χˊI.
72|*q:ˊIʷA|408|1 to hear 2 to be heard, reach one's ears|āˊʕʷ-ra 2|aʕa-ra 1|ʡʷǝ- 2|ʡwǝ- 2|qˀʷǝ- 1,2|    PAT \I*(a)ʕʷA-.\i In Abaz. a secondary delabialisation (probably under influence of \Iħa-ra,\i \Iʕa-ħa-ra\i 'be heard') had occurred; the original variant is preserved within the compound \Iʒǝr-ʕʷ-ra\i 'listen' (see under \I*ŁA\i 'ear').     PAK \I*ʡʷǝ-\i (there exists also a "centripetal" form \I*ʡʷa-\i > Ad., Kab. \Iʡʷa-n\i). Ub. 3 sg. \Ia-qˀʷǝˊ-n.\i     The same root is also present in the common WC compound \I*lˊA-q:ˊIʷA-\i 'listen' (see under \I*ŁA\i 'ear').
73|*λʷǝ-|54|to hear|||zaxa-xǝ-n|zaxa-xǝ-n||    PAK \I*xǝ-\i (used only with preverbs). The PWC reconstruction is only tentative without AA and Ub. parallels (since PAK *x may go back to *λʷ, *ƛˊw, *λˊʷ, *x(ʷ), *xˊʷ).
74|*gˊʷǝ|55|heart|a-gʷǝˊ|gʷǝ|gʷǝ|gʷǝ|gˊǝ|    PAT \I*gʷǝ,\i PAK \I*gʷǝ,\i Ub. def. \Ia-gˊǝˊ.\i
75|*q:ˊʷa|593|horn|a-tˀʷǝˊʕʷa|čˀʷʕʷa|bzˊā-q:ʷa|bzˊā-q:ʷa|qˊa|    PAT \I*tˀʷǝ-ʕʷa;\i PAK \I*bzˊa-q:ʷaˊ\i (the etymology of \I*bzˊa-\i see under \I*bǝ˜zˊʷa\i).     Shagirov (1, 88) thinks that -q:ʷa here is the same as in \I*λa-q:ʷaˊ\i 'foot, leg'. This could be true if the compound had meant originally 'toe-nail' (lit. "foot-horn"), cf. an analoguous semantic development in Balto-Slavic (*noga). The same root may be discovered in other derivates like Kab. \Iq:ʷā-gʷa\i 'hornless, one-horned', Ad., Kab. \Iq:ʷā-pa\i 'corner, angle', Kab. \Iq:ʷā-ps\i 'root' etc.     Ub. \Iqˊa\i and PAK \I*q:ʷa\i point unambiguously to PWC \I*q:ˊʷa;\i however, in PAT we would rather expect \I*qʷa\i than \I*ʕʷa.\i The reason of the irregularity is that the PAT form must have originally been a compound: 'two horns', PWC \I*tqI:ˊʷǝ-q:ˊʷa\i which underwent a dissimilation and was transformed into \I*tˀʷǝqI:ˊʷa\i > PAT \I*tˀʷǝʕʷa.\i In this way the numeral retained here the initial dental, which was lost in the independent position (PAT \I*ʕʷǝ\i 'two' q.v.).
76|*sA|2283|I (1st p. pr.)|sa-raˊ|sa-ra|sa|sa|sǝ-ʁʷaˊ|    PAT \I*sa(-ra)\i (cf. also Bz. \Isa-raˊ\i), PAK \I*sa.\i The root (in the Ablaut grade \I*s(ǝ)\i) is used in all languages as a pronoun prefix of the 1st person sing.
77|*sˊV|768|to swim|a-ʒ-sa-ra|ʒ-ca-ra|ja-sǝ-n|ja-sǝ-n|ʒˊasˊa-|    PAT \I*ʒˊǝ-sˊa-\i (cf. also Bz. \Iaˊ-ʒˊ-sˊa-ra\i). For the first component (present also in Ub. \Iʒˊa-sˊa-\i) see \I*ʒˊV-.\i In Abaz. (and in the Abkh. Bz. variant \Iaˊ-ʒˊ-cˊa-ra\i) there occurred an assimilation (\I-ʒˊ-sˊa-\i > \I-ʒˊ-cˊa-\i), perhaps not without influence of \I*cˊa-\i 'to go' q.v.     In PAK (\I*ja-sǝ-\i) the root is present without the first component \I*ʒˊA\i (but with a pronominal prefix).
78|*kˀʷǝ-|721|kill|||wǝčˀˊǝ-n|wǝčˀǝ-n|kˀʷǝ-|    PAK \I*wǝ-kˀǝ-\i (with a transitivizing prefix *wǝ-), Ub. 1st p. \Ia-s-kˀʷǝˊ-n.\i Despite a phonetic irregularity (loss of labialisation in PAK), it seems to us impossible to separate the AK and Ub. forms (which had been compared by Dumeˊzil and Fähnrich 1972, 657). It is most probable that labialisation of *kˀʷ was lost in PAK under dissimilation with the initial prefix *wǝ-.
79|*q:ara|597|far|aˊ-χara|qara||||    PAT \I*qara\i (cf. Bz. \Iaˊ-χara\i).
80|*gʷan(ǝ)žˊa|722|knee|||λa-gwānǯa|λa-gwāzˊa||    PAK \I*λa-gʷa(n)žaˊ (\I*λa\i 'foot, leg' q.v.). It is hardly possible (for semantic reasons) to compare the AK form with Ub. \Igˊancˀˊaˊ\i 'handle' (see Shagirov 1977, 249).
81|*dǝrǝ-|723|know|a-dǝˊr-ra|dǝr-ra||||    PAT *dǝrǝ-. Further etymology unclear.
82|*cˀˊV-|160|1 know 2 learn|a-cˀa-raˊ 2||s˔ˊa-n 1|s˔ˊa-n 1|cˀˊa- 1|    PAT \I*cˀˊa-\i (cf. also Bz. \Ia-cˀˊa-raˊ\i); Ub. 1st p. \Ia-s-cˀˊaˊ-n.\i PAK \I*cˀʡa-\i: initial cluster is reconstructed on basis of Shaps. \Is˔qˀa-.\i The element -ʡa is treated (by Lomtatidze 1972, 130-133 and Shagirov 2,152) as an affirmative affix. Whatever it was, it influenced the development of the initial affricate (all affricates in such clusters become palatal in PAK). The original cˀ- (which is the normal PAK reflex of PWC *cˀˊ) is probably retained in Kab. \Icˀǝ-xʷǝ-n\i 'be acquainted (with someone)'.
83|*p:ǝGˊǝ (~*b-)|724|1 leaf 2 to open (of leaves)|a-bʁˊǝˊ 1|bʁˊǝ 1|||bʁˊǝ- 2|    PAT \I*bǝɣˊǝ;\i Ub. 3d sing. \Ia-bʁˊǝˊ-n.\i
84|*Ła(m)pa (~*l-)|499|leaf|||tħāp|tħampa||    PAK \I*tħaˊ(m)pa\i. Abitov's and Shagirov's (2, 83) explanation ("ear"+"front part") is clearly a folk etymology. The word has quite reliable parallels in EC languages. AK > Osset. (Dig.) \Itˀafä\i 'leaf', see Abayev 1979, 350..
85|*pˀƛˀa|150|1 leaf 2 foliage|||pˀčˀˊā-sˊ 2|pˀs˔ˊā-sˊa 2|pˀcˀˊa-paˊ 1|    PAK \I*pˀčˀaˊ-sˊa\i (the second component is not quite clear; without it cf. probably Kab. \Ipˀs˔ˊi-j\i 'plane seeds' = "belonging to leaves", see Shagirov 2, 53; despite Abdokov 1983, 107 it is hardly a separate WC root). In Ub. cf.  also \Ipˀcˀˊaˊ-wa\i 'leaf', \Ipˀcˀˊāˊ-d(ǝ\i)ʁa 'paper'. The correspondence PAK *čˀˊ: Ub. cˀˊ points unambiguously to PWC *ƛˀ.
86|*ja|194|1 to lie 2 to sleep|a-ja-raˊ 1||-ja-n 2|-jǝ-n 2||    In PAK the root may be discovered within the compound \I*č:ǝ-ja-\i 'to sleep' (see \I*ƛ:ʷa\i 'sleep').
87|*λˊǝ-|133|lie|a-šˊ-ta-raˊ|šˊ-tˀa-za-ra|-λǝ-|-λǝ-|-λǝ-|    PAT \I*šˊǝ-ta-\i (with unclear glottalization in Abaz.); the element *-ta- may be possibly identified with the locative verbal stem \I*-ta-\i 'to be (inside)'. In AK (PAK \I*λǝ-\i) and Ub. this root is used only with locative preverbs (cf. Kab. \Ijǝ-λǝ-n\i 'lie within', Ub. \Ibʁˊa-λǝ-\i 'lie upon'  etc.). In Ub. the root is confined to the plural (being the collective counterpart of -sǝ- q.v.).     The transitive meaning ("to put") is not attested in the verbal paradigm, but there are some nominal derivates which have preserved it: cf. Kab. \Iλa\i 'place' (*'place to put smth.'), Ub. \Iλa-šʷaˊ\i 'sheath, case' ("place (-šʷa) to put smth. in").
88|*gʷa (~*gˊʷ-,*k:ʷ-)|396|near|āˊjgʷa|argʷa-nǝ||||    PAT \I*ajǝ-gʷa\i / \I*arǝ-gʷa\i (with pronominal or reflexive prefixation; in Abaz. cf. also \Iajgʷa\i 'friend'). The Abkh. form \Iājgʷa\i goes back to \I*ʕa-ajǝ-gʷa\i with an additional locative prefix.
89|*sǝ- (~ *š-)|89|1 sit 2 sit; lie|||-sǝ-n 1|-sǝ-n 1|-s- 1,2|    PAK \I*-sǝ-\i (used only with preverbs, e.g. \I*jǝ-sǝ-\i etc.). In Ub. the verb is also attested only with preverbs.
90|*cˀʷA|725|liver|a-gʷa-čˀˇaˊ|čˀʷa|s˔ˊʷǝ||gˊǝ-cʷaˊ-bIa|    PAT \I*cˀʷa\i (in Abkh. - a compound with \I*gʷǝ\i 'heart'). Ad. < PAK \I*cˀʷǝ.\i Ub. also has a compound with \Igˊǝ\i 'heart' (cf. Abkh.) + \IbIa\i 'grey'. Note the loss of glottalization in Ub. (a misspelling of Vogt?); the normal glottalized form of the root appears in \Icˀʷa-caˊ\i 'gall' (-ca is probably 'burning, bitter').     See Shagirov 1977, 2, 83.
91|*ajǝš:ʷǝ- ?|782|short||ajšǝs||||    Isolated in Abaz. with obscure etymology.
92|*lamǝcˀˊʷǝ- ?|726|liver|||tħams˔ˊǝʁw|tħams˔ˊǝʁw||    PAK *tħamǝcˀˊǝʁʷǝ. Obviously a compound of some kind, but a good explanation is not found yet. (Shagirov 2,83 proposes 'spirit' (*tħa) + 'accompany', Kab. s˔ˊǝʁʷǝ-n - but the latter corresponds to Ad. čˀˊǝʁʷǝ-n < *čˀǝʁʷǝ-). Despite  Abdokov 1982, 83, the AK form should certainly be kept distinct from WC *cˀʷA  'liver' q.v.
93|*ŁʷA|66|long|a-wǝˊ|wǝ|čˀˊǝ-ħa|čˀˊǝ-ħ|wa|    PAT \I*wǝ;\i PAK \I*kˀǝ-ħAˊ.\i In the first part of the AK compound we may possibly see PAK \I*kˀǝ-\i 'grow' (unlike Shagirov 2, 135 we wouldn't like to split PAK \I*kˀačˀˊǝˊ\i 'short' and find in it's first part the same component; see the etymology of this word). The second component, \I*ħA,\i is strangely enough, related by Shagirov (ibid.) to PAK \I*ħA\i 'bring, carry'. We would still like to follow Trubetzkoy in connecting the AK and Ub. forms (the ħ:w correspondence is here just the same as in the word for "dog"). However, PAT should have regularly had l-, not w- here; perhaps we should assume that PWC *Łʷ was for some reason split into l and w in PAT (position before different vowels? - there are too few examples to come to a definite conclusion).         In Ub. wa can be also discovered in the word for far (\Iλa-waˊ\i lit. 'long for feet').
94|*cˀˊA|67|1 louse 2 nit|a-cˀaˊ 1|cˀa 1|cˀa 1|cˀa 1|tˀa-cˀˊ 2|    PAT \I*cˀˊa\i (cf. also Bz. \Ia-cˀˊ\i); PAK *cˀa. Ub. has a compound of \I*tˀa\i 'nit' + \I*cˀˊA\i 'louse' (despite Shagirov 2, 125 Ub. \Itˀakˀˊ\i 'louse' can not belong here; coincidence with -cˀˊ in \Idǝmacˀˊ\i 'egg' is probably fortuitous).
95|*tˀa|727|1 louse 2 nit|||||tˀakˀˊ 1, tˀacˀˊ 2|    The Ub. root \Itˀa-\i is isolated (\Itˀa-kˀˊ\i may be an old singulative form; about -cˀˊ see \I*cˀˊA\i - Ub. \Itˀa-,\i inspite Shagirov 2, 125, can have nothing to do with this root), but has rather probable EC parallels.
96|*q:acˀˊa|728|man|a-χaˊcˀa|qacˀa||||    PAT *qacˀˊa (cf. also Bz. a-χaˊcˀˊa). Pl. *qa-cʷa (Abkh. a-χaˊcˇa, Abaz. qačʷa) is probably a reduction of *qacˀˊa-cʷa.
97|*ƛˀˊǝ|634|man|||ƛˀǝ|ƛˀǝ||    PAK \I*ƛˀǝ.\i Despite Abayev 2,19-20, Balkarov 1969,171, Shakryl 1968, 30-31, 77 and Shagirov 1,257 the AK word can not be related to PAT \I*lǝgǝ\i 'slave; old man'.
98|*kʷabžˊa ?|729|man, husband|||||kʷabžˊaˊ|    An isolated Ub. word with obscure etymology.
99|*racʷa ?|730|many|aˊ-račˇa|||||    Isolated in Abkh. with unclear etymology (the element -cˇa should be perhaps identified with the plural suffix -cˇa ?).
100|*λˊarǝda|731|many|šˊaˊrda (Dzhan)|šˊarda||||    PAT *šˊarǝda (the Abkh. word is noted only in Dzhanashia's dictionary). Further etymology unclear.
101|*bIA|202|1 many 2 thick 3 thumb, big toe|-b 3|-ba 3|ba 1|ba- 1 (in comp.)|bIǝ 2|    The root is preserved independently in Ad. (PAK \I*ba\i 'many'; Kab. preserves it only within compounds like \Iba-ʁʷa-n\i 'to increase, prosper' - see Шагиров 1,70-71) and Ubykh. AT languages have kept the root only in compounds \I*macʷǝqA-bA\i 'thumb' (Abkh. \Ia-nacˇχǝˊ-b,\i Abaz. \Imačʷqa-ba\i) and \I*šˊacʷǝqA-bA\i 'big toe' (Abkh. \Ia-šˊacˇχǝˊ-b,\i Abaz. \Išˊačʷqa-ba\i) = Ub. \Iqˀa(n\i)cʷa-bIǝ, \Iλa(n\i)cʷa-bIǝ.       Another common WC compound with the same component is \I*λˊa-bIA\i "foot's bulge" > Ad. \Iλa-b\i 'heel', Ub. \Iλa-bIǝ\i (in compounds) - see Dumeˊzil 1965, 235, Шагиров 1, 248-249).         On the etymology of PAK \I*ba\i see Шагиров 1,70-71 with literature (all attempts to separate this morpheme from Ub. \IbIǝ\i and AA \I*-bǝ\i seem to us superfluous).
102|*kʷa(nǝ)dǝ|732|many|||kʷandǝ|kʷad||    Isolated in Adyg with obscure etymology (see Kuipers 1975; Shagirov 1,213; his hypothesis of borrowing from Oss. kˀord 'group' does not seem phonetically plausible).
103|*ʁǝ- (~ *G-)|733|1 hold 2 have|||ʡǝ-ʁǝ- 1|ʡǝ-ʁǝ- 1|qˀa-ʁǝ- 2|    PAK \I*ʡǝ-ʁǝ-;\i Ub. 1st p. \Ia-s-qˀāˊ-ʁ.\i The 1st part of the compound is probably PWC \I*qˀˊIa\i 'hand' q.v. (see Shagirov 2, 162). A derivate of this verb stem in Ub. is probably \Iqˀāʁǝˊ\i 'many, much' (= "(all) which is had").
104|*kˀʷacˀˊǝ (~ *kˀˊʷ-)|734|1 entrails, intestines 2 meat|a-kˀʷaˊc 2||kˀʷacˀ 1|kˀʷacˀ 1||    PAT \I*kˀʷacˊǝ\i (cf. Bz. \Ia-kˀʷaˊcˊ\i); PAK \I*kˀʷaˊcˀǝ.\i In Abkh. we must suppose a dissimilative deglottalisation of the second consonant. The meaning 'meat' in Abkh. is obviously secondary (\Ia-žˊǝ\i q.v. was the original name for meat).     Different attempts to analise the AK stem as a compound (see Shagirov 1, 217 with literature) seem rather arbitrary. It is probably best to regard the root as a whole.
105|*LˊA|69|1 meat 2 entrails, intestines|a-žˊǝˊ 1|žˊǝ 1|Lǝ 1|Lǝ 1|La 2|    PAT \I*žˊǝ\i (the Abkh. word is now rarely used and only in the meaning 'flesh, (animal's) carcass'); PAK \I*Lǝ.\i Ub. \Iʁˊa\i 'meat' (compared by Lafon 1966,24) can not be related for phonetic reasons.
