NUMBER|PROTO|PRNUM|MEANING|DRG|CHR|COMMENT
718|*=ik-|1829|an auxiliary verb ('to be, to do')|=ik- / =ilk-|=ik- / =irk-|
719|*ʔixʷ-|596|1 to lead 2 to throw|=ux-/=ix- 1(Ur)|ixʷ- /irxʷ-|    The Ur. verb has a complicated paradigm: \I=ux-\i / \I=ix-\i (3d person), \Ix-\i / \I=ix-\i (1st p.), dur. \Iarx-.\i
720|*ʔilg(Vn)- / ʔulg-|1832|to stay||elg- / ulg-|
721|*ʔVk-|63|to stay|k-al-||
722|*=iʕʷ(Vn)-|1834|to steal|=ilʕ-|=iʕʷVn-/=ilʕʷ-|    Cf. also Ur. \I=iʕ-\i / \I=ilʕ-,\i Kub. \I=aʕ-\i / \I=ilʕ-\i id.
723|*=irʁIʷ-|1836|to deceive|=irʕʷ- (Ur.)||
724|*=aḳ- / *=iḳ-|570|to put|=aḳ-/=iḳ- (Ur.)||    Cf. also Kub. \Itabd-ač̣-ĳ\i / \Itabd-ič̣-ĳ\i id.
725|*c̣aꭓ:|1839|ashame|c̣aꭓ-li||    Cf. also \Ic̣aꭓ-bares\i 'to disgrace'.
726|*=uc-|1840|1 to take 2 to catch|=urc- 1|=uc- / =urc- 2|    Cf. also Ur. \I=uc-\i / \I=urc-\i 'to take'.
727|*=ik- / *=irk-|1841|to fall|ka=irk-|ke=ik- /ke=irk-|    Used only with the preverb ka-.
728|*=aʁ- / =irʁ-|733|to find||=aʁ- / =irʁ-|    Cf. also \Ičas=aʁ-\i / \Ičas=irʁ-\i 'to reach'.
729|*=ujk:-|1845|to find||=ujk:-|
730|*=uq̇Ian-|1846|to go||=uq̇I-|    The root is used in Chir. only in imperative. Cf. also Ur. \I=uq̇aIn-\i / \I=irq̇(aI\i)- 'to go away', Chir. \Is-aq̇I-\i 'to come' (used in present and in the prohibitive \Ima-saq̇Iu\i).
731|*=ic-|1847|to sell|=irc-|=ic- / =irc-|    Cf. also Ur. \I=ic-/=irc-\i id.
732|*mas:|1848|wares, goods|mas||
733|*=as:-|1849|to take, buy||=as:- /=is:-|    Cf. also Ur. \I-as-\i / \I-is-,\i Kub. \I-as:-/-is:-\i id.
734|*=uč-|1851|1 to gather, collect 2 to take|=uč- 1|ha=alč-/=ulč- 2|    Cf. also Ur. \I=uč-\i / \I=urč-\i 'to gather, collect', Chir. \Ičark=alč-\i \I/=ulč-\i 'to take off, take away'. -l- in the Chir. form is not clear.
735|*=a(r)q:I-|1853|take away, carry away||=arq:I- / =iq:-|
736|*=ert:- /*ʔut:-|1854|to mow|ud-|=ert:- / ut:-|    Cf. also Ur. \I=ird-\i / \Iud-\i 'to break, tear'; with preverbs Chir. \Ičer(k)=ert:-\i / \Ičer(k)-ut:-\i 'to break apart, tear away', \Ičars(a)=ert:-\i / \Ičarsa-t:ʷ-\i 'to take away', \Ičep:-ert:\i / \Ičap:-ut:-\i 'to burst'.
737|*=ač̣-|1856|to choose||=ač̣a =arq̇i|    Used only in a compound with \I=arq̇-\i (lit. "to make a choice").
738|*d-urhI-|1860|cheap|durʕe-si||
739|*=iṭ- / *=irṭ-|1862|to be bored, fed up with smth.||=iṭ- / =irṭ-|
740|*=ax-|1827|to come||=ax-|    Used only in imperative ("come!): \I=aše,\i plur. \I=axa-ja.\i
741|*=ils:Vn-|1866|to spin|las-bires||    Cf. Ur. \I=ilsVn-\i / \Ilus-.\i The Ak. form is a compound verb ("to make spinning").
742|*=ark- / =irk-|1831|to return||ar=ark-/ar=irk-|
743|*=uqVn-|1869|to run away||sa=uq- /sa=ulq-|    Cf. also Chir. \Iduc̣=uq-\i / \Iduc̣=ulq-\i to run, Ur. \I=uqVn-\i / \I=ulq-\i id. In Ur. the same verbal root means also 'to descend'; the semantic development here is not quite clear, and one wonders whether it is not a result of a contamination with some other root (for external parallels cf. perhaps Arch. \I=aꭓ:Ia-s,\i \I=arꭓ:Iu-r\i 'to descend').
744|*ḳanṭ|1875|jump, leap||ḳanṭ|
745|*šur- ( ~ š:-)|1876|to turn round, turn aside|šuri-es||
746|*d-alq̇-|565|to dangle, shake||dalq̇-aʁ-|    A compound verb (with the second component \Iaʁ-\i 'to drive, urge').
747|*=iʒ- ( ~ -z-)|1877|to crumble, fall apart||=iz- / =ilz-|    Cf. also Chir. \I=iz-\i in \I=ize =aq-\i 'to pour, strew, scatter'.
748|*=uq-|1879|to grow|=uq-es||    Cf. Ur. \I=irq-\i / \I=uq-\i 'to be high, good (of crops)'.
749|*=aꭓVr-|221|to put clothes (on the upper part of body)|=ahr- (Ur.)|ča=aꭓ- / =iꭓ-|
750|*=uq̇-|568|to be spoiled|b=uq̇=bues||
751|*=ac̣-|1882|to melt, thaw||=ac̣- / =ic̣-|    Cf. also Ur., Kub. \I=ac̣-\i / \I=ic̣-\i id.
752|*=alkʷVn-|1707|to set fire|=alkʷVn- (Ur.)||
753|*=iš(Vn)-|1885|to extinguish, go out (of light)||=iš- / =ilš-|
754|*ʔic:-|1888|to hurt, ache, be ill|izz-|ic:-|    Cf. also Ur. \Iiʒ-\i id. and the PD derivate \I*ʔic:ala\i 'disease, pain': Ak. \Iizzala,\i Chir., Kait., Kub. \Iic:ala.\i
755|*=Vbꭓ:-|1889|to swell||=ebꭓ:- / =ibꭓ:-|
756|*=uk- / -uk:-|1890|to itch|=uk-|=uk:ag- / =uk:-|    Tense -k:- in Chir. is probably secondary (either under Lezg. influence, or due to a confusion with \I*=ik:ʷ-\i 'to burn' q.v.).
757|*qars:-|1891|to scratch|qars-bires||
758|*=išq-|1892|1 to scratch, scrape 2 to tear|išq-|=isqI-|    Cf. also Ur. \I=išq-\i / \Iišq-\i id., and an expressive nominal derivate in Ak. \IqaIbš-bares,\i Chir. \IqIams ī\i 'to scrape'.
759|*=uš(:)-|1894|to lower, put down|=uš-es||    Cf. also Ur. \I=uš-\i / \I=urš-,\i \Iš-\i / \I=urš-\i id.
760|*ʔihI- ( ~ -ʕ-)|1895|to winnow|iʕ-es||
761|*=uqVn-|1896|to be separated, separate|=uqn- / =ulq-(Ur)||
762|*=u(r)k:- ( ~ -g-)|575|to fight|=urɣ- (Ur.)||    The stem is used only as durative, thus -r- may be an infix and not belong to the root.
763|*=elq̇Vn- / *=uq̇Vn-|1900|to pound; to grind||=elq̇- / =uq̇-|    Cf. Ur. \I=ilq̇Vn-\i / \I=uq̇-\i 'to grind'.
764|*=iq̇ʷ-|1901|to split, break|=iq̇ʷ-/=iq̇ʷ- (Ur.)||    There is also another verb in Ur.: \I=irq̇ʷ-\i / \I=irq̇ʷ-\i 'to rip'; it seems most probable that \I=iq̇ʷ-\i and \I=irq̇ʷ-\i represent an originally single paradigm.
765|*=uṭ-|1902|to divide, distribute|=uṭ- /=urṭ- (Ur.)||    An old derivate is Chir. \Ib-iṭal\i 'part, piece' (\Ibuṭa\i in most other dialects is probably a loanword from Avar).
766|*b-aIHVnV|1904|half||baIʕne|
767|*=alʁVn-|1905|to cut, chop, shear||=alʁVn- / =ulʁ-|    Cf. also Ur. \I=alʔVn-\i / \I=ulʔ-\i id.
768|*=iḳ-|1906|to separate|=iḳ-/=irḳ- (Ur.)||
769|*rurk:ani|1645|gimlet|rurgani||
770|*ʁIuč̣ / =ušq̇I-|1909|1 to rumple, crumple 2 to press, squeeze|=ušq̇Ia-qes 1|ʁIuč̣ b=arq̇ī 2|    Cf. also Ak. \I=ušq̇-\i 'to be rumpled', and the nominal part of \Iq̇aIbš-burces\i 'to wrinkle, contract', \Iq̇aIbš-ilzes\i 'to be wrinkled'. An expressive stem with irregular changes.
771|*=ebk:- (/*buk:-)|1910|1 sharp 2 to sharpen, whet|buga-si 1|=ebk:-/=ibk:- 2|    Cf. also Ak. \Ibuga-bires\i 'to sharpen, whet'.
772|*=aš(:)Vn-/*=alš(:)-|1911|to knead (dough)|=alš-es||    Cf. Ur. \I=ašVn-\i / \I=alš-\i id.
773|*č-aʁ-|1912|to bleach, whiten||čaʁ- / čejʁ-|    The same verb means in Chir. also 'to close, shut'; this should be probably explained by an original meaning like "to paint over, to seal up". Cf. also (with the Ablaut grade i) Chir. \I=irʁʷ-\i / \I=iʁʷ-\i 'to scrape, scratch'.
774|*ʔalʁIʷVn-|1913|to fasten, button up|ilʕ-es||    Cf. also Ur. \IalʕʷVn-\i / \Iulʕ-\i id.
775|*=aIqʷ-|1914|1 to derange, mess up 2 to beat, hit, wound|=aIqʷ=/=iqʷ-(U)|=aIq-/=urqI- 2|    Cf. also the derivate \I*d-aIqi\i 'wound' (Ak. \IdaIqi,\i Chir. \IdaqIa,\i Ur. \IdaIqi\i) (note, however, that it can also be derived from PD \I*=aIq-\i / \I=iq-\i 'to cut, separate').
776|*=aIč̣Vn-|1915|to press, squeeze||=ač̣- / =alč̣-|    Cf. also Ur. \I=aIč̣Vn-\i / \I=aIlč̣-\i id.
777|*=irk- / =uk-|1917|to take with, provide||=erk- / =uk-|    Cf. also Kub. \I=uk-\i (\I=uč-ĳ\i) id.
778|*ʔabx:- / *ʔibx:-|1920|to open|abx-|abx:- / ibx:-|
779|*b-arš:-|1922|to load, charge (weapon)|barš-es||    Cf. also Ur. \Ibarš-\i / \Ibirš-,\i Kub. \Ibāš:-\i / \Ibūš:-\i id.
780|*=V(r)x:-|1923|paint, dye|ruxeri||    The noun is a derivate from the verbal root \I*=V(r)x:-,\i preserved in Kub. \I=ēš:-\i / \Ijuš:-\i 'to paint'.
781|*=as:Vn|1924|1 to paste, glue, smear 2 glue (n.)|d-asni 2|ča=as:-/=als:-1|    Cf. also Ur. \I=asVn-\i / \I=als-\i 'to glue, paste'.
782|*=ak-|1926|to smear|=ak-es||    Cf. also Ur. \I=ak-\i / \I=ik-\i id.
783|*=alḳʷVn|1929|to climb, clamber|=alḳʷVn (Ur.)||    Dur. \I=ilḳʷ-.\i
784|*luqVn-|1930|to work||luq-|
785|*=irq:ʷ- / *ʔiq:-|1931|to dig|iq:-es|=irq:ʷ- / =iq:-|
786|*ʔVrɣ-|1933|to sift, screen||erɣ- / urɣ-|
787|*=Vrš(:)-|1937|to weave||=erš- / ruš-|    Cf. Ur. \I=irš-\i / \I=uš-\i id. We should expect tense *š: in PD, thus the notation -š- in the MSU Chirag recordings is rather strange; unfortunately, there are no Tsud. or Kub. data available.
788|*=V(r)z-|1936|to spin||=erz- / =uz-|
789|*ʔumcVn-|1939|to measure, weigh|umc-es|uncVn- /unc-|    Cf. also Kub. \Iums-\i id.
790|*=ušk:-|1943|to sweep||=ušk:- / ušk:-|    Cf. also Ur. \I\I=ušk-\i\i 'to clean'.
791|*=is:-|1944|to weep|=is-es|=is:-|    Cf. also Ur. \I=is-\i id.
792|*=irc- / *ʔic-|1946|to wash|=ic-es|=irc- / ic-|    Cf. also Ur. \I=irc-\i / \Iic-\i id.
793|*ʔabꭓʷ- / *ʔibꭓʷ-|1949|to comb|abꭓ-es|abꭓ- / ibꭓ-|
794|*čV-lṭVn-|1619|to put on (trousers, shoes)||če-lṭVn-/če-jṭ-|    The original meaning was probably 'to tie round (one's waist, foot)', cf. the external evidence.
795|*=VlḳʷVn-|1952|to write||=elḳVn- / luḳ-|    Cf. also Ur. \I=ilḳʷVn-\i / \Iluḳ-\i id.
796|*=urs- (/ =us-)|1953|to say, tell|=ur-es|b-urs-|    Cf. also Ur. \I=ur-\i / \I=uh-\i 'to say'.
797|*=[a]lgwVn|1954|1 to ask 2 to count, to read|=alɣʷVn- (Ur.)1|=elgʷVn-/lug- 2|    Ur. dur. \I=ulɣ.\i
798|*ʁurʁ-|1957|1 to grumble 2 to roar|ʁurʁur-biḳes 1|ʁuʁ buč̣ī 2|
799|*c̣uṗ|660|to suck||c̣uṗ barq̇ī|
800|*=iž- ( ~ -č:-)|1961|to lick|iž-es||
801|*lemc̣|1962|to lick|limc̣i-ḳes|lemc̣ barq̇ī|    A compound verb (nominal component \I*lemc̣\i).
802|*p:aj / *up:aj|1963|1 kiss 2 to kiss|baj 1|up:a ī 2|
803|*ʔaHʷ-|1966|to swallow|aIʕʷ-/ iʕʷ- (Ur.)||    Attested only in Ur., thus there are several possibilities of reconstructing the final consonant in PD (*ʁ(I)ʷ, *ʕʷ, *hIʷ).
804|*s:Vrs:-|1969|to tremble|serser-iḳes||
805|*ḳVrḳ-|1970|to tremble||ḳurḳur uč̣ī|
806|*c:erc:er ( ~ *z)|1971|to tremble, shake|zerzer-biḳes||
807|*d-aqIala|1973|laugh||daqIala|
808|*ꭓ:ʷari|1979|joy||ꭓ:ʷare|
809|*=aꭓ:- / *=i(r)ꭓ:-|1980|to believe|w=irꭓ-ares|raꭓ:-čarg-|    The Chir. form is a compound with the second component \I*ʔaɣ-\i 'to go' (preceded by the preverb *č-).
810|*duruk: ( ~ t:-,-g)|1983|spindle|durug||
811|*c̣Vꭓʷ-|1984|fumes|c̣uꭓ-la gaIʕ||
812|*čaꭓI-čaꭓIi|1925|waterfall|čaIħčaIħi||
813|*meq:|1993|marriage, wedding|meq:||    Cf. also Muir., Kub. \Imiq,\i Sirg., Tsud. \Imeq,\i Ur. \Imiq:.\i
814|*k:[e]ma|1995|godeḳan|gumaj|k:ama|    Cf. also Ur. \Igumaj,\i Kait. \Ič:ima-sala,\i Kub. \Ik:uma-la.\i All dialects (except Chirag) reflext suffixed forms (original locatives).
815|*ʔarꭓI|1996|hollow||aIrꭓI|
816|*čaꭓI ( ~ -ꭓ:I)|2001|diarrhea|čaIħ||    Cf. also Kait. \IčaIh-ni\i id.
817|*čaIrt|2002|dirt|čaIrt||    Cf. Ur. \IčaIrt\i id.
818|*ʔurcu-l(i)|2006|wood, firewood|urculi||    Cf. also Ur. \Iurcul,\i Kub. \Ius:ul\i id.
819|*p:iric: (~b-)|2007|poplar|biriz||
820|*durk:|2008|cone|durg||    Cf. also Kub. \Idūk\i id.
821|*kiri|2010|virtue|kiri||    Cf. also Ur., Muir. \Ikiri,\i Kub. \Ičire\i id.
822|*nana|2022|pupil of the eye|nana-ħuli||    A compound with \Iħuli\i 'eye'. Other Darg. dialects use the simple root \I*nana\i with the meaning 'pupil of the eye': Ur., Muir., Sirg., Kait., Kub. \Inana.\i
823|*qeħ|2024|cough|qeħ|qIaħ|
824|*k:eč:-ba|2025|kid|gežba||    Cf. also Ur. \Igiǯwa,\i Kub. \Ik:ičba,\i Tsud. \Ik:ičba\i id. *-ba is probably an original plural suffix.
825|*q̇aIrč:a ( ~ -ǯ-)|2029|hedgehog|q̇aIrža (Ur.)||    Cited from Khaidakov 1973.,
826|*ꭓIakim- ( ~ ꭓ:I-)|2031|bat|ħaIkim-purṭ||    The component \Ipurṭ\i is unclear.
827|*buk: ( ~ -g)|2032|some wild animal|-bug||    The root is used only within the compound \Idugeli-bug\i 'badger' (see PEC \I*dVlVgV\i for the first part).
828|*š(:)imš(:)a|2038|moss, lichen|šimša||
829|*baIṭ|2055|duck|baIṭ||    The Darg. word was probably borrowed into Lezg.: Lezg. \Iṗaṭ\i 'duck' (quite isolated among Lezghian languages).
830|*q̇uṭq̇uṭi|2056|woodpecker|q̇uṭq̇uṭi||
831|*c̣irq̇|2062|panther|c̣irq̇||
832|*c̣aq̇-|2063|sharp|c̣aq̇-si||
833|*č̣aInḳu-|2064|naked, bare|č̣aInḳu- (Tsud.)||    Cf. also Kharb. \Ič̣aInḳu-se\i id.
834|*deḳʷa|2069|patch|deḳa||    Cf. also Kub., Ur. \Idiḳʷa\i id.
835|*q:ʷaṭ|1671|street-block|q:ʷaṭ (Ur.)||    Cf. also Kub. \Iq:at:ala,\i Kharb. \Iq:at:i\i 'street' (with assimilation ṭ > t:).
836|*=irč̣- / =uč̣-|2076|to roast, fry|=irč̣-/=uč̣- (Ur.)||
837|*k:ilt:- (~g,d)|2082|tickling|gildi, gidgid||
838|*kʷaꭓ:i|2084|iron shovel (for shoveling up ashes)|kaꭓi||    Cf. also Ur. \IkʷaIꭓi\i (with secondary pharyngealisation), Tsud. \Ikuꭓ:i,\i Kub. \Ikʷaꭓ:a.\i
839|*lada|2089|strawberry|lada (Kub.)||
840|*mark:ulV|2094|meadow||mark:ule|
841|*q:uq:u|2106|thunder|q:uq:u||
842|*ʁʷaj ( ~ ʁ-)|2107|rumour, news|ʁaj||
843|*qIʷanṭa|2109|back (of head)|ʕela-qaInṭa||    Cf. also Kait. \IqIʷanṭa-la,\i Kharb. \IqIanṭa-la,\i Tsud. \IqIʷanṭa\i id.
844|*q̇as:i|2114|shelf|q̇asi||
845|*q̇Iali|2115|branch|q̇aIli||    Cf. also Ur., Tsud. \Iq̇aIli,\i Kub. \Iq̇aIla\i id. Darg. > Lak. Bartkh. (cited from Khaid. Dial.) \Iq̇aIli\i 'branch'.
846|*q̇I(ʷ)aq̇|2117|hill|q̇aIq̇||
847|*ʁumʁum-|2179|to grumble|ʁumʁum-biḳes||    Cf. also \Iʁumʁum-ʁala\i 'rumble' (n.).
848|*šinq̇Ia ( ~ š:-)|2125|ink|šinq̇Ia||
849|*š:aIṭ / *š:uṭ|2127|whistle|šaIṭ|š:uṭ|    Cf. also Ak. \IšaIṭaxi\i 'reed-pipe' (similar to \IšaIṭ,\i but possibly borrowed - through Lak. \Iš:uIṭuꭓ:i\i - from Av. \Iš:ʷanṭiꭓ:\i).
850|*dirq̇(a)|2129|plain|dirq̇|dirq̇a|    Cf. also Ur. \Idirq̇,\i Muir., Sirg., Tsud. \Idirq̇a,\i Kub. \Idīq̇a\i id.
851|*ṭamqIa|2131|arc, hoop|ṭamqaI||
852|*buq-mu[ʁ]|333|sheep's tail|buq-muj||    Cf. also Kad. \Ibuq-muh,\i Gapsh. \Ibuq-muʔ,\i Tsud. \Ibuq-nuʁI\i id. (reflexes of *ʁ are not quite regular, probably because of dissimilation with -q-). The word is a compound of *buq- (see under \I*wərqV\i) and *-mu[ʁ] (see under \I*mēʁV\i).
853|*biq̇-ri|2134|witness|biq̇ri||    Cf. also Ur. \Ibiq̇ri,\i Kub. \Ibiq̇e\i id.
854|*buret:a|2138|axe|barda|barat:a|    Cf. also Ur. \Iburida,\i Gapsh., Kharb. \Iburet:a,\i Kait. \Iberet:a,\i Kub. \Ibāt:a,\i Tsud. \Ibart:a\i id.
855|*zara-|2143|healthy, whole|ara-si||    Cf. also Ur. \Iara,\i Tsud. \Izara-se.\i
856|*=ark:ʷ- /*r-urk:-|224|to wrap|=argʷ- / rurg-||    The form is cited from the Ur. dialect (in Uslar's recording).
857|*=irḳʷ-|2146|to peel, shell|=irḳʷ- (Ur.)||
858|*=aꭓIʷ- ( ~ -ꭓ:Iʷ-)|2148|to fight|=aIħʷ-/=irħʷ-||    An Ur. form (cited from Uslar's recordings).
859|*=aʔ-|2149|to be sufficient, enough|=aʔ- / =iʔ-||    The root is homonymous with \I*=aʔ-\i 'to reach' (q.v.), due to a secondary merger.
860|*=ik- / *k-|133|to lead|=ik- / k-||
861|*=ark:ʷVr- /*=irk:ʷ-|2150|to deceive|=irg-es||    Cf. Ur. \I=argʷVr-\i id.
862|*=iq̇ur-|2151|ripe|=iq̇ur-il (Kait.)||    Cf. also Tsud. \Ibiḳur-se\i (an MSU recording, probably with a misspelling instead \I*biq̇ur-se\i). It is very probable that Ak. \Ib=urq̇a\i 'old' also belongs here (with Ablaut).
863|*=iṭVn- / *=ilṭ-|2152|to take out, pull out|=iṭVn- / =ilṭ-||    An Ur. form (cited from Uslar's recordings).
864|*ʔarṭ- / *ʔirṭ-|2154|to sting|arṭ-/irṭ- (Ur.)||
865|*=uč-|2156|to darn|=uču-kes||
866|*ʔup:a-j ( ~ -b-)|2157|step-relative|ubaj||    The word is used in compounds (\Iubaj urši\i 'step-son', \Iubaj rursi\i 'step-daughter', \Iubaj dudeš\i 'step-father', \Iubaj neš\i 'step-mother'). -b- in  Ak. certifies the secondary nature of -ɣ- in Ur. \Iuɣaj-ada\i 'step-father',  \Iuɣaj-aba\i 'step-mother' - which makes Trubetzkoy's (1922, 242) comparison of  this word with Av. \Iw-aƛ̣:a-d\i 'father-in-law' improbable (etymology of the  latter see under PEC \I*Ł̲ōlV\i).
867|*=uc:-|2158|to grow|=uz- (Ur.)||
868|*ʔurc:-|2159|to rain, to snow|urz- (Ur.)||
869|*=umꭓI(:)ʷ-|2160|to play|=umħʷ- (Ur.)||
870|*=iq̇Vr-|2163|to feed, to rear|=iq̇Vr- / =ilq̇-||    The form is from the Ur. dialect (cited from Uslar's recordings). Cf. also Kait. \I=iq̇ar-\i id.
871|*=arš-|2164|to rot||=arš- / =urš-|
872|*duč:|2166|burden (of grass), heap of grass||duč:|
873|*ʔaʁ- / *ʔiʁ-|2167|to send; to drive||aʁ- / iʁ-|    Cf. also Ur. \Iaʔ-\i / \Iiʔ-,\i Kub. \Iaʁ-\i / \Iiʁ-\i 'to send, lead'.
874|*qaʒa|2175|currants|qaza (Kub.)||
875|*š:aIt|2182|saliva|šut-ri||    Cf. also Gapsh. \IšaIt-ri,\i Kait. \Iš:aIt-ri,\i Kharb. \Iš:at-re\i (all forms are pluralia tantum). Cf. also, with secondary glottalisation, Kub. \Iš:uIṭ-u,\i Tsud. \Iš:uIṭ-e\i id.
876|*ħenq̇|2184|herd|ħenq̇|ħaq̇|    Cf. also Ur. \Iħanq̇\i id.
877|*šim ( ~ š:-)|2186|hornbeam|šim||
878|*ʔarꭓIa ( ~ -ꭓ:I-)|2188|road, journey|arħaI||
879|*q:aca|2189|mountain goat|q:aca||
880|*bik:|886|cattle herd|biɣ (Ur.)||
881|*x:V-ra|229|by foot, foot-walker|xura||    Cf. also Tsud. \Ixi-ra\i id. Darg. -ra is probably an old oblique base marker  (or a locative morpheme).
882|*cad-|2250|female||cade|   Attested only in Chir., with probable external parallels.
883|*-la|2279|deverb. noun|-la||
884|*-deš|0|denom. noun|-deš||
885|*-n-|0|1 deverb. noun 2 denominative noun|-ni 1, -n 2||
886|*w|2195|1st class marker|w- (-j)||
887|*Vr-, *d-, *-r-|2198|1 2d class marker 2 3d class plur. marker|r-, -r- 1; d-, -r- 2||
888|*b|2197|3d class sing. and 1-2 class plur. marker|b||
889|*-bi|2200|plural|-bi||
890|*-ti|2207|plural|-ti||
891|*-ni|2205|plural|-ni||
892|*-mi|2206|plural|-mi||
893|*-i|2203|plural|-i||
894|*-ri|2204|plural|-ri||
895|*-0|2215|nominative|-0||
896|*-l|2217|comitative|(či)-l||
897|*-li|2209|1 obl. stem 2 adjectival suffix 3 adverb suffix|-l(i)- 1, 2, -li 3||
898|*-Ha|0|1 genitive 2 objective 3 adjectival suffix|-a, -la 1, (či)-l-a 2, -a 3||
899|*-Hi|2218|1 ergative 2 instrumental|-i 1, (čib)-l-i 2||
900|*-s:|2220|1 dative 2 adjectival and participial suffix 3 future conditional (3d p.)|-s 1, 3, -si 2||
901|*-či|2229|super/ad series|-či||
902|*-c:i ( ~ -ʒi)|0|in filled series|-zi||
903|*-ɣ(u)-|2242|sub series|-u||
904|*-ʁI- ( ~ -ʕ-)|2238|ad series|-ʕi-||
905|*-ꭓI- ( ~ -ħ-)|2241|in empty series|-ħi-||
906|*-0+class marker|2219|essive|-0+class marker||
907|*-ad|2227|elative|-ad||
908|*-aꭓI ( ~ -ħ)|0|ablative|-əħ||
909|*-q:a|2280|privative adj. suffix|-q:a||
910|*-0|2241|desiderative (infinitive)|-0||The original essive in Dargwa probably stayed only as an infinitive marker (although it may also reflect some other case - *-Hi or just a pure verbal stem) -- while the Darg. essive itself best corresponds to the PA affective case.
911|*-V|2252|imperative|-a, -ə, -i||
912|*-li-|2255|1 conditional 2 past, perfect 3 gerund|-li-||
913|*-r-|2249|infix of perfective / imperfective aspect|-r-||
914|*-r-|2262|1 1st / 2d p. ending in most tenses (in some also 3d) 2 participle of capability|-ra, -ri 1, -ri 2||
915|*-0|2244|simple past (3d p.)|-0 (-b, -n, -r)||
916|*-š(:)-|2245|1 past conditioned 2 future conditioned|-ši 1, -š- 2||
917|*-n|2261|3d p. future|-n||
918|*-a|2243|3d p. future (in reson. conjug.)|-a||
919|*-b-|2253|2d and 3d p. future desiderative|-bi, -b||
920|*-n|2260|participle|-n||
921|*-ti|0|part. plural|-ti||
922|*-r|0|negative participle|-r||
923|*-i|0|gerund (perfect)|-i||
924|*-ra|2230|conjunctive particle|-ra||
