"NUMBER","PROTO","PRNUM","MEANING","SUN","TUL","KAL","LIM","LIMNUM","DUM","DUMNUM","KUL","KULNUM","YAM","YAMNUM","NOTES"
 441,"*lè",   0,"voice, song","","\Ilölam\i (\I<*le-lum\i) voice","\Ilel\i song","ikla, itla", 441,"\Ilē\i singing", 584,"",   0,"\Isem-la\i voice",1375,"For the most part in compounds (with *säm 'spirit' or *lu 'sing'; ik- in Limbu is unclear)."
 442,"*lúp (/*lúm)",1835,"to warm","","\Ilüp-\i add (yeast to bear), \Ilüm-\i cook lightly (meat or vegetables)","\I'lamnä\i (\I'laptu\i) to make warm (for fermentation)","",   0,"\Ilɨmnɨ\i", 617,"\Ilumma\i", 778,"",   0,""
 443,"*làm",   0,"widow","","\Ilamcö\i bastard","\Ilɔme\i (\I<*lam-men\i)","",   0,"",   0,"",   0,"",   0,""
 444,"*l[ä́]p",1718,"wing","","\Ilapter\i","\I'lepti\i","\Ilāp\i",2169,"",   0,"\Ilaptɔ\i", 711,"\Ilapkhäʔwa,\i lappr̂aŋ", 695,"Toba 99 *laptCV."
 445,"*lä̀ŋ-khV(m)",   0,"yeast","","\Iləŋkham\i","\Ilaŋkhi\i","",   0,"",   0,"\Iliŋ\i", 743,"",   0,""
 446,"*ńò(-t, -s)", 519,"ache","","\Inö-\i hurt (itr.), \Inör\i (AS) illness","\Iŋennä\i (\Iŋej\i) hurt, ache, \Iŋehpä\i sick,ill","\Ināmā\i (\Ināsā\i) feel tired", 958,"\Iŋjetnɨ\i", 834,"\Iŋaima\i", 931,"",   0,""
 447,"*ńə", 521,"ear","\I'nophā\i","\Inokphla,\i \Inəphla\i, \Inophla\i","\Iŋeco\i (probably < \I*ŋöcö\i)","nephāk (cf. also \Inekkhohī\i  ear-wax)", 995,"\Iŋico\i", 824,"\Inɔbɔ\i", 910,"\Inäʔäk\i", 920,"Toba 89 *nophlo. The root is attested in comp. \I*ńə-phlak,\i \I*ńə-c\L1\lə;\i the meaning of \I-phlak\i is unclear."
 448,"*ńì(-s)",1473,"hear, listen","nē-ca","","\Iŋinä\i (\Iŋiŋɔ\i)","\Inīmā\i (\Inisu\i) to see (?)",1026,"\Iŋjīnɨ\i", 836,"\Iŋema\i 'seem' (cf. \Ijēma\i 'hear'?)", 942,"",   0,"Toba 91 *ŋe-. Cf. *ńə 'ear'."
 449,"*ńìn  // *ńìt",   0,"sit","\Init-ca\i","","\Iŋäj-nä\i (\Iŋäjŋɔ\i) sit, (\Iŋändu\i) to set","",   0,"\Iŋāńsɨnɨ\i", 817,"",   0,"\Inämma\i", 918,"Toba 95 *gayn- (compared also with Tul. gân-)."
 450,"*ràbà",   0,"almost","","\Irawa\i (AS \Iraba\i)","\Irɔbɔ\i nearly, almost","",   0,"",   0,"",   0,"",   0,""
 451,"*r[ä́]p",   0,"to block","","\Irap-\i block, make barrier","\I'ramnä\i (\I'rubu\i) intercept","",   0,"\Irāpnɨ\i", 977,"",   0,"",   0,""
 452,"*rìp ( / -m)", 752,"to block, shade","","\Irip-\i block (esp. light, line of vision), \Iribʒuŋ,\i \Irimʒuŋ\i  shade","\Iramʒhuŋ\i shade (\Iʒhuŋ\i  wind, air)","samrippa",1438,"\Ikɨ-ri(m);\i \Irīmsinɨ\i", 433,"\Igimǯu\i 'shade' ( < *gr-)", 366,"",   0,"Cf. *gim."
 453,"*rə̀m  (/-p)",   0,"body","\Irā̃\i","\Iröm,\i \Iröp\i","\Irwɔm\i","\Ijām\i",2007,"\Iram\i", 970,"\Igam\i", 343,"",   0,"Toba 87 *gem."
 454,"*rùt (? *rus)", 703,"bone","\Iruś\i bone","\I'ser,\i \Isasar,\i \Iseser\i","\Isolu\i (< \I*söru?\i)","\Ijet\i",2059,"\Isālu\i",1074,"\Itup-ri\i",1311,"\Isäk-koʔwa\i",1355,"For the most part in comp. \I*sə̀-rut\i  (\I*sə̀-rus\i) "flesh + bone"); Toba 87 *sV-."
 455,"*r[o]p", 831,"sharpen; break","","röps- disintegrate, break into small pieces","","jārāpmā (jārāptu) to sharpen",1994,"",   0,"\Igēpa\i", 358,"",   0,"Cf. *jóps\I\i."
 456,"*rək  (/*brək)", 207,"cliff","\Irõgu\i rock, cliff (nasalisation is unclear)","\Ibrɔ\i cliff, stiff place","\I'ro\i cliff, mountain","\Ijākpe\i hillock, slope",2034,"\Idhām-rō\i", 212,"\Idam-rɔ\i", 239,"\Io:-bräk\i 'big flat rock'",1011,"For -gu in S see *Ku 'mountain'."
 457,"*rúp",   0,"cut","","\Irüp(s\i)- cut down, fell","\I'ramnā\i (\I'rubu\i) cut wood","",   0,"\Iripnɨ\i", 999,"\Irumma\i",1112,"",   0,""
 458,"*rèŋ",   0,"despise","","re(t)- detest","\Irenä\i (\Ireŋu\i) dislike, despise","",   0,"",   0,"",   0,"",   0,""
 459,"*rèʒ[u]",   0,"a k. of herb, fern","","\Irōʒü\i fern; bedding for cattle","\Iröʒe\i \Isaŋ\i an herb","",   0,"",   0,"",   0,"",   0,""
 460,"*rə̀ŋbä(n)",   0,"hornet","","\Iröwa\i","\Iröbä\i","\Ijāŋbān\i",   0,"",   0,"",   0,"\Ijuama\i 'black, largish bee'",1957,""
 461,"*rè",   0,"-in-law","","\Irī\i cross-sibling; married woman's natal home and relatives living there, \Irīcü\i  man's sister's child, \Iriw,\i \Irime\i relatives-in-law","\Ire\i brother-in-law, \Ireme\i sister-in-law","",   0,"\Irewo;\i rime", 986,"",   0,"",   0,""
 462,"*rít(-s)", 767,"laugh","\I'rit-ca\i laugh","\Iris-\i","\Irennä\i (\Irejŋɔ\i) (CSDP \I'rennä\i)","\Ijepmā\i / \Iepmā\i (\Ijerā\i / \Ierā\i) laugh, \Ikejepā\i joker",2057,"\Irīnɨ\i",1009,"\Igema\i", 352,"\Ijītcama\i",1916,"Toba 92 *Cis-."
 463,"*rù", 818,"locust","","\Irǖ\i","\Irü\i","",   0,"",   0,"",   0,"",   0,""
 464,"*rècukup(a)",   0,"orphan","","\Irecukupa\i","\Ireskap\i","\Ijecchābā\i",2073,"",   0,"\Igeskuma\i f., \Igeskupa\i m.", 354,"",   0,"For the 2d part cf. perhaps *hop 'own, self'."
 465,"*rə̀l",   0,"pluck","","\Irel-\i remove grain from (maize cob)","\Irwɔlnä\i (\Irolu\i) to pluck, separate","",   0,"\Irəlnɨ\i", 987,"\Igəlma\i", 359,"",   0,""
 466,"*[r]ə̀",   0,"rice","","\Iresepmā,\i \Ireseja\i unhusked rice (\I<*rö-\i)","\Irö\i rice, \Irö-sör\i husked grain","\Ijā\i paddy",1993,"",   0,"ra",1081,"",   0,"See also \I*sə̀rə\i."
 467,"*rìl", 824,"roll (dough)","\Iril\i \I'pa-ca\i","\I\Iril-\i\i","\Iralnä\i (\Irilu\i)","",   0,"",   0,"",   0,"\Ije:ma\i 'roll (of flat round objects)'",1888,""
 468,"*rì", 682,"rope","","\Iriba,\i \Iriwa,\i \Irĳa,\i \I-rip,\i \I-ri\i rope, card, fibre (cf. also \I-rip\i in \Isōrip\i tendons, veins)","\Iribɔ\i (cf. also \I-ri\i in \I'sö-ri\i nerve, tube, \I-rip\i in \Ihi-rip\i blood vessel)","\Iī\i string (cf. also \I-i\i in \Isei\i sinew)", 437,"\Irībha\i",1004,"ribɔ",1094,"",   0,"Toba 95 *riba."
 469,"*rùm ( ~ -àm)",1420,"salt","","","\Iram\i","\Ijum\i",2113,"\Irɨm\i",1017,"\Irum\i",1111,"\Ijum\i",1949,"Toba 95 *rum."
 470,"*rä̀m",   0,"scorch","","\Iram-\i scorch (one's flesh, maize cob)","\Irämnä\i (\Irämu\i)","",   0,"",   0,"",   0,"",   0,""
 471,"*ràrV ( < *la-ri?)",1681,"seed, semen","","\Ila-sa\i 'semen', \Ibral\i 'seed'","\Irɔru\i","\Ijārimbā\i",   0,"\Irōrɨ\i",1028,"\Ila-ri\i", 476,"",   0,"Toba 95 *bralu. Cf. *r[i] 'stalk' (*rà-rV is possibly an assimilation < *la-ri) and Belhare la-lik 'semen, sperm'. In STEDT 344-345 the Limbu form is separately compared with Tamang ŋja 'semen' which is quite impossible. Here perhaps also Kal. lɛhsbe, Dumi ləncɨp 'man, male' (although the morphological structure is not quite clear)."
 472,"*ruŋku",   0,"sense","","\I'ruku\i divinatory faculty","\Iruŋku\i sense, inner man","",   0,"",   0,"",   0,"",   0,""
 473,"*rúŋ / *rúk  (-s)",   0,"shake","","\Irək-\i (why \I-ə-\i ?) flap, shake, \IIru(ŋ)-\i shiver (from fever, cold)","\I'runä\i (\I'ruktu\i) shake, (\I'ruŋə\i) quiver, tremble","\Ijoŋmā\i (\Ijoŋkhu\i) to shiver",   0,"\Iriknɨ\i", 989,"\Irūma\i",1116,"\Iruʔmi\i 'earthquake'; joŋma 'to tremble, shake' (?)",1292,"For Limbu cf. alternatively Kulung jɔ̄ma (jɔks-) 'shiver'."
 474,"*rú[t]?",   0,"slave","","","\I'ru\i","\Ijogubā\i (male), \Ijogumā\i (female)",   0,"",   0,"\Irɔ\i",1103,"",   0,""
 475,"*rúk ( / *T-r-)", 839,"six","","\Iru\i","\I'rɔ\i","\Ituk-si\i",1797,"",   0,"\Itukci\i",1299,"\Icuʔum\i", 212,"Toba 95 *rV."
 476,"*r[i]",   0,"stalk","wõy-cer seed","\Irü\i handle, stalk of leaf (? < \I*ri-bV\i)","\Iri\i seedling","",   0,"",   0,"\Ila-ri\i", 712,"\Icari\i 'seed'", 115,"Cf. \X<0.471>*ràrV.\x"
 477,"*rák",   0,"to stick","","\Irɔk-\i stick in, cause to gag","\I'rɔnä\i (\I'rɔhtu\i)  obstruct, get stuck","",   0,"",   0,"",   0,"",   0,""
 478,"*rip  ( / *l-?, -m)",   0,"twist","\Irop-ca\i","\Irim\i-","\I'ramnä\i (\I'raptu\i)","\Ilipmā\i (\Ilibu\i) twist, string", 676,"\Irīpnɨ\i",1012,"\Irəmma,\i \Irimma\i",1093,"",   0,"Cf. also T \Ikhrep-\i twist (strands of rope) = L \Ikhilipmā\i twist thread."
 479,"*ràŋ",   0,"worm","","\Irɔ\i intestinal worm","\Irɔŋ\i roundworm","",   0,"",   0,"",   0,"",   0,""
 480,"*rek ( / *b(h)r-)", 735,"write","\Ibrēk-ca\i write, draw","\Irɛk-\i","\I'renä\i (\I'rehtu\i)","",   0,"",   0,"",   0,"",   0,""
 481,"*n[u]",   0,"and","\Inu\i","\Ine\i mild adversative particle","\I-nɔ\i","\Inu\i by, with",   0,"",   0,"",   0,"",   0,""
 482,"*ní", 561,"aunt","","\Inin\i","\I'nin\i aunt (father's  sister)","\Inĳā\i",1090,"\Inini\i", 789,"\Ini\i", 900,"",   0,""
 483,"*nä̀(-s)", 578,"be","\Ina-\i to be (affirm., absol. classification)","","","\Inemā\i (\Inessu\i) to place",1016,"",   0,"",   0,"\Inä:ʔma\i 'to put down', ne:ma 'to lie'", 925,""
 484,"*nep (*nepsə)",   0,"brain","'nipsi","\Inepci,\i \Inöpci\i (\I<*nep-cö\i)","\Ines\i","\Inehi\i (\I*nep\i brain + \I*hi\i blood ?)",1014,"",   0,"",   0,"\Itaŋ-nasi\i 'brain'",1526,"Toba 88 *nepsi."
 485,"*nə̀-lV", 581,"day","","","nöl","\Ilen\i (\I//jen\i) (with metathesis)",2139,"\Inulɨ\i", 809,"\Ilei\i", 717,"\Ilen-da\i 'afternoon'", 721,"Toba 89 *nel. Cf. also  K \I-ne\i in \I'samne\i  3 days ahead, \I'lanne\i   4 days ahead. *nə-lV is most probably a compound with *l[o] 'time' q.v."
 486,"*nù", 566,"good","","\Inü-\i be well, be right, be permissible","\Inünä\i (nüŋɔ) to improve, recover (from ilness), \Inü\i all right, \Inüpä\i right","\Inu\i good, just, \Inube\i  fine, \Inumā\i beautiful, \Ino\i right, \Ikunobā\i good, lovely, \Ikenobā\i gentle",1077,"\Inɨnɨ\i", 796,"\Inəma\i", 897,"\Inuma\i", 964,"Toba 90 *'nepä."
 487,"*nä̀thVpmä",   0,"a k. of insect","","\Inathepma\i variety of caterpillar","\Inäthümä\i a gray insect with feelers","",   0,"",   0,"\Inapthemma\i", 884,"",   0,""
 488,"*nàcar",   0,"jealous","","\Inacör\i enmity","\Inɔcɔr\i \Ilünä\i be jealous","",   0,"",   0,"",   0,"",   0,""
 489,"*näm", 534,"jungle, forest","","\Inem\i in \Ithūnem\i dense jungle, thicket, \Ig(h)renem\i nettle","","",   0,"\I-nəm\i in \Igōnəm\i nettle", 268,"\Ithu-nam\i 'field'",1358,"\Inam-bhuŋla\i 'woods, forest', thap-nam id.", 879,""
 490,"*näm",   0,"a k. of insect","","\Inam-dürü\i variety of cricket","\Inäm-duläm\i an edible locust","\Inim\i",1025,"",   0,"\Inamdurum\i 'locust', \Inampuchɔ\i \I'earthworm'\i", 868,"\Inamnĳama\i 'small species of bee'", 892,""
 491,"*nòk-c\L1\lə̀",   0,"monkey","","\Inoksü\i (AS \Inuksü\i)","\Inus\i","",   0,"",   0,"",   0,"",   0,"Toba 92 *nuksi."
 492,"*né", 560,"near","\I'nēthā\i","\Iŋepa\i (? error instead of \Inepa\i)","\Inephäm\i (CSDP \I'nephäm\i)","\Inip,\i \Inet,\i \Inettāŋ\i (= S \I'nēthā\i)",1055,"",   0,"",   0,"\Inendhaŋ\i", 929,""
 493,"*ní- // *nú- (?)", 611,"new","\I'nāk\i","\Inuḍa\i (AS \Inöḍa\i)","\I'nin\i freshness, newness","",   0,"",   0,"\Inus\i 'soon, early'", 923,"",   0,"The final is quite unclear."
 494,"*nə̀", 516,"nose","\Inē̃\i","\Inö\i","\Inö\i","\Inebo\i", 989,"\Inu\i", 894,"\Inap\i", 879,"\Inaʔu\i", 906,"Toba 93 *nep."
 495,"*nìŋ",   0,"poison","","\Iŋe\i (?)","\Inaŋ\i","\Iniŋ-\i",1029,"",   0,"\Iniŋ\i (Toba)",   0,"",   0,"Toba 94 *niŋ."
 496,"*nókcok",   0,"priest","","\Inokcho\i ritual officiant","\I'nokco\i priest, shaman","",   0,"\Inaksö\i", 753,"\Inɔkchɔ\i", 911,"",   0,""
 497,"*nek", 597,"pus","\Inene\i","","\I'ni\i sap","\Inikwā\i",   0,"",   0,"",   0,"",   0,""
 498,"*núk(s)",1481,"rub, erase","","","\I'nunä\i (\I'nugu\i) rub, erase","\Inukmaʔ\i grind, squeeze, compress",1075,"",   0,"",   0,"\Inukma\i 'knead; rub; crush'", 963,"In L cf. also \Inɔŋmā\i (\Inɔkkhu\i) shave."
 499,"*n[è]m / *n[è]p", 620,"sink","","","\Inämnä\i (\Inämu\i) dip","\Inipmā\i (\Iniptu\i) sink",   0,"\Ināmnɨ\i", 766,"",   0,"",   0,""
 500,"*nə̀m(-s)", 535,"smell","\Inam-ca\i","\Inem-\i","\Inwɔm-nä\i (\Inomu\i)","\Ināmmā\i to have offensive odour, \Ikunām\i smell, \Ināmnu\i  perfume", 930,"\Inəmnɨ\i", 781,"\Inamma\i", 871,"\Inamma\i", 887,"Toba 96 *nap- (erroneously)."
 501,"*nə̀ŋ", 544,"snow","","","\Inoŋ\i","\Ināŋ\i", 968,"",   0,"\Inɔ̄ŋ\i", 917,"\Inaŋ\i", 896,"Toba 96 *noŋ."
 502,"*nák",   0,"soup","","\Inəktü,\i \Inaktü\i coarse soup, slop for animals","\I'nɔhtu\i","",   0,"",   0,"\Inɔkthu\i 'porridge'", 912,"\Inakma\i 'prepare stodge', nakpa 'stodge'", 871,""
 503,"*nəm", 538,"sun, day","\Inā\i sun","\I'nem\i day, \Inepsuŋ\i sun","\Inwɔm\i sun","\Inām\i sun", 912,"\Inām\i", 762,"\Inam\i", 866,"\Inam\i", 876,"Toba 97 *n ̲am."
 504,"*ní(k)", 580,"two","\I'nīk-śi\i","\Inə,\i \Inək\i","","\Inet-chi\i (in comp.: \Ine-/ni-,\i \I-net\i)",1015,"",   0,"\Initci\i", 908,"\Initci\i", 948,"Toba 98 *n ̲-."
 505,"*nam  ( ~ *näm)  ( / *nap)", 625,"man, person","","\Inamnamcö\i poor fellow (male or female), \Inamnamsitami\i (Toba \Inajme\i) wife","","\Ināp-mī\i man", 975,"",   0,"\Inamme\i 'daughter-in-law' (?), \Inamnamu\i 'poor, pitiable'", 874,"\Inam-ba\i 'father-in-law', nam-ma 'mother-in-law'", 877,""
 506,"*dhə́",1072,"dig","\I'do-ca\i","\Ida-,\i \Idha-\i","\Idhönä\i (\Idhɔŋɔ\i) dig, carve (a figure, design)","\Itɔmā\i (\Itɔju\i)",1784,"\Idhunɨ\i", 215,"\Idɔma\i", 292,"\Ito:ma\i",1611,"Toba 89 *dhö-."
 507,"*dh[ä̀]lV", 907,"down","","\Idhalü,\i \Idhaju,\i \Idhɔra,\i \Iudhali\i  down, below","\Iu-dhalu\i down (adv.), \Idhaju\i under","",   0,"",   0,"\Idalui\i", 234,"",   0,"Toba 98 *dhaCu (also listing Kul. dhokpu 'under')."
 508,"*b(h)ról", 778,"break","S \I'brol-ca\i (itr.), \I'prol-ca\i (tr.) break (pots)","","","\Iphŭmā\i to snap, break into pieces",1378,"",   0,"",   0,"",   0,""
 509,"*[dh]ém",1026,"flat land","","\Idebdē\i flat ground","\I'dhem\i","\Itembe\i plain",1726,"",   0,"\Ithampu\i",1324,"\Itemma\i",1556,""
 510,"*dhə̀ // *dhə̀ŋ",1059,"head, above","","","\Idhoŋ\i head","\Ithāŋ\i above, \Ithe-\i / \Ithā-\i in \Ithegek\i  head, \Ithāgei\i  hair, \Ithākhumme\i woman's headdress",1856,"\Idō\i 'hair on head'; \Idəkhlö\i 'head'", 198,"\Itɔŋ\i 'head', \Itɔ̄-\i 'above'",1278,"\Itaŋ\i 'hair on the head'; \Inin-daŋ-a\i head",1520,"Cf.\X<0.906> *thə̀.\x Toba 91 *toŋ."
 511,"*dhìndiri",   0,"heel","","\Idindiri\i","\Idhindiri\i","",   0,"",   0,"\Idindiri\i", 281,"",   0,"Toba 91 *dhindiri."
 512,"*dhì", 990,"lake","","\Idin\i pool, lake","\Idhi\i lake, pond, pool","",   0,"",   0,"\Ididitti\i (Toba)",   0,"",   0,"Toba 94 *dhi ̲̲-."
 513,"*dhòk-bhén",   0,"red leech (see \I*bhén\i)","","\Idokpon\i","\Idhokphej\i","",   0,"",   0,"\Idekma\i 'large snake' (?)", 251,"",   0,""
 514,"*dhìk",   0,"pheasant","","\Idəkpu\i Monal pheasant","\Idhop\i  (irregular \I-o-\i instead of \I-u-\i)","\Itikwā\i  a sp. of  Himalayan pheasant",1740,"",   0,"\Itɔwa,\i \Ituwa\i",1287,"",   0,"Toba 93 *dâk-pu."
 515,"*dhùm(-s)",   0,"ripen","","\Ithi- \i(Toba 94) (?)","\Idhamnä\i (\Idhamdu\i) ripen, \Idhampä\i ripe","\Itummā\i (\Itumsu\i / \Itumsā\i) ripen, \Itumsebā\i ripe",1807,"",   0,"\Itumma\i",1305,"\Itumma\i",1626,""
 516,"*dhámV",   0,"sky","","\Idhɔmu,\i \Idhamu\i","\I'dhɔm\i","\Itemen\i South (?)",   0,"",   0,"",   0,"",   0,"Toba  95 *dham-."
 517,"*dhon",   0,"straight","","","\Idhwɔjnä\i (\Idhwɔndu\i) make straight, \Idhwɔjpä\i straight","\Itɔndɔn\i straight",   0,"",   0,"\Itəima\i v., \Itəntəipa\i \Iadj.\i",1263,"\Itändo\i",1542,"Toba 96 *dhwaypä."
 518,"*dhúk / *dhúŋs",1053,"stumble","","","\I'dhunä\i (\I'dhuŋɔ\i) stumble, limp","\Ithɔŋmā\i (\Ithɔŋkhu\i) stumble, \Itɔkmā\i (\Itɔktu\i), \Itoktemā\i (\Itoktā\i)  id.",1754,"\Iduknɨ\i", 203,"",   0,"",   0,""
 519,"*dìdimə",   0,"ant","","\Ididimo\i white ant","\Ididimö\i small ant","",   0,"",   0,"",   0,"",   0,""
 520,"*dúkha",1121,"breast","","\Idəkci\i (< \I*dúkha-cə\i) chest (p. of body)","\I'dükhɔ\i fem. breast","",   0,"",   0,"",   0,"",   0,""
 521,"*dàk",   0,"coagulate","","","\Idɔnä\i (\Idɔŋɔ\i) freeze, coagulate","\Itākmā\i (\Itāktu\i)",1677,"",   0,"\Idɔ̄ma\i", 306,"\Itokma\i",1590,""
 522,"*d(h)úm-", 468,"dark","","","\I'dumɔ\i darkness","\Ikhādām\i id. (\Ikhā-\i light)",2136,"",   0,"",   0,"",   0,""
 523,"*dV̀k-(hon ~ -χ-)",   0,"few, little","","\Idokha\i, \Idokhon\i","\Idokhwɔj\i","",   0,"",   0,"",   0,"\Iädäʔa\i",  64,""
 524,"*d(h)ems ( ~ ʔt-)", 491,"fill","","\Idems-\i be filled","","\Ithimmā\i (\Ithimsu\i) to fill",1880,"",   0,"",   0,"",   0,""
 525,"*dòdikhäm ( ~ -χ- )",   0,"firefly","","\Idodikham\i","\Idodikhäm\i","",   0,"",   0,"\Ididikham\i", 274,"",   0,""
 526,"*də̀t",   0,"hold out","\I'dajk-ca\i","\Idet-,\i \Idhet-\i prepare to receive, hold out (a hand, plate etc.) for","\Idwɔnnä\i (\Idotu\i) hold out (a contain to have it filled)","",   0,"\Idətnɨ\i", 172,"",   0,"\Itä:ʔma\i",1554,"Toba 91 *dot-. Cf. Kul tama?"
 527,"*dèl",   0,"son-in-law, daughter-in-law","","\Idelcu\i son-in-law","\Idel-cü\i son-in-law, \Idel-me\i daughter-in-law","",   0,"\Idelme\i", 156,"\Itelme\i",1254,"",   0,""
 528,"*dek",1097,"morning, tomorrow","\I'dīsa\i tomorrow","\Idīka,\i \Idika\i tomorrow","\Idicchä\i morning (adv.), \Idisä\i tomorrow","tān-dik",1704,"",   0,"\Idesa\i 'tomorrow', \Idetcha\i 'morning'", 261,"",   0,"Toba 98 *disä."
 529,"*dó(s)",   0,"move, come","","\Idodo\i out of the way with, \Idos-\i  move","\I'do\i now! come!","",   0,"",   0,"\Itama\i",1243,"",   0,""
 530,"*dä̀lä(k)",   0,"quickly, early","","\Idala\i","\Idalɔ\i","",   0,"",   0,"\Idawa\i 'quick' (?); \Ithelma\i 'go quicklj' (?)", 245,"",   0,""
 531,"*dä̀n ( ~ dh-)", 461,"say, talk","\Idē̃-ca\i","","","\Itā\i speech",   0,"",   0,"",   0,"\Itemma\i 'to sound'",1557,""
 532,"*d(h)V́k",   0,"wipe, erase","","","\I'denä\i  (\I'degu\i) to wipe; (EKg) \I'dhenä\i erase","\Itugmā\i (\Itugu\i)  wipe, sweep, erase",1814,"",   0,"\Itūma\i",1317,"\Itu:kma\i",1638,""
 533,"*th[è]p",   0,"bamboo basket","","","\Ithep\i","\Ice-thāp\i coffin made of split bamboo (\Ice\i corpse)",   0,"",   0,"",   0,"",   0,""
 534,"*thòr (/ʔt-)",   0,"believe","","\Ithör\i \Ilü-\i believe, \Ithörsi-\i be happy, \Ithör\i confidence","\Ithör\i \Ilü-nä\i believe","",   0,"",   0,"\Idurma\i 'be able'", 316,"",   0,"Cf. also K \Ithwɔrnä\i (\Ithoru\i) rejoice, satisfy."
 535,"*thä́k / *thä́t (-s) (?)",   0,"break (rope)","","","\I'thännä\i (\I'thähtu\i)   break (a rope,a necklace)","\Itheŋmā\i  (\Ithekkhu\i)  to tear",1869,"",   0,"",   0,"",   0,""
 536,"*thə̀-klak",   0,"bamboo container","","\Ithokla\i segment of large diameter bamboo used as a container","\Ithöklɔ\i bamboo container for beer","",   0,"",   0,"",   0,"",   0,""
 537,"*thok (~ -uk, -ak)", 480,"cook","","\Ithok-\i ripen, be ready to burst (of boil)","","\Ithokmā\i (\Ithoktu\i) cook, \Ikethokpā\i cook",1895,"",   0,"",   0,"\Ithokma\i",1675,""
 538,"*thì (/*ʔt-)",   0,"fall","\Ithĳ-si-ca\i (anim.)","","\Ithinä\i (\Ithiŋɔ\i)  fall down","\Idemā\i (\Idjā\i) fall down",   0,"\Ithīnɨ\i",1285,"\Idima\i", 277,"",   0,"Toba 89 *th(u)- (listing Kal. thu-, as well as unrelated forms from Tul. and Kul.: Tul. dəks-, Kul. dat-)."
 539,"*[d(h)]úm(s)", 467,"be finished","\I'thum-ca\i","\Idüms-\i be finished, \Idüm\i zero","","\Itummaʔ,\i \I-tums-/-tum-\i",1806,"",   0,"",   0,"",   0,"Cf. *thùm(s) 'gather' (with confusion in Limbu and Sunwar)."
 540,"*thik-",   0,"cook, burn","","\Ithik-\i be cooked","","\Imi-thikmā\i (\I-thiktu\i)  burn, get burnt",   0,"",   0,"",   0,"",   0,""
 541,"*thùm(s)",1126,"gather","","\Ithomsi-\i gather for ceremony","\Ithamnä\i (\Ithumu\i) collect","\Ithummā\i (\Ithumsu\i) join",1806,"",   0,"",   0,"\Ithupma\i 'to pull together'",1695,"Cf. *[d(h)]úm(s) 'finish' (with confusion in Limbu)"
 542,"*thák",1018,"hammer, knock","\I'thōk-ca\i to hammer","\Ithɔk-\i knock (as stake in the ground), hammer","\I'thɔnä\i (\I'thɔhtu\i) hit, hammer","\Ikuthɔk\i hammer",   0,"",   0,"",   0,"",   0,""
 543,"*thék", 896,"kick","\Ithēk-ca\i to step on","\Ithɛk-\i id.","\I'thenä\i (\I'thehtu\i) kick","",   0,"",   0,"",   0,"",   0,"Cf. also S (\Ikhojli\i)  \Ithajk-ca\i stamp (\I=thēk-ca\i)"
 544,"*thùŋ", 994,"thick","","\Ithū-\i in \Ithūnem\i dense jungle, thicket","\Ithu-\i in \Ithunäm\i jungle, forest","\Ikethuŋbā\i dense, \Ikedhuŋbā\i thick", 527,"",   0,"",   0,"",   0,""
 545,"*thä̀kV",   0,"part of loom","","\Ithathaksi\i two poles at end of loom","\Ithäkli\i heddle of loom","\Ithākisiŋ\i  (= T \Ithathaksi\i post to hold wearing loom, \Ithākurī\i  part of loom which presses thread",   0,"\Ithɨri\i \I(?)\i",1290,"",   0,"",   0,"Cf. *ʔtək."
 546,"*th[ä́]p",   0,"measure","","thöp- measure out","\I'thämnä\i (\I'thäptu\i) measure, weigh","",   0,"\Ithāpnɨ\i",1282,"\Ithamma\i",1322,"",   0,""
 547,"*[th]úk", 948,"move, stir","\Idūk-ca\i","\Ithuk-\i push lengthwise, poke (faggot into fire)","(EKg) \I'thunä\i","",   0,"",   0,"tɔ:ma",1293,"",   0,"Toba 93 *tVk-."
 548,"*thèl",   0,"peel","","\Ithel-\i peel (fruit, etc. with fingers), skin (animals)","\Ithelnä\i (\Ithelu\i) to peel, to skin","",   0,"",   0,"",   0,"",   0,""
 549,"*thV̀ŋ",   0,"price","","\Ithī\i","\Ithɔŋ\i","",   0,"",   0,"",   0,"",   0,""
 550,"*thùk",   0,"prick","\Ithōk-ca\i","\Ithuk-\i","\Ithunä\i prick, stab, pierce (secondarily \Ithudu\i - or an alternation \I*-k/-ŋ\i ?); (Toba) \I'thah-\i strike","\Ithupmā\i (\Ithubu\i) to pierce (?)",1935,"",   0,"\Ithūma\i \I(thuks-/thuŋ-)\i",1360,"\Ithokma\i 'to prick lightly', \Ithukma\i 'to dig in, to plant; to be erect' (Toba also glosses 'strike')",1690,"Toba 94 *thuk-; 97 \I*thV-\i 'strike' (compares also Thul. thör- (?)."
 551,"*thút",   0,"pull, spin","","\Ithüt-\i drag, pull along, spin (thread)","\I'thannä\i (\I'thudu\i) pull, spin","",   0,"\Ithɨtnɨ\i",1292,"\Ithuima\i",1355,"",   0,""
 552,"*[th]ò(s)", 890,"see, hear, get, obtain","","\Ithös\i hear","\Ithönä\i (\Ithöŋɔ\i) see, get, obtain","\Itāmā\i (\Itjā\i) appear",1685,"",   0,"\Ito-\i (Toba) 'see'",   0,"",   0,"Toba 95 *thoy-. Cf. *ʔtò (-t) (perhaps a variant of the same root); Limbu t- is unclear."
