NUMBER|PROTO|MEANING|PRNUM|GOT|ONORD|NORW|OSWED|SWED|ODAN|DAN|OENGL|MENGL|ENGL|OFRIS|EASTFRIS|OSAX|MDUTCH|DUTCH|OLFRANK|MLG|LG|OHG|MHG|HG|NOTES
64|*pinn=, *pint=|pin, nail|87||||||||pennian `schliessen'; pinn `pin, peg'; on-pennian `to unpen, open'||pen `schliessen', pin||penne = pinne||||pin `paxillus'|pin, pinne `Pinne, Spitze, Nagel, Zwecke, Pflock'|pennen `eine Tür (mit einem Bolzen) verriegeln'||{ md. pinz `subula' }, phinne, vinne st./wk. f. 'nagel; finne'|bair. pfonzer, pfunzer `zugespitzter Knüttel'|Lat pinna
65|*pala-|firm, steady|90||||||||||||pal `unbeweglich, fest'|||(Kiliaen) pal zetten, pal staan; te pal setten `vastsetten' (1768), ter palle, te pal komen/raken `vastlopen, in moeilĳkheden geraken' (XVI e.)|||pal `unbeweglich, fest'||||
66|*pūliō(n), *pull=, *puls=|head, top; round(ish)|93|||||pölsa, pülsa `worst, gehakt vlees'||pölse `worst'|||pulse||pol `rund, voll, strotzend'||pōle, puele, peule `huls, schil, bolster, dop'; puyl `Sack', puyle `Geschwulst'|peul f. ; puilen `schwellen, hervorstehen'||poll `Kopf, Spitze, Wipfel', pull, poll `(aufgetriebene) Hülse, Schote', pōle `huls, bolster', pūle `id.'|||||
67|*buljan- vb., *būliō(n), *bauliō(n)|swelling|95|*uf-bɔljan wk.: nom. pl. ptc. pl. m. ufbɔlidai `inflated, haughty'|beyla f. `bochel'||bolin, bulin `geschwollen'||||bǖl, bǖle (bīle), -es m.; bǖle, -an f., bǖl, -e (?) f. `bile, blotch, sore', { būla f. `buil' }||bile|bēle f., beil m. `buil'||būla `Beule'|būle f., buul m.|buil f.|būla f. `litteken'|būle `Beule'||baula f. `Blatter', bul(l)a, būl(l)a, būillla (um 800) `Beule'|biule st./wk. f. `Beule'|Beule f.|
68|*putta-z|vessel|97||pott-r m. (? < MLG)||||||pott, -es m. `pot'|||pot|||pot|pot||pot, put|||||
69|*birkiō; *birkō|birch|99||bjɔrk f. `Birke'; bɔrk-r, ModIcel. börk-ur  'bark'|björk, bjerk|biork|björk||birk|birce, -ean f. `birch-tree; populus'; berc (beorc, byrc), -e f. `birch-tree',||birch; (bark < Scand.)|||birka, berka|berke|berk m.||||birka (9. Jh.), biricha (11.Jh.)|birke, birche wk. f. 'birke'|Birke|
70|*bōk-s, *boka-n, *bōkiōn, -ēn|beech|100||bōk f. `Büche'; bȫki-skōgr `Buchenwald', ɔl-bȫki m. `Bierfass (aus Buchenholz)'|bōk, bök||bok||bög|bēce (bǟce, bēoce) f. `beech-tree; a tree bearing mast', bōc, -e f. `beech-tree'; bōcce (bēoce, bēce, bǟce), -an f. `beech tree'||beech||bȫke|bōka f., bōk, bōkia|boeke, bōke f.|beuk m.||bȫke f.||buohha (8.Jh.)|buoche wk. f. 'buche'|Büche|[also *bōk-f., *bōka-n, *bōkō `*a beech table for writing']
71|*bauk=, *būkōn-, *biukōn- vb.|*oak, *beech|101||NIsl bauk-ur `Büchse' < `Buchenholz'; beykir `Küfer, Bötcher' < `Verfestiger von buchenen Fässern'; beyki n. `beuk'||||||||||||būken, buyken `in beukenloog wassen'||||||būchen, biuchen wk. 'mit lauge waschen'|{ bauchen, bäuchen }|
72|*barja-z; *barizīnia-|barley|102|*barizīn-s (ja) `(prepared of) barley'|barr n. `Getreide'||||||bere, -es m. `barley'; beren `barley-, made of barley'||barley, Scot, NEngl bear, bere `barley'|ber- `barley'|||||||||||
73|*bīwa-n, *bī(j)a-n, *bī(j)ō(n); *bīnō(n); *bini-|bee|103||bǖ n., bǖ-fluga|bia|bī, bǖ|bi||bi|bēo, pl. bēon f. `bee'; bīo-brēad `honey-comb'||bee|||bī-brōd `honigraat', bini|bie f.|bĳ f.||bē; bie f.; bīne; bēn(e)||bīa f. (10.Jh.), bīna f. (10.Jh.); 3) bini n. (8.Jh.)|bīe wk. f., bīn, bin st./wk. f. 'biene'||
74|*bau(g)wá-z|an insect|104||||||||bēaw `gadfly', bēaw-hyrnet `bee-hornet, gad-fly, horse-fly'||bee-hornet||||||||dial. bau `Bremse'||||
75|*bumb(V)l=|an insect|105|||||||||| bumble-bee||||||||||||
76|*bil(V)k=|shrew|106|||||||||||||||||||bilih m.? (11.Jh.); bilihmūs (11.Jh.) `glīs (Hasel-, Bilchmaus, Siebenschläfer); sōrex (Spitzmaus)'|bilch f. 'haselmaus'|Bilch m.|
77|*bukka-z, *bukkēn|buck|107||bukk-r, bokk-r m. `Bock'|bokk, bukk||bock||buk|buc, -es m. `buck, male-hirsch', bucca, -an m. `he-goat, buck'||buck|||buck|boc, buc|bok M.|buck|buck||boc, buc (9.Jh.)|boc (-ck-) st. m. 'bock; hölzernes gestell; ramme'|Bock m.|
78|*bōgu-z, *bōgisla-n|arm, shoulder|108||bōg-r, pl. acc. bōgu `Arm, Schulter, Bug'; bȫxl n. `Bug eines Tieres, Rückenflosse des Walfisches'|bog, baug `Arm, Schulter, Bug'; bögsl `Rückenflosse'||bog||bov|bog (~ -ō) `arm, shoulder', bōga `shoulder of an animal; bough af a tree, sprig, sprout'||bough|bōg `Bug, Zweig'||bōg `Bug, Zweig'||||bōch `Schulter, Bug, Hüfte'||buog (um 800) `Schulter(blatt)'|buoc (-g-) st. m. 'obergelenk des armes, achsel; obergelenk des beines, hüfte; knie, bei tieren der bug'|Bug m.|
79|*baunō(n) < *babnō|bean|109||baun f. `Bohne'|bauna||böna||bönne|bēan (bīen), -e f. `bean'||bean|bāne||bōna|bōne|boon f.||bōne||bōna (8.Jh.)|bōne st./wk. f. 'bohne'|Bohne f.|
80|*barzá-n/bárs=, *burz=, *burstō, *bursti-z, *bursta-z, -n|pricky animal/tree, bristle|110||barr n. `Nadelbaum; Laub, Baum'; bu(r)st f. `Borste; Dachrücken'; bu(r)sti m. `Bürste'|bar `Nadelbaum'; dial. borren, bürren `stolz, herausfordernd'; bust|bar `Nadelbaum'; agh-borre `Barsch'|barr `Nadelbaum'; borre `Klette', sjö-borre `Igel', dial. borra ut sig `die Federn sträuben (von Vögeln)', borre `strenger Mensch'; borst|bar `Nadelbaum'|burre `Klette'; börst|bärs (bears), -es m. `perch'; byrst, -es n. `bristle'; { brystl f. }|bure, borre `Klette; Rauhheit in der Kehle'|burr, bur; bristle; barse|||bars; bursta f.|baerse; borstel, burstel m. `varkenshaar'|baars m.; borstel m.||borstel m. `varkenshaar, borstel'|barsch (seit 16.Jh.) `scharf, streng, rauh, (older) rauh, von Stoffen; herb, von Geschmack'|{ barrēn `starr emporstehn', parrunga `Stolz, Hochmut' }, bars (11.Jh.) `Barsch', burst, borst n. (10.Jh.), borsta f. (10/11.Jh.) `Borste', burst f. (um 1000)|{ bars `Barsch' }, bürste wk. f. 'bürste'; borste f., burst, borst st. n., m., borste wk. f. 'borste'|Barsch m., Borste f., Bürste, barsch|
81|*brazd=, *bruzda-z|point, edge|111||brodd-r m. `Spitze; Pfeil, Wurfspeer; Strahl, kleiner Fischschwarm', brüdda wk. `mit Spitzen versehen, stechen, plagen'|bred `Rand, Kante, Ufer', dial. bradd `Ufer, Rand, Kante', dial. brüdding `Saum, Kante'; brodd `Stachel, Spitze', brüdda wk.|brädder|brädd `Rand, Kante, Ufer', dial. bradd,||bred `Rand, Kante, Ufer'; brod `Stachel, Spitze'|brerd (breord, breard, briord), -es m. `brim, margin, rim, top of a pot or vessel, shore, bank, brink', brord, -es m. `prick, point, lance, javelin, the first blade or spire of grass/corn, etc.', bryrdan (bryrde, bryrded/bryrd) `prick, goad, incite, urge, constrain'||board|||brord `Stachel, Schneide, Spitze, Keim', brordōn `sticken'||||||brort (um 800) `Rand, Kante, Schiffsbug, Schild', brart `Rand, Kante, Vordersteven', gibrortōn `einfassen',|bort st. m., n. 'rand bes. schiffsrand, bord' { brort `Kante' }||
82|*barda-z|beard|112||||||||beard, -es m. `beard'||beard|berd||un-bardoht `zonder baard, niet manbaar'|baert|baard m.||bārt||bart m. (8.Jh.)|bart st. m. 'bart, schamhaar'|Bart m.|
83|*slad=, *sladō(n), *sladjō(n)|valley|872|||slad(e) 'sanft geneigt', slad(e) 'Tal'|||||släd 'Tal, Schlucht'||slade||||||||slade, sledde 'Tal, Schlucht'||||
84|*bingi-z, *bingiēn, *bungōn, -ēn|box, case, etc.|116||bing-r m. `Teil eines Zimmers; Bett', NIsl bing-ur `Haufe, Vorrat'|binge `Düngerraum'; bunga `kleiner Haufe'|binge|bunge `Wäldchen', dial. bing `Kornkasten', binge `Scheune für Getreide oder Stroh'||bing `Kasten, Getreidekiste'|||||||bonge `Sack'|||binge `kesselförmige Vertiefung'||bungo `Knolle'|bunge wk. m. 'knolle'||
85|*biran-, *barna-n, *burdí-(/*búrϑi-), *bur[ϑ]a-z, *barma-z, -i-z; *buri(-z)|give birth|117|bɛran st. `give birth'; barn n. (a) `child'; *bɔr m. (i) `one born'; ga-bɔrϑ-s f.(i) `birth, descent, race, place of birth''; pl. bērusjōs m. (ja) `parents'; *barm-s m. (i) `bosom, lap'|bera `gebären', barn n. `Kind', bur-r m. `Sohn', burδ-r m. `Geburt, Nachkomme', bürδ f. `Geburt, Geschlecht, Stand'; barm-r `Busen, Schoss'|barm `Busen, Brust', barn `Kind'|byrϑ, biurdh `Bürde, Geburt'|barm `Busen, Brust', barn `Kind', börd `Geburt'||barm `Busen, Brust', barn `Kind', bürd `Geburt'|beran (beoran) (bär, bǟron; boren) `to bear, produce, bring forth', bearn, -es n. `bearn, child, snn, issue, offspring, progeny', byre, -es, pl. -as/-e m. `son, child, descendant', gebyrd, -e f. `birth, origin, beginning etc.'; bearm, -es m. `bosom, lap'; bridd 'young bird, nestling'||bear 'give birth', birth; bird|bern n. `Kind', berth, berd `Geburt'||gi-beran `gebären', barn n. `Kind', gi-burd `Geburt'; barm `Schoss'; (kuni-)burd `Herkunft'|ghebāren; gheboorte `Geburt'|baren; geboorte||gebēren||beran (8.Jh.) `Frucht tragen, gebären', barn n. `Kind', baro `Mann', giburt (8.Jh.) `Geburt'; barm `Schoss'|barn st. n., m. 'kind, sohn'; bërn st. tr. 'hervorbringen, frucht oder blüte tragen; gebären', intr. 'hervorgebracht werden, zum vorschein kommen, wachsen'; geburt st. f. 'geburt; geborenes; angeborner stand, herkunft'|gebären; Geburt f.|
86|*burtila-z, *burt[ō]n- vb.|croupe|118|||||||||||||||||||||Bürzel m. (seit Luther 1543) `Steiss, Steissbein; Höcker auf der Stirn des Viehes; kleine Erdehöhung; Scher-borzen Maulwurfshügel'; obd. borzen `ragen, strotzen, hervorstehen'|
87|*branda-z|beam, board|119||brand-r m. `Brett; Schwertklinge, Schwert (poet.)'|||brand `Balken'||brand `Balken'|brand, -es m. `blade, sword'|||||||||||brant `Balken'|||
88|*barwa-z|coniferous forest|120||bɔr-r m. `Nadelholzbaum'||||||bearo (bearu), gen. bearwes, dat. bearwe (-rowe, -ruwe) m. `grove, wood'|||||||||||baro `Wald, Hain', bara-wāri `Priester' (< Waldwart)|||
89|*birēn, *birōn; *birnu-z, *birniō; *bársin|bear|122||bjɔrn m. `Bär'; bera f. `Bärin'; bersi, bessi m. `Bär', birna f. `Bärin'|björn, bjönn `Bär'; bera `Bärin', dial. besse `grosse, starke Person'; birna, binna `Bärin'|birna `Bärin'|björn `Bär', bjässe `starker Kerl', dial. bjässe `Bär',||björn|bera, -an m. `bear'; beorn (biorn), -es m. `man; prince, nobleman, chief, general, warrior, soldier; rich'||bear||||bere|beer m.||bāre, bār, bēre||bero (8.Jh.)|bër wk. m. 'bär'|Bär m.|
90|*bibru-z|beaver|123||bjōr-r m. `Biber; Biberfell'|dial. bjōr `Biber'||dial. bjur `Biber'|biävär, biauär `Biber'||beofer (beofor), -es m. `beaver'||beaver|||bivar, bevar|bēver|bever|bever|bēver|bever m.|bibar (9./10.Jh.)|biber st. m. 'biber'|Biber m.|
91|*brunnō(n), *brunnēn, *brunna-z, *brunnian- vb.|fount, source|124|brunna m. (n) `fount, source'|brunn-r m. `Quel, Brunnen', brünna wk. `das Vie zur Tränke führten'|brunn, brünn||brunn||brönd|burn, -e f., burne, -an f., burna, -an m. `bybbling or running water, bourn'||bourn|burna||brunno|borne, borre|bron f. (под влиянием нем., говорят)|brunno|born(e)|börnen `das Vie zur Tränke führen'|brunno m. (9.Jh.) `Quelwasser, Quelle'|brunne wk. m. 'quell, quellwasser, brunnen; harn'; burn(e), born wk./wk. m. 'dass.'|Brunnen m.; Born|
92|*barkēn|gullet|125||barki m. `Luftröhre, Kehle'|barke `Luftröhre, Kehle'|||||||||||||||||||
93|*birga-n; *burgō, *birgaxa-|mountain, bank|128|*bɛrgahī f. (n) `mountainous area'|bjarg, berg ŋ. `Berg, Fels', borg f. `Anhöhe'|berg||berg||bjerg|beorg (beorh, biorg, biorh), -es m. `hill, mountain; heap, burrow, barrow, heap of stones, place of burial'||barrow|berg, birg||berg|berch|berg m.|berg|||berg (9.Jh.)|bërc (-g-) st. m. 'berg; weinberg; bergwerk'|Berg|
94|*balēn, *bēla-n|flame|129|*bala- `shning, gray (of body)|bāl n. `Feuer, Scheiterhaufen', bǟla wk. `verbrennen'|bɔl `Flamme'||bɔl `Flamme'||bäldet `kahl', bɔl `Flamme'|bǟl, -es n. `fire, flame; the fire of a funeral pile, in which dead bones were burned, funeral pile'|balled `kahl'|bald `kahl'||||||||||||
95|*balikō(n)|a bird|130|||||||||||||||||||belihha, belihho|bëlche wk. f. 'wasserhuhn'|{ Bölch, Belche }|
96|*bill=, *ballu-z, *ballia-z, *balluk=, *bull=|testiculi, buttocks|132||bɔll-r m. `testiculus'|balle `Hode'|||||pl. beallucas `testiculi'||ballock|||ars-belli|bille, eers-bille|bil f. `Hinterbacke'||ars-bille `Hinterbacke'||pl. ars-belli m. `Hinterbacken'|ars-, after-belle st. f. 'gesässbäcken'|hess. bulle `vulva', bille `penis'|
97|*balēn|sandhill|133||bali m. `flacher Strandhügel'|bale m. `flacher Strandhügel'|||||||||||||||||||
98|*bulēn, *bullēn|bull, ox|0||boli m. `Stier, Ochs'|dial. bol `Stier, Ochs'|||bul `Stier, Ochs'||bulluc, -es m. `young bull, bull-calf'; { bula (in Ortsnamen) }||bull, bullock||||bulle, bul|bul m.||bulle `Stier'||||[ Bulle m. < LG ]|
99|*bullaka-z|a fish|134||||||||||||||bolc, bollic, bulc m. `soort schelvis'|bolk f.||bulk, bulik, bulleck m. `grote vis, kabeljauw'|||{ bollich m. `grosser Fisch, u. a. Kabeljau' }|{ Bolch }|
100|*ballu-z, *ballēn|ball|135||bɔll-r `Kugel'|||bɔll||bold||||||ball|bal|bal m.||bal||bal m. (9.Jh.) `Ball, Kugel, Hand-, Fussballen'; ballo m. (11.Jh.), balla|bal (-ll-) m. 'ball, kugel', balle wk. m. 'ball; ballen an füssen, händen, fingern; warenballen'|Ball m.; Ballen|
101|*bilisō, *bilVn=, *bulVm=, *bulin=|a plant|136|||||bolm-ört|bölme|(older) bülne, biln-urt|belene (beolone, belone), -an f. `henbane, henbell'||||||beelde|||billen-||bilisa||{ Bilsenkraut, dial. Bilme }|
102|*balō(n) (~ -ē-), *bula-z, *bull=|trunk, stem|138||bol-r, bul-r m. `Stamm; Körper, Rumpf'|bul||bɔl `Rumpf'||bul|||||||bolle `boomstronk'|bol-werk||bōle, bolle, bāle `Bohle'|||bole wk. f. 'bohle'|Bohle f.|
103|*bilkēn, *balkēn, *balkō, *balku-z, *bulk=, ? *blakk=, *bluk(k)=|beam|139||bjalki m. `Balken', balk-r, bɔlk-r m. `Scheidewand, Abteilung'|bjelke `Balken'; bolk `Scheidewand, Abteilung'|black `Block als Strafgerät'|bjelke `Balken', balk `Scheidewand, Abteilung', block `Balken, Baumstamm, Klumpen'||bjälke `Balken', dial. balk `Scheidewand, Abteilung'|bealca (balca), -an m. `balk, beam, bank, ridge', bolca, -an m. `gangway of a ship'||balk|balka||balco `Balken'|balke, balc|balk m.; blok||block `abgehaueener Baum, Gefangenenblock'; balke||bloh, bloc n. (um 1000) `Klotz, Bohle', balko (9.Jh.) `Balken'|balke wk. m. 'balken; wageblken'; bloch, bloc st. n. 'holzklotz, block; bohle'|Balken m.; Block m., dial. (obd.) Bloch `id.'|
104|*balgi-z, *bulg=; *bulxstra-z|bag|140|balg-s m. (i) `bag made of skin'|belg-r m. `Balg, Ledersack; Blasebalg; Bauch'; bolst-r, bulst-r m. `Polster, Kissen'|belg; bolster||bälg; bolster||bälg; örte-bälg `Erbsenschote'; bolster|belg (belig, bälg, bälig), -es m. `bulge, budget, bag, purse, bellows, pod, husk, belly'; bylg (bilig), -es m. `id.'; bolster, -stres m. `bolster, pilow for the head'||belly `Bauch', bellows `Blasebalg'; bulge; bolster|balg||balg|balch `Sack, Blasebalg, Bauch'|||||balg (9.Jh.) `Schlauch, Sack, Blasebalg, Fruchthülse'|balc (-g-) st. m. `Balg, Haut; Schwertscheide'|Balg m.|Contamination with *bilgan- `schwellen'
105|*būt=|change|142||bǖta `tauschen, wechseln'|||büta `tauschen'|||||booty||||būten `ruilen, buitmaken', (Kiliaen) buyt, buet|buit m.||būte, buite f. `ruit, verdeling, buit', būten `ruilen, verdelen, buitmaken'|||[ biute < LG ]|[ Beute f. < LG ]|According to another etymology, < *bi-ūtian- `herausgeben'
106|*baki-z, *bakja-z|stream|144||bekk-r m. `Bach'|bekk||bäkk||bäk|bec, -es m. `brook, beck, small rapid stream', becc, -es m. `id.'|||bitze||beki m.|bēke f.|beek f.||||bah m. (9.Jh.)|bach st. m., f. 'bach'|Bach m.|
107|*bid= (~ -ϑ-)|vessel|145||{ biδa f. `Milchkübel' }|bidl n. `Butterfass', bidne `Gefäss'|||||||||||||||||||
108|*bil=|merciful, mild, gentle|146||||||||bile-wit (bele-, bil-wit) `merciful, mild, gentle, simple', bile-hwīt `simple, sincere'|||||un-bilithunga `Unförmigkeit, ungestaltes Ding'||||||bili- 1. Glied von PN; bil-lūh `ebenmässig, angemessen, geziemend'|bilwiʒ, bilwīʒ m., n., f. `Kobold'; un-bil 'ungemäss'||
109|*barka-, *braka-|bitter, raw|147|||||dial. bark `eingesinniger, unfreundlicher Mensch', barkun `rauh'|||||brack `bitter, salzig'||||brac|brak `bitter, salzig'; brak `Salzwasser'|||||||
110|*balwa-n, *balwōn- vb.|wicked, evil|148|balwa-wēsī f. (n) `wickedness'|{ bɔl f. `misfortune, damage'; bɔlva wk. `curse' }||||||bealo `evil, wicked'||baleful|bealu n. (wa) `evil, misfortune, damage'||balu `evil'||||||balo, gen. balawes m. (wa) `destruction'|bale st. m. 'böses, unrecht'||
111|*bazá-|bare, naked|150||ber-r `entblösst, nackt; sichtbar, deutlichL'|berr||bar||bar|bär m.n., bärre f. `bare, naked, open'||bare|ber-fōt|Fris bar, adv. bare `erg'|bar|baer `naakt, open', bar `erg'|baar, barre-voets||bār||bar (10.Jh.) `nackt, bloss, unverhüllt, offen daliegend, frei von, ohne etw., rein, nichts als'|bar 'nackt, bloss; leer, ledig, inhaltslos; sichtbar, offenbar, kund'|bar|
112|*baud=||151|bauϑ-s (-d-; a) `deaf, dumb; tasteless'|||||||||||||||||||||
113|*buϑma-z, *butma-z, *butna-, *budna-n, -z, *butmiōn, *buϑmiōn|ground|152||botn m. `Boden, Grund'|botn||botten|botn|bund|bodan n.? m.?, botm, -es m. `bottom'; bytme (bytne, byϑne), -an f. `keel of a ship; head of a dale'||bottom|boden m.||bodom m.|bōdem m.|bodem m.||bōdem(e), boddem, bodden||bodam m. (9.Jh.)|bodem, boden st. m. 'boden, grund; kornboden, -haus; schiff, floss; flrisch vom hintern teile, bodenstück'|Boden m.|
114|*burja-z|a favourable wind|153||bür-r m.|bür||bör||bör|byre, -es m. `an event, the time at wich anything happens, a favourable time, an opportunity'||||bur `Wind'|||||böre-lōs `ohne Fahrwind'|||||
115|*brṓϑēr|brother|155|brōϑar m. (cons) `brother'|brōδir m. `Bruder'|broder||broder||broder|brōϑor (brōϑer, -ur), dat. brēϑer, pl. brōϑor (-ϑer, -ϑur, -ϑru, -ϑro) m. `brother'; brōder `id.'|||brōther m.||brōthar m.|broeder m.|broeder m.|bruother m.|brōder||bruoder m. (8.Jh.)|bruoder an. st. m. 'bruder; klostergeistlicher; wallfahrer'|Bruder m.|
116|*wandu-z|rod|3248|*wandu-s m. (u) `rod'|vɔnd-r m. `Zweig, Stock', Far vond f. `id.'|vond `Rute, Zweig'||vann m. `Erbseranke', vann m. `Stange'||vɔnd `Rute, Zweig'|||||||||||||||Should be distinguished from *wandu-, *wandō 'wall' (< 'network')!
117|*briusti-,  *briusta-n, *brust-|breast, chest|157|brust-s f. (cons)|brjōst n. `Brust; Giebel; Sinn, Geist'; pl. ābrystur f. `Biestmilch'|brjost||bröst `Brust', [ bräss `Brustdrüse' ]||brüst `Brust', [ brissel `Brustdrüse' ]|brēost, -es n. `the breast of man or beast; the breasts'|||briāst; brust, burst, borst f.||pl. briost, briost n. `Brust'|borst f.|borst f.||brust f., borst||pl. brust f. (8.Jh.)|brust st. f. 'brust; bekleidung der brust'|Brust f.; schweiz. briescht `Biestmilch'|
118|*brind=, *brund=|deer|158|||bringe `männliches Elentier', dial. brund `Männchen vom Renntier'||dial. brind, brinde `männliches Elentier'|||||||||||||||||
119|*brū-, *brūn=; *brē(x)w=; *brūn=|eye-brow; edge, brim|159||1) brā `Lid, Wimpern'; brūn, pl. brünn/brūnir `Braue; Wandvorhang in der Kirche' (ko ns. St.); 2) brūn `Rand, Kante, Zeugborte', brǖna wk. `wetzen, anstacheln; ans Land ziehen', brǖni n. `Wetzstein, Würze'|1) brun; 2) brüna wk.|2) brūn, brǖn `Rand, Kante'; bryne `Wetzstein'|1) brün; 2) brüna wk.||1) brün; 2) brüne `Wetzstein'; dial. bryne wk.|1) brū, gen. brūwe f. `brow, eye-brow, eye-lash'; brǟw `Lid, Wimpern'||1) brow|||1) brāha, brāwa `Braue', in Komp. `Lid, Wimpern'; wint-brawia|1) bra(e)uwe f. (went-, winc-, wenc-braeuwe)|1) brauw, wenk-brauw f.||1) pl. brān `Brauen, Lider'||1) brāwa (8.Jh.) `Augenlied, Wimpernreihe, Augenbraue'|brā (pl. brā, brāwen, brān) st./wk. f. 'wimper, braue'|1) Braue f.|
120|*brṓwō, *brug(w)iōn, *brugī|bridge|160||brū f. `Brücke', brüggja f. `Brücke; Landungsplatz, Hafendamm'|bru; brüggja||bro; brügga||bro; brügge|brycg (bricg), -e f. `bridge'||bridge|bregge, brigge||bruggia f.|brugghe f.|brug f.||brügge, brigge, bregge|brügge `Landungsplatz, Hafendamm'|brugga f. (8.Jh.) `Brücke, Bretterboden'|brucke, brücke, brugge, brügge st./wk. f. `Brücke; Zugbrücke; hölzernes Gerüst'; { brüge `Brettergerüst' }, brügel st. m. `Stock, Knüttel'|Brücke f.; Prügel m.; bair. bruck `Bretterbank am Ofen, hennebergisch Brücke, Bretterfussboden, schweiz. brügi ( < *brugī) `Heuboden, breterner Fussboden im Stall, Bühne, aargau. brügel `Honzscheit'|
121|*brugn=|bough|161|||dial. brogne, brogn `Baumzweig, Kleestengel, Himbeerstrauch'|||||brogna (-e ?) `leafy bough, frondium', ge-brogne, -an n. `bush'||||||||||||||
122|*bláuϑia-, *bláuϑu-, *bláuϑian- vb., *bláuϑīn; *blauti-, *blautian- vb.; *blauta-|void, emaciated, soft|162|*blauϑjan wk. `make void'|blauδ-r `furchtsam, zaghaft', bleyδa wk. `weich machen, demütigen'; bleyδi f. `Furchtsamkeit'; blaut-r `weich, schwach, furtchtsam'; bleyta wk. `weich machen'; blotna `zacht worden'|blaud; blaut||blöd; blöt||blöd; blöt; blöde `erschrecken, scheuchen'|blēaϑ `gentle, timid, peaceful, inactive', blēat `wretched, miserable (?)'|||blāt `arm'||blōth(i) `bang, laf'; blōthī f.; blōthian `schwach machen'|blōde, bloot `laf, bang, schuchter'; bloot `bloot, naakt; arm'; Kil. blutten `stumperd'|blood, bloo; bleu (< oostnl.); bloot; dial. blut `alles verloren hebbend'||blōt `nackt, ungeschützt, frei von, arm'; blȫde `schwach, furchtsam, verzagt'|blutt `bloot, naakt'|blōdi (9.Jh.) `träge, furchtsam, körperlicher schwach'; blōden `schwach machen'; blōdī f.; blōʒ (8.Jh.) `stolz'|blȫde `zerbrechlich, schwach, zart; zaghaft'; blōʒ 'nackt, unverhüllt entblösst; nicht gewaffnet; unvermischt, nicht als, bloss'|bloss; blöd(e)|
123|*bliϑja-; *blīja-; *blīwa-n|light, glad|164|blīϑ-s `merciful; loving goodness'|{ blür `mild (vom Wetter), freundlich, angenehm' };  blǖ n. `Blei'|blü||blü, gothl. bläi||blü|blīϑe `joyful, glad, merry, cheerful, pleasant, blithe; gentle, kind, etc.'; bleoh (? blēoh; blēo, blioh, blīo), gen. blēos n. `colour, hue, complexion'||blithe|blī(e)n `Farbe', bli `schön'||blīthi `vrolĳk, helder'; blī n. `Blei; Farbe', blī  `farbig'|blīde `vrolĳk, blĳ, helder, gelukkig, welgezind', bli `Blei'|blĳde, blĳ|blīthon `vrolĳk zĳn'|||blīdi `heiter, froh, freundlich; glänzend', blīo, gen. blīwes (um 800) `Blei'; blīo(h) `Farbe, Erscheinung, Gestalt'|blī (-w-, -g-) st. n., m. 'blei; richtblei; blīde 'froh, heiter, freundlich; artig, sittsam'|Blei n.|
