"NUMBER","PROTO","MEANING","PRNUM","OLITH","LITH","LETT","OPRUS","NOTES"
    84,"*leĩǯuw-i-s, *inǯuw-i-s","tongue",   189,"","liežùvi-s `Zunge; Sprache'","","insuwis `Zunge' V. 94",""
    85,"*dimst-i- c.","yard",   193,"dimstis (Bretkun, ostpr.) `Hof, Gut, Hofraum', ON (prus.) Dymsteines","","","",""
    86,"*pa=dus-iā̃ f.","bosom",   195,"","","paduse 'Achselhöhle; Busen des Kleides'","",""
    87,"*dū̃r-iā̃ f., *dū̃r-ia- (2) c.","fist",   196,"","","dùre, dûris\H2\h 'Faust'","",""
    88,"*dō̂n-ā̂ (1), *dōn-iā̃ (1) f.","bread",   208,"","dúona `Brot'","duõna, duone `ein Schnitt Brot, bes. das Brotende'","",""
    89,"*daub-ā̂ f., *daub-ur-ā̂ f., *dub- vb. intr., *dub-ur-a- c.; *dō̂b- vb. tr., *dōb-ā̂, *dōb-iā̃ f.,","deep; ground; sink",   201,"","dùbti `sich senken, sich höhlen, hohl werden', dúobti `aushöhlen, (einen Weg) ausfahren', dubùs `eingesunken, tief, hohl', dùburas `Einsenkung, Vertiefung, Grube, mit Wasser gefülltes Loch'; duobà `Höhlung im Baumstamm', duobē̃ `Grube, Loch'; daubà `Schlucht', dauburà `Talkessel'; dùgnas `Boden, Grund'","dubęns (gen. dubęna), dubens (gen.-s) (Westkurland), dibęns, dibins ( gen. -na, -s, -n̨a), dibans, dibuns (Bolwen) `Grund, Boden, Tiefe; innerste od. hinterste Teil eines Raumes; der Hintere'; dubt (dubu, dubu) `einsinken, einfallen, hohl werden'; dubra 'Sumpf, Moor', pl. dubras 'ausgefahrene Grüfte auf Wegen'","",""
    90,"*duktē̃ (-er-) f.","daughter",   210,"","duktē̃, gen. -er̃s `Tochter'; pṓdūkra 'Stieftochter'","","duckti `Tochter'; poducre 'Stieftochter' Voc. 182",""
    91,"*dwar-[a-]s m., *dur-i-s f., *dur̃-w-i- c.","door",   211,"","dùrīs pl., gen. dùrų `Tür', ostlit. dùres","dùrvis (gen. -vju), duris (gen. duru) pl. `Tür'","dauris [lesen wohl duaris, d. i. dvaris] `Grosstor'",""
    92,"*drik-ā̂ f., *drī̃k- vb. intr.","thread, fringe",   212,"","drikà `Fäden, die beim Weben nicht eingezogen vom hinteren Webebaum herabhängen', drī̃kti `sich lang herabziehen (von Halmen)'","","",""
    93,"*jār-iā̃ f., -ia- m.","spring-time",   214,"","jō̃rē 'Grünspan, Frühlingsgrün', Jō̃ris, -ē 'der grüne Gott oder Göttin des Frühlings'","","",""
    94,"*pa=ū̂d-r-iā̃ (1) f., *ūd-r-ā̂- vb.","belly, paunch",   216,"","ūdrṓti (ostlit.) `trächtig sein, dick werden (vom Schwein)'; paū́drē `Unterleib (des Menschen), Netz bei den Schweinen'","","",""
    95,"*dailī-","to divide",  1907,"","dailī́ti","","",""
    96,"*aǯg-iā̃ f., *aǯg-ia- c., *aǯeg-[a]- m.","perch",   210,"","egžlī̃-s, ež(e)gī̃-s, jegžlī̃-s, ežgē̃ `Kaulbarsch', dial. (Salakas) ažgī̃-s","","assegis m. `Barsch' V. 572",""
    97,"*dañt-i- c.","tooth",   222,"","dantìs, pl. gen. dantų̃, dial. dančių̃ `Zahn'","","dantis `Zahn' V. 92, dantimax `Zahnfleisch' V. 93",""
    98,"*nab-ā̂ f., *nab-[a]-","navel",   228,"","","naba 'Nabel; am Pfluge das Querholz der Femern'","nabis 'Nabel; Nabe am Rad'",""
    99,"*deb-es-i- (*-es-es), *deb-es-ia- c.","sky, cloud",   229,"","debesì-s, gen. -iẽs, pl. gen. debesų̃; debesī̃-s, gen. dẽbesiō `Wolke'","debess (gen. -s, pl. debesis, gen. dębęsu/debešu) f. `Himmel; Wolke', debesis `Wolke'","",""
   100,"*emnen- m.","name",   231,"","","","emnes K III 33, 32, emmens K I 7:5; K II 13:3, acc. emnen `Name' K I 5:5","Jatv. nom(in)s name."
   101,"*ō̂lek-t-i-s, *al̃k-ō̂n-a- c., *al̃k-ō̂n-ia- c., *al̃k-ū̂n-iā̃ f., *al̃k-a- c., *al̃k-ā̂ f.","elbow, ell",   243,"uolaktis (Szyrwid) `Elle, Mass'","úolektis, gen. -ies (DLKŽ), uolektìs, gen. -iẽs (Kurschat); alkū́nē, elkū́nē `Ellenbogen, Biegung, Krümmung'","uôlekts (gen. -s), dial. uôlekte\H2\h, uôlękts, uôlikte\H2\h `Elle', ruokas uo. 'Unterarm'; ę̀lks 'Biegung, Winkel; Ellenbogen', èlka `Ellenbogen', ę̀lkuons, ę̀lkuonis `Biegung'; ę̀lkuons, ę̀lkuonis, ę̀lkuone 'Ellenbogen'","woaltis `Elle' V. 298, woltis `Unterarm' V. 112, alkunis V. 110 `Ellenbogen';","Неясно отношение сюда Lith lẽtena 'Fusssohle, Pfotze, Tatze'; Lett let(e)nis, letene 'Fusssohle, Pfotze, Tatze'"
   102,"*al̂w-a-s (2) m., *al̂w-ā̂ (2) f.","tin",   245,"","álva-s (+ ãlava-s < slav.) `Zinn'","al̂va, al̂vs `Zinn'","alwis `Blei' V. 527",""
   248,"*asan-[i]-","autumn",   248,"","","","assanis `Herbst' V. 14",""
   104,"*asen-i-, *asin-i- c.","blood",   249,"","","asins (gen. -s, dial. asin̨a/asina; pl. asinis, gen. asin̨u/asinu) f./m., dial. asnis f.; asens m.; pl. asin̨i, asen̨i, ašn̨i (veraltet) `Blut'","",""
   105,"*ī̂l-u- (1) adj.","dark",   250,"","","ĩls `stockfinster'","",""
   106,"*gō̃w-i- c.","cow",   254,"","","gùovs (gen. -s) `Kuh'","",""
   107,"*gar̂n-ia- (2) m., *ger̂w-iā̃ (1) f.","crane, stork",   258,"","garnī̃-s `Reiher, Storch'; gérvē, géršē `Kranich', žem. génšē, gę́šē, géžē `Reiher'","gar̂nis `Storch; Reiher'; guoris (L.) 'ein Reiher', guõris (Koddiack), guôris\H2\h (Ipik̨i) 'Art Vogel'; dzẽrve `Kranich; Fischadler; Storch', dial. dzēse, dzēsis, dzēsnis, dzēze `schwarzer Storch', dzêse\H2\h, dzēzis 'Reiher'","gerwe `Kranich' V. 715, geeyse `Reiher' V. 718, geasnis `Schnepfe (бекас)' V. 753",""
   108,"*ǯañs-i- (*ǯañs=) m.","goose",   259,"","žąsìs, gen. -iẽs, pl. nom. (dial., alter), žą̃ses, gen. žąsų̃ `Gans'","zùoss (pl. gen. zuosu); dial. zùose\H2\h `Gans'","sansy `Gans' V. 719",""
   109,"*gañd-r-a- c., *gand-am=","stork",   260,"","gañdra-s 2 `Storch'","","gandams [vielleicht in *gandrus zu verbessern - Endz. SV 175] `Storch' V. 716",""
   110,"*guǯ-a- c.","crane",   263,"","gùža-s Storch -- nowhere found!","","",""
   111,"*gag-ā̂, *gā̂g-ā̂ (1), *gāg-ar-a- c., *geg-al-[a]- c.","a k. of waterfowl",   264,"giegals (Bretkun) `Taucher'","gagà `Eiderente', gegala-s `naras' LKŽ, gaĩgala-s `Enterich, Erpel', { gagalas 'Storch' }","gāgar-s `Gans; Kalkhuhn', gãga `Eiderente, -gans', gãgans 'Gänserich; Storch'; gaĩgala, gàigala, gaîgala, gaigale, gaigalis, gaîgals\H2\h, gaigula, -e, -is `Taucher, Möwe (Larus glaucus)'","gegalis `kleiner Taucher' (Columbus minor) V. 758",""
   112,"*skrāb-l-a-, *skrābl-ju-, *skrāb-l-u- c. etc.","beech",   267,"","skrō̃bla-s, skrṓbla-s, skrobliù-s (Hage)-buche, Weissbuche', { dial. skrōblù-s, skrōblà `Hainbuche' };","skābardis, skābards, skābardis, skābarde, skãbârzde\H2\h, skabarde (pl. g. skabardžu) 'Rotbuche (Fagus silvatica L.)', skabarda, skabard(i)ene 'Ulme, Rüster', skābars 'Bushsbaum'","scoberwis (übrl. stoberwis) `Hainbuche', { wosi-grabis `Spindelbaum (бересклет)' }",""
   113,"*skerp-t-u- m., *skir̃p-s-ta- c., *skir̂p-s-t-u- c., *skir̂p-s-t-ā̂, *skirp-s-t-iā̃ f.","elm",   268,"","skir̃psta-s `Feldulme (U. campestris'), Rot-, Waldbuche (F. silvatic a), Weg-, Kreuzdorn (Rhamnus frangula), Weiss-, Hage-, Hainbuche (C. betulus)' und `Heckenkirsche (Lonicera xylosteum)', skìrpstu-s `Rotbuche (F. silvatyica)', skir̃pste `glatter Wegedorn (Rh. frangula)', skìrpsta `Hartriegel, Cornus sanguinea'","","skerptus `Rüster (U. campestris)' V. 626",""
   114,"*gir̂s-ā̂, *girs-ia- c.","a k. of grass",   271,"","gìrsa `Trespe(n)'","dzirši pl. `Trespen'","",""
   115,"*ǯem=","snake",   272,"","žemašliaužē, žemaslunka 'Schlange'","","",""
   116,"*ǯel̂w-iā̃ f., -ia- m.","tortoise",   273,"","žélvē 'Schildkröte', želvī̃-s ds.","","",""
   117,"*gabaw-ā̂ f.","toad",   274,"","","","gabawo `Kröte' V. 779",""
   118,"*glin̂d-ā̂ (1), *glin̂d-iā̃ f.","nit",   275,"","glìnda `Nisse, Lausei', glìndē `Lauskraut'","","",""
   119,"*geĩb-u- adj., *geĩb- vb. intr.","weak",   276,"","geibù- `schwächlich, plump', geĩbti (geĩbsta) `schwach  werden, von Kräften kommen, hinfällig werden, vor Scwäche umsinken, krepier en', géiba, geĩbena `kränklicher, entkräfteter, abgezehrter Mensch'","","",""
   120,"*ǯen̂-t-a-, *ǯin-t-a- m.","daughter's husband",   280,"źintas `Schwager' (Szyrwid)","žénta-s `Schwiegersohn, Tochtermann; (dial.) in das Haus einer Witwe einheiratender zweiter Mann'","","","Cf. also: OLith pl. gentes/gentīs, Lith gentì-s, gen. pl. genčių̃ 'Verwandte(r), Verschwägerte(r)"
   121,"*gar̂s-ia- (1) c., *gar̂s-iā̃ (1) f.","marshy forest",   282,"","","gãrša 'grosses Wald, nam. Fichtenwald, auch Laubwald'; gāršu zeme, pl. gārši 'nasses, morastiges Land'","",""
   122,"*gal̃sa- c.","echo",   285,"","gal̃sa-s 'Widerhall'","","",""
   123,"*gal̂w-ā̂ (2) f.","head",   286,"","galvà `Kopf, Haupt'","gal̂va `Kopf, Haupt'","gallū, galwo, acc. galwan `Kopf, Haupt' V. 68",""
   124,"*graǯ-ā̂- vb., *greǯ-ō̂-, *greǯ-jō̂- vb.","threaten",   288,"","gražṓti `drohen'","gręzuôt 'drohrn; verdriesslich, ärgerlich sein', grežuôt `ärgerlich, verdriesslich, eingesinnig sein; kapriziös sein; sich stolz gebärden'","",""
   125,"*grañd-i- c., *grund-i- m., *grañd-a- adj.","",   289,"","grandì-s 'Ring einer Kette, Kettenglied, Armband', ostlit. grundi-s","grùods 'drall, stark gedreht, stramm'","grandis (überl. graudis) 'Rincke' ('Grindelring am Pfluge, der den Pflugbaum mit dem Vordergestell verbindet') Voc. 251",""
   126,"*garb-[a]- m.","mountain",   290,"","","","garbis [überl. grabis] 'Berg' V. 28",""
   127,"*gau-r-a- c., *gau-r-ia- c. (Lett AC, 1 / Lith CIRC)","body-hair, hair (of animals)",   291,"","gaũra-s, pl. gauraĩ `Haar(flaum), Milchhaar, Zotte, Haarbüschel (der Tiere), Pflanzenfaser'","gauri pl. `Haare an den Schamteilen', gauris, gaũrs, pl. gaur̨i, gaũri `Ackerspark (Spergula arvensis)', pl. gaũr̨i 'Samen eines im Flachs wachsenden Unkrauts'","",""
   128,"*ǯag-a- c., *ǯag-ar-a- c., *ǯag-r-iā̃ f., *ǯag-in-ia- c., *ǯēg-in-ia- c.","bough, pole",   292,"","žãga-s (kegelförmiger Heu-, Getreide)schober'; žãgara-s `dürrer Ast, Zweig', pl. žagaraĩ `dürres Strauchwerk, Reiser, Gestrüpp', žagrē̃ `Pflug(schar)', pl. žaginiaĩ `Palisaden, Pfahlwerk', dial. (Jušk. s. v. kriogis) žēginī̃-s `zwei den Schweinen an den Hals gebundene, kreuzweise übereinandergestellte Holzstücke, die daran hindern sollen, durch den Zaun ins Freie zu gelangen', { žiõgris Staket, Zaun }","","",""
   129,"*kek-iā̃ f.","a k. of plant",   293,"","kẽkē, kekē̃ `Dolde, Traube, Gartenmelde'","","",""
   130,"*ǯeĩs-r-ā̂ f., -a- c., *ǯis-r-a- c.","gravel",   297,"","žiezdrà `Grand, Korn', pl. žiẽzdrōs `Sand', žiẽzdra-s `(Kies-, Grus)sand, Gries', dial. pl. t. žiẽ(g)zdrōs `Grand', žiegzdrà `id.'; žìzdra-s `Kies, grober Sand', dial. žigždra-s `id.'","","sixdo  `Sand' V. 26","For literary Lith. Lyberis gives žiegždrà 'žvirgždas', žiegždrī́nas 'žvirgždynas'. Cf. comment to #1627. (В. Ч.)"
   131,"*gem̂b-iā̃ (1) f.","hook",   301,"","gémbē `hölzerner Haken zum Aufhängen von Kleidungsstücken, Wandpflock, Kleiderhaken'","","",""
   132,"*ǯan̂-d-a- (2) c., *ǯan̂-d-sl-a- c.","jaw, cheek",   303,"","žándas `Kinnbacke, Kiefer, Wange', pl. t. žą́slai `Mundstück, Gebiss (am Pferdezaum)'","zuôds `Kinn, Kinnbacke; scharfe Kante, Ecke eines Klotzes, die man mit dem Hebebaum fassen kann; Ecke an der Schneide einer Axt', pl. zuodi 'Kinnlade'","",""
   133,"*ǯir̂n-ia- (1) c., *ǯirn-iā̃ f.","corn, pea",   304,"","žìrnis `eine Erbse', pl. žìrniai `Erbsen'","zĩrnis `Erbse', pl. zìrn̨i\H2\h `Pocken; Unebenheiten, Knollen um Garn u. dergl.'","syrne `Korn' V. 278",""
   134,"*ǯē̂b-ē̂- (1) vb.; *ǯē̃̃b- (ǯē̃b-, *ǯē̃b-ja-) vb.","gnaw",  1656,"žēbmi 1 sg.","žḗbēti `langsam, mit langen Zähnen essen'; žē̃bti (žē̃bia) 'langsam mit langen Zähnen essen (auch von Tieren), ungern essen, kauen'","","",""
   135,"*ǯam̃b-ia- c., *ǯam̃b-a- c.","tooth, cog, peg",   315,"","žam̃bi-s `Holzpflug', žam̃ba-s `Balkenkante, jeder scharfe, eckige Gegenstand; Rockschoss'","zùobs `Zahn; Zahn, Zacke der Säge, usw.'","",""
   136,"*gum-a- c., *gū̃m- vb. intr., *gum-ul=, *gum-ur=, *gam-al=, -ul=","lump, clod",   316,"","gùmula-s, gumulī̃-s, gùmura-s `Ballen, Klumpen, geknetete Masse', gãmala-s `Schneeball, Stück Brot,, Stück Fleisch', gãmula-s `Ballen, Klumpen, geknetete Masse'","gums `Bolle, Knolle; blätterlose Knospe', gùmt (-stu, -mu) `sich biegen; wulstig werden; überfallen, sich auf einen langsam senken; greifen'","",""
   137,"*gun̂g-ā̂ f., *gun̂g- vb. intr.","lump; crooked",   317,"","gùnga `kl. Buckel, Knäuel', gùngti `sich krümmen'","","",""
   138,"*gaũg-ar-a- c., *gug-ā̂, *gug-iā̃, *gug-in- vb.","round object",   318,"","gugà `runde Erhöhung, Buckel, Knopf, Hügelchen, kl. Erhebung , Widerrist des Pferdes', gùgē `Stock mit umgebogenem Ende, Buckel, Höcker, Hügelchen', gùginti `aufbauschen'; gaũgara-s `Berggipfel' [ gúogē, gṓgē `Kopf' - скорее отдельно ]","","",""
   139,"*ǯab-a- c., *ǯab-ā̂, *ǯab-ar-a- c.","branch, bough, pole",   320,"","žãba-s `Ast, Gerte, Reisig', žabà `Rute, Gerte', žãbara-s `Ast, Gerte, Reisig' (также: žãbara-s `Grand, Kies'; žúobri-s `Pflugschar, -gestell, -balken')","asęn-zabas pl. `das Band, welches das die hölzerne Gabel der Pflugschar mit der Femerstange zusammenhält'","",""
   140,"*gō̂g-iā̃, *gā̂g-iā̃ (1) f.","head",   321,"","gúogē, gṓgē `Kopf'","","",""
   141,"*gur̃n-a- c.","hip, thigh",   322,"","gur̃na-s `Hüfte, Hüftknochen, Fussknöchel, kleines Stück Schinken, Elenbogenforsatz'","gùrns `Lende, Hüfte; Gabel am Spinnrade, darin das Rad hängt'","",""
   142,"*greǯ-n-a-, *graǯ-u-, *graǯ-n-a- adj.","beautiful",   325,"","gražù-, grãžna- 'schön, schmuck, stattlich', gražnà 'Zierde, Schmuck'","gręzns 'schön, herrlich, prächtig; üppig, stolz', gręzna 'Prachtkleid; Hahnenkamm', pl. gręznas 'Schmuck, Kleinode, Zierde, Kostbarkeiten; lange Schwanzfedern des Hahns'","",""
   143,"*grim- (1) vb. intr. (Lett AC, 1/CIRC? ~ Lith CIRC)","sink",   328,"","gramzdìnti 'versenken', grimstù (prt. grimzdaũ) 'sinke' (ME I:655)","grim̂t\H2\h, grim̃t (-stu, -mu) intr. `sinken, untergehen, zu Grunde gehen'; grèmdêt (-ẽju) fact. 'senken, versenken'","",""
   144,"*grō̂d-a- c.","hoar-frost, etc.",   329,"","grúoda-s `Reinfrost, Frost ohne Schnee, hartgefrorener Strassenkot, Mauke (Hautentzündung an den Füssen der Tiere)'","","",""
   145,"*gĳ-ā̂ f., *geĩ-n-ia- c., *gei-k-ā̂","thread, yarn",   341,"","gĳà `Faden im Aufzug eines Gewebes'; geĩni-s 'Aufzug, Kette, Zettel (beim Weben)', geinī̃-s, genī̃-s 'Strickleiter zum Ausnehmen der Waldbienenstöcke'","dzĳa `Garn'; dzèinis 'Tritze, Kleterstrick, Strick nebst Zubehör, mit dessen Hilfe der Imker in die Höhe zum Waldbienenstock klettert; Knebel; aufdeschorenes Garn, Garn für den Aufzug der Weber', dzenis 'Tritze, Kleterstrick, Strick nebst Zubehör, mit dessen Hilfe der Imker in die Höhe zum Waldbienenstock klettert'; dzeika 'Strick'","",""
   146,"*gīn̂sl-ā (2)","sinew",   342,"","gī́sla, -ē, žem. ginsla `Ader'","dzîsla, dzîksla, dzîsle, dzīksle `Ader; Sehne'","pette-gislo `Rückenader' V. 108",""
   147,"*gil-iā̃ f. (1), *gī̂l-iā̃ f. (1)","acorn",   344,"","gìlē; gīlē̃ (acc. gī̃lę) `Eichel'","dzĩle 'Eichel'; dzila (Kurmin 278) `żołądź'; zìle, zĩle 'Eichel'","gile `Eichel' V.591",""
   148,"*gen-ā̂ f.","woman",   345,"","","","genno `Frau' V. 188",""
   149,"*gur-a-","mountain spur",   346,"","gùra-s 'Bergvorsprung'","","",""
   150,"*grū̂-t-a- (1) adj.","heavy",   347,"","","grũts, gr̨ũts 'schwer, schwierig, mühselig; schwerfällig, nicht geläufig; schwanger'; *grūta: ar lielu grūtu (Wolm.) 'mit grosser Schwierigkeit, mit Mühe und Not'","",""
   151,"*gir̂n-ā̂ (1) f., *gir̂n-u- (1) c., *gir̂n-aw-ā̂ (1) f.","mill-stone",   348,"","gìrna `Mühlstein', pl. gìrnōs `Mühlgang, Handmühle'","dzir̃nus, dzir̃nas, dzirnuvas, dzir̃navas `Quirne; Mühle'","girnoywis `Quirne' V. 317",""
   152,"*gar-ia- n., *gir-iā̃, *gir-jā̂ f.","forest",   349,"","girià, žem. gìrē `Wald, Forst'","dzir̨a, dzire `Wald'","garian V. 628, garrin Ench. 65:27 `Baum'",""
   153,"*gē̂d-ā̂ (1) f.","shame",   351,"","gḗda `Scham(gefühl)', gḗdinti 'beschämen'","","gīdan acc. `Schande' K III 39:4; nigīdings `schamlos'",""
   154,"*gumb-ā̂ (1) f. (Lett AC, 1 ~ Lith CIRC)","swelling",   357,"","gum̃ba-s 'Erhabenheit, Konvexität, Auswuchs am Körper, Beule, Geschwulst, Knorren, Knoten, Blähung, Kolik'","gum̃ba `Geschwulst, Beule; Erhöhung, Haufe; Falte; jähe Biegung am Krummholz'","",""
   155,"*gar̃d-a- c.","enclosure, pen",   359,"","gar̃da-s `Pferch, in den im Sommer das Weidevieh hineingetrieben wird, Hürde'","","",""
   156,"*gar̃š-t-i-, *gar̃š-a- c., *gar̃š-ā̂ f., *garš-iā̂ f.","a k. of plant",   360,"","gar̃šti-s `Kerbel (купырь)', gar̃šas, garšvà `Engelwurz (дудник)'","gãrsa, gârsa\H2\h; gârse\H2\h; gārsne; gārša; pl. gārši `Giersch, Geissfuss (Aegopodium podagraria)'","",""
   157,"*gā̂m-ur-a- (1) c., *gā̂m-ur-iā̃, -er-iā̃ f.","throat",   364,"","gōmurī̃-s, -ē̃, gōmerē̃ `Kehle, Schlund, Adamsapfel'","gãmurs `Kehlkopf; Luftröhre; Kropf'","",""
   158,"*gaĩl-a- c., *gaĩl-u- adj., *gaĩl- vb. intr.","sharp, astringent",   366,"","gaĩla adv. `schade, begehrenswert', gailḗti(s) `Reue empfinden, bedauern', gaĩlti `leid werden', gaĩla-s `Bedauern, Mitleid, Reue', gailù- `kläglich, jämerlich'; beissend, beizend, scharf, bitter, herb'","gaîlêt (Kr.), gàilêt (C.) `glimmen, glühen', gàilēties\H2\h (Kl., Warkl.), gaĩlêties (Dunika), gaîlêties (Schujen) 'glimmen, glühen'; gails `wollüstig; schlank, astlos'","",""
   159,"*geleǯ-i-, *gel̃ǯ-i- c., *gelǯ-ā̂ f.","iron",   367,"","geležì-s, žem. gelžìs `Eisen'","dzèlzs f. (/ m.), dzèlze, dzelzis 'Eizen; etwas aus Eisen Verfertigtes'; dzelezs (Warkl., Smelt. 19) `ds.'","gelso `Eisen' V. 522",""
   160,"*ǯeĩm-ā̂ f., *ǯeĩm-ia- c.","winter",   370,"","žiemà `Winter', žiemī̃-s `Nordwind', pl. žiemiaĩ `Norden'","zìema `Winter'","semo `Winter' V. 15, seamis `Winterkorn, -getreide' V. 257",""
   161,"*ǯel̂- (2) vb. intr., *ǯil̂- (2) vb. intr., *ǯelmō̃ (-men-es), *ǯal-a-, *ǯal-ja- adj., *ǯil-a- adj., *ǯel̃-w-a- adj., *ǯā̂l-iā̃ (2)","green; grey, reddish",   372,"","žélti `grünend wachsen, bewachsen, aufgehen (von Pflanzen)'; žel̃va- `grünlich, gelblich';  žōlē̃ `Gras, Kraut, Blume'; želmuõ `Pflanze, Sprössling, Gewächs', žãlia- `grün, roh, ungekocht'; žãla- `rot (vom Rind)', žãli-s `roter Ochse, rote Kuh'; žìla- 'grauhaarig'; žìlti (žìlsta/žį̃la, žìlō) `grau werden, ergrauen'","zel̂t (zel̨u, zêlu) `grünen, frisch wachsen, gedeihen; emporkommen'; zal̨š `grün; frisch, unfertig, unreif, roh; gesund, kräftig, stark; lustig, sorglos'; zâle `Gras, Kraut'; zil-s, zil̨-š `blau'; zilt (zilstu, zilu) `blau schimmern', zĩle, zîle\H2\h `Koralle (Kralle), Perle, Flitterschmuck'; zals `braun, rötlich, rötlich gelb, hellrot (die von Kühen bezeichnend)'; zals (?) (Assiten) 'grün'","sālin acc. `Kraut' Ench. 65:30, soalis `Kräuticht, Krautwerk' V. 293; saligan 'grün'",""
   162,"*gel̃ǯ-a- c., *geleǯ-ōn-i-, *geleǯ-aun-i-","gland",   373,"","gẽležuonīs, -ēs, gẽležaunēs, -ūnēs pl. `Drüse, Kropf, Strengel (Infektionskrankheit der Pferde)'","inflänt. dźałś-s (= *dzę̀lz-s) 'Kinnlade, Kiefer' (ABSENT IN ME)","",""
   163,"*ǯel-ē̂- vb.","suck, chew",   375,"","želḗti 'saugen, lutschen, schlürfen; kauen, sabbern'","zelêt 'nur mit dem Gaumen, wie kleine Kinder, (etwas Zähes od. Hartes) kauen, sabbeln; lecken, saugen; prügeln; unablässig und sich wiederholend (dasselbe) sprechen'","",""
   164,"*ǯal-ā̂ f., *ǯal-b-ā̂ f., *ǯel-b-ā f.","harm, damage",   378,"","žalà 'Schaden, Leid, Verletzung, erbärmlicher Zustand', undens (= vandeñs) žalà `Wassersucht (водянка); ein im Wasser schwimmender Pilz'","zàlba\H2\h, zàlbe\H2\h `Schaden, Verletzung am Körper, Wunde, Narbe; Brandmal, Schmerz, Beule; Unrecht', zęlba `Schaden, Verletzung am Körper; Brandmal'","",""
   165,"*pa=ǯas-t-i- c., *pa=ǯas-t-iā̃ f.","arm-pit",   379,"","pažastì-s, pažastē̃ `Achselhöhle, Raum unter dem Arm'","","",""
   166,"*ǯel̃-ta- adj., *ǯel̃-ta- c.","golden",   380,"","žel̃ta- (ostlit.) `golden, goldgelb, blond'","zę̀lts `Gold'; adj. `golden, goldig'","sealtmeno `Pirol' V. 748",""
   167,"*drūk-ta-","thick, firm",   918,"","drúktas, driúktas (dial.) 'thick, strong'","","drūktai adv. 'firmly'",""
   168,"*ǯmō̃ (gen. *ǯmun-es); *ǯmā-g-u- m., *ǯmā̂-n-ā̂ f., *ǯmā̂-n=","person",   395,"žmuõ, acc. žmunį, dual. nom.-acc. žmune (Daukša) `Mensch'","žmōgù-s, pl. žmṓnēs `Menschen, Leute; einfache Leute, Landbevölkerung', žmōnà `Frau, weibliche Person, Gattin'","","smoy; smunents 'Mensch', smonenawins 'ds.'; steison smūni Person Ench. 61:10",""
   169,"*guǯ-iā̃","giant woman",   387,"","{ Gùžē 'heidnische Riesegöttin' -- nowhere found! }","","",""
   170,"*gr(j)ā̂n-jā̂- vb.","",   388,"","griō̃niōti 'an etwas herumschneiden, schnipseln, knabbern, knuspern'","","",""
   171,"*gran̂d-a- (1) c., *griñd-i- c., *griñd-a- c., *griñd-ā̂ f., *griñd- vb. tr.","board, plank",   389,"","grindìs `Dielenbrett; Brückenbohle', griñdas, grindà `Dielenbrett'; grį̃sti (griñdžia, griñdē) `mit Brettern belegen, dielen, pflastern', grandà `Brückenbohle'","grìda `Diele, Fussboden, Estrich'; pl. gruõdi, dial. pl. gruodas, gruodes, gruõdis `Bohlenlage auf den Brücken, Bohlen, Balken, die die Bohlenlage halten; Balken unter der Diele; Bohlen zur Einfassung des Brunnens; horizontale Stütze unter der Oberlage'; grīst (-žu, -du) 'den Fussboden legen, dielen, e ine Brücke bauen; aufstellen, herstellen (einen Tisch)'; griest (-žu, -du) 'bauen, dielen'","",""
