"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","REFERNUM","HITT","IND","AVEST","IRAN","ARM","GREEK","SLAV","SLAVNUM","BALT","BALTNUM","GERM","GERMNUM","LAT","ITAL","CELT","ALB","TOKH","REFER","COMMENT"
  54,"*Angh-",   0,"abscess, furuncle","нарыв, чирей",  87,"","","","","","","*ǭg(ъ)rь `Finne, Pickel, Mitesser'", 14893,"*an̂g-š-t[a]r-ā̂ f., *ang-s-tr[a]- m., *ang-s-ter-a- c., *ing-s-tir-a-, *ing-š-tir-a- c.",    26,"*ang-Vs-Vt=",    42,"","","","","","WP I 60 f",""
  55,"*ant- <PIH *H->", 436,"forehead, foreside, end, limit; prp./adv.","лоб; наречие/предл.",  94,"hant- c. 'Stirn', hanta 'gegenüber', handai- (I) 'ordnen, führen'; Luw. hantili- 'erster', handa(i)- 'entscheiden, ordnen', Lyk. χñtawata 'Anführer, König', Lyd. ãnTẽ- 'verordnen, bestimmen' (Tischler 149ff)","ánti adv. `before, in the presence of, near', antiká- `near, proximate', n. `proximity'; ánta- m. `end, limit, boundary', antya- `last'","","","","antí praep. `angesichts, gegenüber, anstatt', hom. ánt[ǟ]n, ánta adv. `gegenüber, ins Gesicht'","",     0,"*añt-i",    27,"*ánϑ-ia- n.; *and=; *und=; *únϑ=; *andi- m.; *and-ia- m., n.",    43,"antiae pl. `muliebres capilli demissi in frontem'; ante `vor, vorher',  antīcus, -a `der vordere', antīquus, -a `vorig, alt, wichtig(er)'; pl. antēs, -ium `Reihen (von Berittenen, Weinstöcken, Pflanzen) ' etc.","Osk ant `usque ad', antkddum `occidionem ?'","OIr ētan `Stirn' < *antono-","","A ānt, B ānte Stirn, Front (PT *ānte) (Adams 43)","WP I 65 f",""
  56,"*ans-",   0,"handle","круглая рукоятка, ушко",  92,"","","","","","pl. hēnía n.  `Zügel'","",     0,"*añs-ā̂ f., *añs-[a]- m.",    28,"*áns-iō f.",    45,"ānsa f. `Griff, Henkel, Öse (am Rand der Schuhsohlen), Handhabe, Anlass'","","MIr pl. ēsi 'Zügel' (< *ansi̯oi̯)","","","WP I 68",""
  57,"*arəm-",   0,"arm","рука (arm)", 104,"","īrmá- m. `arm, fore-quarter of an animal'","arəma- `Arm'; Osset ärm `hohle Arm'","","armukn `Ellenbogen'","","*órmę̄, *órmen-, *órmo", 11363,"*irm-ā̂ f., *ir̂m=ēd-iā̃ f.",    29,"*arm-i- c,, *arm-a- m.",    46,"armus, -ī m. `der oberste Teil des Oberarms, Schulterblatt, (bei Tieren) der Vorderbug'","","","","","WP I 72 f",""
  58,"*araKsn-",   0,"spider","насекомое (паук)",   0,"","","","","","arákhnǟ f. `Spinne, Spinnegewebe', arákhnǟ-s m., árakhno-s m. `id.'","",     0,"",     0,"",     0,"arāneus, -ī m. `Spinne', arānea f., arāneum `Spinngewebe'","","","","","WP I 76",""
  59,"*ār- <PIH *ā̆rH-o->", 773,"open place, space","свободое, открытое место, просторы",  53,"arha- c. 'Grenze, Gebiet; Ufer (des Meeres), arha (Adv.) 'hinaus, fort' Lyd. aara- 'Hof, ländl. Besitz' (with doubts Tischler 55-56)","āré `far (from)', ārā́t `from a distant place'","","","","","",     0,"*ā̂r-ā̂ (2) f., *ā̂r-a- (2) c., *ār-u- adj.",    30,"",     0,"ārea f. `freier Platz, Bauplatz; Dreschtenne, Hofraum, Rennbahn, Gartenbeet, Gottesacker, Glatze'","","","","","WP I 79",""
  60,"*ar-",   0,"reed, rush","растение (тростник)", 119,"","","","","","áro-n `Arum, Natterwurz, Art Schildrohr', arís, -ídos f. `Pflanzenname, "drakontía mikrá"', arísaro-n n. `Pflanzenname, Arisarum vulgare'","",     0,"",     0,"",     0,"harundō, -inis f. `Rohr'","","","","","WP I 79",""
  61,"*ar(y)- <PIH *a->",1201,"master","господин; "ариец"",   0,"arawa- 'frei', Lyk. arawã 'abgabenfrei' (Tischler 53-55 is doubtful)","árya-, aryá- m. `master, lord', ā́rya- `Arian'","airyō 'arisch'","OPers ariya- 'arisch'","","","",     0,"",     0,"",     0,"","","Gaul Ario-manus; Ir aire, gen. airech gl. `primas'","","","WP I 80","Different in Pok. 24-26."
  62,"*arkʷ-",  91,"bow and arrows","лук и стрелы", 117,"","","","","","","",     0,"",     0,"*árxw-ō/*ar(g)w-ṓn- f.; *árxw-az-n-ō f.",    47,"arcus, gen. -ūs m. `Bogen, Regen-, Schwibbogen, Bogenwölbung, Kreisbogen', *arquus, gen. arquī `Bogen', arques, -itis m. `sagittarius'","Umbr arc̨lataf `arculatas, runde Kuchen'","","","","WP I 81",""
  63,"*arg'-",   0,"silver","металл (серебро)", 113,"","rajatá- n. `silver'","ərəzata- 'Silber'","","arcath `Silber'","árgüro-s  m. `Silber'","",     0,"",     0,"",     0,"argentum, -ī n. `Silber, Silbergerät, Silbergeld'","Osk aragetud `argento'; Falisc arcentelom `argentulum'","Gaul Argento-ratum, -magus; OIr argat `Silber', MIr airget `Silber'; Cymr arian(t) `Silber', Corn argant `Silber', Bret argant `Silber', NBret arc'hant `Silber'","","","WP I 82 f","[OInd. rajata- instead of *arjata- or *r̥jata- probably on analogy with raj- 'to dye' and derivates]"
  64,"*ard-i-",   0,"sharp end, sting","острый конец, жало", 111,"","","","","","árdi-s, -ios f. ` Pfeilspitze'","",     0,"",     0,"*art-ia- vb.",    48,"","","*ardi-: OIr aird `Punkt, Endpunkt'","","","WP I 83 f",""
  65,"*ardh-",   0,"pole","шест", 110,"","","","","ardn `Lanze, Speer'","","",     0,"*ar̃d-a- c., *ar̃d-am-a- c., *ar̃d-iā̃ f.",    32,"",     0,"? asser, -eris m. `dicke Stange, Latte, Balken, Tragstange an der Sänfte', assis, -is m. `Diele, Brett, Bohle', dem. assula f. `Splitter, Span'","","","","","WP I 84",""
  66,"*arnk(')-",   0,"a leguminous plant","растение (нечто зерно-бобовое)", 115,"","","","","","árako-s m., árak-s m. `eine Hülsenfrucht, Lathyrus annuus'","",     0,"",     0,"",     0,"arinca f. `Art Spelt, olyra (Galliarum propria)'","","","","","WP I 84","Cf. *ʔĕrVgʷ[h]- `a k. of leguminous plant'"
  67,"*alə(n)t-",   0,"a k. of fish","рыба (вид)",  61,"","","","","","","",     0,"",     0,"*alúnϑ-a- m., *alund-a- m.",    49,"","","Ir ala `Forelle' (*alāto-)","","","WP I 88",""
  68,"*alk-", 817,"sacred place, sanctuary, idol(s)","капище, священная роща; идол(ы)",  63,"","","","","","","",     0,"*al̃k-a- c., *al̃k-ā̂ f.",    33,"*alx- c.",    50,"","","","","","WP I 90",""
  69,"*āl-",1209,"a plant with edible tuber","растение (со съедобным клубнем)",  67,"","ālu- n. `an esculent root, Arum Campanulatum', āluka- n. `the esculent root of Amorphophallus Campanulatus', ā́ruka- `the fruit of a medicinal plant growing on the Himālaya mountains'","","","","","",     0,"",     0,"",     0,"ālum, -ī n., ālus, -ī f. `Symphytum petraeum; Symphytum brochum, knolliger Beinwell, Wallwurz'; ālium, -ī n. `Knoblauch, Alium sativum L.'","Osk *allō `Knoblauch, Alium sativum L.'","","","","WP I 90 f",""
  70,"*alut-, -d-",1826,"yeast, alum, beer","дрожжи, квасцы; пиво",  68,"","","","","","alǘdoi̯mo- `bemitleidenswert'; <alǘd(o)imon = pikrón Sophron ap. Hes.; inf. <alüdmaínein = pikráinein> ? (Hes.)","*olъ",     0,"*al-u n.",    34,"*alúϑ;  *alw-a- m.~n.; *alú-ϑr-a- n.",    51,"alūmen, -inis n. `bitteres Tonerdesalz, Alaun', alūta f. `Alaunleder'","","","","","WP I 91",""
  71,"*alg(')h-",   0,"frost, hoar-frost","мороз, наледь",  64,"","","","","","","",     0,"",     0,"*alg-ja- m.",    52,"algor, -ōris m., algus, -ūs m. `Kälte'; algeo, alsī, -ēre `Kälte empfinden, frieren'; *alsus, comp. alsius `kühlend, erfrischend', alsius, -a `frostig'; algidus, -a `kalt'","","","","","WP I 91",""
  72,"*Aldh-",   0,"trough, boat","корыто, лодка",  62,"","","","","","","*oldь, *oldьjā, *oldъkā",  7357,"*ald-ĳ-ā̂ f.",    35,"*ald-ōn- f., *uld-ō(n) f.; *ald[u]ϑ=",    53,"","","","","A olyi-k, B olyi 'boat' (Adams 125, with doubts)","WP I 92",""
  73,"*amel-",   0,"a fruit tree, its fruit","растение (плод некий)",   0,"","āmra- m. `mango tree'","","","","? ámpelo-s f. `Weinstock, Weinrebe'","",     0,"",     0,"*amil-ōn- f. ?",    54,"","","Gaul amella `Gaisblatt'","","","WP I 179",""
  74,"*alp-", 537,"weak","слабый",  66,"alpanta- (alpant-) 'ill, weak'","álpa-, alpaka- `small, minute, trifling'","","","","","",     0,"*al̃p- vb., *al̃p-na- adj., *al̃p-ā̂ f., *alp-iā̃ f.",    36,"*alb-a- m., *alb-i- c.",    55,"","","","","","WP I 92",""
  75,"*albh- <PIH *a->",   0,"white","белый",   0,"alpa- 'Wolke' (Tischler 18)","","","","","alphó-s m. `weisser Auschlag, lepra', alphó- <alphoús> `белый' (Hes.)","",     0,"",     0,"*alb=, *alft=",    56,"albus, -a `(matt)weiss, weissglänzend'","Umbr alfu `alba'; Osk Alafaternum `Alafaternorum', Pael Alafis","","","","WP I 92 f, Buck 43.",""
  76,"*plus-, *pusl-, *psul-; *b(h)-",  11,"flea","насекомое (блоха)", 173,"","plúṣi- m. `a species of noxious insect, flying white-ant'; paroṣṇī f. `cockroach'","","Pashto vrā́ẓ̌a (< Ir. *brúšā) 'flea'","lu, gen. lvoy `блоха'","psǘlla f. (/ psǘllo-s m.) `Floh'","*blъxā́",  1044,"*blus-ā̂ f.",    37,"*flaux; *fláux-a- m., n.",    57,"pūlex, -icis m. `Floh'","","","plesht, pl. -a `flea'","","","Germ *flaux- probably < *pslou-k-."
  77,"*bait-ā-",   0,"woollen clothes","одежда из (козьей) шерсти", 152,"","","","","","bái̯tǟ `(Ziegen)fell, Zelt oder Rock aus Fell'","",     0,"",     0,"*paid-ō f.",    58,"","","","","","WP II 105",""
  78,"*bak(')-",1220,"pointed stick, peg","острая палочка, колышек", 153,"","","","","","báktro-n n. `Stock, Knüppel', baktēríǟ f. `Stock, Stab, Szepter (als Wahrzeichen der Richter)'","",     0,"",     0,"*pig=",    59,"baculum, -ī n. `Stab, Stock', dem. bacillum","","OIr bacc, Ir bac `Haken, Krummstab'; Cymr bach `Haken', Bret bac'h `Hacke, Stab'","","","WP II 104 f",""
  79,"*bat- ?",   0,"weakness","слабость", 160,"","batá- m. RV 10, 10, 13 `weakling'","","","","","",     0,"",     0,"",     0,"","","Corn badus `lunaticus', bad, badt `stupide', OBret bat, NBret bad `Betäubung, Taumel', bada badaoui `unbesonnen reden', bader, badouer `Maulaffe'","","","WP II 105",""
  80,"*bod-/*bad-",   0,"yellow, brown","желтый, коричневый", 151,"","","","","","","",     0,"",     0,"",     0,"badius, -a `kastanienbraun'","","OIr buide `gelb', Gaul Bodio-casses","","","WP II 105",""
  81,"*barbar-",   0,"speaking another language, stranger","говорящий не по-нашему", 150,"","barbara- `stammering', m. pl. `barbarians'","","","","bárbaro-s adj./sbst. `Ausländer, ausländisch, Nicht-Grieche, ungriechisch'","",     0,"",     0,"",     0,"baburrus `stultus, ineptus' [ cf. babit `gauriā(i)', babiger `stultus' ]","","","","","WP II 106",""
  82,"*balb-, *balbal-",   0,"tongue-tied","плохо выговаривающий",   0,"","balbalā kar- `to stammer'","","","","bambalǘzdō, *bambaléō: bambaleĩn (Hes.) `mit den Zähnen klappern, stottern'","*bъlbъ, *bolbolъ, *bьlbъ (Czech blb `Tölpel')",   562,"*balb-ē̂-, *blab-ē̂-, *blab-ē̂- vb.",    38,"",     0,"babulus, -ī m. `Schwätzer'; balbus, -a `stammelnd, lallend', balbūtiō, -īre `stammeln'","","","","","WP II 106",""
  83,"*pap-",   0,"pock-hole, nipple","оспина, сосок груди", 149,"","pippala-  m.  `sacred fig-tree, Ficus Religiosa; nipple',  n. `berry', pippalaka-  m.  `nipple; pin', piplu- m. `freckle, mark, mole'","","","","","",     0,"*pap-a- c., *pā̂p-ā̂ (2) f., *pāp-ia- (1?) c., pā̂p-ul-ia- (2) c.",    39,"*pap=",    60,"papula f. `Blatter, Bläschen', papilla f., papillum n. `id.; Brustwarze'","","","","","WP II 107",""
  84,"*bamb-",   0,"round object","круглый предмет", 157,"","bimba- m.n. `disk, sphere, orb', bimbā, bimbī f. `Momordica monadelpha (a plant bearing a bright-red gourd)'","","","","[ bémbīks, -īkos f. `(Brumm)kreisel; Wasserstrudel' ]","*bǭbā, *bǭbьnъ, *bǭbjь",  1359,"*bam̂b-ā̂ (1) f., *bam̃b-al-a- c., *bumb-ā f., *bum̃b-ul-a-, -ur-a- c., *bum̂b-ul-ia- c.,*bum̃b-ul-ia- c., *bumb-ā̂l-a- c.",    40,"*pamp-ia- vb.; *pamp-ō- vb., *pamp-ō(n) f., etc.",    61,"","","","","","WP II 107 f",""
  85,"*pamp-/pemp-",   0,"swelling","вздутие",   0,"","","","","","","*pǭpъ `пуп; почка (бот.)'", 11119,"*pem̃p-ia- c., *pim̂p-ia- (1) c., *pemp-, *pam̃p-, *pum̃p- vb. itr., *pam̂p-ā (1) f., *pam̃p-s-a- c., *pump-ul-ia- c., *pump-ur-a- c.",    41,"*fímf-Vl-a- n., *fímf-Vl-ōn- f.; *fimb-á- vb., *famb-ḗ- vb., *fumb=; *famp=",    62,"pampinus, -ī m./f. `Weinranke, Weinlaub; Ranke'","","","","","WP II 107 f",""
  86,"*bod-",   0,"swelling","вздутие", 164,"","badara- m. `jujube tree, Zizyphus Jujuba; kernel of the fruit of the cotton plant'; bádara- n. `edible fruit of the jujube; berry or fruit of the cotton shub'; badva- n. `a large number, multitude'","","","port `Nabel, Bauch; Mittelpunkt'","","",     0,"",     0,"*patt=",    63,"","","","","","WP II 109",""
  87,"*bend-", 730,"pointed peg, nail, edge","острый колышек, гвоздь, острие", 167,"","","","","","","",     0,"",     0,"*pinn=, *pint=",    64,"","","MIr benn `Horn, Gipfel', bennach `spitzig'; Cymr ban m. `excelsum, altum, procerum', MBret ban `éminence, saillie, hauteur'","","","WP II 109 f","Lat pinna ?"
  88,"*band-",   0,"drop","капля", 158,"","bindú- m. `drop'","","","","","",     0,"",     0,"",     0,"","","Ir buinne `Strom, Welle' (o-stufig); Corn banne, banna `Tropfen'; Bret banne `Tropfen'","","","WP II 110",""
  89,"*bel-",   0,"opening, hole, passage","отверстие, проход", 165,"","bíla- n. `cave, hole, pit, opening', bílma- m.  `slip, bit, chip; broken helmet'","","","pelem `höhle, grabe'","","",     0,"",     0,"",     0,"","","MIr belach `Kluft', Ir bealach `Weg, Gebirgspass'; (?) OIr bēl, Ir beal, Gael beul 'mouth'","","","WP II 110",""
  90,"*bal- / -e-",1486,"strong","сильный", 166,"","bála- n. `power, strength, might', balín- `powerful', bálīyān `more powerful', báliṣṭha- `most powerful'","","","","beltíōn, béltero- `besser', béltisto-, béltato- `bester'","*boljь, *bolje",  1128,"",     0,"*pal-a- adj.",    65,"dēbilis, -e `schwach, gebrechlich, krank; lahm, verstümmelt'","","OIr adbal `valde, gewaltig', Ir dibeal(l) `alt', diblide `gebrechlich', MIr balc `fest, dick, stark'; Cymr balch `hochragend, stolz', Bret balc'h `stolz, schroff'","","","WP II 110 f, Buck 89-90.",""
  91,"*bistl-i- (CI)", 148,"bile","желчь", 170,"","","","","","","",     0,"",     0,"",     0,"bīlis, -is f. `Galle (als Flüssigkeit)'","","Cymr bustl `Galle', OCorn bistel `Galle', Bret bestl `Galle' (*bistlo-, bistli-)","","","WP II 111",""
  92,"*bolb-",   0,"a k. of plant with edible tuber","бульба", 174,"","bálbaja- m. `Eleusine indica (a sp. of coarse grass not liked by cattle)'","","","","bolbó-s `Zwiebel'","",     0,"",     0,"",     0,"bulbus, -ī m. `Zwiebel, Bolle, Wurzelknolle'","","","","","WP II 111 f",""
  93,"*bōul-", 775,"round obj., bubble","круглый предмет, пузырь",   0,"","","","","","*bülló-: büllá = bebusména Hes.; bō̂lo-s f. (/m.) `(Erdk)loss, Erdscholle'","",     0,"",     0,"*pūl-iō(n-) f., *pull=, *puls=",    66,"bulla f. `(Wasser)blase, Buckel, Knospe, Knopf, Golldkaspel mit Amulett'","","","","","WP II 111 f",""
  94,"*bul-",   0,"anus, vulva","anus, vulva", 169,"","buli-, buri- f. `female organ of generation; anus'","","","","","",     0,"*bul-i- c., *bul-iā̃ f.",    42,"",     0,"","","","","","WP II 111 f",""
  95,"*bhowə-",   0,"strong, numerous, swelling etc.","сильный, многочисленный etc.",   0,"","bhū́ri- `many, abundant, great, mighty', comp. bhū́yas-, bhávīyas-, sup. bhūyiṣṭha-","būiri- 'reichlich, völlig, vollkommen', comp.-adv. baiyō 'länger, auf länger als', sup. bōištəm 'plurimum'","","boil, pl. gen. builch `Schar, Menge, Herde'","pl. phōíd-es, phoíd-es, phō̂i̯d-es f. `Brandblasen'; *phóǟ ~ phóa f.<phóa> `сыпь на теле' (Hes.)","*būjь wild, grausam, töricht, *būjьnъ, *būla, *būlɨ̄ga etc.",  1412,"*bū̂-r-ia- (1) c., *bū̂-r-ā (1) f.",    43,"*bul-ja- vb., *būl-iō(n-), *baul-iō(n-) f.",    67,"","","OIr bolach `papula'","","","WP II  114 f",""
  96,"*bAut-",   0,"swelling","вздутие",   0,"","","","","","*bǘtano-n (~ -ǖ-) n.: pl. bǘtana `(finger) joint' (Hes.)","*bū́ta шишка, нарост; спесь, *būtъ, *būtītī",  1532,"",     0,"",     0,"","","Cymr both `umbo' (*buttā); bothel, pothel `Blatter, Blase'","","","WP II 114 f",""
  97,"*budn-",   0,"a k. of vessel","сосуд",   0,"","","","","poytn, gen. putan `Topf, Suppentopf, Krug'","","",     0,"",     0,"*putt-a- m.",    68,"","","","","","WP II 116",""
  98,"*bud-",1868,"fruit, sprout; tree-fungus","плод, побег/древесный гриб",   0,"","","","","ptuł, gen. ptłoy `Frucht'; ptuk, gen. ptkan `grüner Zweig, Trieb'","? bōl[ḗ]tǟ-s `Pilz, spez. Champignon'","*bъdlā, *bъdlo, *bъdlъkъ виды грибов (чаще `трутовик')",  1035,"*bud-iā̃ f., *bud-i-s f., *bud-ēl-iā̃ f.",    44,"",     0,"","","","","","WP II 115 f",""
  99,"*bher[a]g'-, *bhrāg'-",   0,"birch","дерево (береза)", 238,"","bhūrja-ḥ `a sp. of birch, the Bhoj tree, Betula Bhojpatra';   Dard Phalura brhuǯ, Dameli brū̃ṣ, Gawar-Bati bluz `birch';   Kafir Vaygali brūǯ id.","","Sak braṁj `birch', bruṁjə- `birch bark', Wakhan. furz, Sanglechi bərəž, Shugn bəruǯ `birch'; Osset bärz, bärzä 'id.'; Pashto barǯ `bast'; Tadj burz, burs `a k. of juniper'","","","*bérzā A; *berzъ A (SH brèz, слвн. brẹ̀z); *berstā, *bersto `береста'; *berstъ `вяз, берест'",   878,"*ber̂ǯ-a- (1) c., *ber̂ǯ-ā̂ (1) f., *berǯ-iā̃ (1) f., *bir̃ǯ-iā̃ f., *bir̃ǯ-ia- c., *bir̂ǯ-tw-ā̂ (1), *ber̃ǯ-l-ia-, *bir̃ǯ-l-ia- c.",    45,"*birk-iō f.; *birk-ō f.",    69,"frāxinus, -ī f. `Bergesche, F. excelsior'; farnus, gen. -ī  f. `ein Baum, wrsch. Esche'","","","","","WP II 170",""
 100,"*bhāg'-",   0,"beech","дерево (бук)", 185,"","","","","","phǟgó-s f. `Eiche, Quercus aegilops'","",     0,"",     0,"*bōk- c., *bok-a- n., *bōk-iōn- f., -an- m.",    70,"fāgus, gen. -ī (/-ūs) f. `Buche'","","Gaul Bāgācon, Bagusta toponyms","","","WP II 128",""
 101,"*bhAug'-",   0,"a k. of leaf-bearing tree","дерево (листв.)",   0,"","","","Kurd būz (< *būzʌ-) `Art Ulme'","","","*būzъ, *būzā `бузина', *būzīnā; *bъzъ, *bъzā, *bъzīnā `Sambucus nigra'",  1401,"",     0,"*bauk=, *būk-ō- vb., *biuk-ō- vb.",    71,"","","","","","WP II 128",""
 102,"*bhar-; *bharəs-",   0,"a k. of cereal (millet, barley, spelt)","растение (злак - просо, ячмень, полба)", 193,"","","","","","","*bъrъ B~D `просо (Panicum miliacium)', `бор раскидистый (Milium effusum)'; *boršьno",  1170,"",     0,"*bar-ja- m.; *bariz-īn-ia- adj.",    72,"far, gen. farris n. `Dinkel, Spelt; Schrot, Mehl', farrāgō `Mengfutter'; farīna f. `Mehl'","Osk far, Umbr far `far'; Umbr farsio, fasiu `farrea'","Cymr, Corn., Bret bara m. `bread'","","","WP II 134",""
 103,"*bhī-",1236,"bee","насекомое (пчела)", 208,"","","","","","","",     0,"*bi-t-i- c., *bi-t-iā̃ (2) f.",    46,"*bī-w-a- n., *bī-(j)a- n., *bī(j)-ō(n-) f.; *bī-n-ō(n-) f.; *bin-i- c.",    73,"","","OIr bech `Biene', Cymr begegyr `fucus', byd-af `bee-hive' (< *bhĭko-)","","","WP II 184",""
 104,"*bhoukʷ-", 776,"bee, drone, gad-fly","насекомое (пчела, трутень, слепень)", 286,"","","","","","","*bъčelā́", 11188,"",     0,"*bau(g)w-á- m.",    74,"fūcus, -ī m. `Brutbiene, Drohne'","","","","","WP II 184",""
 105,"*bhembh-",   0,"bumble-bee, big beetle, bombyx","насекомое (шмель, большой жук, шелкопряд)", 232,"","bambhara- m. (L.) `bee', bambharāli- f. (L.) `fly'; Kalash bhūmbur, Khowar búmbur `bumble-bee', Parachi bhámbur `wasp'","","","borr, gen. -oy `Hummel, Hornis'","pemphrēdṓn, -ónos f. `Art Wespe, Baumwespe' [ + ion., att. bombülió-s `summendes Insekt, Hummel', bómbǖk-s, gen. -os m. `Seidenwurm'; { bombǘlǟ (-ü- или -ǖ-) `Bienenart' }, bombǘkio-n `art Biene' ]","*bǭbā `кокон шелкопряда, шелковичный червь'; *bōbārъ `жук, шмель, гусеница'",     0,"*bam̂b-al-a- (1) c., *bamb-al-ā̂, -iā̃ f., *bamb-ul-a- c., *bim̂b-al-a- (1) / bim̃b-, -il-a- c.",    47,"*bumb-(V)l=",    75,"","","","","","WP II 107",""
 106,"*bhēl-", 653,"squirrel, marten, wild cat","зверек (белка, куница, дикая кошка)",   0,"","","","","","","*bēlā, *bēlъka, *bēlīcā [differently Vasmer]",   840,"? *pel-iā̃ f.",    48,"*bil-(V)k=",    76,"fēlēs, -is f. `Wildkatze, Marder, Iltis'","","*belego-: Cymr bele `Marder'","","","WP II 177",""
